#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:22:15 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:22:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/534/A109/mcxc&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	AName	(a54)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	Cat	(a12)	Catalogue name	[ucd=meta.id;meta.table]
#Column	Sub-Cat	(a12)	Sub-catalogue name	[ucd=meta.id;meta.dataset]
#Column	Scale	(F6.3)	Scale	[ucd=instr.scale]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Cat1	(a12)	First overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat2	(a12)	Second overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat3	(a12)	Third overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat4	(a12)	Fourth overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	L500r1	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for first catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r2	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for second catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r3	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for third catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r4	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for fourth catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
    1220	J1602.3+1601	A2147             	A2147                                                 	16 02 18.7	+16 01 12	 0.0353	BCS         	BCS         	 0.702	 1.358380	 2.4052	 0.9351	                                          	            	            	            	            	      	      	      	      	Simbad
    1221	J1603.0+2524	A2148             	A2148                                                 	16 03 02.2	+25 24 14	 0.0888	BCS         	eBCS        	 1.659	 0.742090	 1.6041	 0.8031	                                          	            	            	            	            	      	      	      	      	Simbad
    1222	J1604.5+1743	RXC J1604.5+1743  	A2151a                                                	16 04 35.7	+17 43 28	 0.0370	NORAS/REFLEX	NORAS       	 0.735	 0.508824	 1.3202	 0.7652	L                                         	BCS         	            	            	            	 1.015	      	      	      	Simbad
    1223	J1604.9+2355	RXC J1604.9+2355  	AWM 4                                                 	16 04 57.0	+23 55 14	 0.0326	NORAS/REFLEX	NORAS       	 0.651	 0.284521	 0.9289	 0.6815	L                                         	BCS         	            	            	            	 1.073	      	      	      	Simbad
    1224	J1605.5+7208	RXC J1605.5+7208  	                                                      	16 05 31.7	+72 08 48	 0.1332	NORAS/REFLEX	NORAS       	 2.366	 1.024289	 1.8917	 0.8360	                                          	            	            	            	            	      	      	      	      	Simbad
    1225	J1605.5+1626	A2152             	A2152                                                 	16 05 32.2	+16 26 31	 0.0370	BCS         	eBCS        	 0.735	 0.128329	 0.5700	 0.5783	                                          	            	            	            	            	      	      	      	      	Simbad
    1226	J1606.7+2328	RX J1606.7+2329   	VMF98 176                                             	16 06 42.5	+23 29 00	 0.3100	160SD       	160SD       	 4.556	 0.528629	 1.1040	 0.6558	WARPS2                                    	WARPSII     	            	            	            	 1.223	      	      	      	Simbad
    1227	J1606.8+1746	A2151b            	A2151b                                                	16 06 52.3	+17 46 52	 0.0321	BCS         	BCS         	 0.641	 0.052369	 0.3311	 0.4833	                                          	            	            	            	            	      	      	      	      	Simbad
    1228	J1614.1-6307	RXC J1614.1-6307  	                                                      	16 14 07.9	-63 07 50	 0.0620	CIZA        	CIZAII      	 1.195	 0.515919	 1.3091	 0.7571	                                          	            	            	            	            	      	      	      	      	Simbad
    1229	J1614.1+4909	A2169             	A2169                                                 	16 14 09.6	+49 09 11	 0.0579	BCS         	eBCS        	 1.121	 0.223393	 0.7880	 0.6400	                                          	            	            	            	            	      	      	      	      	Simbad
    1230	J1614.1+3425	BVH2007 202       	                                                      	16 14 11.5	+34 25 25	 0.2690	400SD       	400SD_SER   	 4.124	 0.703224	 1.3573	 0.7133	                                          	            	            	            	            	      	      	      	      	Simbad
    1231	J1614.3-6052	RXC J1614.3-6052  	A3627                                                 	16 14 22.5	-60 52 07	 0.0157	CIZA        	CIZAI       	 0.320	 1.094716	 2.1360	 0.9042	                                          	            	            	            	            	      	      	      	      	Simbad
    1232	J1614.4+6825	WARP J1614.4+6825 	                                                      	16 14 24.9	+68 25 41	 0.1280	WARPS       	WARPSII     	 2.287	 0.045419	 0.2840	 0.4451	                                          	            	            	            	            	      	      	      	      	Simbad
    1233	J1615.5+1927	RXC J1615.5+1927  	NGC 6098                                              	16 15 34.7	+19 27 36	 0.0308	NORAS/REFLEX	NORAS       	 0.616	 0.060798	 0.3629	 0.4985	                                          	            	            	            	            	      	      	      	      	Simbad
    1234	J1615.7-0608	RXCJ1615.7-0608   	A2163                                                 	16 15 46.9	-06 08 45	 0.2030	NORAS/REFLEX	REFLEX      	 3.338	20.158522	11.0518	 1.4697	                                          	            	            	            	            	      	      	      	      	Simbad
    1235	J1617.4+3456	RXC J1617.5+3458  	NGC 6107                                              	16 17 27.2	+34 56 12	 0.0315	NORAS/REFLEX	NORAS       	 0.630	 0.168099	 0.6744	 0.6127	bL                                        	            	            	            	            	      	      	      	      	Simbad
    1236	J1618.2+2938	RXC J1618.2+2938  	                                                      	16 18 17.8	+29 38 24	 0.2993	NORAS/REFLEX	NORAS       	 4.447	 2.725204	 3.0268	 0.9215	B                                         	            	            	            	            	      	      	      	      	Simbad
    1237	J1619.0+3230	MS1617.1+3237     	                                                      	16 19 04.1	+32 30 42	 0.2740	EMSS        	EMSS_1994   	 4.179	 0.697055	 1.3447	 0.7098	                                          	            	            	            	            	      	      	      	      	Simbad
    1238	J1620.3+1723	BVH2007 NS 18     	VMF98 177                                             	16 20 21.6	+17 23 19	 0.1120	400SD       	400SD_NONSER	 2.037	 0.099588	 0.4637	 0.5270	                                          	160SD       	            	            	            	 1.045	      	      	      	Simbad
    1239	J1620.5+2953	RXC J1620.5+2953  	A2175                                                 	16 20 31.7	+29 53 43	 0.0972	NORAS/REFLEX	NORAS       	 1.798	 1.626729	 2.5734	 0.9376	                                          	BCS         	            	            	            	 0.943	      	      	      	Simbad
    1240	J1621.0+2546	MS1618.9+2552     	A2177                                                 	16 21 01.2	+25 46 19	 0.1610	EMSS        	EMSS_1994   	 2.772	 1.170838	 2.0112	 0.8452	                                          	            	            	            	            	      	      	      	      	Simbad
    1241	J1621.4+3810	MACSJ1621.3+3810  	MCS  J1621.3+3810                                     	16 21 24.7	+38 10 10	 0.4630	MACS        	MACS_MJFV   	 5.853	 7.452147	 4.8110	 1.0100	                                          	            	            	            	            	      	      	      	      	Simbad
    1242	J1623.5+2634	MS1621.5+2640     	                                                      	16 23 35.5	+26 34 13	 0.4274	EMSS        	EMSS_2004   	 5.590	 2.615216	 2.6594	 0.8405	                                          	            	            	            	            	      	      	      	      	Simbad
    1243	J1624.2+4114	RXC J1624.2+4114  	A2187                                                 	16 24 14.2	+41 14 18	 0.1825	NORAS/REFLEX	NORAS       	 3.069	 2.424488	 3.0851	 0.9675	                                          	eBCS        	            	            	            	 1.179	      	      	      	Simbad
    1244	J1626.3-3329	RXC J1626.3-3329  	                                                      	16 26 20.7	-33 29 20	 0.1098	CIZA        	CIZAI       	 2.002	 4.364236	 4.6556	 1.1377	                                          	            	            	            	            	      	      	      	      	Simbad
    1245	J1626.9+5528	RXC J1626.9+5528  	A2201                                                 	16 26 59.0	+55 28 49	 0.1300	NORAS/REFLEX	NORAS       	 2.317	 1.196061	 2.0841	 0.8644	                                          	400SD_NONSER	eBCS        	            	            	 1.091	 1.111	      	      	Simbad
    1246	J1627.3+4240	RXC J1627.3+4240  	A2192                                                 	16 27 23.6	+42 40 42	 0.0317	NORAS/REFLEX	NORAS       	 0.633	 0.065512	 0.3796	 0.5059	                                          	            	            	            	            	      	      	      	      	Simbad
    1247	J1627.6+4055	RXC J1627.6+4055  	A2197                                                 	16 27 40.2	+40 55 11	 0.0301	NORAS/REFLEX	NORAS       	 0.603	 0.067444	 0.3868	 0.5093	                                          	            	            	            	            	      	      	      	      	Simbad
    1248	J1627.9-2952	RXC J1627.9-2952  	                                                      	16 27 58.8	-29 52 51	 0.0640	CIZA        	CIZAII      	 1.231	 0.263421	 0.8677	 0.6597	                                          	            	            	            	            	      	      	      	      	Simbad
    1249	J1628.6+3932	RXC J1628.6+3932  	A2199                                                 	16 28 38.0	+39 32 55	 0.0299	NORAS/REFLEX	NORAS       	 0.599	 1.900691	 2.9626	 1.0040	L                                         	BCS         	            	            	            	 1.152	      	      	      	Simbad
    1250	J1629.7+5831	RXC J1629.7+5831  	A2208                                                 	16 29 44.8	+58 31 27	 0.1329	NORAS/REFLEX	NORAS       	 2.361	 1.208600	 2.0930	 0.8648	                                          	eBCS        	            	            	            	 1.181	      	      	      	Simbad
    1251	J1629.7+2123	BVH2007 203       	VMF98 178                                             	16 29 46.1	+21 23 55	 0.1840	400SD       	400SD_SER   	 3.089	 0.343633	 0.9362	 0.6498	                                          	160SD       	            	            	            	 1.010	      	      	      	Simbad
    1252	J1630.2+2434	BVH2007 204       	VMF98 179                                             	16 30 14.6	+24 34 49	 0.0655	400SD       	400SD_SER   	 1.257	 0.268825	 0.8776	 0.6618	                                          	160SD       	            	            	            	 0.997	      	      	      	Simbad
    1253	J1631.0+2121	BVH2007 205       	VMF98 180                                             	16 31 04.8	+21 21 54	 0.0980	400SD       	400SD_SER   	 1.812	 0.108038	 0.4922	 0.5400	                                          	160SD       	            	            	            	 0.951	      	      	      	Simbad
    1254	J1631.6-7507	RXC J1631.6-7507  	A3628                                                 	16 31 39.1	-75 07 20	 0.1050	CIZA        	CIZAI       	 1.925	 3.829575	 4.3137	 1.1109	                                          	            	            	            	            	      	      	      	      	Simbad
    1255	J1632.7+0534	RXC J1632.7+0534  	A2204                                                 	16 32 46.5	+05 34 14	 0.1514	NORAS/REFLEX	NORAS       	 2.635	13.625562	 9.0453	 1.3998	                                          	BCS         	            	            	            	 0.958	      	      	      	Simbad
    1256	J1633.6+5714	RX J1633.6+5714   	VMF98 181                                             	16 33 40.0	+57 14 37	 0.2390	160SD       	160SD       	 3.782	 0.086619	 0.3875	 0.4749	RDCS/RIXOS/WARPS2                         	WARPSII     	            	            	            	 1.576	      	      	      	Simbad
    1257	J1633.8-0738	RXCJ1633.8-0738   	                                                      	16 33 53.9	-07 38 42	 0.0974	NORAS/REFLEX	REFLEX      	 1.802	 0.756742	 1.6135	 0.8024	                                          	            	            	            	            	      	      	      	      	Simbad
    1258	J1634.6+6738	RXC J1634.6+6738  	A2216                                                 	16 34 38.2	+67 38 13	 0.1668	NORAS/REFLEX	NORAS       	 2.854	 0.859751	 1.6588	 0.7910	                                          	            	            	            	            	      	      	      	      	Simbad
    1259	J1635.8+6612	RXC J1635.8+6612  	A2218                                                 	16 35 52.4	+66 12 52	 0.1709	NORAS/REFLEX	NORAS       	 2.911	 4.670325	 4.6412	 1.1131	                                          	BCS         	            	            	            	 1.108	      	      	      	Simbad
    1260	J1638.2-6420	RXC J1638.2-6420  	Triangulum Australis                                  	16 38 16.1	-64 20 50	 0.0508	CIZA        	CIZAI       	 0.992	 4.946943	 5.2350	 1.2059	                                          	            	            	            	            	      	      	      	      	Simbad
    1261	J1639.9+5347	BVH2007 206       	VMF98 182, A2220                                      	16 39 55.4	+53 47 55	 0.1110	400SD       	400SD_SER   	 2.022	 0.586302	 1.3678	 0.7560	                                          	160SD       	WARPSII     	            	            	 1.006	 1.015	      	      	Simbad
    1262	J1640.3+4642	RXC J1640.3+4642  	A2219                                                 	16 40 21.4	+46 42 21	 0.2280	NORAS/REFLEX	NORAS       	 3.650	14.053749	 8.7019	 1.3450	                                          	BCS         	            	            	            	 0.859	      	      	      	Simbad
    1263	J1641.1+8232	BVH2007 207       	VMF98 183                                             	16 41 11.0	+82 32 26	 0.2060	400SD       	400SD_SER   	 3.377	 1.332633	 2.1042	 0.8446	                                          	SHARC_BRIGHT	160SD       	            	            	 0.907	 1.019	      	      	Simbad
    1264	J1641.8+4001	BVH2007 208       	VMF98 184                                             	16 41 52.3	+40 01 29	 0.4640	400SD       	400SD_SER   	 5.860	 2.834838	 2.7095	 0.8338	                                          	160SD       	            	            	            	 1.034	      	      	      	Simbad
    1265	J1642.6+3935	RX J1642.6+3935   	VMF98 186                                             	16 42 38.9	+39 35 53	 0.3550	160SD       	160SD       	 4.985	 0.594889	 1.1442	 0.6525	                                          	            	            	            	            	      	      	      	      	Simbad
    1266	J1643.2+5114	RXC J1643.2+5114  	A2227                                                 	16 43 13.0	+51 14 59	 0.1990	NORAS/REFLEX	NORAS       	 3.287	 1.878145	 2.6077	 0.9095	                                          	            	            	            	            	      	      	      	      	Simbad
    1267	J1643.3+2131	RXC J1643.3+2131  	                                                      	16 43 20.1	+21 31 34	 0.1535	NORAS/REFLEX	NORAS       	 2.665	 0.949215	 1.7794	 0.8135	                                          	            	            	            	            	      	      	      	      	Simbad
    1268	J1645.4-7334	RXC J1645.4-7334  	                                                      	16 45 26.2	-73 34 54	 0.0690	CIZA        	CIZAI       	 1.319	 0.928838	 1.8647	 0.8499	                                          	            	            	            	            	      	      	      	      	Simbad
    1269	J1646.6-6023	RXC J1646.6-6023  	                                                      	16 46 40.7	-60 23 57	 0.1480	CIZA        	CIZAI       	 2.585	 2.833308	 3.4803	 1.0193	                                          	            	            	            	            	      	      	      	      	Simbad
    1270	J1649.2+5325	WARP J1649.2+5325 	ARP 330, SHK 016                                      	16 49 12.2	+53 25 03	 0.0290	WARPS       	WARPSII     	 0.581	 0.045392	 0.3040	 0.4702	                                          	            	            	            	            	      	      	      	      	Simbad
    1271	J1651.1+0459	RXC J1651.1+0459  	Her A                                                 	16 51 10.0	+04 59 46	 0.1540	NORAS/REFLEX	NORAS       	 2.672	 3.234289	 3.7563	 1.0434	                                          	BCS         	            	            	            	 1.056	      	      	      	Simbad
    1272	J1652.2+4449	RXC J1652.2+4449  	                                                      	16 52 16.3	+44 49 13	 0.1753	NORAS/REFLEX	NORAS       	 2.971	 2.291921	 2.9971	 0.9606	                                          	            	            	            	            	      	      	      	      	Simbad
    1273	J1652.6+4011	RXJ1652.6+4011    	RXJ1652.6+4011                                        	16 52 39.8	+40 11 35	 0.1481	BCS         	eBCS        	 2.587	 1.499174	 2.3606	 0.8955	                                          	            	            	            	            	      	      	      	      	Simbad
    1274	J1652.9+4009	RXC J1652.9+4009  	                                                      	16 52 55.6	+40 09 13	 0.1492	NORAS/REFLEX	NORAS       	 2.603	 1.661816	 2.5116	 0.9139	                                          	            	            	            	            	      	      	      	      	Simbad
    1275	J1653.0-5943	RXC J1653.0-5943  	                                                      	16 53 00.8	-59 43 59	 0.0480	CIZA        	CIZAI       	 0.941	 1.972425	 2.9939	 1.0019	                                          	            	            	            	            	      	      	      	      	Simbad
    1276	J1654.3+2334	RXC J1654.3+2334  	                                                      	16 54 23.3	+23 34 12	 0.0575	NORAS/REFLEX	NORAS       	 1.114	 0.192441	 0.7197	 0.6211	                                          	            	            	            	            	      	      	      	      	Simbad
    1277	J1654.7+5854	RXC J1654.7+5854  	A2239                                                 	16 54 46.7	+58 54 06	 0.0869	NORAS/REFLEX	NORAS       	 1.627	 0.379890	 1.0678	 0.7017	                                          	            	            	            	            	      	      	      	      	Simbad
    1278	J1655.0-2625	RXC J1655.0-2625  	                                                      	16 55 01.7	-26 25 29	 0.0940	CIZA        	CIZAII      	 1.746	 1.308265	 2.2583	 0.8986	                                          	            	            	            	            	      	      	      	      	Simbad
    1279	J1655.9-0113	RXCJ1655.9-0113   	                                                      	16 55 56.2	-01 13 45	 0.0408	NORAS/REFLEX	REFLEX      	 0.806	 0.140920	 0.6019	 0.5882	                                          	            	            	            	            	      	      	      	      	Simbad
    1280	J1657.7-0149	RXCJ1657.7-0149   	                                                      	16 57 45.4	-01 49 54	 0.0313	NORAS/REFLEX	REFLEX      	 0.626	 0.091535	 0.4656	 0.5416	                                          	            	            	            	            	      	      	      	      	Simbad
    1281	J1657.8+5301	WARP J1657.8+5301 	                                                      	16 57 48.4	+53 01 45	 0.4790	WARPS       	WARPSII     	 5.964	 1.651062	 1.9244	 0.7395	                                          	            	            	            	            	      	      	      	      	Simbad
    1282	J1658.0+2751	RXC J1658.0+2751  	AWM 5                                                 	16 58 00.8	+27 51 16	 0.0337	NORAS/REFLEX	NORAS       	 0.672	 0.182441	 0.7079	 0.6223	L                                         	BCS         	            	            	            	 0.704	      	      	      	Simbad
    1283	J1658.0+5254	WARP J1658.0+5254 	                                                      	16 58 05.0	+52 54 05	 0.4655	WARPS       	WARPSII     	 5.871	 1.506823	 1.8407	 0.7325	                                          	            	            	            	            	      	      	      	      	Simbad
    1284	J1658.5+3430	BVH2007 209       	VMF98 187                                             	16 58 33.8	+34 30 08	 0.3300	400SD       	400SD_SER   	 4.752	 1.560174	 2.1019	 0.8067	                                          	160SD       	            	            	            	 1.026	      	      	      	Simbad
    1285	J1659.0+3229	BVH2007 NS 20     	                                                      	16 59 02.2	+32 29 15	 0.0621	400SD       	400SD_NONSER	 1.197	 0.047025	 0.3038	 0.4652	                                          	            	            	            	            	      	      	      	      	Simbad
    1286	J1659.6+6826	RXC J1659.6+6826  	                                                      	16 59 37.0	+68 26 15	 0.0504	NORAS/REFLEX	NORAS       	 0.985	 0.107192	 0.5062	 0.5536	                                          	            	            	            	            	      	      	      	      	Simbad
    1287	J1659.7+3410	RX J1659.7+3410   	VMF98 188                                             	16 59 44.6	+34 10 17	 0.3410	160SD       	160SD       	 4.856	 0.529230	 1.0776	 0.6430	                                          	            	            	            	            	      	      	      	      	Simbad
    1288	J1659.7+3236	RXC J1659.7+3236  	A2241,B                                               	16 59 44.8	+32 36 49	 0.1013	NORAS/REFLEX	NORAS       	 1.865	 1.121587	 2.0454	 0.8673	                                          	BCS         	            	            	            	 1.007	      	      	      	Simbad
    1289	J1700.7+6412	RXC J1700.7+6412  	A2246                                                 	17 00 46.8	+64 12 52	 0.2250	NORAS/REFLEX	NORAS       	 3.614	 1.786504	 2.4797	 0.8861	C                                         	400SD_SER   	160SD       	            	            	 0.519	 0.528	      	      	Simbad
    1290	J1700.8-3144	RXC J1700.8-3144  	                                                      	17 00 53.5	-31 44 29	 0.1340	CIZA        	CIZAII      	 2.378	 1.153910	 2.0331	 0.8561	                                          	            	            	            	            	      	      	      	      	Simbad
    1291	J1701.3+6414	BVH2007 211       	VMF98 190                                             	17 01 22.6	+64 14 09	 0.4530	400SD       	400SD_SER   	 5.781	 3.492559	 3.1055	 0.8763	                                          	SHARC_BRIGHT	160SD       	            	            	 0.920	 1.035	      	      	Simbad
    1292	J1701.4+3400	BVH2007 NS 21     	                                                      	17 01 27.8	+34 00 35	 0.0960	400SD       	400SD_NONSER	 1.779	 0.127387	 0.5450	 0.5591	                                          	            	            	            	            	      	      	      	      	Simbad
    1293	J1701.7+6421	RX J1701.7+6421   	VMF98 191                                             	17 01 46.1	+64 21 15	 0.2200	160SD       	160SD       	 3.552	 0.075974	 0.3630	 0.4678	RDCS                                      	            	            	            	            	      	      	      	      	Simbad
    1294	J1702.2+6419	RX J1702.2+6420   	VMF98 192                                             	17 02 13.3	+64 20 00	 0.2240	160SD       	160SD       	 3.601	 0.142284	 0.5305	 0.5301	RDCS/WARPS2                               	WARPSII     	            	            	            	 1.352	      	      	      	Simbad
    1295	J1702.5+3330	A2245             	A2245                                                 	17 02 31.9	+33 30 47	 0.0843	BCS         	eBCS        	 1.583	 0.485041	 1.2416	 0.7385	                                          	            	            	            	            	      	      	      	      	Simbad
    1296	J1702.7+3403	RXC J1702.7+3403  	A2244                                                 	17 02 42.9	+34 03 43	 0.0953	NORAS/REFLEX	NORAS       	 1.767	 4.045226	 4.4908	 1.1295	                                          	BCS         	            	            	            	 1.186	      	      	      	Simbad
    1297	J1703.1+5938	WARP J1703.1+5938 	                                                      	17 03 09.4	+59 38 52	 0.1822	WARPS       	WARPSII     	 3.065	 0.082451	 0.3926	 0.4867	                                          	            	            	            	            	      	      	      	      	Simbad
    1298	J1703.8+7838	RXC J1703.8+7838  	A2256                                                 	17 03 48.8	+78 38 40	 0.0581	NORAS/REFLEX	NORAS       	 1.125	 3.543467	 4.2502	 1.1224	L                                         	BCS         	            	            	            	 1.048	      	      	      	Simbad
    1299	J1705.1-8210	RXCJ1705.1-8210   	S0792                                                 	17 05 10.3	-82 10 26	 0.0737	NORAS/REFLEX	REFLEX      	 1.401	 0.893157	 1.8148	 0.8410	                                          	            	            	            	            	      	      	      	      	Simbad
    1300	J1705.9-7422	RXC J1705.9-7422  	                                                      	17 05 58.1	-74 22 31	 0.1900	CIZA        	CIZAII      	 3.169	 2.593058	 3.1961	 0.9764	                                          	            	            	            	            	      	      	      	      	Simbad
    1301	J1706.4-0132	RXCJ1706.4-0132   	Zw1703.8                                              	17 06 26.6	-01 32 23	 0.0912	NORAS/REFLEX	REFLEX      	 1.699	 1.192577	 2.1386	 0.8832	                                          	            	            	            	            	      	      	      	      	Simbad
    1302	J1709.8+3426	RXC J1709.8+3426  	A2249                                                 	17 09 48.8	+34 26 26	 0.0802	NORAS/REFLEX	NORAS       	 1.513	 1.783924	 2.7548	 0.9644	                                          	BCS         	            	            	            	 1.062	      	      	      	Simbad
    1303	J1711.0+3941	RXC J1711.0+3941  	A2250                                                 	17 11 02.8	+39 41 39	 0.0647	NORAS/REFLEX	NORAS       	 1.243	 0.342667	 1.0182	 0.6956	                                          	            	            	            	            	      	      	      	      	Simbad
    1304	J1712.4-2321	RXC J1712.4-2321  	Ophiuchus                                             	17 12 24.7	-23 21 01	 0.0280	CIZA        	CIZAI       	 0.562	 4.942477	 5.3123	 1.2205	                                          	            	            	            	            	      	      	      	      	Simbad
    1305	J1712.7+6403	RXC J1712.7+6403  	A2255                                                 	17 12 47.2	+64 03 41	 0.0809	NORAS/REFLEX	NORAS       	 1.525	 2.949060	 3.7410	 1.0678	L                                         	BCS         	            	            	            	 0.855	      	      	      	Simbad
    1306	J1714.3+4341	RXC J1714.3+4341  	NGC 6329                                              	17 14 18.6	+43 41 23	 0.0276	NORAS/REFLEX	NORAS       	 0.554	 0.047690	 0.3136	 0.4753	                                          	eBCS        	            	            	            	 1.836	      	      	      	Simbad
    1307	J1715.2+0309	RXC J1715.2+0309  	RXJ1715.2+0309                                        	17 15 12.8	+03 09 47	 0.1647	NORAS/REFLEX	NORAS       	 2.824	 3.132952	 3.6551	 1.0301	                                          	eBCS        	            	            	            	 1.125	      	      	      	Simbad
    1308	J1715.3+5724	RXC J1715.3+5724  	NGC 6338 i)                                           	17 15 21.9	+57 24 27	 0.0276	NORAS/REFLEX	NORAS       	 0.554	 0.253721	 0.8691	 0.6676	L                                         	BCS         	            	            	            	 1.019	      	      	      	Simbad
    1309	J1715.8+3656	WARP J1715.8+3656 	                                                      	17 15 52.5	+36 56 14	 0.0910	WARPS       	WARPSII     	 1.696	 0.015804	 0.1532	 0.3668	                                          	            	            	            	            	      	      	      	      	Simbad
    1310	J1716.1+2021	ZwCl8182          	ZwCl8182                                              	17 16 10.3	+20 21 25	 0.1306	BCS         	eBCS        	 2.326	 1.367168	 2.2601	 0.8879	                                          	            	            	            	            	      	      	      	      	Simbad
    1311	J1716.6+6410	RX J1716.6+6410   	                                                      	17 16 39.7	+64 10 35	 0.2507	NEP         	NEP         	 3.918	 0.653070	 1.3161	 0.7108	                                          	            	            	            	            	      	      	      	      	Simbad
    1312	J1717.3+4226	ZwCl8193          	ZwCl8193                                              	17 17 19.0	+42 26 38	 0.1754	BCS         	eBCS        	 2.972	 2.576747	 3.2188	 0.9837	                                          	            	            	            	            	      	      	      	      	Simbad
    1313	J1717.6+3627	RXC J1717.6+3627  	                                                      	17 17 36.0	+36 27 49	 0.1709	NORAS/REFLEX	NORAS       	 2.911	 1.052919	 1.8713	 0.8223	                                          	            	            	            	            	      	      	      	      	Simbad
    1314	J1717.8+1940	RXC J1717.8+1940  	A2254                                                 	17 17 49.3	+19 41 00	 0.1780	NORAS/REFLEX	NORAS       	 3.008	 4.786218	 4.6863	 1.1139	                                          	BCS         	            	            	            	 0.828	      	      	      	Simbad
    1315	J1717.8+3235	RXC J1717.8+3235  	A2257                                                 	17 17 53.5	+32 35 10	 0.1054	NORAS/REFLEX	NORAS       	 1.932	 0.999271	 1.9009	 0.8452	                                          	            	            	            	            	      	      	      	      	Simbad
    1316	J1718.1+5639	RXC J1718.1+5639  	Zw 1717.9+5636                                        	17 18 09.8	+56 39 56	 0.1138	NORAS/REFLEX	NORAS       	 2.066	 1.702855	 2.6153	 0.9375	                                          	BCS         	            	            	            	 1.013	      	      	      	Simbad
    1317	J1718.1+7801	RXC J1718.1+7801  	A2271                                                 	17 18 10.2	+78 01 19	 0.0584	NORAS/REFLEX	NORAS       	 1.130	 0.388635	 1.1041	 0.7161	                                          	eBCS        	            	            	            	 0.841	      	      	      	Simbad
    1318	J1720.1+2740	RXC J1720.1+2740  	A2259                                                 	17 20 08.9	+27 40 13	 0.1640	NORAS/REFLEX	NORAS       	 2.814	 3.482342	 3.9006	 1.0529	                                          	BCS         	            	            	            	 1.097	      	      	      	Simbad
