#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,RAJ2000,DEJ2000,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	RAJ2000	DEJ2000	Sabs	e_Sabs	SNR	HRV	Tel
 10463	080-048 	16 36 19.5	+10 21 54	  0.87	  0.14	  4.1	  9664	AOlf
 10469	N6195   	16 36 32.6	+39 01 37	  5.62	  0.80	  6.3	  9022	GB300
 10465	024-019 	16 36 45.0	+01 40 46	  4.44	  0.47	 15.1	  7356	AOlf
260700	109-035 	16 37 29.4	+17 55 56	  1.91	  0.21	 10.7	  7478	AOlf
 10502	339-014 	16 37 37.8	+72 22 25	 18.58	  1.84	 24.0	  4293	GB300
 10475	052-053 	16 37 53.5	+07 33 44	  3.01	  0.37	 12.2	  9485	AOlf
 10503	M1216006	16 37 56.9	+71 30 37	  7.03	  0.79	 14.2	  3935	GB300
560008	M-142003	16 38 08.1	-04 49 15	  9.61	  1.05	 12.6	  1575	Nanc
 10498	FGC2054 	16 39 21.6	+29 22 10	  2.51	  0.35	  6.1	 12393	AOlf
260716	080-051 	16 39 26.3	+11 12 38	  4.72	  0.50	 12.8	  6943	AOlf
 10495	052-057 	16 39 26.4	+07 17 04	  4.52	  0.51	 10.4	 13518	AOlf
260719	138-050 	16 39 31.0	+21 18 56	  3.64	  0.41	  8.9	  9335	AOlf
 10504	197-003 	16 40 22.6	+33 40 46	  3.40	  0.37	 12.7	  9256	AOlf
260724	080-052 	16 40 33.4	+08 59 17	  0.43	  0.08	  3.3	 14332	AOlf
260733	080-055 	16 41 20.8	+08 54 32	  2.30	  0.23	 19.6	  9670	AOlf
260743	197-006 	16 41 25.4	+33 21 02	  2.07	  0.21	 11.8	  9394	AOlf
260737	080-056b	16 41 32.7	+09 24 30	  3.07	  0.33	 10.2	  5594	AOlf
260739	080-057 	16 41 35.6	+09 25 54	  5.18	  0.61	 15.5	  5591	AOlf
560012	M-142004	16 42 03.1	-05 01 57	 67.87	  2.20	 34.4	  1565	GB140
 10524	I1228   	16 42 06.6	+65 35 06	  1.86	  0.25	  8.1	  7639	GB300
260747	110-001 	16 42 15.8	+19 09 05	  1.38	  0.15	  7.7	 10375	AOlf
261062	K1640+20	16 42 23.7	+20 00 48	  1.52	  0.21	  8.0	 10191	AOlf
 10513	        	16 42 50.7	+00 38 20	  2.46	  0.28	 10.6	  7083	AOlf
 10521	N6207   	16 43 03.8	+36 49 58	 34.41	  1.61	 21.4	   852	GB140
 10537	N6232   	16 43 20.1	+70 37 56	  7.63	  0.87	 13.2	  4441	GB300
 10531	M+734144	16 44 24.3	+43 43 49	  2.11	  0.48	  3.2	 10133	GB300
 10526	138-064 	16 44 24.3	+25 07 29	  3.94	  0.42	 12.1	 10298	AOlf
 10529	168-030 	16 44 33.5	+32 13 04	  6.94	  0.70	 28.4	  4434	AOlf
 10546	N6236   	16 44 34.2	+70 46 49	 22.62	  0.85	 12.9	  1281	GB140
 10542	299-024 	16 45 07.6	+61 50 22	  7.01	  0.87	  9.6	  5914	GB300
260768	168-032 	16 45 10.9	+31 18 14	  2.49	  0.29	  9.2	  9366	AOlf
260767	138-069 	16 45 14.9	+22 08 21	  1.63	  0.18	 10.2	  9334	AOlf
260770	I134162 	16 45 40.5	+21 49 18	  3.83	  0.43	  7.9	  9438	AOlf
 10535	053-006 	16 46 01.5	+06 27 45	  2.86	  0.42	  5.6	  7582	AOlf
 10564	N6248   	16 46 22.7	+70 21 18	 38.41	  1.83	 29.2	  1132	GB140
 10543	169-002 	16 46 43.5	+26 56 46	  0.68	  0.10	  7.0	 10739	AOlf
 10545	197-010 	16 46 52.9	+34 24 34	  2.15	  0.28	  6.2	  9304	AOlf
261063	FGC2068 	16 46 54.6	+31 53 06	  4.03	  0.52	 12.6	  4433	AOlf
 10547	197-011 	16 46 56.7	+34 09 20	  2.60	  0.33	  6.0	  9292	AOlf
 10560	I1231   	16 46 59.0	+58 25 22	  8.94	  0.97	 12.1	  5253	GB300
 10550	M+734148	16 47 02.5	+40 08 37	 10.51	  1.18	 12.8	  9035	GB300
 31533	453 G  4	16 47 03.8	-29 05 32	  6.29	  0.76	  8.9	  6767	Nanc
 31539	586 G  2	16 47 24.9	-20 08 30	 10.83	  0.80	 11.1	  6639	GB140
261009	053-008 	16 47 36.4	+08 45 09	  3.80	  0.45	 10.6	  9767	AOlf
 10558	N6228   	16 48 02.7	+26 12 48	  8.48	  0.86	 27.1	 10250	AOlf
 10554	025-006 	16 48 21.3	-01 37 09	  6.21	  0.71	  9.9	  1562	GB300
260970	139-004 	16 48 22.9	+23 36 47	  2.57	  0.27	 13.8	  9066	AOlf
260787	197-014 	16 48 42.1	+35 56 32	  1.66	  0.18	 10.8	  9131	AOlf
 10571	252-002 	16 49 14.4	+48 37 24	  4.95	  0.75	  6.7	  6593	GB300
260790	081-006 	16 49 34.2	+09 46 58	  0.97	  0.13	  6.7	 12563	AOlf
 10569	081-007 	16 50 00.0	+09 26 09	  8.15	  1.10	 11.1	  9691	AOlf
 10577	N6239   	16 50 05.5	+42 44 21	 59.15	  2.28	 43.4	   923	GB140
 10586	252-006 	16 50 48.5	+45 24 05	  1.85	  0.30	  7.9	  9393	GB300
 10576	I4621   	16 50 51.1	+08 47 03	  2.98	  0.35	  8.4	  9456	AOlf
260973	I4623   	16 51 05.3	+22 31 38	  3.10	  0.34	 10.2	  9592	AOlf
 10582	        	16 51 10.8	+23 56 48	  5.38	  0.67	  7.8	 11136	AOlf
560017	M-143002	16 51 32.4	-03 05 33	 17.71	  1.82	 13.6	  7188	GB300
 10588	        	16 51 34.3	+21 53 23	  7.29	  0.85	 29.8	  2684	AOlf
261675	        	16 52 31.8	+25 46 25	  1.77	  0.22	  7.9	 10479	AOlf
 10632	355-022 	16 53 29.3	+79 04 08	  6.48	  0.73	  9.2	  4249	Effs
260827	081-009 	16 54 04.8	+10 34 48	  3.30	  0.37	  9.5	  9524	AOlf
 10597	139-016 	16 54 07.3	+23 24 43	  2.40	  0.25	 13.2	 14040	AOlf
 10598	169-011 	16 54 10.3	+27 10 22	  2.47	  0.29	  9.6	 10296	AOlf
 10596	        	16 54 16.3	+10 26 56	  2.76	  0.31	  9.3	 12097	AOlf
 10600	197-017 	16 54 20.6	+36 00 48	  0.93	  0.12	  8.4	  9460	AOlf
 10614	321-004 	16 54 33.3	+65 18 08	  3.44	  0.40	  9.7	  5637	GB300
 10606	N6255   	16 54 47.3	+36 30 05	 31.32	  1.47	 20.7	   919	GB140
 10603	FGC2084 	16 54 58.2	+22 08 53	  4.55	  0.59	  9.0	 10649	AOlf
 10607	I4630   	16 55 09.6	+26 39 45	  1.28	  0.15	  8.7	 10379	AOlf
 10619	M+928009	16 55 53.3	+54 23 51	  2.63	  0.35	  9.5	  5340	GB300
 10615	197-019 	16 56 10.6	+34 50 10	  5.03	  0.62	  7.2	  9511	AOlf
 10620	        	16 57 01.3	+31 15 12	  1.55	  0.17	 12.5	 18394	AOlf
 10627	252-011 	16 57 15.4	+46 52 26	  7.76	  0.91	  9.9	  7245	GB300
 10625	        	16 57 23.0	+38 40 19	  7.06	  0.93	  8.9	  2056	GB300
 10641	M1024079	16 58 06.4	+58 53 08	  7.40	  1.12	  5.8	  5564	GB300
 10628	N6267   	16 58 08.7	+22 59 05	  6.25	  0.64	 27.2	  2980	AOlf
 10639	169-023 	16 59 08.6	+28 59 30	  2.38	  0.31	  5.5	  9834	AOlf
 10651	225-023 	16 59 44.1	+42 32 22	  5.15	  0.60	 12.6	  8240	GB300
 10640	025-015 	16 59 46.1	+02 30 34	  4.99	  0.98	  7.9	  9305	AOlf
260862	081-010 	17 00 03.2	+11 23 50	  1.03	  0.12	  9.4	 11200	AOlf
 10650	139-027 	17 00 14.7	+23 06 26	  5.21	  0.55	 15.6	  2979	Nanc
 10653	169-026 	17 00 14.9	+27 34 59	  3.39	  0.41	  8.3	 10884	AOlf
260883	        	17 01 04.0	+33 28 31	  2.38	  0.24	 23.9	  8867	AOlf
 10659	053-025 	17 01 26.8	+06 55 34	  4.31	  0.51	  8.5	 10140	AOlf
 10663	169-031 	17 01 29.1	+30 19 29	  2.40	  0.39	  4.7	 10073	AOlf
 10661	        	17 01 32.5	+27 56 27	  7.70	  0.97	  7.3	 10191	AOlf
 10664	225-026 	17 01 42.2	+41 13 43	  5.18	  0.67	  8.2	  8482	GB300
 10684	N6292   	17 03 03.5	+61 02 37	 15.68	  1.61	 15.8	  3415	GB300
270002	081-013 	17 03 07.1	+09 13 33	  3.55	  0.36	 17.5	  6303	AOlf
 10674	081-015 	17 03 39.7	+09 17 50	  5.85	  0.74	 15.7	 10551	AOlf
270336	025-019 	17 04 32.1	+01 20 47	  1.41	  0.20	  7.6	  3607	AOlf
 10713	339-027 	17 04 33.7	+72 26 44	 16.21	  1.21	 12.1	  1069	GB140
 10688	197-029 	17 04 43.1	+34 33 29	  5.44	  0.59	 12.4	  9866	AOlf
 10685	081-019 	17 04 50.9	+12 55 28	  5.07	  0.56	 16.2	  9641	AOlf
270017	081-018 	17 04 59.1	+09 55 42	  4.06	  0.41	 15.4	  6505	AOlf
 10692	139-034 	17 05 28.0	+23 09 11	  8.19	  1.40	  9.7	  9317	AOlf
270027	081-020 	17 05 44.1	+11 36 57	  1.53	  0.20	  5.9	  9517	AOlf
 10710	225-044 	17 06 52.5	+43 07 19	  5.42	  0.76	  5.6	  8333	GB300
270321	K1704+08	17 07 06.1	+08 55 39	  2.05	  0.30	  7.0	 10624	AOlf
 10714	169-044 	17 07 25.3	+30 13 30	 10.07	  1.57	 23.4	  9526	AOlf
270051	082-005 	17 07 36.0	+11 26 21	  2.93	  0.32	 10.4	 10973	AOlf
 10716	        	17 07 44.5	+30 19 34	  5.36	  0.71	  8.5	  9691	AOlf
 10736	339-028 	17 08 04.7	+69 27 51	 22.19	  1.28	 14.0	   491	GB140
 10717	139-037 	17 08 05.1	+26 22 41	  2.01	  0.21	 18.7	 12523	AOlf
 10721	139-038 	17 08 25.6	+25 31 01	  6.35	  0.64	 28.5	  2920	AOlf
 10723	N6301   	17 08 32.8	+42 20 19	 10.13	  1.14	  7.1	  8380	GB300
 10720	082-010 	17 08 38.9	+09 35 16	  5.21	  0.55	 13.6	  9952	AOlf
 10718	I1242   	17 08 42.8	+04 02 59	  6.49	  0.67	 17.1	  6731	AOlf
 10719	N6296   	17 08 44.5	+03 53 37	  6.95	  0.73	 13.6	  6731	AOlf
270077	082-011 	17 08 54.4	+11 28 01	  0.56	  0.09	  5.2	  9188	AOlf
270083	082-013 	17 09 14.9	+09 13 40	  1.46	  0.17	  8.1	 10166	AOlf
 10729	169-049 	17 09 17.1	+31 36 59	  8.22	  0.95	 31.0	  9150	AOlf
 10732	198-014 	17 09 42.6	+36 24 52	  2.70	  0.32	  7.0	  8295	AOlf
 10735	        	17 10 07.9	+32 17 38	  2.60	  0.34	  8.7	  8881	AOlf
 10757	I1251   	17 10 13.2	+72 24 36	 18.77	  1.87	 21.1	  1164	GB300
 10762	N6340   	17 10 24.9	+72 18 16	 11.98	  1.19	 18.2	  1207	GB300
 10738	054-005 	17 11 05.9	+05 51 07	  5.66	  0.75	 10.9	  6720	AOlf
 10743	054-007 	17 11 30.7	+07 59 40	  5.81	  0.63	 14.1	  2563	AOlf
 10769	I1254   	17 11 33.6	+72 24 06	  9.99	  1.01	 16.4	  1227	GB300
 10749	170-001 	17 12 13.6	+30 10 03	  3.35	  0.41	  8.0	  9160	AOlf
 10758	277-029 	17 12 15.3	+53 07 11	  3.44	  0.45	  7.5	  9037	GB300
 10753	198-021 	17 12 35.2	+34 41 32	  3.93	  0.49	  9.2	  7625	AOlf
 10752	N6314   	17 12 38.7	+23 16 11	  2.12	  0.24	 12.1	  6633	AOlf
270123	082-015 	17 13 11.6	+13 03 28	  1.99	  0.26	  7.0	  9335	AOlf
 10768	N6321   	17 14 24.2	+20 18 50	  3.07	  0.38	  8.1	  6231	AOlf
 10791	339-035 	17 14 38.8	+72 23 53	  6.02	  0.69	 11.2	  1327	GB300
270322	K1712+07	17 15 10.6	+06 59 37	  2.63	  0.32	 10.6	  6321	AOlf
 10776	N6330   	17 15 44.4	+29 24 13	  2.71	  0.38	  6.1	  8688	AOlf
 10779	054-016 	17 16 30.5	+06 25 55	  8.34	  0.94	  7.5	  7020	Nanc
 10780	        	17 16 34.2	+07 19 37	  8.28	  1.06	 14.3	  6738	AOlf
 10790	N6339   	17 17 06.4	+40 50 41	 15.92	  0.69	 16.6	  2109	GB140
270802	140-006 	17 17 42.2	+24 12 43	  1.51	  0.21	  4.7	 11985	AOlf
 10789	054-021a	17 17 44.9	+07 36 05	  1.26	  0.16	 13.8	  6705	AOlf
 10793	082-016 	17 18 25.3	+10 56 22	  3.37	  0.38	 10.1	  6266	AOlf
 10815	N6361   	17 18 41.2	+60 36 29	 23.30	  1.35	 10.9	  3811	GB140
 10806	252-039 	17 18 51.6	+49 53 03	 25.24	  1.28	 15.2	   930	GB140
 10797	054-022 	17 18 54.0	+08 26 28	 10.06	  1.09	 13.0	 10600	AOlf
 10799	170-014 	17 18 54.6	+29 51 21	  2.80	  0.75	  7.1	  8511	AOlf
 10801	M+541008	17 19 02.4	+32 16 11	  4.23	  0.51	 10.3	  4555	AOlf
270189	082-017 	17 19 30.7	+11 16 44	  3.42	  0.36	 12.8	  6409	AOlf
 10807	N6347   	17 19 54.6	+16 39 38	  4.00	  0.42	 16.5	  6143	AOlf
 10809	140-009a	17 19 59.9	+24 55 39	  3.27	  0.37	 10.9	  4214	AOlf
 10820	M+736003	17 20 57.5	+42 09 18	  5.57	  0.68	  8.6	  9500	GB300
 10824	026-005a	17 22 19.7	+02 01 05	  3.45	  0.38	  9.0	  8882	AOlf
270194	082-022 	17 22 33.9	+14 35 41	  4.56	  0.54	 10.8	  7287	AOlf
270195	082-021 	17 22 38.1	+12 51 58	  0.80	  0.14	  4.0	  6446	AOlf
 10833	N6365b  	17 22 43.4	+62 10 22	  1.57	  0.24	  5.7	  8004	GB300
 10832	N6365a  	17 22 43.7	+62 09 55	  6.34	  0.64	 26.8	  8461	GB300
 10826	I1255   	17 23 05.4	+12 41 43	  5.93	  0.62	 12.9	  9138	AOlf
270199	082-024 	17 23 06.9	+12 54 13	  2.71	  0.30	  9.6	  6196	AOlf
 10829	I1256   	17 23 47.3	+26 29 09	 10.28	  1.11	 28.9	  4735	AOlf
 10850	N6373   	17 24 08.1	+58 59 41	  7.53	  0.82	 13.2	  3316	GB300
 10845	253-005 	17 24 24.1	+44 56 28	  5.50	  0.70	  7.2	  8274	GB300
 10834	111-032 	17 24 32.7	+20 23 53	  6.62	  0.67	 20.5	  6167	AOlf
 10837	140-020 	17 24 45.3	+24 58 16	  8.90	  1.05	 17.8	  8158	AOlf
 10854	M1025024	17 24 46.3	+58 12 19	  4.45	  0.50	 12.1	  2818	GB300
 10858	M1025029	17 25 38.5	+59 26 47	  5.27	  0.80	  6.6	  5428	GB300
 10887	355-033 	17 26 06.7	+77 42 13	  8.47	  0.95	 11.8	  1838	GB300
 10852	082-029 	17 26 17.1	+11 19 01	  4.15	  0.53	 18.8	  2781	AOlf
 10876	N6395   	17 26 31.5	+71 05 47	 13.48	  0.82	 10.4	  1163	GB140
 10856	N6368   	17 27 11.5	+11 32 32	 29.82	  2.11	 11.3	  2764	GB140
 10871	N6381   	17 27 16.9	+60 00 51	 10.93	  1.12	 20.8	  3224	GB300
270323	K1725+13	17 27 24.2	+13 39 49	  2.46	  0.32	  9.8	  9059	AOlf
 10877	N6385   	17 28 01.3	+57 31 18	 10.59	  1.09	 24.3	  3364	GB300
270213	082-033b	17 28 18.1	+11 20 19	  3.66	  0.38	 16.0	  6363	AOlf
270214	082-033a	17 28 23.0	+11 21 08	  4.82	  0.51	 14.3	  6378	AOlf
 10881	N6390   	17 28 28.1	+60 05 38	  9.03	  0.95	 15.2	  3179	Effs
 10866	140-032 	17 28 37.3	+26 33 38	  3.73	  0.40	 17.1	  8826	AOlf
 10874	FGC2140 	17 28 57.3	+29 18 26	 11.43	  1.51	 36.9	  6800	AOlf
270324	054-031 	17 28 59.9	+08 50 01	  3.85	  0.48	 10.6	  8762	AOlf
270216	082-035 	17 29 01.6	+14 17 51	  3.08	  0.32	 22.7	  2937	AOlf
 10897	N6412   	17 29 36.8	+75 42 15	 26.04	  2.54	 58.0	  1309	GB300
 10879	140-039 	17 29 56.0	+24 53 01	  4.93	  0.49	 27.6	  4226	AOlf
 10886	N6379   	17 30 34.9	+16 17 18	  2.25	  0.41	  5.9	  5974	AOlf
 10890	170-035 	17 31 41.0	+32 13 54	  8.33	  1.25	 17.0	  4549	AOlf
 10891	N6384   	17 32 24.3	+07 03 36	 83.52	  3.43	 44.6	  1665	GB140
 10893	N6389   	17 32 39.7	+16 24 05	 58.80	  2.18	 16.1	  3119	GB140
 10894	170-037 	17 33 03.7	+27 34 28	  2.99	  0.36	  8.5	  6912	AOlf
 10908	M+832010	17 33 37.7	+50 22 24	  7.99	  0.83	 14.8	  5814	GB300
 10901	        	17 33 54.0	+05 28 33	 13.42	  1.30	 36.3	  2835	AOff
 10909	140-046 	17 34 37.9	+25 34 05	  7.88	  0.79	 26.7	  7634	AOlf
270229	083-003 	17 36 00.4	+13 14 01	  2.34	  0.25	 14.8	  9348	AOlf
 10913	112-012 	17 36 37.0	+15 17 55	  1.88	  0.21	 17.4	  6617	Nanc
 10922	M1025069	17 36 39.1	+60 16 46	  3.55	  0.48	  9.6	  8517	GB300
 10917	I1265   	17 36 39.4	+42 05 16	  7.45	  0.90	  9.6	  2161	GB300
270233	083-006 	17 36 45.9	+13 09 46	  3.17	  0.38	  9.2	  6151	AOlf
 10934	N6434   	17 36 48.8	+72 05 19	 16.49	  1.69	 15.4	  2488	GB300
 10931	M1025071	17 37 20.3	+60 25 37	  4.39	  0.56	  8.0	  6224	GB300
270237	083-007 	17 37 25.4	+12 59 29	  1.80	  0.20	  7.4	  6933	AOlf
270241	083-011 	17 38 08.1	+13 53 11	  3.47	  0.34	 19.4	  6556	AOlf
270245	083-014 	17 38 30.2	+11 22 13	  0.86	  0.12	  6.9	  6282	AOlf
270246	083-015 	17 38 30.3	+11 46 27	  1.07	  0.14	  8.3	  6277	AOlf
 10928	140-058 	17 38 41.9	+21 40 29	  5.89	  0.66	 14.2	  7133	AOlf
 10930	N6408   	17 38 47.3	+18 52 40	  7.38	  0.82	  9.8	  3938	AOlf
 10939	        	17 40 40.9	+19 29 50	  1.87	  0.20	 14.0	 11725	AOlf
 10951	N6436   	17 41 13.3	+60 26 57	  5.37	  0.64	 10.4	  6331	GB300
 10945	N6417   	17 41 47.8	+23 40 18	  5.59	  0.61	 14.7	  3317	AOlf
 10943	055-014 	17 42 12.5	+03 11 55	  7.55	  1.27	 19.4	  6793	AOlf
 10962	N6433   	17 43 56.2	+36 48 01	  6.62	  0.89	  8.1	  7517	AOlf
 10960	N6429   	17 44 05.3	+25 21 01	  1.98	  0.27	  5.9	  3446	AOlf
 10973	N6471   	17 44 13.0	+67 35 35	  3.68	  0.47	  8.2	  8069	GB300
 10972	141-010 	17 46 22.0	+26 32 36	 13.29	  1.80	 25.0	  4653	AOlf
 10991	M1122001	17 46 29.6	+67 20 17	  4.50	  0.27	  9.2	  1459	GB140
 10977	171-005b	17 46 31.5	+30 41 53	  8.85	  1.02	 13.2	  4634	AOlf
 10981	083-021 	17 47 39.4	+09 32 48	  5.00	  0.51	 18.4	 10904	AOlf
270270	083-022 	17 47 47.8	+14 41 15	  2.65	  0.30	 10.9	  7109	AOlf
270325	K1745+05	17 47 49.8	+05 48 23	  7.04	  0.89	 13.7	  6447	AOlf
 10985	083-023 	17 48 04.4	+14 44 28	  6.15	  0.63	 33.2	  1809	AOlf
270271	083-024 	17 48 28.4	+12 31 40	  1.89	  0.23	  7.9	  6428	AOlf
 10998	N6478   	17 48 38.2	+51 09 24	  8.78	  0.96	 12.6	  6778	GB300
 11000	199-023 	17 49 26.6	+36 08 43	  7.47	  0.78	 16.8	  1369	AOlf
 10997	N6460   	17 49 30.4	+20 45 47	 12.43	  1.41	 28.1	  3347	AOlf
 11001	083-027 	17 50 13.6	+14 17 14	  4.39	  0.51	  9.2	  4214	AOlf
 11004	N6467   	17 50 40.2	+17 32 16	 19.15	  2.35	 42.6	  3040	AOlf
 11003	083-029 	17 50 41.8	+14 49 17	 12.56	  1.96	 20.0	  4064	AOlf
270281	083-030 	17 51 14.8	+14 06 17	  1.34	  0.15	 10.6	 11743	AOlf
 11010	N6484   	17 51 46.9	+24 29 00	 30.87	  3.60	 41.4	  3119	AOlf
 11013	I1269   	17 52 05.9	+21 34 07	  9.45	  0.95	 16.1	  6117	Nanc
 11016	171-010 	17 52 06.7	+28 54 18	  6.44	  0.78	 20.7	  6491	AOlf
 11017	171-011 	17 52 08.6	+29 51 43	  5.09	  0.57	 19.2	  4642	AOlf
 11021	171-013 	17 52 39.4	+29 03 30	  6.40	  0.81	 10.0	  5186	AOlf
 11024	141-024 	17 52 54.5	+23 12 40	  2.75	  0.39	  6.6	  4109	AOlf
 11027	141-026 	17 53 15.9	+24 34 20	  7.13	  0.78	 27.6	  3200	AOlf
 11036	M1025113	17 53 36.7	+58 21 00	  5.68	  0.80	  6.4	  3446	GB300
270292	084-001 	17 54 03.1	+14 51 57	  2.53	  0.27	 13.5	 11915	AOlf
 11030	028-001 	17 54 33.6	+02 52 43	 15.96	  1.88	 49.9	  1756	AOlf
 11041	199-027 	17 54 51.7	+34 46 34	  5.54	  0.64	  7.1	  4868	AOlf
 11050	199-028 	17 55 43.1	+34 35 13	  7.47	  0.97	 18.3	  4861	AOlf
 11048	N6500   	17 55 59.7	+18 20 18	 54.90	 13.52	 11.2	  3004	GB300
 11058	171-032 	17 56 54.9	+32 38 12	  5.15	  0.55	 21.8	  4753	AOlf
 11055	084-003 	17 57 04.7	+12 14 22	  3.14	  0.40	  6.8	  2945	AOlf
 11057	084-004 	17 57 14.9	+12 10 44	 18.03	  2.13	 21.2	  2866	AOlf
270299	084-006 	17 57 27.5	+14 12 01	  0.66	  0.09	  6.2	  6198	AOlf
 11059	084-005 	17 57 31.4	+11 43 57	  4.28	  0.51	 14.5	  2907	AOlf
270300	084-007 	17 57 40.9	+13 33 05	  0.53	  0.07	  7.6	 10065	AOlf
 11064	171-034 	17 57 41.0	+27 50 03	  6.90	  0.84	 14.3	  7043	AOlf
 11067	084-008 	17 58 22.1	+09 41 22	  9.42	  0.91	108.2	  6428	AOlf
 11076	199-030 	17 58 51.6	+34 00 22	  1.73	  0.20	  7.7	  7551	AOlf
 11073	084-010 	17 58 59.3	+10 32 20	 12.05	  1.29	 28.1	  6424	AOlf
 11074	056-005 	17 59 07.3	+07 08 28	 19.70	  0.96	 13.1	  1896	GB140
 11085	N6532   	17 59 14.0	+56 13 54	  4.92	  0.69	  7.3	  5484	GB300
 11075	N6509   	17 59 25.4	+06 17 12	 31.80	  1.30	 12.1	  1810	GB140
 11090	171-043 	18 00 43.1	+28 42 43	  6.68	  0.70	 29.5	  4643	AOlf
 11091	199-034 	18 00 43.7	+35 00 49	  3.07	  0.36	  9.5	  7220	AOlf
 11099	322-028 	18 01 07.4	+67 25 33	  6.00	  0.65	 11.0	  3691	GB300
 11094	N6527   	18 01 46.2	+19 43 44	  5.44	  0.65	  7.4	  5447	AOlf
 11093	056-007 	18 01 51.5	+06 58 01	 80.15	  5.93	 29.9	  1964	GB140
 11101	M+833012	18 03 04.2	+45 15 22	  5.03	  0.59	  9.7	  5860	GB300
 11108	        	18 05 01.1	+20 02 24	  2.82	  0.39	  9.5	  6788	AOlf
 11117	N6560   	18 05 14.1	+46 52 53	  8.96	  0.95	 11.1	  7042	GB300
 11118	200-004 	18 05 52.7	+34 01 02	  4.74	  0.49	 19.7	  7247	AOlf
 11124	200-005 	18 07 27.5	+35 33 50	 20.34	  0.75	 15.4	  1607	GB140
 11121	N6555   	18 07 49.2	+17 36 17	 13.11	  1.55	 35.3	  2224	AOlf
280104	K1805+16	18 08 04.9	+16 34 38	  5.44	  0.67	 14.6	  6548	AOlf
 11125	I4688   	18 08 11.8	+11 42 42	  4.79	  0.54	 13.9	  6026	AOlf
 11126	        	18 08 33.7	+25 43 29	  4.61	  0.63	 12.5	  4805	AOlf
 11132	200-008 	18 09 26.0	+38 47 39	 11.70	  1.48	 11.0	  2839	GB300
 11131	028-005 	18 10 22.4	+01 35 32	  7.58	  0.85	 10.0	  1803	AOlf
 11135	I1277   	18 10 27.2	+31 00 12	  6.57	  0.72	 20.4	  8398	AOlf
 11140	227-018 	18 11 09.3	+39 10 14	 19.89	  2.19	 17.1	  2816	GB300
280138	K1809+24	18 11 30.7	+25 00 09	 54.91	  6.56	 11.1	  4577	AOlf
 11165	        	18 11 33.2	+68 41 59	  6.36	  0.92	  4.7	  7533	GB300
 11142	142-013 	18 11 38.6	+25 39 27	  9.15	  1.29	  9.4	  4510	AOlf
 11144	N6574   	18 11 51.2	+14 58 51	  6.33	  0.65	 19.6	  2289	AOlf
280139	K1809+25	18 12 00.3	+25 34 40	  2.51	  0.31	  9.4	  4758	AOlf
 11151	172-010 	18 12 05.6	+29 09 21	  4.88	  0.64	  9.8	  6935	AOlf
 11159	N6585   	18 12 21.5	+39 37 57	 13.46	  1.44	 14.4	  2827	GB300
 11155	142-024 	18 12 32.0	+25 26 07	  9.00	  0.96	 28.0	  4592	AOlf
