#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/224/33/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22240033
#Name: J/ApJS/224/33
#Title: CLASH-VLT: the FF cluster MACS J0416.1-2403 (Balestra+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	creator=Balestra I.	    First author or institution
#INFO	cites=bibcode:2016ApJS..224...33B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/224/33	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22240033	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_224_33_table2:
#Name: J/ApJS/224/33/table2
#Title: CLASH-VLT spectroscopic redshift catalog of MACS J0416.1-2403
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	CLASHVLT identifier (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[63.8/64.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-24.3/-23.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0/4.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	q_z	(I1)	[2/9] Quality flag on z (1)	[ucd=meta.code.qual;src.redshift]
#Column	r_z	(I1)	[1/5] Reference code for z (2)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F5.2)	[15.2/25.7]? Subaru/Suprime Cam Kron R-band AB magnitude	[ucd=phot.mag;em.opt.R]
#Column	f_ID	(A3)	Flag(s) on ID (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	z	q_z	r_z	Rmag	f_ID	Simbad
    3154	J041541.0-240041	063.920702	-24.011496	 0.5286	3	1	21.44	   	Simbad
    3155	J041648.4-240034	064.201492	-24.009517	 0.4125	3	1	20.21	R  	Simbad
    3156	J041546.4-240051	063.943241	-24.014438	 3.2649	3	1	22.96	   	Simbad
    3157	J041600.3-240049	064.001126	-24.013868	 0.0019	2	1	21.98	   	Simbad
    3158	J041621.7-240048	064.090585	-24.013545	 0.1689	9	2	22.73	   	Simbad
    3159	J041533.6-240053	063.890099	-24.014817	 0.6337	3	1	24.23	   	Simbad
    3160	J041612.7-240052	064.052812	-24.014664	 0.0000	2	1	23.95	   	Simbad
    3161	J041609.8-240051	064.041017	-24.014281	 0.5605	9	1	24.05	1  	Simbad
    3162	J041520.1-240043	063.833568	-24.012094	 0.1737	3	1	22.13	   	Simbad
    3163	J041617.8-240047	064.074178	-24.013333	 0.5529	3	1	22.23	   	Simbad
    3164	J041700.7-240049	064.252738	-24.013656	 3.0829	3	1	24.04	   	Simbad
    3165	J041634.1-240048	064.142011	-24.013452	 0.4222	3	3	23.10	   	Simbad
    3166	J041545.9-240050	063.941190	-24.013907	 0.4491	2	1	24.01	   	Simbad
    3167	J041526.4-240042	063.859813	-24.011686	 0.3942	9	1	22.77	   	Simbad
    3168	J041536.5-240018	063.902238	-24.005181	 0.3957	3	1	19.24	   	Simbad
    3169	J041533.3-240046	063.888843	-24.013036	 0.6320	3	2	23.83	   	Simbad
    3170	J041652.0-240040	064.216517	-24.011313	 0.5189	3	1	21.27	   	Simbad
    3171	J041632.3-240048	064.134408	-24.013447	 0.4612	2	1	23.91	   	Simbad
    3172	J041704.5-240040	064.268943	-24.011369	 0.5531	3	1	22.07	   	Simbad
    3173	J041513.6-240035	063.806829	-24.009933	 0.5275	9	1	20.41	R  	Simbad
    3174	J041530.8-240043	063.878505	-24.011984	 0.3546	3	1	23.04	   	Simbad
    3175	J041622.2-240047	064.092405	-24.013124	 0.6277	3	1	23.01	   	Simbad
    3176	J041527.0-240045	063.862674	-24.012715	 0.5101	3	1	23.99	   	Simbad
    3177	J041636.3-240032	064.151235	-24.008951	 0.3522	2	1	21.27	   	Simbad
    3178	J041611.0-240046	064.045697	-24.012896	 0.4426	3	3	23.27	   	Simbad
    3179	J041617.7-240029	064.073780	-24.008190	 0.0723	3	1	20.20	   	Simbad
    3180	J041514.0-240034	063.808331	-24.009629	 0.3442	3	1	22.70	   	Simbad
    3181	J041627.9-240034	064.116114	-24.009707	 0.7093	3	2	21.80	   	Simbad
    3182	J041545.2-240045	063.938434	-24.012550	 0.5648	3	1	23.63	   	Simbad
    3183	J041658.0-240023	064.241500	-24.006608	 0.5524	3	1	21.22	   	Simbad
    3184	J041530.5-240044	063.877259	-24.012349	 0.5113	9	3	23.98	   	Simbad
    3185	J041652.8-240042	064.220119	-24.011686	 0.5394	3	1	22.27	   	Simbad
    3186	J041540.4-240041	063.918170	-24.011399	 0.3456	3	1	22.62	   	Simbad
    3187	J041547.1-240044	063.946371	-24.012385	 0.9349	2	1	23.40	   	Simbad
    3188	J041535.9-240029	063.899509	-24.008206	 0.5121	3	1	21.20	   	Simbad
    3189	J041620.0-240029	064.083410	-24.008233	 0.4216	3	3	20.30	   	Simbad
    3190	J041607.5-240039	064.031237	-24.010878	 0.2528	3	1	22.32	   	Simbad
    3191	J041618.2-240031	064.075791	-24.008731	 0.4319	3	1	21.23	   	Simbad
    3192	J041605.5-240033	064.022831	-24.009322	 0.3992	3	1	21.20	   	Simbad
    3193	J041641.8-240034	064.174246	-24.009577	 0.3438	3	1	22.08	   	Simbad
    3194	J041641.5-240040	064.172919	-24.011267	 0.5872	9	1	24.33	   	Simbad
    3195	J041619.4-240034	064.081036	-24.009681	 0.3696	2	1	22.56	   	Simbad
    3196	J041545.7-240040	063.940315	-24.011260	 0.6379	3	1	23.60	   	Simbad
    3197	J041613.9-240033	064.057807	-24.009435	 0.3534	3	1	21.19	   	Simbad
    3198	J041625.0-240036	064.104160	-24.010274	 0.4368	2	1	22.70	   	Simbad
    3199	J041655.2-240028	064.229898	-24.008055	 0.0000	2	2	22.25	   	Simbad
    3200	J041702.9-240036	064.261907	-24.010219	 0.5363	9	1	23.56	   	Simbad
    3201	J041607.4-240039	064.030730	-24.011022	 1.0948	9	2	24.52	   	Simbad
    3202	J041542.7-240030	063.927829	-24.008572	 0.6311	3	1	22.42	   	Simbad
    3203	J041628.8-240022	064.119795	-24.006318	 0.3954	3	1	20.96	   	Simbad
    3204	J041652.5-240037	064.218864	-24.010548	 0.5396	3	2	23.57	   	Simbad
    3205	J041544.9-240023	063.937034	-24.006440	 0.6398	3	1	21.40	   	Simbad
    3206	J041529.8-240034	063.874241	-24.009587	 0.4053	2	1	23.94	   	Simbad
    3207	J041608.2-240032	064.034083	-24.009155	 0.5485	3	1	21.93	   	Simbad
    3208	J041627.9-240032	064.116082	-24.009063	 1.9569	3	1	20.21	1  	Simbad
    3209	J041554.9-240035	063.978663	-24.009864	 0.7637	3	1	23.57	   	Simbad
    3210	J041624.8-240035	064.103378	-24.009977	 0.4000	2	2	23.47	   	Simbad
    3211	J041545.3-240015	063.938586	-24.004384	 0.4486	3	1	19.36	   	Simbad
    3212	J041600.7-240010	064.002833	-24.002840	 1.4572	3	1	19.48	1  	Simbad
    3213	J041622.6-240010	064.093974	-24.003051	 0.4220	3	1	19.82	   	Simbad
    3214	J041638.2-235957	064.159336	-23.999320	 0.3076	3	1	20.59	   	Simbad
    3215	J041541.7-240025	063.923925	-24.007023	 0.4995	2	1	22.91	   	Simbad
    3216	J041609.2-240027	064.038184	-24.007545	 0.0000	3	1	20.18	   	Simbad
    3217	J041550.7-240025	063.961203	-24.007094	 0.1923	3	1	22.56	   	Simbad
    3218	J041613.2-240028	064.055093	-24.008016	 0.4002	3	1	22.16	   	Simbad
    3219	J041632.3-240027	064.134513	-24.007575	 0.3991	3	1	22.00	   	Simbad
    3220	J041629.0-240022	064.120640	-24.006183	 0.2652	3	1	22.24	   	Simbad
    3221	J041536.6-240030	063.902681	-24.008364	 0.5298	3	1	24.52	   	Simbad
    3222	J041608.2-240022	064.034338	-24.006317	 0.4001	3	3	21.36	   	Simbad
    3223	J041545.3-240022	063.938918	-24.006333	 0.1882	3	1	21.57	R  	Simbad
    3224	J041532.0-240021	063.883406	-24.006051	 0.3963	3	1	21.95	   	Simbad
    3225	J041651.8-240028	064.215718	-24.008025	 0.5936	3	1	24.49	   	Simbad
    3226	J041613.3-240019	064.055624	-24.005468	 0.4415	3	1	21.71	   	Simbad
    3227	J041652.2-240018	064.217565	-24.005195	 0.5512	3	2	22.42	   	Simbad
    3228	J041513.3-240026	063.805325	-24.007262	 0.3155	3	1	23.66	   	Simbad
    3229	J041622.2-240010	064.092338	-24.003044	 0.4218	3	1	21.39	   	Simbad
    3230	J041646.3-240024	064.192972	-24.006940	 0.3945	3	1	22.64	   	Simbad
    3231	J041629.2-240025	064.121492	-24.006991	 0.0000	3	2	20.94	   	Simbad
    3232	J041624.2-240018	064.100961	-24.005060	 0.2132	3	1	21.24	   	Simbad
    3233	J041550.3-240022	063.959766	-24.006370	 0.1907	3	1	20.92	   	Simbad
    3234	J041659.1-240025	064.246326	-24.007020	 0.5470	3	2	22.87	   	Simbad
    3235	J041623.8-240023	064.098976	-24.006459	 0.6265	3	1	21.98	   	Simbad
    3236	J041513.9-240020	063.808041	-24.005811	 0.5259	9	1	22.53	   	Simbad
    3237	J041545.9-240016	063.941062	-24.004560	 0.4502	3	1	22.18	   	Simbad
    3238	J041514.4-240016	063.810103	-24.004617	 0.3436	3	1	20.50	R  	Simbad
    3239	J041650.6-240021	064.211000	-24.005857	 0.5503	3	1	22.63	   	Simbad
    3240	J041646.5-240006	064.193734	-24.001705	 0.4017	3	2	20.60	   	Simbad
    3241	J041701.8-240023	064.257496	-24.006456	 0.5499	3	1	23.12	   	Simbad
    3242	J041548.5-240024	063.951901	-24.006801	 0.6336	3	1	23.91	   	Simbad
    3243	J041637.5-240022	064.156212	-24.006350	 0.0000	2	1	24.06	   	Simbad
    3244	J041522.7-240013	063.844789	-24.003683	 0.4059	3	2	21.70	   	Simbad
    3245	J041538.6-240014	063.910647	-24.004143	 0.3956	3	1	21.57	   	Simbad
    3246	J041658.1-240015	064.242108	-24.004444	 0.2989	2	1	22.55	   	Simbad
    3247	J041527.8-240015	063.865948	-24.004257	 0.5644	3	1	21.60	   	Simbad
    3248	J041622.8-240007	064.095195	-24.001998	 0.4370	3	3	21.99	   	Simbad
    3249	J041603.6-240021	064.015065	-24.005902	 0.6312	3	2	23.32	   	Simbad
    3250	J041631.6-240021	064.131849	-24.006013	 0.3077	2	1	22.96	   	Simbad
    3251	J041528.7-240020	063.869543	-24.005750	 0.5095	3	2	23.71	   	Simbad
    3252	J041514.9-240000	063.812224	-24.000012	 0.0000	3	1	17.69	   	Simbad
    3253	J041609.0-240016	064.037382	-24.004499	 0.3524	3	3	22.84	   	Simbad
    3254	J041523.5-240014	063.847846	-24.003998	 0.3618	3	1	23.61	   	Simbad
    3255	J041523.1-240007	063.846396	-24.002078	 0.4045	3	1	20.59	   	Simbad
    3256	J041523.7-240012	063.848813	-24.003542	 0.3964	3	2	22.70	   	Simbad
    3257	J041622.5-240007	064.093842	-24.002209	 0.4208	3	1	20.55	   	Simbad
    3258	J041546.8-240014	063.945039	-24.004091	 0.5853	2	1	22.72	   	Simbad
    3259	J041631.4-240011	064.130790	-24.003276	 0.3084	2	1	21.96	   	Simbad
    3260	J041648.8-240009	064.203338	-24.002657	 0.2692	3	2	20.85	   	Simbad
    3261	J041645.8-240011	064.190764	-24.003142	 0.4137	3	1	21.77	   	Simbad
    3262	J041542.6-240008	063.927567	-24.002469	 0.4823	3	1	22.51	   	Simbad
    3263	J041527.8-240009	063.865936	-24.002692	 0.5629	3	1	21.54	   	Simbad
    3264	J041522.6-240009	063.843975	-24.002516	 0.3457	3	1	22.45	   	Simbad
    3265	J041516.9-240010	063.820253	-24.002850	 0.5289	3	1	22.31	   	Simbad
    3266	J041612.2-240013	064.050835	-24.003796	 0.4489	2	1	23.87	   	Simbad
    3267	J041607.5-240010	064.031112	-24.002944	 0.5383	3	1	22.06	   	Simbad
    3268	J041626.8-240011	064.111510	-24.003262	 0.6049	3	1	23.13	   	Simbad
    3269	J041611.4-240005	064.047596	-24.001400	 0.4682	3	1	22.29	   	Simbad
    3270	J041607.6-240002	064.031754	-24.000757	 0.1524	3	3	20.24	   	Simbad
    3271	J041554.1-240003	063.975607	-24.000849	 0.2165	3	1	21.79	   	Simbad
    3272	J041602.1-240005	064.008543	-24.001513	 0.6023	2	1	22.44	   	Simbad
    3273	J041548.4-240008	063.951597	-24.002357	 0.6160	3	1	22.40	   	Simbad
    3274	J041633.6-240005	064.140171	-24.001439	 0.4416	3	1	21.59	   	Simbad
    3275	J041543.6-240010	063.931741	-24.002899	 0.7098	3	1	23.79	   	Simbad
    3276	J041522.8-240001	063.845113	-24.000365	 0.4063	9	1	21.81	   	Simbad
    3277	J041527.8-240001	063.865700	-24.000441	 0.3972	3	1	22.21	   	Simbad
    3278	J041525.5-240006	063.856446	-24.001860	 0.3972	3	2	23.34	   	Simbad
    3279	J041642.2-235956	064.175697	-23.999124	 0.4823	3	1	21.31	   	Simbad
    3280	J041624.5-240004	064.102081	-24.001162	 0.4323	3	1	21.69	   	Simbad
    3281	J041703.4-240005	064.263980	-24.001624	 0.6541	3	1	23.00	   	Simbad
    3282	J041644.2-240005	064.184204	-24.001470	 0.6876	3	1	23.08	   	Simbad
    3283	J041606.0-240005	064.025107	-24.001507	 0.6285	9	1	23.39	   	Simbad
    3284	J041621.3-240002	064.088814	-24.000601	 0.3083	2	2	22.04	   	Simbad
    3285	J041646.4-240000	064.193261	-24.000111	 0.4132	3	2	21.64	   	Simbad
    3286	J041639.9-240001	064.166382	-24.000332	 0.3081	3	1	21.39	   	Simbad
    3287	J041648.1-240000	064.200399	-24.000136	 0.2685	3	2	23.45	   	Simbad
    3288	J041644.1-235953	064.183792	-23.998231	 0.4002	2	1	20.21	   	Simbad
    3289	J041646.8-240001	064.195147	-24.000540	 0.3923	3	1	21.95	   	Simbad
    3290	J041532.6-240004	063.885994	-24.001238	 0.6326	3	1	23.24	   	Simbad
    3291	J041518.6-235946	063.827322	-23.996235	 0.3958	3	1	20.18	   	Simbad
    3292	J041529.9-240001	063.874625	-24.000379	 0.2749	3	2	22.86	   	Simbad
    3293	J041653.8-235954	064.224375	-23.998350	 0.3976	3	3	21.02	   	Simbad
    3294	J041649.9-240002	064.208108	-24.000602	 0.2694	3	1	23.54	   	Simbad
    3295	J041604.9-235955	064.020409	-23.998664	 0.6318	3	1	21.58	   	Simbad
    3296	J041623.5-240000	064.098018	-24.000087	 0.6365	3	1	22.70	   	Simbad
    3297	J041700.7-235956	064.252709	-23.999081	 0.7052	3	1	22.52	   	Simbad
    3298	J041530.9-235955	063.878781	-23.998805	 0.4695	3	1	22.40	   	Simbad
    3299	J041610.4-235958	064.043363	-23.999617	 0.4427	3	3	22.28	   	Simbad
    3300	J041547.0-240001	063.946034	-24.000295	 0.2992	3	1	24.18	   	Simbad
    3301	J041627.1-235957	064.112848	-23.999233	 0.3881	3	2	23.66	   	Simbad
    3302	J041537.0-235957	063.904212	-23.999168	 0.4683	3	3	21.52	   	Simbad
    3303	J041651.0-235957	064.212474	-23.999399	 0.4668	3	1	23.29	   	Simbad
    3304	J041629.0-235954	064.120836	-23.998341	 0.3084	3	1	20.97	   	Simbad
    3305	J041544.7-235944	063.936164	-23.995626	 0.5000	3	1	20.71	   	Simbad
    3306	J041651.8-235958	064.215794	-23.999700	 0.5957	3	1	22.52	   	Simbad
    3307	J041636.6-235959	064.152343	-23.999941	 0.3989	2	1	23.37	   	Simbad
    3308	J041632.4-235951	064.135012	-23.997728	 0.4012	3	1	21.50	   	Simbad
    3309	J041532.0-235958	063.883508	-23.999513	 0.3462	3	1	22.49	   	Simbad
    3310	J041658.9-235954	064.245490	-23.998360	 0.6466	3	2	23.05	   	Simbad
    3311	J041622.7-235955	064.094622	-23.998638	 0.3991	3	1	21.23	   	Simbad
    3312	J041641.8-235939	064.174368	-23.994437	 0.3428	3	1	19.89	   	Simbad
    3313	J041544.4-235945	063.935101	-23.995903	 0.4992	3	1	20.86	   	Simbad
    3314	J041633.9-235948	064.141228	-23.996798	 0.2059	3	1	21.55	   	Simbad
    3315	J041521.6-235941	063.840028	-23.994759	 0.2724	3	1	19.84	   	Simbad
    3316	J041654.5-235951	064.227268	-23.997681	 0.6675	3	1	24.05	   	Simbad
    3317	J041643.4-235952	064.180974	-23.997997	 0.5338	2	1	23.08	   	Simbad
    3318	J041626.9-235949	064.111996	-23.997031	 0.5808	3	1	22.84	   	Simbad
    3319	J041640.3-235946	064.167712	-23.996189	 0.4007	3	1	20.63	   	Simbad
    3320	J041606.6-235943	064.027707	-23.995323	 0.3545	3	1	21.58	   	Simbad
    3321	J041529.2-235947	063.871861	-23.996434	 0.3149	3	1	22.77	   	Simbad
    3322	J041702.6-235946	064.260743	-23.996354	 0.5489	3	1	21.92	   	Simbad
    3323	J041632.8-235947	064.136668	-23.996396	 0.3100	2	1	22.56	   	Simbad
    3324	J041635.6-235946	064.148442	-23.996119	 0.3493	3	1	22.69	   	Simbad
    3325	J041518.1-235948	063.825290	-23.996877	 0.3957	3	1	22.54	   	Simbad
    3326	J041513.6-235931	063.806822	-23.992153	 0.3948	3	1	21.32	   	Simbad
    3327	J041616.5-235923	064.068695	-23.989998	 0.3084	3	1	20.50	   	Simbad
    3328	J041608.4-235949	064.034888	-23.997007	 0.3068	3	1	23.49	1  	Simbad
    3329	J041650.8-235945	064.211797	-23.996070	 0.3077	3	1	23.18	   	Simbad
    3330	J041610.2-235946	064.042364	-23.996383	 0.3927	3	3	22.85	   	Simbad
    3331	J041704.3-235934	064.267912	-23.992936	 0.5367	3	1	21.22	   	Simbad
    3332	J041608.5-235935	064.035484	-23.993253	 0.3977	3	3	22.72	   	Simbad
    3333	J041620.2-235948	064.084262	-23.996783	 0.5888	3	1	24.15	   	Simbad
    3334	J041537.0-235944	063.904219	-23.995631	 0.3482	9	2	24.24	   	Simbad
    3335	J041637.2-235943	064.155084	-23.995315	 0.5497	3	2	23.64	   	Simbad
    3336	J041529.2-235939	063.871660	-23.994273	 2.3091	2	1	22.95	   	Simbad
    3337	J041622.0-235932	064.091574	-23.992244	 0.4307	3	1	20.26	   	Simbad
    3338	J041658.6-235939	064.244134	-23.994323	 0.5116	3	1	22.29	   	Simbad
    3339	J041522.8-235918	063.845024	-23.988467	 0.3424	3	1	19.99	   	Simbad
    3340	J041638.8-235942	064.161665	-23.995040	 2.3779	3	1	23.47	1,R	Simbad
    3341	J041544.4-235935	063.935124	-23.993265	 0.0000	3	1	21.45	   	Simbad
    3342	J041527.3-235934	063.863695	-23.992991	 0.3961	3	3	21.45	   	Simbad
    3343	J041621.7-235930	064.090432	-23.991900	 0.3086	3	1	23.49	   	Simbad
    3344	J041701.5-235935	064.256308	-23.993279	 0.4975	2	2	21.92	   	Simbad
    3345	J041606.2-235943	064.026033	-23.995423	 0.6480	9	1	24.30	   	Simbad
    3346	J041638.4-235934	064.159942	-23.992992	 0.6371	3	2	22.28	   	Simbad
    3347	J041601.6-235941	064.006626	-23.994837	 0.2830	3	1	23.95	   	Simbad
    3348	J041647.2-235937	064.196846	-23.993710	 0.5375	3	1	23.08	   	Simbad
    3349	J041619.7-235939	064.082009	-23.994266	 0.3347	3	2	23.32	   	Simbad
    3350	J041609.9-235939	064.041060	-23.994207	 0.3961	9	1	24.46	   	Simbad
    3351	J041534.2-235929	063.892530	-23.991651	 0.2993	3	1	20.09	   	Simbad
    3352	J041627.1-235937	064.112784	-23.993629	 0.5487	3	1	22.63	   	Simbad
    3353	J041523.8-235936	063.849031	-23.993554	 0.3453	3	1	22.52	   	Simbad
    3354	J041704.7-235934	064.269469	-23.993026	 0.5467	9	1	23.69	   	Simbad
    3355	J041632.3-235927	064.134379	-23.991076	 0.4838	3	2	20.98	   	Simbad
    3356	J041641.9-235918	064.174398	-23.988421	 0.3853	3	3	22.74	   	Simbad
    3357	J041611.8-235927	064.048973	-23.990945	 0.7097	9	1	22.93	   	Simbad
    3358	J041539.6-235918	063.914920	-23.988368	 0.5121	3	1	21.44	   	Simbad
    3359	J041632.7-235932	064.136336	-23.992407	 0.3118	3	1	22.32	   	Simbad
    3360	J041650.4-235932	064.210043	-23.992308	 0.5492	3	1	22.48	   	Simbad
    3361	J041644.9-235930	064.187084	-23.991761	 0.2967	3	2	22.93	   	Simbad
    3362	J041654.5-235858	064.227024	-23.982800	 0.2999	3	2	18.84	   	Simbad
    3363	J041616.0-235933	064.066608	-23.992513	 0.2992	3	2	22.68	   	Simbad
    3364	J041629.8-235921	064.124075	-23.989333	 0.3098	3	1	20.59	   	Simbad
    3365	J041631.8-235927	064.132673	-23.991046	 0.3990	2	1	22.82	   	Simbad
    3366	J041627.8-235920	064.115656	-23.989091	 0.3099	3	1	21.02	   	Simbad
    3367	J041703.9-235929	064.266315	-23.991446	 0.4347	3	1	23.10	   	Simbad
    3368	J041649.0-235930	064.204279	-23.991691	 0.2983	3	1	22.42	   	Simbad
    3369	J041701.5-235927	064.256184	-23.990881	 0.5356	3	1	22.96	   	Simbad
    3370	J041622.6-235924	064.094284	-23.990088	 0.5659	3	2	20.97	   	Simbad
    3371	J041604.8-235930	064.019832	-23.991682	 0.6032	3	1	22.49	   	Simbad
    3372	J041541.4-235932	063.922620	-23.992312	 3.1994	2	1	24.30	   	Simbad
    3373	J041619.6-235928	064.081525	-23.991204	 0.0000	3	1	21.74	   	Simbad
    3374	J041621.3-235928	064.088955	-23.991144	 0.3982	2	1	23.16	   	Simbad
    3375	J041653.8-235923	064.224177	-23.989811	 0.4029	3	2	21.57	   	Simbad
    3376	J041610.7-235924	064.044488	-23.990186	 0.4668	3	1	21.13	   	Simbad
    3377	J041629.2-235903	064.121761	-23.984182	 0.4411	3	3	19.04	R  	Simbad
    3378	J041702.6-235921	064.260991	-23.989222	 0.5634	3	1	20.80	   	Simbad
    3379	J041651.0-235927	064.212546	-23.990890	 0.5160	3	1	22.60	   	Simbad
    3380	J041616.3-235917	064.067802	-23.988083	 0.4627	2	1	22.17	1  	Simbad
    3381	J041630.8-235906	064.128540	-23.985071	 0.4039	3	1	20.36	   	Simbad
    3382	J041621.4-235925	064.088981	-23.990371	 0.0000	3	1	21.38	   	Simbad
    3383	J041637.1-235926	064.154686	-23.990654	 0.4293	3	1	22.50	   	Simbad
    3384	J041536.2-235912	063.900632	-23.986829	 0.2997	9	1	23.19	   	Simbad
    3385	J041620.9-235921	064.087144	-23.989273	 0.3125	3	1	22.25	   	Simbad
    3386	J041555.2-235924	063.980063	-23.990240	 0.5652	3	1	23.48	   	Simbad
    3387	J041622.2-235917	064.092523	-23.988255	 0.4311	3	1	22.12	   	Simbad
    3388	J041658.8-235919	064.245150	-23.988758	 0.2357	3	1	21.09	   	Simbad
    3389	J041701.5-235924	064.256162	-23.990240	 0.5424	3	2	23.85	   	Simbad
    3390	J041637.6-235923	064.156785	-23.989974	 0.4111	3	1	22.81	   	Simbad
    3391	J041548.3-235921	063.951284	-23.989256	 0.6143	3	1	22.58	   	Simbad
    3392	J041642.6-235919	064.177657	-23.988783	 0.2638	3	1	22.44	   	Simbad
    3393	J041645.4-235917	064.189026	-23.988106	 0.5363	3	2	22.01	   	Simbad
    3394	J041528.3-235920	063.867843	-23.989103	 0.3182	3	1	21.99	   	Simbad
    3395	J041605.1-235922	064.021221	-23.989468	 0.2155	3	1	22.72	   	Simbad
    3396	J041516.6-235921	063.819210	-23.989302	 0.5425	3	1	22.82	   	Simbad
    3397	J041641.7-235912	064.173901	-23.986669	 0.0000	2	1	18.76	   	Simbad
    3398	J041608.1-235921	064.033897	-23.989238	 0.3358	3	1	22.24	   	Simbad
    3399	J041615.2-235922	064.063284	-23.989653	 0.0000	3	1	23.58	   	Simbad
    3400	J041528.3-235922	063.868034	-23.989554	 0.3190	3	1	24.31	   	Simbad
    3401	J041648.2-235919	064.200777	-23.988760	 0.5379	2	1	22.45	   	Simbad
    3402	J041632.1-235850	064.133923	-23.980764	 0.4005	3	1	20.04	   	Simbad
    3403	J041520.4-235919	063.834921	-23.988665	 0.5198	2	2	23.85	   	Simbad
    3404	J041541.7-235916	063.923836	-23.988006	 0.3559	3	1	22.46	2  	Simbad
    3405	J041616.8-235909	064.069821	-23.985888	 0.7578	2	1	21.52	   	Simbad
    3406	J041654.3-235918	064.226334	-23.988605	 0.5892	3	1	23.51	   	Simbad
    3407	J041645.4-235911	064.189164	-23.986521	 0.3938	3	2	21.92	   	Simbad
    3408	J041528.3-235912	063.867781	-23.986679	 0.5958	3	1	23.37	   	Simbad
    3409	J041522.6-235910	063.844078	-23.986252	 0.3418	3	1	21.28	   	Simbad
    3410	J041613.4-235916	064.055754	-23.987901	 0.6884	3	2	22.47	   	Simbad
    3411	J041554.2-235914	063.975632	-23.987357	 0.6390	3	1	22.95	   	Simbad
    3412	J041539.5-235917	063.914540	-23.988149	 0.3847	2	1	23.11	   	Simbad
    3413	J041650.6-235906	064.210961	-23.985125	 0.4020	3	3	21.06	   	Simbad
    3414	J041645.7-235913	064.190411	-23.987158	 0.5339	9	1	23.74	   	Simbad
    3415	J041703.0-235906	064.262362	-23.985174	 0.5506	3	1	24.10	   	Simbad
    3416	J041604.6-235915	064.019088	-23.987755	 0.5364	3	1	24.35	   	Simbad
    3417	J041655.6-235913	064.231779	-23.987043	 0.5093	3	1	23.35	   	Simbad
    3418	J041654.3-235906	064.226166	-23.985052	 0.5951	3	2	20.70	   	Simbad
    3419	J041553.0-235909	063.970673	-23.985961	 0.5227	3	1	22.55	   	Simbad
    3420	J041606.3-235909	064.026318	-23.985988	 0.6897	2	3	23.29	   	Simbad
    3421	J041640.8-235855	064.169851	-23.982210	 0.4026	3	1	20.07	   	Simbad
    3422	J041632.7-235905	064.136334	-23.984724	 0.4032	3	1	20.96	   	Simbad
    3423	J041658.9-235901	064.245503	-23.983763	 0.5138	3	1	21.22	   	Simbad
    3424	J041626.2-235907	064.109007	-23.985494	 0.4683	3	1	23.46	   	Simbad
    3425	J041647.7-235907	064.198820	-23.985545	 0.2685	2	1	23.16	   	Simbad
    3426	J041655.7-235822	064.231978	-23.973000	 0.5226	2	1	19.32	   	Simbad
    3427	J041650.9-235906	064.212254	-23.985196	 0.5376	2	1	23.21	   	Simbad
    3428	J041640.8-235900	064.170159	-23.983529	 0.4061	3	1	20.83	   	Simbad
    3429	J041653.8-235900	064.223972	-23.983473	 0.2990	3	2	22.20	   	Simbad
    3430	J041604.7-235905	064.019536	-23.984856	 0.3946	3	1	23.30	   	Simbad
    3431	J041539.2-235903	063.913494	-23.984250	 0.4587	3	1	23.13	   	Simbad
    3432	J041517.3-235900	063.822137	-23.983379	 0.5883	3	2	21.74	   	Simbad
