#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
     912	J151114.81+050750.7	1237655743483216220	227.811738	+05.130763	 0.0777	 0.0001	  9.70	 0.11	 1.62	 0.07	 83	 26	N	N	  0	  1	  1	Sloan	Simbad
     913	J151118.23+051228.1	1237655743483216226	227.825968	+05.207814	 0.0763	 0.0001	 10.31	 0.10	 1.57	 0.04	146	 12	S	N	  0	  1	  1	Sloan	Simbad
     914	J151119.43+051154.7	1237655743483216235	227.830975	+05.198540	 0.0805	 0.0000	 10.01	 0.04	 1.78	 0.04	 76	  7	N	N	  0	  1	  1	Sloan	Simbad
     915	J151101.00+051042.9	1237655743483216279	227.754194	+05.178599	 0.0812	 0.0001	  9.65	 0.16	 1.62	 0.05	 81	 17	N	N	  0	  1	  1	Sloan	Simbad
     916	J151129.76+051332.1	1237655743483281555	227.874004	+05.225584	 0.0797	 0.0001	  9.89	 0.07	 1.84	 0.05	 69	  9	N	N	  0	  1	  1	Sloan	Simbad
     917	J151145.70+051105.2	1237655743483281657	227.940448	+05.184798	 0.0807	 0.0000	 10.65	 0.08	 1.57	 0.05	115	 10	C	N	  0	  1	  1	Sloan	Simbad
     918	J151147.00+051232.8	1237655743483281763	227.945857	+05.209115	 0.0779	 0.0001	  9.61	 0.17	 1.71	 0.06	 37	 25	N	N	  0	  1	  1	Sloan	Simbad
     919	J150826.99+054426.6	1237655744019759835	227.112475	+05.740729	 0.0818	       	  8.24	 0.22	     	     	   	   	N	N	  1	  0	  1	Sloan	Simbad
     920	J150831.72+053942.5	1237655744019759908	227.132179	+05.661822	 0.0826	       	  8.30	 0.32	     	     	   	   	N	N	  1	  0	  1	Sloan	Simbad
     921	J150844.55+053951.5	1237655744019824798	227.185648	+05.664321	 0.0777	 0.0000	 10.29	 0.07	 1.85	 0.03	121	  6	N	N	  0	  1	  1	Sloan	Simbad
     922	J151323.49+053326.4	1237655744020349171	228.347898	+05.557355	 0.0756	 0.0000	 10.09	 0.08	 1.89	 0.04	160	  7	N	N	  0	  1	  1	Sloan	Simbad
     923	J151331.14+053436.5	1237655744020349186	228.379769	+05.576823	 0.0770	 0.0000	  9.98	 0.10	 1.72	 0.05	145	 11	N	N	  0	  1	  0	Sloan	Simbad
     924	J150852.41+060923.9	1237655744556695582	227.218388	+06.156654	 0.0775	 0.0000	 10.78	 0.07	 1.54	 0.02	124	  6	N	N	  0	  1	  1	Sloan	Simbad
     925	J150902.47+060825.4	1237655744556695811	227.260307	+06.140397	 0.0774	 0.0000	 10.48	 0.10	 1.64	 0.02	129	  5	A	N	  0	  1	  1	Sloan	Simbad
     926	J151313.97+055816.3	1237655744557154573	228.308206	+05.971214	 0.0772	 0.0001	 10.26	 0.04	 1.93	 0.05	194	  9	N	N	  0	  1	  1	Sloan	Simbad
     927	J151055.25+062421.6	1237662236411232548	227.730246	+06.406017	 0.0782	 0.0001	  9.82	 0.16	 1.93	 0.05	 47	 12	N	N	  0	  0	  1	Sloan	Simbad
     928	J151051.05+062447.0	1237662236411233170	227.712720	+06.413072	 0.0814	 0.0002	  8.62	 0.18	 1.43	 0.10	 97	 55	N	N	  0	  0	  1	Sloan	Simbad
     929	J151117.64+062213.3	1237662236411297873	227.823512	+06.370361	 0.0829	 0.0000	 10.43	 0.13	 1.95	 0.04	173	  6	N	N	  1	  0	  1	Sloan	Simbad
     930	J151116.94+062135.7	1237662236411297876	227.820584	+06.359941	 0.0815	 0.0001	      	 0.00	 1.80	 0.05	 85	 13	N	N	  0	  0	  1	Sloan	Simbad
     931	J151103.97+062237.9	1237662236411298028	227.766541	+06.377209	 0.0827	 0.0001	 10.33	 0.10	 1.95	 0.07	173	 12	N	N	  0	  1	  1	Sloan	Simbad
     932	J151105.26+062242.9	1237662236411298037	227.771944	+06.378600	 0.0801	 0.0001	 10.07	 0.10	 1.94	 0.05	 85	  9	N	N	  0	  0	  1	Sloan	Simbad
     933	J151105.52+062149.2	1237662236411298043	227.773013	+06.363684	 0.0813	 0.0000	 10.87	 0.06	 2.02	 0.03	245	  7	N	N	  0	  1	  1	Sloan	Simbad
     934	J151111.12+062202.7	1237662236411298058	227.796361	+06.367433	 0.0787	 0.0001	  9.87	 0.09	 1.90	 0.04	111	  7	N	N	  0	  0	  1	Sloan	Simbad
     935	J151116.30+062353.6	1237662236411298077	227.817934	+06.398235	 0.0825	 0.0000	 11.24	 0.16	 2.00	 0.02	259	  5	N	N	  0	  1	  1	Sloan	Simbad
     936	J151128.50+062145.8	1237662236411298145	227.868757	+06.362721	 0.0819	 0.0001	  9.37	 0.06	 1.86	 0.06	 73	 17	N	N	  0	  0	  1	Sloan	Simbad
     937	J151125.31+062355.2	1237662236411298220	227.855497	+06.398683	 0.0821	 0.0001	 10.20	 0.16	 2.06	 0.08	199	 15	N	N	  0	  1	  1	Sloan	Simbad
     938	J151131.45+062225.8	1237662236411298257	227.881065	+06.373836	 0.0819	 0.0000	 10.49	 0.15	 2.07	 0.04	206	  7	N	N	  0	  1	  1	Sloan	Simbad
     939	J151132.39+062344.3	1237662236411298260	227.884985	+06.395653	 0.0808	 0.0001	 10.44	 0.14	 2.10	 0.04	188	  6	A	N	  0	  0	  1	Sloan	Simbad
     940	J151134.14+062321.2	1237662236411298267	227.892278	+06.389231	 0.0778	 0.0001	 10.13	 0.13	 1.88	 0.04	 72	  9	N	N	  0	  1	  1	Sloan	Simbad
     941	J151125.19+062215.7	1237662236411298381	227.854989	+06.371029	 0.0791	 0.0001	  9.53	 0.17	 2.00	 0.06	 80	 11	N	N	  0	  0	  1	Sloan	Simbad
     942	J151132.09+062318.1	1237662236411298401	227.883740	+06.388361	 0.0822	 0.0001	  9.84	 0.10	 1.95	 0.09	107	 14	N	N	  0	  0	  1	Sloan	Simbad
     943	J151112.55+062305.5	1237662236411298655	227.802329	+06.384879	 0.0804	 0.0002	  9.49	 0.15	 1.80	 0.13	 22	   	N	N	  0	  0	  1	Sloan	Simbad
     944	J151123.44+062328.0	1237662236411298780	227.847678	+06.391135	 0.0802	 0.0002	  9.21	 0.16	 1.54	 0.11	 53	 55	S	N	  0	  0	  1	Sloan	Simbad
     945	J151124.11+062404.9	1237662236411298784	227.850482	+06.401361	 0.0816	 0.0001	  9.37	 0.16	 1.83	 0.12	 75	 33	N	N	  0	  0	  1	Sloan	Simbad
     946	J151132.20+062245.3	1237662236411298900	227.884173	+06.379269	 0.0766	 0.0001	  9.72	 0.15	 1.76	 0.28	 25	602	N	N	  0	  0	  1	Sloan	Simbad
     947	J151133.46+062231.6	1237662236411298914	227.889439	+06.375450	 0.0795	 0.0002	  9.35	 0.15	 1.49	 0.07	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     948	J151137.91+062151.7	1237662236411363375	227.907964	+06.364373	 0.0815	 0.0002	  9.17	 0.06	 1.77	 0.11	 76	 39	N	N	  0	  0	  1	Sloan	Simbad
     949	J151149.33+062143.1	1237662236411363654	227.955577	+06.361999	 0.0771	 0.0001	 10.71	 0.10	 1.95	 0.05	278	 13	N	N	  0	  1	  1	Sloan	Simbad
     950	J151149.36+062157.2	1237662236411363655	227.955669	+06.365898	 0.0766	 0.0000	 10.45	 0.16	 1.96	 0.03	146	  6	N	N	  0	  1	  1	Sloan	Simbad
     951	J151154.56+062241.6	1237662236411363694	227.977357	+06.378248	 0.0793	 0.0001	 10.45	 0.07	 1.48	 0.03	 94	 13	S	N	  1	  1	  1	Sloan	Simbad
     952	J151200.11+062035.8	1237662236411363746	228.000477	+06.343290	 0.0801	 0.0001	 10.81	 0.08	 2.04	 0.05	161	  8	N	N	  0	  1	  1	Sloan	Simbad
     953	J151135.94+062320.0	1237662236411363795	227.899777	+06.388897	 0.0829	 0.0001	  9.97	 0.08	 1.91	 0.07	 90	 14	N	N	  0	  0	  1	Sloan	Simbad
     954	J151137.01+062315.3	1237662236411364048	227.904238	+06.387588	 0.0767	 0.0001	  9.52	 0.14	 1.41	 0.11	114	 35	N	N	  0	  0	  1	Sloan	Simbad
     955	J151139.84+062301.5	1237662236411364080	227.916035	+06.383771	 0.0810	 0.0002	  8.89	 0.17	 1.82	 0.19	 69	 51	N	N	  0	  0	  1	Sloan	Simbad
     956	J151214.64+062017.0	1237662236411428894	228.061022	+06.338060	 0.0807	 0.0000	 10.83	 0.08	 1.77	 0.03	133	  5	N	N	  0	  1	  1	Sloan	Simbad
     957	J150858.96+053008.7	1237662267536900404	227.245682	+05.502438	 0.0758	 0.0001	 10.47	 0.14	 1.79	 0.05	165	 11	N	N	  0	  1	  1	Sloan	Simbad
     958	J150859.10+052143.3	1237662267536900417	227.246252	+05.362035	 0.0784	 0.0000	 10.73	 0.07	 1.66	 0.04	139	  9	C	N	  0	  1	  1	Sloan	Simbad
     959	J150911.58+052313.0	1237662267536965807	227.298249	+05.386971	 0.0752	 0.0001	  9.32	 0.05	 1.31	 0.04	 30	 46	S	N	  0	  1	  1	Sloan	Simbad
     960	J150919.24+052059.1	1237662267536966472	227.330206	+05.349754	 0.0743	 0.0000	  8.99	 0.12	 1.32	 0.08	287	 76	S	N	  0	  1	  1	Sloan	Simbad
     961	J151231.66+051854.0	1237662267537293633	228.131930	+05.315001	 0.0757	 0.0000	 10.79	 0.07	 2.02	 0.03	212	  5	N	N	  0	  1	  1	Sloan	Simbad
     962	J151239.95+052013.6	1237662267537293664	228.166497	+05.337134	 0.0812	 0.0000	 10.64	 0.08	 1.26	 0.01	107	  9	S	N	  0	  1	  1	Sloan	Simbad
     963	J151226.76+052028.6	1237662267537294241	228.111526	+05.341289	 0.0754	 0.0001	  9.47	 0.16	 1.58	 0.09	121	 34	N	N	  0	  1	  1	Sloan	Simbad
     964	J151250.33+052534.8	1237662267537359126	228.209730	+05.426334	 0.0764	 0.0001	 10.02	 0.11	 1.92	 0.04	154	  8	N	N	  0	  1	  1	Sloan	Simbad
     965	J151248.04+052634.9	1237662267537359534	228.200204	+05.443052	 0.0797	 0.0001	  9.09	 0.15	 1.23	 0.08	430	147	S	N	  0	  1	  1	Sloan	Simbad
     966	J150832.53+055034.8	1237662268073705646	227.135568	+05.843026	 0.0787	 0.0001	 11.05	 0.04	     	     	   	   	N	N	  0	  1	  1	Sloan	Simbad
     967	J150831.76+055042.2	1237662268073705649	227.132363	+05.845066	 0.0773	 0.0000	 10.53	 0.07	 1.78	 0.02	167	  6	N	N	  0	  1	  1	Sloan	Simbad
     968	J150833.77+055016.2	1237662268073705651	227.140714	+05.837849	 0.0774	 0.0000	 10.28	 0.18	 1.89	 0.04	124	  6	N	N	  0	  1	  1	Sloan	Simbad
     969	J150834.72+055747.2	1237662268073705843	227.144702	+05.963129	 0.0773	 0.0000	 10.30	 0.07	 1.63	 0.06	 70	 10	C	N	  0	  1	  1	Sloan	Simbad
     970	J150848.78+055911.0	1237662268073771264	227.203256	+05.986406	 0.0782	 0.0000	 10.26	 0.13	 1.94	 0.04	165	  7	N	N	  0	  1	  1	Sloan	Simbad
     971	J150945.30+061313.3	1237662268610707519	227.438780	+06.220387	 0.0763	 0.0001	 10.89	 0.08	 1.98	 0.05	163	  8	N	N	  1	  1	  1	Sloan	Simbad
     972	J150934.88+061509.1	1237662268610707623	227.395365	+06.252541	 0.0764	 0.0000	 10.71	 0.09	 2.06	 0.03	221	  5	N	N	  1	  1	  1	Sloan	Simbad
     973	J150938.16+061543.9	1237662268610707634	227.409004	+06.262200	 0.0769	 0.0001	  9.90	 0.15	 2.15	 0.08	111	 12	N	N	  0	  1	  1	Sloan	Simbad
     974	J151024.50+061939.3	1237662268610773344	227.602105	+06.327603	 0.0817	 0.0001	  9.81	 0.10	 1.96	 0.05	 98	 12	N	N	  0	  0	  1	Sloan	Simbad
     975	J151016.24+061905.6	1237662268610773622	227.567687	+06.318223	 0.0816	 0.0002	  9.24	 0.12	 1.47	 0.11	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     976	J151007.04+061919.7	1237662268610773856	227.529347	+06.322144	 0.0774	 0.0003	  9.38	 0.13	 1.58	 0.18	 59	110	N	N	  0	  1	  1	Sloan	Simbad
     977	J151059.21+062008.7	1237662268610838893	227.746724	+06.335763	 0.0820	 0.0001	 10.88	 0.05	 2.09	 0.06	148	  9	N	N	  1	  1	  1	Sloan	Simbad
     978	J151103.76+061854.4	1237662268610838935	227.765698	+06.315136	 0.0816	 0.0001	 10.31	 0.13	 2.07	 0.04	135	  6	N	N	  1	  1	  1	Sloan	Simbad
     979	J151040.09+061838.1	1237662268610839359	227.667063	+06.310604	 0.0744	 0.0000	  8.13	 0.22	 1.18	 0.11	976	  5	S	N	  0	  1	  1	Sloan	Simbad
     980	J151119.06+062118.5	1237662268610904100	227.829450	+06.355157	 0.0793	 0.0001	  8.93	 0.06	 1.64	 0.07	 81	 21	N	N	  0	  0	  1	Sloan	Simbad
     981	J151136.59+061859.2	1237662268610904211	227.902487	+06.316466	 0.0810	 0.0001	 10.11	 0.10	 1.84	 0.06	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     982	J151116.05+061940.5	1237662268610904273	227.816880	+06.327940	 0.0809	 0.0001	  9.29	 0.07	 1.54	 0.06	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     983	J151121.39+061845.0	1237662268610904319	227.839160	+06.312505	 0.0803	 0.0000	  9.97	 0.07	 1.86	 0.05	126	  8	N	N	  0	  1	  1	Sloan	Simbad
     984	J151126.51+062056.6	1237662268610904331	227.860464	+06.349078	 0.0810	 0.0000	 11.61	 0.04	 1.95	 0.02	306	  6	A	N	  1	  1	  1	Sloan	Simbad
     985	J151126.00+062001.7	1237662268610904332	227.858331	+06.333813	 0.0801	 0.0001	 10.00	 0.17	 2.00	 0.04	164	  6	N	N	  0	  1	  1	Sloan	Simbad
     986	J151125.87+062032.0	1237662268610904333	227.857793	+06.342223	 0.0806	 0.0001	 10.23	 0.13	 1.98	 0.04	123	  6	N	N	  0	  0	  1	Sloan	Simbad
     987	J151126.00+061756.2	1237662268610904444	227.858342	+06.298950	 0.0825	 0.0001	 10.43	 0.16	 2.13	 0.04	229	  5	N	N	  0	  1	  1	Sloan	Simbad
     988	J151127.20+061817.3	1237662268610904452	227.863359	+06.304815	 0.0813	 0.0001	  9.74	 0.13	 1.99	 0.08	130	 17	N	N	  0	  1	  1	Sloan	Simbad
     989	J151134.96+061956.2	1237662268610904488	227.895674	+06.332277	 0.0824	 0.0000	 10.76	 0.08	 1.99	 0.03	264	  7	N	N	  0	  1	  1	Sloan	Simbad
     990	J151134.96+061947.7	1237662268610904489	227.895693	+06.329931	 0.0831	 0.0001	  9.33	 0.14	 1.76	 0.06	 51	 21	N	N	  0	  0	  1	Sloan	Simbad
     991	J151135.30+062101.9	1237662268610904495	227.897096	+06.350551	 0.0818	 0.0001	 10.48	 0.14	 2.09	 0.04	230	  5	N	N	  0	  1	  1	Sloan	Simbad
     992	J151141.69+062038.9	1237662268610904571	227.923742	+06.344145	 0.0797	 0.0001	 10.23	 0.09	 2.05	 0.09	154	 15	N	N	  1	  1	  1	Sloan	Simbad
     993	J151143.07+061752.6	1237662268610904578	227.929487	+06.297943	 0.0799	 0.0000	 10.68	 0.16	 1.90	 0.02	228	  6	N	N	  0	  1	  1	Sloan	Simbad
     994	J151132.68+061906.5	1237662268610905204	227.886180	+06.318482	 0.0782	 0.0002	  8.62	 0.16	 1.65	 0.12	 22	 76	N	N	  0	  0	  1	Sloan	Simbad
     995	J151132.76+061759.8	1237662268610905210	227.886511	+06.299943	 0.0804	 0.0002	  9.31	 0.18	 1.97	 0.20	129	 46	N	N	  0	  0	  1	Sloan	Simbad
     996	J151157.76+061841.5	1237662268610969851	227.990704	+06.311528	 0.0772	 0.0001	  9.78	 0.16	 1.77	 0.05	 58	 17	N	N	  0	  0	  1	Sloan	Simbad
     997	J151200.15+061649.0	1237662268610969876	228.000638	+06.280290	 0.0819	 0.0001	 10.32	 0.06	 1.70	 0.10	 44	 34	N	N	  0	  1	  1	Sloan	Simbad
     998	J151209.27+061838.8	1237662268610969941	228.038661	+06.310782	 0.0749	 0.0000	 10.41	 0.12	 1.99	 0.03	154	  5	N	N	  0	  1	  1	Sloan	Simbad
     999	J151209.51+061731.5	1237662268610969948	228.039642	+06.292108	 0.0801	 0.0000	 10.43	 0.09	 2.04	 0.04	213	  8	N	N	  0	  1	  1	Sloan	Simbad
    1000	J151220.24+061755.5	1237662268610969990	228.084368	+06.298767	 0.0813	 0.0000	 10.53	 0.14	 1.93	 0.04	127	  6	N	N	  0	  1	  1	Sloan	Simbad
    1001	J151226.51+061100.4	1237662268611035402	228.110483	+06.183466	 0.0788	 0.0001	 10.10	 0.15	 1.87	 0.07	 54	 21	N	N	  0	  1	  1	Sloan	Simbad
    1002	J151228.01+061459.1	1237662268611035407	228.116728	+06.249760	 0.0806	 0.0001	  9.97	 0.11	 1.64	 0.08	 61	 34	N	N	  0	  1	  1	Sloan	Simbad
    1003	J151228.42+061207.6	1237662268611035413	228.118452	+06.202135	 0.0791	 0.0001	  9.93	 0.12	 1.82	 0.05	 62	 14	N	N	  0	  1	  1	Sloan	Simbad
    1004	J151244.78+061044.9	1237662268611035524	228.186588	+06.179161	 0.0779	 0.0001	 10.70	 0.16	 2.01	 0.05	143	  8	N	N	  0	  1	  1	Sloan	Simbad
    1005	J150922.35+051238.8	1237655743483019587	227.343160	+05.210804	 0.0751	 0.0002	 10.33	 0.07	 1.84	 0.09	 68	 28	N	N	  0	  1	  0	Sloan	Simbad
    1006	J151140.76+050547.8	1237655743483281630	227.919864	+05.096634	 0.0791	 0.0000	 10.08	 0.08	 1.36	 0.04	 41	 20	S	N	  0	  1	  0	Sloan	Simbad
    1007	J151338.60+053203.3	1237655744020349249	228.410844	+05.534261	 0.0806	 0.0000	 10.23	 0.15	 1.77	 0.02	 99	  5	N	N	  0	  1	  0	Sloan	Simbad
    1008	J150841.96+060818.9	1237655744556630326	227.174853	+06.138595	 0.0796	 0.0000	 10.65	 0.10	 1.79	 0.04	145	  9	A	N	  0	  1	  1	Sloan	Simbad
    1009	J151002.90+062351.7	1237662236411167101	227.512119	+06.397709	 0.0817	 0.0001	 10.08	 0.16	 1.67	 0.08	119	 25	N	N	  1	  1	  1	Sloan	Simbad
    1010	J151031.03+062636.0	1237662236411232596	227.629322	+06.443358	 0.0794	 0.0001	  9.67	 0.15	 1.27	 0.03	 91	 19	S	N	  0	  0	  0	Sloan	Simbad
    1011	J151129.83+062623.1	1237662236411298234	227.874320	+06.439763	 0.0755	 0.0000	  9.87	 0.13	 1.29	 0.02	 46	 11	C	N	  0	  1	  0	Sloan	Simbad
    1012	J151134.72+062557.6	1237662236411298263	227.894685	+06.432682	 0.0819	 0.0001	 10.11	 0.09	 1.96	 0.06	178	 15	N	N	  1	  1	  0	Sloan	Simbad
    1013	J151137.39+062742.5	1237662236411298272	227.905823	+06.461828	 0.0809	 0.0000	 10.51	 0.07	 1.76	 0.08	 85	 12	N	N	  1	  1	  0	Sloan	Simbad
    1014	J151129.67+062747.7	1237662236411298383	227.873640	+06.463271	 0.0795	 0.0001	  9.60	 0.17	 1.69	 0.04	 37	 79	N	N	  0	  0	  0	Sloan	Simbad
    1015	J151107.99+063024.5	1237662236411298577	227.783298	+06.506810	 0.0770	 0.0001	  9.89	 0.10	 1.49	 0.05	 49	 35	N	N	  0	  1	  0	Sloan	Simbad
    1016	J151149.62+062410.9	1237662236411363639	227.956759	+06.403037	 0.0823	 0.0001	 10.22	 0.11	 2.02	 0.04	125	  6	N	N	  0	  0	  0	Sloan	Simbad
    1017	J151152.63+062403.0	1237662236411363672	227.969322	+06.400838	 0.0805	 0.0001	 10.33	 0.10	 1.85	 0.04	 90	  9	N	N	  0	  1	  0	Sloan	Simbad
    1018	J151228.99+061959.5	1237662236411429113	228.120817	+06.333202	 0.0797	 0.0001	 10.09	 0.11	 1.74	 0.09	 49	 27	N	N	  0	  1	  0	Sloan	Simbad
    1019	J151235.18+062216.6	1237662236411429126	228.146596	+06.371292	 0.0808	 0.0001	 10.48	 0.09	 1.98	 0.07	 96	 14	N	N	  0	  1	  0	Sloan	Simbad
    1020	J151236.43+062029.8	1237662236411429271	228.151792	+06.341620	 0.0820	 0.0001	 10.00	 0.15	 2.02	 0.12	 84	 22	N	N	  0	  0	  0	Sloan	Simbad
    1021	J151219.03+062501.0	1237662236411429526	228.079305	+06.416946	 0.0766	 0.0001	  7.87	 0.16	 1.36	 0.08	267	 92	N	N	  0	  0	  0	Sloan	Simbad
    1022	J150833.61+061118.5	1237662262174679259	227.140057	+06.188493	 0.0778	 0.0000	 11.70	 0.08	 2.01	 0.02	290	  5	N	N	  0	  1	  0	Sloan	Simbad
    1023	J150837.40+061117.8	1237662262174679260	227.155843	+06.188295	 0.0769	 0.0000	 10.65	 0.04	 1.99	 0.03	186	  6	N	N	  0	  1	  0	Sloan	Simbad
    1024	J151132.67+050448.0	1237662267000357087	227.886130	+05.080009	 0.0784	 0.0001	  9.66	 0.10	 1.24	 0.04	979	  4	S	N	  0	  1	  0	Sloan	Simbad
    1025	J150824.61+053202.8	1237662267536834906	227.102543	+05.534123	 0.0785	 0.0000	 10.57	 0.09	 1.95	 0.04	139	  6	N	N	  0	  1	  1	Sloan	Simbad
    1026	J150835.36+052544.2	1237662267536900266	227.147363	+05.428947	 0.0783	 0.0001	 10.14	 0.18	 1.93	 0.06	106	 12	N	N	  0	  1	  0	Sloan	Simbad
    1027	J151330.94+052624.6	1237662267537424436	228.378935	+05.440181	 0.0764	 0.0000	 11.08	 0.09	 1.93	 0.02	263	  5	N	N	  0	  1	  0	Sloan	Simbad
    1028	J151359.09+054701.5	1237662268074295773	228.496239	+05.783765	 0.0760	 0.0000	  9.83	 0.06	 1.68	 0.08	 35	 11	N	N	  0	  1	  0	Sloan	Simbad
    1029	J151354.25+054717.6	1237662268074296503	228.476065	+05.788227	 0.0817	       	      	 0.00	     	     	   	   	N	N	  1	  0	  0	Sloan	Simbad
    1030	J150935.76+062243.0	1237662268610707903	227.399038	+06.378628	 0.0810	 0.0001	  8.71	 0.20	 2.15	 1.03	 22	  0	N	N	  0	  0	  0	Sloan	Simbad
    1031	J151249.44+061842.2	1237662268611035531	228.205998	+06.311740	 0.0783	 0.0000	 10.71	 0.12	 2.03	 0.03	241	  6	N	N	  1	  1	  0	Sloan	Simbad
    1032	J151322.04+061048.1	1237662268611101886	228.341844	+06.180041	 0.0771	 0.0002	  8.12	 0.21	 1.12	 0.08	383	161	N	N	  0	  0	  0	Sloan	Simbad
    1033	J150855.67+051109.7	1237655743482954054	227.231979	+05.186040	 0.0764	 0.0000	 10.11	 0.09	 1.67	 0.05	 67	  9	N	N	  0	  1	  0	Sloan	Simbad
    1034	J151246.44+050858.6	1237655743483412560	228.193500	+05.149633	 0.0782	 0.0000	 10.12	 0.09	 1.32	 0.03	 65	 11	S	N	  0	  1	  0	Sloan	Simbad
    1035	J151259.96+051153.5	1237655743483412768	228.249855	+05.198202	 0.0808	 0.0000	 10.12	 0.11	 1.90	 0.06	137	  9	N	N	  0	  1	  0	Sloan	Simbad
    1036	J150751.51+054719.6	1237655744019693859	226.964650	+05.788797	 0.0806	 0.0000	 10.24	 0.08	 1.54	 0.04	106	 12	S	N	  0	  1	  0	Sloan	Simbad
    1037	J151351.95+052915.6	1237655744020349050	228.466467	+05.487692	 0.0807	 0.0000	 10.71	 0.16	 2.09	 0.03	193	  6	N	N	  0	  1	  0	Sloan	Simbad
    1038	J150807.49+060718.9	1237655744556630151	227.031227	+06.121935	 0.0775	 0.0000	 10.03	 0.11	 1.55	 0.04	 81	  8	N	N	  0	  1	  0	Sloan	Simbad
    1039	J150953.05+062846.1	1237662236411167061	227.471080	+06.479492	 0.0805	 0.0000	 10.42	 0.10	 1.59	 0.07	 51	 12	C	N	  0	  1	  0	Sloan	Simbad
    1040	J151031.35+063206.4	1237662236411232893	227.630658	+06.535129	 0.0773	 0.0001	  8.93	 0.17	 1.80	 0.12	 37	 46	N	N	  0	  0	  0	Sloan	Simbad
    1041	J151122.90+063043.9	1237662236411297916	227.845433	+06.512213	 0.0762	 0.0000	 10.14	 0.11	 1.34	 0.03	 67	 12	S	N	  0	  1	  0	Sloan	Simbad
