#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:38:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:38:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/196/11/table3&-out=**&-out.max=unlimited&-c=227.7337%20%2B5.7444&-c.rm=110	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=227.733700+05.744400,rm=110.	
#Constraint -c.rm=110

#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	creator=Simard L.	    First author or institution
#INFO	cites=bibcode:2011ApJS..196...11S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/196/11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21960011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-04-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_196_11_table3:
#Name: J/ApJS/196/11/table3
#Title: SDSS structural parameters from pure Sersic decompositions
#Column	_r	(F8.4)	Distance from center (227.73370+05.74440)[FK5/J2000]	[ucd=pos.angDistance]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I18)	SDSS object identifier	[ucd=meta.id]
#Column	z	(F6.4)	? SDSS redshift (spectroscopic if available or photometric ("-1" in "Sp")	[ucd=src.redshift]
#Column	Sp	(I2)	[-2/6] SDSS SpecClass value (G1)	[ucd=meta.code.class]
#Column	Scale	(F7.3)	? Physical scale at redshift z	[ucd=instr.scale]
#Column	Vmax	(F10.3)	? Galaxy volume correction (Eq. 7)	[ucd=arith.factor]
#Column	gg2d	(F6.2)	? GIM2D pure Sersic model g-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_gg2d	(F6.2)	? Uncertainty in gg2d	[ucd=phot.mag;meta.modelled]
#Column	rg2d	(F6.2)	? GIM2D pure Sersic model r-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_rg2d	(F6.2)	? Uncertainty in rg2d	[ucd=phot.mag;meta.modelled]
#Column	gg2df	(F6.2)	? GIM2D pure Sersic model g-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	rg2df	(F6.2)	? GIM2D pure Sersic model r-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	dCol	(F6.2)	[-4.95,+5.73]? Delta fiber color (G2)	[ucd=phot.mag]
#Column	Rhlg	(F6.2)	? g-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rhlr	(F6.2)	? r-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rchl_g	(F7.2)	[-336,284] g-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	Rchl_r	(F7.2)	[-336,284] r-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	e	(F6.2)	? Galaxy ellipticiy (G3)	[ucd=src.ellipticity]
#Column	e_e	(F6.2)	? Uncertainty in e	[ucd=stat.error]
#Column	phi	(F7.2)	[-360,360] Galaxy position angle (G4)	[ucd=pos.posAng]
#Column	e_phi	(F6.2)	? Uncertainty in phi	[ucd=stat.error]
#Column	(dx)g	(F6.2)	[-42,32]? g-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)g	(F6.2)	? Uncertainty in (dx)g	[ucd=stat.error]
#Column	(dy)g	(F6.2)	[-38,30]? g-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)g	(F6.2)	? Uncertainty in (dy)g	[ucd=stat.error]
#Column	(dx)r	(F6.2)	[-31,30]? r-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)r	(F6.2)	? Uncertainty in (dx)r	[ucd=stat.error]
#Column	(dy)r	(F6.2)	[-38,30]? r-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)r	(F6.2)	? Uncertainty in (dy)r	[ucd=stat.error]
#Column	S2g	(F6.2)	[-89,98]? g-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	S2r	(F6.2)	[-75,99]? r-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	ggMag	(F6.2)	[-37,7]? Absolute, rest-frame g-band GIM2D galaxy magnitude (Eq. 3a)	[ucd=phys.magAbs]
#Column	e_ggMag	(F6.2)	? Uncertainty in ggMag	[ucd=stat.error;phot.mag]
#Column	rgMag	(F6.2)	[-36,6]? Absolute, rest-frame r-band GIM2D galaxy magnitude (Eq. 3b)	[ucd=phys.magAbs]
#Column	e_rgMag	(F6.2)	? Uncertainty in rgMag	[ucd=stat.error;phot.mag]
#Column	ng	(F6.2)	[0,8]? Galaxy Sersic index	[ucd=stat.fit.param]
#Column	e_ng	(F6.2)	? Uncertainty in ng	[ucd=stat.error]
#Column	All	(A3)	Display all results from the 3 models	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7 catalog (II/294)	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (declination part)	[ucd=pos.eq.dec;meta.main]
_r	recno	objID	z	Sp	Scale	Vmax	gg2d	e_gg2d	rg2d	e_rg2d	gg2df	rg2df	dCol	Rhlg	Rhlr	Rchl_g	Rchl_r	e	e_e	phi	e_phi	(dx)g	e_(dx)g	(dy)g	e_(dy)g	(dx)r	e_(dx)r	(dy)r	e_(dy)r	S2g	S2r	ggMag	e_ggMag	rgMag	e_rgMag	ng	e_ng	All	Sloan	DR7	_RA	_DE
 44.6722	  478486	587736546849391039	0.1692	-1	  2.887	   220.203	 18.98	  0.03	 17.82	  0.04	 19.82	 18.61	      	  3.60	  3.60	   3.72	   3.72	  0.01	  0.02	  89.69	 17.77	  0.22	  0.02	  0.45	  0.03	  0.41	  0.01	  0.37	  0.02	  0.05	  0.05	-21.33	  0.03	-22.04	  0.04	  5.11	  0.40	All	Sloan	DR7	228.47941	+05.80676
 44.4152	  478487	587736546849391055	0.1826	 2	  3.070	   372.519	 18.70	  0.04	 17.46	  0.03	 19.58	 18.34	  0.05	  3.66	  3.66	   3.90	   3.90	  0.08	  0.03	  52.87	 15.10	  0.57	  0.02	  0.50	  0.02	  0.54	  0.01	  0.51	  0.01	  0.02	  0.04	-21.84	  0.04	-22.60	  0.03	  7.95	  0.18	All	Sloan	DR7	228.47657	+05.70434
 45.5824	  478488	587736546849391070	0.0760	 2	  1.442	    37.235	 17.77	  0.04	 16.94	  0.04	 20.18	 19.36	 -0.02	 14.63	 14.63	  14.37	  14.37	  0.04	  0.06	 148.07	 56.05	  0.41	  0.04	  0.21	  0.06	  0.23	  0.04	  0.51	  0.04	  0.06	  0.05	-20.25	  0.04	-20.93	  0.04	  4.52	  0.38	All	Sloan	DR7	228.49624	+05.78376
 45.7336	  478489	587736546849391092	0.1867	-1	  3.124	   295.500	 19.03	  0.06	 17.80	  0.06	 19.86	 18.62	      	  4.99	  4.99	   3.91	   3.91	  0.52	  0.03	  96.20	  1.51	  0.34	  0.02	  0.47	  0.02	  0.34	  0.02	  0.48	  0.01	  0.00	  0.00	-21.61	  0.06	-22.34	  0.06	  5.69	  0.63	All	Sloan	DR7	228.49690	+05.67892
 51.6991	  478490	587736546849456247	0.1401	-1	  2.469	   148.834	 18.79	  0.03	 17.88	  0.03	 19.54	 18.58	      	  3.99	  3.99	   3.09	   3.09	  0.47	  0.01	  85.41	  1.34	  0.51	  0.04	  0.26	  0.03	  0.34	  0.03	  0.44	  0.01	  0.04	  0.05	-20.83	  0.03	-21.49	  0.03	  1.08	  0.09	All	Sloan	DR7	228.59631	+05.82119
 53.5398	  478491	587736546849456308	0.0510	 2	  0.996	   172.309	 16.05	  0.00	 15.24	  0.00	 17.80	 16.95	  0.04	  6.75	  6.75	   5.60	   5.60	  0.35	  0.01	 141.99	  0.49	  0.51	  0.00	  0.30	  0.00	  0.37	  0.01	  0.46	  0.00	  0.15	  0.13	-21.02	  0.00	-21.71	  0.00	  5.91	  0.05	All	Sloan	DR7	228.62972	+05.78319
 53.3769	  478492	587736546849456309	0.0832	-1	  1.564	   524.497	 16.39	  0.00	 15.46	  0.00	 18.04	 17.10	      	  7.72	  7.72	   5.80	   5.80	  0.50	  0.00	 113.74	  0.05	  0.53	  0.00	  0.43	  0.00	  0.40	  0.00	  0.64	  0.01	  0.09	  0.08	-21.91	  0.00	-22.64	  0.00	  3.05	  0.03	All	Sloan	DR7	228.62734	+05.77369
 50.0693	  478493	587736546849456416	0.0418	-1	  0.826	     4.200	 18.36	  0.03	 17.91	  0.04	 19.67	 19.20	      	  2.45	  2.45	   1.78	   1.78	  0.55	  0.01	  83.02	  1.10	  0.42	  0.04	  0.68	  0.02	  0.39	  0.03	  0.57	  0.02	  0.10	  0.09	-18.22	  0.03	-18.63	  0.04	  1.25	  0.08	All	Sloan	DR7	228.57005	+05.68263
 51.6277	  478494	587736546849456455	0.0777	 2	  1.470	    55.717	 18.06	  0.02	 17.09	  0.02	 18.84	 17.87	  0.02	  2.21	  2.21	   1.54	   1.54	  0.68	  0.01	  78.84	  0.52	  0.58	  0.02	  0.24	  0.01	  0.55	  0.01	  0.57	  0.01	  0.09	  0.09	-20.07	  0.02	-20.86	  0.02	  4.72	  0.20	All	Sloan	DR7	228.59796	+05.71465
 53.8467	  478495	587736546849456505	0.1771	 2	  2.995	   517.087	 18.31	  0.04	 17.14	  0.03	 19.74	 18.56	 -0.02	  8.96	  8.96	   8.47	   8.47	  0.12	  0.02	 129.70	  7.14	  0.53	  0.03	  0.22	  0.03	  0.24	  0.02	  0.57	  0.02	  0.12	  0.12	-22.06	  0.04	-22.83	  0.03	  3.05	  0.16	All	Sloan	DR7	228.63188	+05.66291
 54.3448	  478496	587736546849456511	0.1648	-1	  2.825	   221.846	 18.85	  0.04	 17.96	  0.03	 19.75	 18.83	      	  4.43	  4.43	   4.15	   4.15	  0.15	  0.13	  69.83	 26.63	  0.23	  0.05	  0.53	  0.05	  0.49	  0.03	  0.30	  0.03	  0.14	  0.16	-21.17	  0.04	-21.78	  0.03	  1.10	  0.09	All	Sloan	DR7	228.64267	+05.79432
 57.2445	  478497	587736546849521883	0.2712	-1	  4.148	   817.014	 19.56	  0.05	 17.97	  0.05	 20.62	 19.01	      	 11.63	 11.63	   7.74	   7.74	  0.68	  0.02	 177.91	  1.42	  0.32	  0.03	  0.33	  0.06	  0.38	  0.02	  0.61	  0.03	  0.00	  0.03	-22.26	  0.05	-23.23	  0.05	  2.91	  0.25	All	Sloan	DR7	228.69233	+05.72311
 58.1210	  478498	587736546849521896	0.0979	 2	  1.810	   480.380	 16.96	  0.00	 15.99	  0.00	 18.20	 17.23	 -0.01	  6.21	  6.21	   4.08	   4.08	  0.69	  0.00	  70.44	  0.03	  0.40	  0.00	  0.49	  0.00	  0.31	  0.01	  0.27	  0.01	  0.14	  0.15	-21.75	  0.00	-22.50	  0.00	  2.36	  0.04	All	Sloan	DR7	228.70727	+05.74681
 58.2801	  478499	587736546849521903	0.0839	-1	  1.576	    31.765	 18.87	  0.05	 17.93	  0.04	 20.22	 19.25	      	  4.19	  4.19	   3.48	   3.48	  0.34	  0.03	 129.41	  2.95	  0.16	  0.04	  0.57	  0.04	  0.38	  0.04	  0.15	  0.03	  0.09	  0.10	-19.44	  0.05	-20.18	  0.04	  1.35	  0.11	All	Sloan	DR7	228.70993	+05.74048
 61.3522	  478500	587736546849521961	0.0331	 2	  0.660	     8.523	 17.43	  0.02	 16.85	  0.02	 19.73	 19.12	 -0.02	  3.37	  3.37	   2.75	   2.75	  0.36	  0.01	  36.35	  1.45	  0.12	  0.04	  0.19	  0.04	  0.40	  0.03	  0.30	  0.04	  0.13	  0.11	-18.59	  0.02	-19.10	  0.02	  1.08	  0.04	All	Sloan	DR7	228.76098	+05.77432
 65.4774	  478501	587736546849587449	0.0433	 2	  0.852	    67.258	 16.53	  0.00	 15.65	  0.00	 17.80	 16.91	  0.03	  2.62	  2.62	   2.19	   2.19	  0.33	  0.00	 129.21	  0.21	  0.48	  0.00	  0.52	  0.00	  0.53	  0.01	  0.36	  0.01	  0.09	  0.11	-20.17	  0.00	-20.92	  0.00	  4.26	  0.05	All	Sloan	DR7	228.83021	+05.72044
 68.4341	  478502	587736546849587519	0.0322	 2	  0.643	    12.485	 17.15	  0.01	 16.41	  0.01	 18.93	 18.17	  0.03	  2.25	  2.25	   2.18	   2.18	  0.07	  0.02	 150.09	  4.04	  0.44	  0.03	  0.54	  0.02	  0.29	  0.02	  0.51	  0.02	  0.09	  0.11	-18.85	  0.01	-19.50	  0.01	  1.78	  0.04	All	Sloan	DR7	228.87438	+05.63242
 72.5851	  478503	587736546849587598	0.0331	 2	  0.660	     3.007	 18.33	  0.02	 17.56	  0.02	 19.00	 18.25	  0.02	  0.87	  0.87	   0.70	   0.70	  0.42	  0.02	  85.53	  1.44	  0.27	  0.01	  0.40	  0.01	  0.37	  0.02	  0.31	  0.01	  0.03	  0.04	-17.72	  0.02	-18.39	  0.02	  2.63	  0.15	All	Sloan	DR7	228.94929	+05.72034
 77.5156	  478504	587736546849653060	0.0794	 2	  1.499	    86.829	 17.58	  0.02	 16.87	  0.01	 20.03	 19.33	 -0.12	 13.04	 13.04	   7.88	   7.88	  0.79	  0.00	  23.97	  0.24	  0.33	  0.01	  0.21	  0.04	  0.43	  0.02	  0.48	  0.02	  0.11	  0.06	-20.52	  0.02	-21.11	  0.01	  1.03	  0.02	All	Sloan	DR7	229.03014	+05.67404
 78.0453	  478505	587736546849653072	0.0494	 2	  0.967	    25.317	 17.34	  0.01	 16.71	  0.02	 20.17	 19.54	 -0.08	  9.12	  9.12	   5.96	   5.96	  0.68	  0.01	  91.04	  0.52	  0.03	  0.03	  0.52	  0.02	  0.89	  0.02	  0.42	  0.04	  0.06	  0.04	-19.63	  0.01	-20.18	  0.02	  1.07	  0.04	All	Sloan	DR7	229.04094	+05.76068
 80.8449	  478506	587736546849653140	0.0493	 2	  0.965	    60.274	 16.86	  0.00	 16.11	  0.01	 18.81	 18.10	 -0.17	  7.11	  7.11	   4.45	   4.45	  0.74	  0.00	   4.14	  0.20	  0.41	  0.01	  0.42	  0.01	  0.26	  0.01	  0.58	  0.03	  0.21	  0.12	-20.09	  0.00	-20.78	  0.01	  2.16	  0.04	All	Sloan	DR7	229.08363	+05.63887
 81.4467	  478507	587736546849653165	0.0795	 2	  1.502	    94.499	 17.62	  0.03	 16.68	  0.02	 19.22	 18.32	 -0.06	  8.12	  8.12	   5.41	   5.41	  0.67	  0.01	  -3.47	  0.52	  0.47	  0.02	  0.34	  0.03	  0.54	  0.01	  0.31	  0.02	  0.13	  0.15	-20.53	  0.03	-21.30	  0.02	  3.02	  0.10	All	Sloan	DR7	229.09795	+05.73517
 81.9557	  478508	587736546849653174	0.1930	-1	  3.208	   305.667	 18.91	  0.05	 17.99	  0.03	 19.75	 18.85	      	  4.85	  4.85	   4.48	   4.48	  0.18	  0.03	 158.70	  6.18	  0.32	  0.03	  0.49	  0.03	  0.23	  0.03	  0.32	  0.03	  0.07	  0.05	-21.55	  0.05	-22.15	  0.03	  1.32	  0.12	All	Sloan	DR7	229.10488	+05.81289
 82.6575	  478509	587736546849718576	0.0800	 2	  1.510	   313.140	 16.54	  0.00	 15.92	  0.00	 19.39	 18.78	 -0.24	 11.78	 11.78	   8.19	   8.19	  0.59	  0.00	  45.46	  0.08	  0.32	  0.01	  0.23	  0.01	  0.40	  0.01	  0.14	  0.03	  0.17	  0.13	-21.54	  0.00	-22.06	  0.00	  0.79	  0.02	All	Sloan	DR7	229.11828	+05.74503
 82.7061	  478510	587736546849718586	      	-2	       	          	 16.54	  0.01	 16.09	  0.01	 19.53	 19.10	 -0.12	      	      	 -99.99	 -99.99	  0.38	  0.01	  22.11	  0.42	  0.44	  0.01	  0.45	  0.02	  0.55	  0.05	  0.50	  0.09	  0.14	  0.10	      	      	      	      	  1.39	  0.03	All	Sloan	DR7	229.11882	+05.71880
 83.8643	  478511	587736546849718618	0.1512	-1	  2.632	   187.123	 18.82	  0.06	 17.70	  0.05	 20.41	 19.28	      	 10.77	 10.77	   7.69	   7.69	  0.57	  0.02	 143.62	  1.21	  0.54	  0.05	  0.49	  0.07	  0.34	  0.03	  0.44	  0.04	  0.12	  0.07	-21.12	  0.06	-21.87	  0.05	  1.69	  0.17	All	Sloan	DR7	229.13833	+05.72471
 84.8404	  478512	587736546849718642	0.1795	 2	  3.028	   361.514	 18.37	  0.06	 17.12	  0.07	 19.84	 18.60	  0.01	 11.04	 11.04	  10.78	  10.78	  0.06	  0.04	 269.25	  6.57	  0.33	  0.02	  0.59	  0.03	  0.47	  0.02	  0.58	  0.02	  0.13	  0.13	-22.11	  0.06	-22.89	  0.07	  5.00	  0.48	All	Sloan	DR7	229.15483	+05.74091
 89.4900	  478513	587736546849718784	0.1031	 2	  1.895	    91.660	 18.14	  0.03	 17.58	  0.02	 19.38	 18.82	 -0.01	  4.13	  4.13	   3.79	   3.79	  0.17	  0.02	 -14.63	  3.98	  0.34	  0.02	  0.18	  0.03	  0.42	  0.03	  0.50	  0.03	  0.11	  0.09	-20.52	  0.03	-20.98	  0.02	  1.07	  0.06	All	Sloan	DR7	229.23203	+05.79199
 89.4478	  478514	587736546849718800	0.0753	-1	  1.430	    22.911	 18.55	  0.04	 17.80	  0.03	 19.53	 18.77	      	  3.03	  3.03	   2.26	   2.26	  0.52	  0.02	  93.99	  1.13	  0.54	  0.03	  0.21	  0.02	  0.37	  0.02	  0.30	  0.02	  0.05	  0.05	-19.44	  0.04	-20.08	  0.03	  2.11	  0.17	All	Sloan	DR7	229.23142	+05.70423
 90.0372	  478515	587736546849718818	0.0502	 2	  0.982	   115.499	 16.29	  0.00	 15.67	  0.01	 19.05	 18.43	 -0.12	  6.30	  6.30	   5.07	   5.07	  0.38	  0.01	  48.95	  0.32	  0.59	  0.00	  0.35	  0.00	  0.25	  0.04	  0.45	  0.03	  0.15	  0.10	-20.69	  0.00	-21.24	  0.01	  0.91	  0.01	All	Sloan	DR7	229.23936	+05.65931
 92.2000	  478516	587736546849784066	0.1969	 2	  3.259	   636.790	 18.21	  0.03	 17.33	  0.03	 19.60	 18.69	  0.01	  9.06	  9.06	   8.43	   8.43	  0.15	  0.03	  -3.60	  5.60	  0.64	  0.03	  0.26	  0.03	  0.32	  0.02	  0.28	  0.02	  0.07	  0.09	-22.30	  0.03	-22.83	  0.03	  2.69	  0.18	All	Sloan	DR7	229.27810	+05.75539
 93.4717	  478517	587736546849784078	0.0469	 2	  0.921	   130.782	 16.07	  0.00	 15.28	  0.00	 18.21	 17.43	 -0.09	  6.57	  6.57	   5.33	   5.33	  0.38	  0.00	  54.59	  0.10	  0.45	  0.00	  0.41	  0.00	  0.57	  0.01	  0.40	  0.00	  0.17	  0.14	-20.77	  0.00	-21.46	  0.00	  2.89	  0.02	All	Sloan	DR7	229.29941	+05.73917
 93.7221	  478518	587736546849784090	0.1027	 2	  1.888	   103.514	 18.26	  0.03	 17.22	  0.03	 19.45	 18.44	  0.01	  4.96	  4.96	   4.41	   4.41	  0.23	  0.03	 106.40	  3.44	  0.36	  0.02	  0.35	  0.02	  0.30	  0.02	  0.54	  0.01	  0.07	  0.10	-20.59	  0.03	-21.39	  0.03	  4.18	  0.14	All	Sloan	DR7	229.29671	+05.60015
 95.0218	  478519	587736546849784115	0.1382	 2	  2.441	   568.899	 17.58	  0.01	 16.48	  0.02	 19.20	 18.09	  0.00	 12.90	 12.90	   9.10	   9.10	  0.59	  0.01	  90.20	  0.76	  0.53	  0.03	  0.31	  0.02	  0.40	  0.01	  0.53	  0.01	  0.13	  0.10	-22.12	  0.01	-22.88	  0.02	  3.43	  0.12	All	Sloan	DR7	229.31885	+05.60314
 97.2267	  478520	587736546849784144	0.0492	-1	  0.962	     5.828	 18.38	  0.03	 18.03	  0.02	 19.08	 18.75	      	  1.26	  1.26	   1.11	   1.11	  0.26	  0.02	 108.41	  2.64	  0.27	  0.01	  0.40	  0.01	  0.27	  0.02	  0.33	  0.02	  0.07	  0.05	-18.52	  0.03	-18.83	  0.02	  1.78	  0.16	All	Sloan	DR7	229.36217	+05.76883
100.0038	  478521	587736546849784214	0.1784	 2	  3.013	   485.604	 18.25	  0.03	 17.40	  0.03	 20.33	 19.48	 -0.14	 12.03	 12.03	  10.10	  10.10	  0.32	  0.02	  22.75	  2.11	  0.43	  0.06	  0.19	  0.06	  0.53	  0.04	  0.41	  0.07	  0.15	  0.11	-22.00	  0.03	-22.52	  0.03	  0.77	  0.06	All	Sloan	DR7	229.40837	+05.70715
101.3561	  478522	587736546849849596	0.2334	 2	  3.715	   977.506	 18.52	  0.04	 17.32	  0.04	 19.88	 18.67	  0.05	 11.59	 11.59	  10.17	  10.17	  0.25	  0.03	 153.93	  3.61	  0.60	  0.03	  0.43	  0.03	  0.32	  0.02	  0.46	  0.02	  0.09	  0.08	-22.68	  0.04	-23.39	  0.04	  3.51	  0.22	All	Sloan	DR7	229.42881	+05.65186
101.6881	  478523	587736546849849607	0.0769	 2	  1.457	    56.081	 17.98	  0.02	 17.19	  0.02	 20.11	 19.32	 -0.09	 10.40	 10.40	   6.09	   6.09	  0.85	  0.00	 105.03	  0.20	  0.11	  0.19	  0.51	  0.04	  0.71	  0.03	  0.15	  0.01	  0.10	  0.10	-20.06	  0.02	-20.74	  0.02	  0.69	  0.06	All	Sloan	DR7	229.43671	+05.71251
103.3059	  478524	587736546849849658	0.1824	 2	  3.067	   364.919	 18.57	  0.03	 17.30	  0.03	 19.80	 18.52	  0.00	  8.26	  8.26	   8.10	   8.10	  0.11	  0.04	 126.32	  9.11	  0.22	  0.02	  0.56	  0.03	  0.29	  0.01	  0.60	  0.01	  0.09	  0.07	-22.04	  0.03	-22.82	  0.03	  7.86	  0.24	All	Sloan	DR7	229.46338	+05.69531
106.1426	  478525	587736546849849711	0.1822	 2	  3.065	   360.415	 18.69	  0.05	 17.54	  0.04	 19.92	 18.75	  0.00	  9.49	  9.49	   8.79	   8.79	  0.21	  0.04	 110.83	  6.91	  0.37	  0.03	  0.24	  0.02	  0.56	  0.02	  0.40	  0.01	  0.11	  0.11	-21.79	  0.05	-22.54	  0.04	  7.89	  0.20	All	Sloan	DR7	229.50491	+05.59294
108.0174	  478526	587736546849849740	0.0455	 2	  0.894	     7.674	 18.16	  0.02	 17.66	  0.02	 19.34	 18.80	 -0.01	  2.75	  2.75	   1.67	   1.67	  0.79	  0.00	 138.36	  0.25	  0.03	  0.03	  0.52	  0.03	  0.44	  0.02	  0.43	  0.02	  0.07	  0.08	-18.57	  0.02	-19.02	  0.02	  0.50	  0.01	All	Sloan	DR7	229.54266	+05.70855
105.6016	  478527	587736546849850569	      	-2	       	          	      	      	      	      	      	      	      	      	      	 -99.99	 -99.99	      	      	 -99.99	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	All	Sloan	DR7	229.49512	+05.58526
105.8986	  478528	587736546849850733	      	-2	       	          	      	      	      	      	      	      	      	      	      	 -99.99	 -99.99	      	      	 -99.99	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	All	Sloan	DR7	229.50016	+05.58571
109.7297	  479072	587736547385213258	0.0555	 2	  1.078	    42.413	 17.45	  0.01	 16.76	  0.01	 19.68	 18.97	 -0.03	  5.66	  5.66	   3.85	   3.85	  0.62	  0.00	 178.09	  0.31	  0.54	  0.01	  0.78	  0.01	  0.45	  0.01	  0.50	  0.01	  0.10	  0.09	-19.76	  0.01	-20.35	  0.01	  0.56	  0.02	All	Sloan	DR7	226.03751	+06.45156
101.3038	  479073	587736547385213369	0.0921	 2	  1.714	    48.025	 18.61	  0.05	 17.58	  0.03	 20.06	 18.99	  0.03	  7.59	  7.59	   4.61	   4.61	  0.79	  0.01	 102.63	  0.53	  0.34	  0.02	  0.63	  0.03	  0.17	  0.03	  0.55	  0.02	  0.11	  0.16	-19.93	  0.05	-20.80	  0.03	  2.24	  0.16	All	Sloan	DR7	226.12903	+06.29581
101.7559	  479074	587736547385213374	0.1430	-1	  2.512	   145.168	 18.72	  0.05	 17.78	  0.03	 20.03	 19.07	      	  8.68	  8.68	   6.05	   6.05	  0.61	  0.01	  22.03	  1.25	  0.53	  0.04	  0.36	  0.05	  0.53	  0.02	  0.28	  0.03	  0.06	  0.04	-20.86	  0.05	-21.61	  0.03	  2.79	  0.17	All	Sloan	DR7	226.13722	+06.34081
 98.7006	  479075	587736547385278518	0.0465	 2	  0.912	   282.513	 15.42	  0.00	 14.61	  0.00	 17.33	 16.49	  0.00	  5.95	  5.95	   5.14	   5.14	  0.27	  0.00	  57.73	  0.02	  0.51	  0.00	  0.42	  0.00	  0.22	  0.01	  0.40	  0.00	  0.07	  0.07	-21.41	  0.00	-22.11	  0.00	  4.36	  0.02	All	Sloan	DR7	226.18901	+06.33299
 99.7968	  479076	587736547385278700	0.0455	 2	  0.894	   133.127	 15.80	  0.00	 15.15	  0.00	 18.54	 17.83	 -0.04	  7.33	  7.33	   6.33	   6.33	  0.27	  0.01	  68.00	  0.10	  0.73	  0.00	  0.60	  0.00	  0.45	  0.02	  0.40	  0.00	  0.25	  0.19	-20.93	  0.00	-21.52	  0.00	  1.97	  0.02	All	Sloan	DR7	226.17336	+06.34345
 99.4138	  479077	587736547385278703	0.1227	 2	  2.206	   124.141	 18.42	  0.02	 17.68	  0.02	 19.29	 18.51	  0.00	  3.66	  3.66	   3.09	   3.09	  0.34	  0.02	 162.88	  2.05	  0.24	  0.02	  0.35	  0.02	  0.31	  0.02	  0.30	  0.02	  0.08	  0.07	-20.74	  0.02	-21.31	  0.02	  1.27	  0.07	All	Sloan	DR7	226.17360	+06.32605
 98.6728	  479078	587736547385278713	0.0948	 2	  1.758	   218.942	 17.42	  0.01	 16.56	  0.01	 19.00	 18.10	 -0.06	  7.74	  7.74	   5.39	   5.39	  0.61	  0.01	   9.69	  0.44	  0.31	  0.01	  0.39	  0.01	  0.34	  0.01	  0.39	  0.01	  0.16	  0.16	-21.14	  0.01	-21.84	  0.01	  2.12	  0.02	All	Sloan	DR7	226.19656	+06.35102
 98.5711	  479079	587736547385278729	0.0368	 2	  0.731	     9.877	 17.57	  0.01	 16.97	  0.01	 19.36	 18.73	  0.00	  2.37	  2.37	   1.97	   1.97	  0.33	  0.01	  10.40	  0.93	  0.11	  0.02	  0.34	  0.04	  0.46	  0.02	  0.61	  0.02	  0.08	  0.08	-18.67	  0.01	-19.20	  0.01	  0.68	  0.02	All	Sloan	DR7	226.20831	+06.37536
