#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
    2055	PGC 54817 	 	Pec with tidal debris                        	S pec                                        	II.1.1828  	Simbad	NED	LEDA	    	     	Pec (tidal tails)                                        	probable tidal tails                                                                               	  1	  1	 	230.38907	-07.44768
    2056	NGC 5916  	 	SAB(s)a pec                                  	SAB(s)a pec                                  	II.1.1829  	Simbad	NED	LEDA	 1.0	 0.50	SAB(s)a pec                                              	grand-design spiral; extraplanar material?                                                         	  1	  1	G	230.40808	-13.16922
    2057	NGC 5921  	 	SB(\underline{r}s)b                          	SB(\underline{r}s)b                          	II.1.1830  	Simbad	NED	LEDA	 3.0	 1.00	SB(\underline{r}s)b                                      	multi-armed spiral; excellent face-on case                                                         	  1	  1	M	230.48567	+05.07054
    2058	UGC 9837  	 	SAB(s)c                                      	S\underline{A}B(s)cd                         	II.1.1831  	Simbad	NED	LEDA	 5.5	 0.38	SAB(s)\underline{c}d                                     	multi-armed spiral; excellent face-on case                                                         	  1	  1	M	230.96556	+58.05312
    2059	PGC 54944 	 	SB(\underline{r}s)d                          	SB(\underline{r}s)c                          	II.1.1832  	Simbad	NED	LEDA	 6.0	 1.00	SB(\underline{r}s)cd                                     	flocculent spiral; embedded pattern in bright background; misaligned bar-(r)?                      	  1	  1	F	230.83389	-04.15160
    2060	NGC 5929  	*	E1                                           	E^+^2                                        	II.1.1833  	Simbad	NED	LEDA	-4.5	     	E/E^+^1-2                                                	                                                                                                   	  1	  1	 	231.52565	+41.67066
    2061	NGC 5930  	 	(L)SAB_a(rs)0/a                              	SAB_a(rs)0/a                                 	II.1.1833  	Simbad	NED	LEDA	 0.0	 0.50	(L)SAB_a_(rs)0/a                                         	arc ansae                                                                                          	  1	  1	 	231.53328	+41.67609
    2062	UGC 9845  	 	SBd: sp                                      	Sd: sp                                       	II.1.1834  	Simbad	NED	LEDA	 7.0	 1.00	SB:d: sp                                                 	two strong dark streak defects                                                                     	  1	  1	 	231.52316	+09.20405
    2063	UGC 9856  	 	SBd: sp                                      	Sd spw                                       	II.1.1835  	Simbad	NED	LEDA	 7.0	 1.00	SB:d: spw                                                	bright off-center superassociation                                                                 	  1	  1	 	231.62583	+41.29072
    2064	UGC 9858  	 	SA(rs)b                                      	SAB(rs)b sp                                  	II.1.1836  	Simbad	NED	LEDA	 3.0	 0.25	S\underline{A}B(rs)b sp                                  	grand-design spiral; strong spiral arms                                                            	  1	  1	G	231.67284	+40.56440
    2065	NGC 5949  	 	SAbc                                         	SAc / Sph,N                                  	II.1.1837  	Simbad	NED	LEDA	 4.5	 0.00	SAb\underline{c} / Sph,N                                 	flocculent spiral; embedded extreme late-type in apparent E                                        	  1	  1	F	232.00279	+64.76315
    2066	UGC 9875  	 	SAB(s)m:                                     	S\underline{A}B(s)m                          	II.1.1838  	Simbad	NED	LEDA	 9.0	 0.38	SAB(s)m:                                                 	flocculent spiral; face-on                                                                         	  1	  1	F	232.69771	+23.06575
    2067	NGC 5937  	 	SA(rs)bc                                     	SA(s)c                                       	II.1.1839  	Simbad	NED	LEDA	 4.5	 0.00	SA(r\underline{s})b\underline{c}                         	multi-armed spiral                                                                                 	  1	  1	M	232.69223	-02.82953
    2068	NGC 5950  	 	SB(s)cd pec                                  	(R')SB(s)c                                   	II.1.1840  	Simbad	NED	LEDA	 5.5	 1.00	(R')SB(s)\underline{c}d pec                              	grand-design spiral; excellent case                                                                	  1	  1	G	232.87843	+40.43014
    2069	IC 1125   	 	SAB(s)dm                                     	SAB(s)dm                                     	II.1.1841  	Simbad	NED	LEDA	 8.0	 0.50	SAB(s)dm                                                 	flocculent spiral; small                                                                           	  1	  1	F	233.27341	-01.62826
    2070	NGC 5963  	 	SAB(s)b                                      	(R_2_')SAB(s)cd                              	II.1.1842  	Simbad	NED	LEDA	 4.5	 0.50	(R_2_')SAB(s)b\underline{c}                              	multi-armed spiral                                                                                 	  1	  1	M	233.36579	+56.55938
    2071	NGC 5951  	 	SB(s)cd                                      	SB(s)d                                       	II.1.1843  	Simbad	NED	LEDA	 6.5	 1.00	SB(s)c\underline{d}                                      	flocculent spiral; large late-type; highly inclined but not edge-on                                	  1	  1	F	233.42946	+15.00729
    2072	NGC 5953  	 	SA(r)0^+^                                    	SA(rl)0^+^                                   	II.1.1844  	Simbad	NED	LEDA	-1.0	 0.00	SA(\underline{r}l)0^+^                                   	excellent (rl)                                                                                     	  1	  1	 	233.63501	+15.19383
    2073	NGC 5954  	 	(R')SA(rs)b                                  	SA(\underline{r}s)b pec                      	II.1.1845  	Simbad	NED	LEDA	 3.0	 0.00	(R')SA(rs)b pec                                          	multi-armed spiral; nucleus miscentered                                                            	  1	  1	M	233.64656	+15.19824
    2074	NGC 5958  	 	SB(rs)c                                      	SB(s)c                                       	II.1.1846  	Simbad	NED	LEDA	 5.0	 1.00	SB(r\underline{s})c                                      	flocculent spiral; large knots                                                                     	  1	  1	F	233.70468	+28.65512
    2075	NGC 5956  	 	SB(\underline{r}s)ab                         	SB(rl)ab                                     	II.1.1847  	Simbad	NED	LEDA	 2.0	 1.00	SB(r'l)ab                                                	multi-armed spiral; face-on                                                                        	  1	  1	M	233.74377	+11.75036
    2076	NGC 5957  	 	(R')SB(\underline{r}s,bl)a                   	(R')SAB(rs,bl)ab                             	II.1.1848  	Simbad	NED	LEDA	 1.5	 0.75	(R')SA\underline{B}(rs,bl)\underline{a}b                 	grand-design spiral; excellent face-on case                                                        	  1	  1	G	233.84683	+12.04751
    2077	NGC 5962  	 	SAB(rs,nr)c                                  	SAB(rs,nrl)c                                 	II.1.1849  	Simbad	NED	LEDA	 5.0	 0.50	SAB(rs,nrl)c                                             	flocculent spiral; excellent (nrl); bar is foreshortened oval (r)                                  	  1	  1	F	234.13185	+16.60789
    2078	UGC 9936  	 	SAB(s)m                                      	(R')SAB(s)m                                  	II.1.1850  	Simbad	NED	LEDA	 9.0	 0.50	(R')SAB(s)m                                              	flocculent spiral                                                                                  	  1	  1	F	234.18783	+44.23692
    2079	NGC 5964  	 	SB(r\underline{s})cd                         	SB(r\underline{s})cd                         	II.1.1851  	Simbad	NED	LEDA	 6.0	 1.00	SB(r\underline{s})cd                                     	multi-armed spiral; excellent face-on m=4 case                                                     	  1	  1	M	234.40158	+05.97358
    2080	NGC 5981  	 	S0^+^ sp                                     	SA(rs)0^+^ sp                                	I.1.152    	Simbad	NED	LEDA	-1.0	 0.00	SA:(rs:)0^+^ sp                                          	excellent case; highly inclined but not edge-on                                                    	  1	  1	 	234.47273	+59.39179
    2081	NGC 5970  	 	SB(s)c                                       	SA\underline{B}(s)c                          	II.1.1852  	Simbad	NED	LEDA	 5.0	 0.88	SB(s)c                                                   	multi-armed spiral; excellent case; large late-type with skewed bar                                	  1	  1	M	234.62492	+12.18661
    2082	NGC 5982  	*	E2                                           	E2                                           	I.1.153    	Simbad	NED	LEDA	-5.0	     	E2                                                       	excellent case                                                                                     	  0	  1	 	234.66574	+59.35589
    2083	UGC 9951  	 	SA(s)dm?                                     	SA(s)cd:                                     	II.1.1853  	Simbad	NED	LEDA	 7.0	 0.00	SA(s)d:                                                  	flocculent spiral; subtle features                                                                 	  1	  1	F	234.83400	+15.38436
    2084	NGC 5985  	 	SAB(s)ab                                     	SAB(rs)b                                     	I.1.154    	Simbad	NED	LEDA	 2.5	 0.50	SAB(r\underline{s})a\underline{b}                        	multi-armed spiral; excellent intermediate-type                                                    	  1	  1	M	234.90454	+59.33195
    2085	UGC 9992  	 	dIm /Sph                                     	dIm / Sph                                    	II.1.1854  	Simbad	NED	LEDA	10.0	     	dIm / Sph                                                	odd inner structure                                                                                	  1	  1	 	235.45004	+67.25389
    2086	UGC 9977  	 	Sbc sp                                       	Sb spw / E(d)8-9                             	II.1.1855  	Simbad	NED	LEDA	 3.5	     	S\underline{b}c spw / E(d)8-9                            	almost exactly edge-on; thin disk subtle                                                           	  1	  1	 	235.49814	+00.71323
    2087	UGC 9979  	 	Im: sp                                       	Im sp                                        	II.1.1856  	Simbad	NED	LEDA	10.0	     	Im: sp                                                   	                                                                                                   	  1	  1	 	235.58108	+00.47528
    2088	NGC 5984  	 	SB(s)d sp                                    	SB(s)d sp                                    	II.1.1857  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	excellent oval thick disk; limited extent disk; highly inclined but not edge-on                    	  1	  1	 	235.72163	+14.23142
    2089	UGC 10054 	 	SB(rs)d                                      	SB(r\underline{s})d                          	II.1.1858  	Simbad	NED	LEDA	 7.0	 1.00	SB(rs)d                                                  	flocculent spiral                                                                                  	  1	  0	F	235.98209	+81.80964
    2090	UGC 9991  	 	SAd                                          	Sd sp                                        	II.1.1859  	Simbad	NED	LEDA	 7.0	 0.00	SA:d sp                                                  	subtle features; close small companion                                                             	  1	  1	 	235.84988	+14.43582
    2091	IC 4582   	 	Sa sp                                        	Scd: sp pec                                  	II.1.1860  	Simbad	NED	LEDA	 3.5	     	S\underline{b}c: sp pec                                  	very limited extent inner disk in thick disk                                                       	  1	  1	 	236.41422	+28.08871
    2092	UGC 10014 	 	IABm:                                        	Im                                           	II.1.1861  	Simbad	NED	LEDA	10.0	 0.50	IAB:m:                                                   	                                                                                                   	  1	  1	 	236.43396	+12.50981
    2093	UGC 10020 	 	SA(s)cd                                      	(R')SA(s)bc                                  	II.1.1862  	Simbad	NED	LEDA	 5.0	 0.00	(R')SA(s)c                                               	flocculent spiral; face-on                                                                         	  1	  1	F	236.43538	+20.56070
    2094	UGC 10025 	 	SB(s)m sp                                    	dSm sp                                       	II.1.1863  	Simbad	NED	LEDA	 9.0	 1.00	SB:(s:)m sp                                              	small                                                                                              	  1	  1	 	236.60175	+02.84403
    2095	UGC 10041 	 	SA\underline{B}(s)dm                         	SAB(s)d pec                                  	II.1.1864  	Simbad	NED	LEDA	 7.5	 0.62	SAB(s)\underline{d}m pec                                 	flocculent spiral; m=3 extreme late-type; strange morphology                                       	  1	  1	F	237.25583	+05.18878
    2096	UGC 10043 	 	S0/a spw                                     	Sa spw                                       	II.1.1865  	Simbad	NED	LEDA	 0.5	     	S0/\underline{a} spw                                     	warped disk overextends roundish bulge; inner part of bulge is \perp to disk                       	  1	  1	 	237.17162	+21.86939
    2097	UGC 10061 	 	SB(s)m                                       	Im                                           	II.1.1866  	Simbad	NED	LEDA	 9.5	 1.00	S/IB:(s:)m                                               	very low surface brightness                                                                        	  1	  1	 	237.81287	+16.32956
    2098	NGC 6015  	 	SAB_a(s)cd                                   	SA(s)cd                                      	II.1.1867  	Simbad	NED	LEDA	 6.0	 0.25	S\underline{A}B_a_(s)cd                                  	flocculent spiral; large extreme late-type                                                         	  1	  1	F	237.85513	+62.31003
    2099	NGC 6012  	 	(R')SB(r,x_1_r)ab                            	(R')SB(rl,x_1_r)ab                           	II.1.1868  	Simbad	NED	LEDA	 2.0	 1.00	(R')SB(\underline{r}l,x_1_r)ab                           	excellent x_1_r                                                                                    	  1	  1	 	238.55810	+14.60124
    2100	NGC 6010  	 	SA(l)0^o^ sp                                 	SA(l)0^o^ sp                                 	II.1.1869  	Simbad	NED	LEDA	-2.0	 0.00	SA(l)0^o^ sp                                             	excellent case; diffuse thin disk; like N2784 more highly inclined                                 	  1	  1	 	238.57977	+00.54303
    2101	NGC 6014  	 	SA\underline{B}(rs,bl)0/a                    	SAB(rs,bl)0^+^                               	II.1.1870  	Simbad	NED	LEDA	-0.5	 0.62	SAB(rs,bl)\underline{0}/a                                	bar underfills (rs)                                                                                	  1	  1	 	238.98910	+05.93184
    2102	IC 1151   	 	SB(s)d                                       	SB(s)d                                       	II.1.1871  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d                                                   	grand-design spiral; excellent case; large late-type                                               	  1	  1	G	239.63470	+17.44155
    2103	IC 1158   	 	S\underline{A}B(\underline{r}s)cd            	SAB(r)cd                                     	II.1.1872  	Simbad	NED	LEDA	 6.0	 0.38	SAB(r)cd                                                 	multi-armed spiral; excellent case; large late-type                                                	  1	  1	M	240.39197	+01.70783
    2104	UGC 10194 	 	Sdm sp                                       	Sdm: sp                                      	II.1.1873  	Simbad	NED	LEDA	 8.0	     	Sdm: sp                                                  	small                                                                                              	  1	  1	 	241.01971	+63.71300
    2105	NGC 6063  	 	SA(s)bc                                      	SA(s)bc                                      	II.1.1874  	Simbad	NED	LEDA	 4.0	 0.00	SA(s)bc                                                  	multi-armed spiral; low contrast features                                                          	  1	  1	M	241.80402	+07.97901
    2106	IC 1197   	 	Sd sp                                        	SAB(s)d sp                                   	II.1.1875  	Simbad	NED	LEDA	 7.0	 0.50	SAB:(s:)d sp                                             	                                                                                                   	  1	  1	 	242.07205	+07.53855
    2107	NGC 6070  	 	SA(r)c                                       	S\underline{A}B(r\underline{s},nrl)c         	II.1.1876  	Simbad	NED	LEDA	 5.0	 0.12	SA(r\underline{s},nrl)c                                  	multi-armed spiral; excellent case                                                                 	  1	  1	M	242.49452	+00.70931
    2108	UGC 10288 	 	Sc sp                                        	Sc spw / E(d)8-9                             	II.1.1877  	Simbad	NED	LEDA	 5.0	     	Sc spw / E(d)8-9                                         	almost exactly edge-on; excellent thin disk and thick disk                                         	  1	  1	 	243.60335	-00.20754
    2109	IC 1210   	 	SAB(r)a: pec                                 	SA(rs)a: pec                                 	II.1.1878  	Simbad	NED	LEDA	 1.0	 0.25	S\underline{A}B(\underline{r}s)a: pec                    	                                                                                                   	  1	  1	 	243.62552	+62.53670
    2110	UGC 10290 	 	SA\underline{B}(s)dm pec                     	SAB(s)d pec                                  	II.1.1879  	Simbad	NED	LEDA	 7.5	 0.62	SAB(s)\underline{d}m pec                                 	flocculent spiral; face-on; oval bar                                                               	  1	  1	F	243.63796	+00.82197
    2111	UGC 10297 	 	SB(s)d sp                                    	SBd spw / E(d)7-8                            	II.1.1880  	Simbad	NED	LEDA	 7.0	 1.00	SB(s:)d spw / E(d)7-8                                    	extraplanar material?                                                                              	  1	  1	 	243.87004	+18.90484
    2112	UGC 10310 	 	IAB(s)m:                                     	SAB(s)m                                      	II.1.1881  	Simbad	NED	LEDA	 9.5	 0.50	S/IAB(s)m:                                               	flocculent spiral; mostly a bar is seen                                                            	  1	  1	F	244.07637	+47.04575
    2113	NGC 6106  	 	S\underline{A}B(s)c                          	S\underline{A}B(s)c                          	II.1.1882  	Simbad	NED	LEDA	 5.0	 0.25	S\underline{A}B(s)c                                      	flocculent spiral; asymmetric                                                                      	  1	  1	F	244.69670	+07.41101
    2114	NGC 6140  	 	SB(s)d                                       	SB(rs)d                                      	II.1.1883  	Simbad	NED	LEDA	 7.0	 1.00	SB(r\underline{s})d                                      	flocculent spiral; excellent face-on case; pattern in large extended disk with two faint outer arms	  1	  1	F	245.24234	+65.39055
    2115	NGC 6118  	 	SAB(s)cd                                     	SAB(s)cd                                     	II.1.1884  	Simbad	NED	LEDA	 6.0	 0.50	SAB(s)cd                                                 	multi-armed spiral; excellent late-type                                                            	  1	  1	M	245.45259	-02.28342
    2116	NGC 6155  	 	(R'R')SB(rs)cd                               	(RL,R_2_')SB(r\underline{s})cd               	II.1.1885  	Simbad	NED	LEDA	 6.0	 1.00	(RL,R')SB(rs)cd                                          	flocculent spiral; normal spiral ``framed by (RL); late-type embedded in extended disk             	  1	  1	F	246.53461	+48.36692
    2117	UGC 10413 	 	SA(s)a:                                      	(R'L)SA(s)b                                  	II.1.1886  	Simbad	NED	LEDA	 2.0	 0.00	(R'L)SA(s)ab:                                            	grand-design spiral; subtle features                                                               	  1	  1	G	247.36327	+21.33675
    2118	UGC 10437 	 	S\underline{A}B(s)m                          	S\underline{A}B(s)m                          	II.1.1887  	Simbad	NED	LEDA	 9.0	 0.25	S\underline{A}B(s)m                                      	flocculent spiral                                                                                  	  1	  1	F	247.78145	+43.34804
    2119	NGC 6168  	 	SBdm: sp                                     	SB(s)dm sp                                   	II.1.1888  	Simbad	NED	LEDA	 8.0	 1.00	SB(s:)dm: sp                                             	offset bar in edge-on disk; highly inclined but not edge-on; bar clear                             	  1	  1	 	247.83672	+20.18549
    2120	NGC 6181  	 	SAB(s)b\underline{c}                         	S\underline{A}B(r)c                          	II.1.1889  	Simbad	NED	LEDA	 4.7	 0.38	SAB(rs)b\underline{c}                                    	grand-design spiral; (r) is low contrast and small                                                 	  1	  1	G	248.08737	+19.82660
    2121	NGC 6217  	 	(R')SB(rs)b                                  	(R'L)SB(rs)b                                 	II.1.1890  	Simbad	NED	LEDA	 3.0	 1.00	(R'L)SB(rs)b                                             	multi-armed spiral; excellent face-on case                                                         	  1	  1	M	248.16340	+78.19821
    2122	UGC 10445 	 	I\underline{A}B(s)m                          	S\underline{A}B(s)c                          	II.1.1891  	Simbad	NED	LEDA	 7.5	 0.25	S\underline{A}B(s)\underline{d}m                         	flocculent spiral; diffuse bulge or center                                                         	  1	  1	F	248.44660	+28.98388
    2123	UGC 10477 	 	Sdm: sp                                      	Sdm: sp                                      	II.1.1892  	Simbad	NED	LEDA	 8.0	     	Sdm: sp                                                  	highly inclined but not edge-on                                                                    	  1	  1	 	249.39525	+37.28623
    2124	NGC 6207  	 	SAB(rs)c                                     	SAB(s)dm                                     	II.1.1893  	Simbad	NED	LEDA	 6.5	 0.50	SAB(r\underline{s})c\underline{d}                        	flocculent spiral; assumes bright * near center is not a nucleus                                   	  1	  1	F	250.76562	+36.83242
    2125	NGC 6237  	 	SB(s)m                                       	SB(s)m                                       	II.1.1894  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m                                                   	flocculent spiral; little background disk                                                          	  1	  0	F	251.59517	+70.35506
    2126	NGC 6236  	 	SB(s)dm                                      	SB(s)dm                                      	II.1.1895  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	flocculent spiral                                                                                  	  1	  0	F	251.14457	+70.78027
    2127	NGC 6239  	 	SB(s)m pec                                   	SAB(s)m / cc                                 	II.1.1896  	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m pec / cc                             	flocculent spiral                                                                                  	  1	  1	F	252.52095	+42.73984
    2128	UGC 10608 	 	IBm                                          	dIBm                                         	II.1.1897  	Simbad	NED	LEDA	10.0	 1.00	IBm                                                      	                                                                                                   	  1	  1	 	253.59025	+53.11211
    2129	NGC 6255  	 	SB(s)d                                       	SB(s)dm                                      	II.1.1898  	Simbad	NED	LEDA	 7.5	 1.00	SB(s)\underline{d}m                                      	flocculent spiral; large example                                                                   	  1	  1	F	253.69985	+36.50088
    2130	NGC 6267  	 	SB(rs)b                                      	SA\underline{B}(r\underline{s})b             	II.1.1899  	Simbad	NED	LEDA	 3.0	 0.88	SB(rs)b                                                  	flocculent spiral; bright * near                                                                   	  1	  1	F	254.53616	+22.98506
    2131	UGC 10650 	 	SB(s)m sp                                    	IB(s)m sp                                    	II.1.1900  	Simbad	NED	LEDA	 9.5	 1.00	S/IB(s)m sp                                              	                                                                                                   	  1	  1	 	255.06179	+23.10742
    2132	NGC 6278  	 	(L)SA(r)0^o^                                 	(L)SA(rl)0^o^                                	II.1.1901  	Simbad	NED	LEDA	-2.0	 0.00	(L)SA(\underline{r}l)0^o^                                	excellent case                                                                                     	  1	  1	 	255.20976	+23.01096
    2133	UGC 10713 	 	Sc: sp                                       	Scd sp / E(d)7                               	II.1.1902  	Simbad	NED	LEDA	 5.5	     	S\underline{c}d: sp / E(d)7                              	highly inclined but not edge-on                                                                    	  1	  1	 	256.14139	+72.44653
    2136	IC 1251   	 	SBm:                                         	IAB(s)m                                      	II.1.1905  	Simbad	NED	LEDA	 9.5	 0.75	S/IA\underline{B}(s:)m:                                  	flocculent spiral; subtle features                                                                 	  1	  1	F	257.55512	+72.41074
    2137	NGC 6340  	 	(R)SA(l)0/a                                  	(R')SA(l)0/a                                 	II.1.1906  	Simbad	NED	LEDA	 0.0	 0.00	(R')SA(l)0/a                                             	very bright * superposed                                                                           	  1	  1	 	257.60400	+72.30436
    2138	UGC 10791 	 	SB(rs)d                                      	SAB(s)cd                                     	II.1.1907  	Simbad	NED	LEDA	 6.5	 0.75	SA\underline{B}(r\underline{s})c\underline{d}            	flocculent spiral; nucleus a foreground *?                                                         	  1	  1	F	258.66121	+72.39861
    2139	UGC 10803 	 	SA(s:)b                                      	S\underline{A}B(rs)b                         	II.1.1908  	Simbad	NED	LEDA	 3.0	 0.12	SA(r\underline{s})b:                                     	multi-armed spiral; high surface brightness background                                             	  1	  1	M	259.02203	+73.43581
    2140	NGC 6339  	 	SB(s)cd                                      	SB(rs)cd                                     	II.1.1909  	Simbad	NED	LEDA	 6.0	 1.00	SB(r\underline{s})cd                                     	multi-armed spiral; strong bar; (rs) large and subtle; like N7741                                  	  1	  1	M	259.27710	+40.84496
    2141	UGC 10806 	 	SB(s)dm                                      	SAB(s)m                                      	II.1.1910  	Simbad	NED	LEDA	 8.5	 0.75	SA\underline{B}(s)d\underline{m}                         	flocculent spiral                                                                                  	  1	  1	F	259.71420	+49.88424
    2142	IC 4660   	 	Sdm: sp                                      	Im / Sph                                     	II.1.1911  	Simbad	NED	LEDA	 9.0	     	Sm: sp / Sph                                             	poorly resolved                                                                                    	  1	  0	 	260.43842	+75.84867
    2143	UGC 10854 	 	SAB(r\underline{s})m                         	SAB(s)m                                      	II.1.1912  	Simbad	NED	LEDA	 9.0	 0.50	SAB(s)m                                                  	flocculent spiral; small                                                                           	  1	  1	F	261.19354	+58.20544
    2144	UGC 10887 	 	SBdm: sp                                     	Sm sp                                        	II.1.1913  	Simbad	NED	LEDA	 8.5	 1.00	SB:d\underline{m}: sp                                    	                                                                                                   	  1	  1	 	261.52879	+77.70389
    2145	NGC 6395  	 	SABd:                                        	S\underline{A}B(s)dm                         	II.1.1914  	Simbad	NED	LEDA	 7.5	 0.38	SAB(s:)\underline{d}m:                                   	flocculent spiral; highly inclined but not edge-on                                                 	  1	  1	F	261.63037	+71.09626
    2146	NGC 6412  	 	SB(rs)cd                                     	SA\underline{B}(\underline{r}s)cd            	II.1.1915  	Simbad	NED	LEDA	 6.0	 0.88	SB(rs)cd                                                 	multi-armed spiral; excellent almost face-on case                                                  	  1	  0	M	262.40634	+75.70433
    2147	IC 1265   	 	SA(r)0/a:                                    	SA(rs)0/a                                    	II.1.1916  	Simbad	NED	LEDA	 0.0	 0.00	SA(\underline{r}s)0/a:                                   	subtle features                                                                                    	  1	  1	 	264.16440	+42.08838
    2148	NGC 6434  	 	(R)SAB_a(rs)b                                	(R'L)SAB(rs)b                                	II.1.1917  	Simbad	NED	LEDA	 3.0	 0.50	(R'L)SAB_a_(rs)b                                         	multi-armed spiral                                                                                 	  1	  0	M	264.20346	+72.08895
    2149	NGC 6503  	 	SAB:(s)bc                                    	SA(s)bc                                      	II.1.1918  	Simbad	NED	LEDA	 4.0	 0.25	S\underline{A}B(s)bc:                                    	embedded disk; highly inclined but not edge-on                                                     	  1	  1	 	267.36047	+70.14434
    2150	IC 4901   	 	SB(r)c                                       	SA\underline{B}(\underline{r}s)bc            	II.1.1919  	Simbad	NED	LEDA	 4.5	 0.88	SB(r)b\underline{c}                                      	multi-armed spiral; normal SB(r) in large late-type; excellent case                                	  1	  0	M	298.59802	-58.71356
    2151	IC 4951   	 	SB(s)dm: sp                                  	SB(s)m sp / E(d)8                            	I.1.172    	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m}: sp / E(d)8                          	                                                                                                   	  1	  0	 	302.38000	-61.84639
    2152	NGC 6870  	 	SAB(rs,rs)a + PR?                            	(R'L)SA(\underline{r}s)a                     	II.1.1920  	Simbad	NED	LEDA	 1.0	 0.25	(RL,R'L)S\underline{A}B(rs,rs)a                          	multi-armed spiral; extraplanar disk?                                                              	  1	  0	M	302.54513	-48.28710
    2153	NGC 6861E 	 	SAB(s)d: sp                                  	SAB(s)m sp                                   	II.1.1921  	Simbad	NED	LEDA	 8.0	 0.50	SAB(s)dm: sp                                             	offset bar or inner disk                                                                           	  1	  0	 	302.75629	-48.69074
    2154	ESO 399-25	 	(RL)E(d)2                                    	(RL)E(nd)2                                   	II.1.1922  	Simbad	NED	LEDA	-5.0	     	(RL)E(nd)2                                               	(RL) very faint; (nd) and (RL) in different planes                                                 	  1	  0	 	303.36548	-37.18874
    2155	ESO 340-8 	 	Sd sp                                        	Sd sp / E(d)8                                	II.1.1923  	Simbad	NED	LEDA	 7.0	     	Sd sp / E(d)8                                            	almost exactly edge-on; ``superthin                                                                	  1	  0	 	304.29916	-40.92369
