#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_276_59_table7:
#Name: J/ApJS/276/59/table7
#Title: H{alpha} data table for individual fiber measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(A3)	Run code (1)	[ucd=meta.id;obs]
#Column	N	(I1)	[1/5] Night during the observing run	[ucd=meta.note]
#Column	P	(I1)	[1/4] SparsePak pointing	[ucd=obs.field]
#Column	A	(I2)	[1/82] SparsePak fiber aperture	[ucd=instr.fov]
#Column	C	(I1)	[1/9] Fitting code (2)	[ucd=meta.code]
#Column	oRA	(F5.1)	[-70.5/38.7] East-West offset of fiber aperture (3)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE	(F5.1)	[-47/62.5] North-South offset of fiber aperture (3)	[ucd=pos.eq.dec;arith.diff]
#Column	EWg	(F6.1)	[-0.2/1167]? H{alpha} emission equivalent width from sum of Gaussian line parameters	[ucd=spect.line.eqWidth]
#Column	EWsum	(F7.1)	[-0.2/29060]? H{alpha} emission equivalent width from zeroth moment of line emission	[ucd=spect.line.eqWidth]
#Column	logmuN	(F6.2)	[-16.6/-13] Log H{alpha} narrow component surface-brightness (flux within the 4.7" diameter fiber aperture); in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuN	(F5.2)	[0/73] Uncertainty in logmuN	[ucd=stat.error;phot.mag.sb]
#Column	VelN	(F6.1)	[-382/348] Narrow component velocity relative to kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelN	(F6.1)	[0/5579] Uncertainty in VelN	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaN	(F5.1)	[2.9/142] Narrow component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaN	(F5.1)	[0/999] Uncertainty in sigmaN	[ucd=stat.error;phys.veloc.dispersion]
#Column	logmuB	(F6.2)	[-99/-13]? Log H{alpha} broad component surface-brightness; in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuB	(F5.2)	[0/13.4]? Uncertainty in logmuB	[ucd=stat.error;phot.mag.sb]
#Column	VelB	(F6.1)	[-487/340]? Broad component velocity relative to the kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelB	(F6.1)	[0/1174]? Uncertainty in VelB	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaB	(F5.1)	[0/888]? Broad component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaB	(F5.1)	[0/999]? Uncertainty in sigmaB	[ucd=stat.error;phys.veloc.dispersion]
recno	UGC	R	N	P	A	C	oRA	oDE	EWg	EWsum	logmuN	e_logmuN	VelN	e_VelN	sigmaN	e_sigmaN	logmuB	e_logmuB	VelB	e_VelB	sigmaB	e_sigmaB
   13059	 9318	R8 	3	3	23	3	 10.9	  1.8	  51.6	   52.2	-13.85	 0.00	 122.9	   0.1	 23.6	  0.1	-13.92	 0.00	 115.9	   0.4	 48.7	  0.3
   13060	 9318	R8 	3	3	25	1	  1.0	-15.1	   1.9	    1.4	-15.49	 0.08	  51.8	   5.2	 31.0	  4.2	      	     	      	      	     	
   13061	 9318	R8 	3	3	26	3	  1.0	 -3.8	  30.5	   30.3	-13.58	 0.00	  82.3	   0.2	 34.7	  0.2	-13.74	 0.00	  45.0	   0.5	 50.1	  0.4
   13062	 9318	R8 	3	3	27	1	 15.8	 10.2	   4.6	    4.3	-15.36	 0.07	  63.6	   6.8	 48.3	  5.5	      	     	      	      	     	
   13063	 9318	R8 	3	3	28	1	 15.8	 -6.6	   9.9	   10.9	-14.81	 0.01	 157.8	   0.8	 27.4	  0.6	      	     	      	      	     	
   13064	 9318	R8 	3	3	31	1	 -3.9	-12.3	  10.8	   10.5	-14.63	 0.01	   1.1	   0.6	 29.6	  0.5	      	     	      	      	     	
   13065	 9318	R8 	3	3	40	1	 -8.8	 18.7	   4.7	    3.9	-15.40	 0.05	-105.4	   3.2	 29.1	  2.6	      	     	      	      	     	
   13066	 9318	R8 	3	3	41	1	  1.0	  1.8	  23.6	   23.1	-13.36	 0.00	   3.5	   0.4	 66.3	  0.3	      	     	      	      	     	
   13067	 9318	R8 	3	3	42	3	 -3.9	 10.2	  16.7	   15.9	-14.50	 0.01	 -85.3	   0.5	 31.3	  0.4	-14.89	 0.03	 -57.7	   5.3	 80.9	  4.3
   13068	 9318	R8 	3	3	43	1	 -8.8	 -3.8	  56.6	   59.2	-13.55	 0.00	 -81.9	   0.1	 36.6	  0.1	      	     	      	      	     	
   13069	 9318	R8 	3	3	44	3	 -3.9	  4.6	  34.0	   34.0	-13.80	 0.00	 -86.0	   0.1	 25.1	  0.1	-14.00	 0.00	 -97.4	   0.5	 51.5	  0.4
   13070	 9318	R8 	3	3	45	3	-13.7	 -6.6	  40.4	   39.4	-14.18	 0.00	 -99.5	   0.2	 27.7	  0.2	-14.75	 0.02	-104.5	   3.4	 78.1	  2.7
   13071	 9318	R8 	3	3	46	3	  1.0	 -9.5	  21.2	   20.6	-14.16	 0.00	  57.1	   0.2	 28.2	  0.2	-14.40	 0.01	  49.1	   0.9	 48.2	  0.7
   13072	 9318	R8 	3	3	47	1	 -3.9	 -1.0	  24.1	   24.5	-13.51	 0.00	 -71.6	   0.2	 41.6	  0.1	      	     	      	      	     	
   13073	 9318	R8 	3	3	48	7	 -3.9	-17.9	  -0.2	    2.1	-15.65	 0.07	   1.8	   3.7	 24.8	  3.0	      	     	      	      	     	
   13074	 9318	R8 	3	3	51	1	 -8.8	-15.1	   4.2	    4.4	-15.35	 0.04	 -35.2	   2.4	 27.5	  2.0	      	     	      	      	     	
   13075	 9318	R8 	3	3	52	3	 -3.9	 -6.6	  46.0	   45.5	-13.74	 0.00	  13.7	   0.1	 31.6	  0.1	-13.93	 0.00	  -7.5	   0.4	 52.1	  0.3
   13076	 9318	R8 	3	3	56	4	-13.7	 10.2	  -0.2	    9.9	-15.29	 0.04	-138.9	   1.9	 24.5	  1.6	-15.04	 0.04	-115.7	   6.5	 81.3	  5.3
   13077	 9318	R8 	3	3	62	3	 -8.8	  1.8	 176.0	  181.1	-13.01	 0.00	-123.7	   0.2	 30.6	  0.1	-13.03	 0.00	-149.4	   0.5	 66.8	  0.4
   13078	 9318	R8 	3	3	63	3	-18.7	  1.8	  13.2	   12.6	-15.03	 0.02	-133.2	   1.0	 23.9	  0.8	-15.02	 0.03	-142.4	   6.2	 83.4	  5.0
   13079	 9318	R8 	3	3	64	1	-18.7	-15.1	   3.9	    4.4	-15.67	 0.08	 -66.6	   3.4	 19.4	  2.8	      	     	      	      	     	
   13080	 9318	R8 	3	3	66	3	 -8.8	 -9.5	  54.1	   54.0	-14.09	 0.00	 -47.1	   0.2	 23.8	  0.2	-14.25	 0.01	 -56.2	   0.7	 45.0	  0.5
   13081	 9318	R8 	3	3	79	1	 -3.9	-23.5	   3.9	    3.7	-15.58	 0.06	  21.0	   2.6	 20.7	  2.1	      	     	      	      	     	
   13082	 9406	R8 	2	1	 3	1	 21.9	 15.0	  13.3	   14.1	-15.63	 0.07	  -0.9	   3.2	 21.7	  2.6	      	     	      	      	     	
   13083	 9406	R8 	2	1	 5	7	 17.0	  6.6	  -0.2	    9.8	-15.85	 0.09	   8.4	   3.6	 18.1	  3.0	      	     	      	      	     	
   13084	 9406	R8 	2	1	 6	1	 17.0	 23.4	  20.6	   23.6	-15.61	 0.07	  -8.2	   4.7	 29.5	  3.8	      	     	      	      	     	
   13085	 9406	R8 	2	1	 7	1	 12.1	 15.0	  42.9	   42.1	-15.19	 0.02	   2.4	   1.0	 19.1	  0.8	      	     	      	      	     	
   13086	 9406	R8 	2	1	18	1	 -7.6	 15.0	  30.1	   32.6	-15.40	 0.03	 -18.9	   1.0	 17.7	  0.8	      	     	      	      	     	
   13087	 9406	R8 	2	1	19	1	 -2.7	 23.4	 207.9	  214.8	-14.64	 0.01	  -5.1	   0.2	 18.9	  0.2	      	     	      	      	     	
   13088	 9406	R8 	2	1	21	1	 -2.7	  6.6	  18.5	   19.2	-15.27	 0.02	 -10.0	   0.9	 18.3	  0.7	      	     	      	      	     	
   13089	 9406	R8 	2	1	24	1	  2.2	-18.8	  12.2	   10.7	-15.40	 0.03	   6.1	   1.1	 18.1	  0.9	      	     	      	      	     	
   13090	 9406	R8 	2	1	26	3	 -7.6	 -7.5	  83.7	   83.3	-14.25	 0.00	  -1.9	   0.1	 19.8	  0.1	-14.34	 0.00	  -4.0	   0.3	 34.5	  0.3
   13091	 9406	R8 	2	1	28	1	  7.2	-10.3	  12.4	   10.8	-15.40	 0.03	  12.0	   0.9	 15.9	  0.7	      	     	      	      	     	
   13092	 9406	R8 	2	1	29	1	 -2.7	-44.1	   8.5	    9.2	-15.87	 0.06	  19.3	   2.6	 18.9	  2.1	      	     	      	      	     	
   13093	 9406	R8 	2	1	30	1	  7.2	-27.2	  12.0	   11.8	-15.46	 0.03	  22.6	   1.0	 16.2	  0.8	      	     	      	      	     	
   13094	 9406	R8 	2	1	31	1	-12.5	-16.0	   2.2	    1.9	-15.71	 0.06	   3.7	   3.0	 22.3	  2.5	      	     	      	      	     	
   13095	 9406	R8 	2	1	32	7	 -7.6	-35.7	  -0.2	    6.4	-15.89	 0.10	  13.0	   5.0	 22.8	  4.1	      	     	      	      	     	
   13096	 9406	R8 	2	1	34	1	  2.2	-35.7	  74.4	   77.2	-14.85	 0.01	   9.9	   0.4	 21.5	  0.3	      	     	      	      	     	
   13097	 9406	R8 	2	1	35	1	  7.2	-44.1	  62.1	   59.0	-15.43	 0.02	   2.1	   1.3	 24.0	  1.0	      	     	      	      	     	
   13098	 9406	R8 	2	1	36	1	-32.3	 23.4	  49.0	   40.5	-15.44	 0.04	 -12.2	   2.5	 30.0	  2.0	      	     	      	      	     	
   13099	 9406	R8 	2	1	38	7	-12.5	 23.4	  -0.2	   33.0	-15.84	 0.09	  -5.2	   5.2	 27.8	  4.3	      	     	      	      	     	
   13100	 9406	R8 	2	1	39	1	-22.4	 23.4	 105.8	  106.6	-14.66	 0.01	  -8.2	   0.3	 24.5	  0.3	      	     	      	      	     	
   13101	 9406	R8 	2	1	40	1	-17.5	 15.0	  13.1	   12.6	-15.65	 0.05	 -14.3	   2.1	 19.1	  1.7	      	     	      	      	     	
   13102	 9406	R8 	2	1	41	1	 -7.6	 -1.9	  15.5	   15.5	-15.02	 0.01	  -4.7	   0.7	 25.0	  0.6	      	     	      	      	     	
   13103	 9406	R8 	2	1	43	1	-17.5	 -7.5	   1.9	    1.5	-15.75	 0.06	  -1.6	   3.2	 23.9	  2.6	      	     	      	      	     	
   13104	 9406	R8 	2	1	48	1	-12.5	-21.6	   3.0	    2.7	-15.87	 0.08	  11.2	   3.0	 18.4	  2.4	      	     	      	      	     	
   13105	 9406	R8 	2	1	49	7	-17.5	-35.7	  -0.2	    0.0	-16.01	 0.11	   1.8	   5.2	 25.3	  4.2	      	     	      	      	     	
   13106	 9406	R8 	2	1	50	1	-22.4	-44.1	  56.1	   58.5	-15.60	 0.04	   9.2	   1.7	 19.9	  1.4	      	     	      	      	     	
   13107	 9406	R8 	2	1	51	1	-17.5	-18.8	   4.3	    3.9	-15.54	 0.04	  -1.6	   1.2	 15.9	  1.0	      	     	      	      	     	
   13108	 9406	R8 	2	1	52	2	-12.5	-10.3	  22.5	   21.7	-14.57	 0.01	  -2.8	   0.2	 19.1	  0.2	-15.04	 0.02	  -1.9	   1.7	 37.1	  1.4
   13109	 9406	R8 	2	1	53	1	-12.5	-44.1	  20.0	   18.1	-16.01	 0.09	  10.5	   3.0	 15.4	  2.4	      	     	      	      	     	
   13110	 9406	R8 	2	1	55	1	-37.2	 15.0	 230.6	  236.4	-14.47	 0.00	 -14.8	   0.2	 23.0	  0.2	      	     	      	      	     	
   13111	 9406	R8 	2	1	56	1	-22.4	  6.6	  17.6	   19.1	-15.50	 0.04	   2.8	   1.3	 16.3	  1.0	      	     	      	      	     	
   13112	 9406	R8 	2	1	58	1	-27.3	 15.0	  14.6	   11.7	-15.60	 0.05	 -16.1	   3.1	 31.3	  2.5	      	     	      	      	     	
   13113	 9406	R8 	2	1	60	1	-32.3	  6.6	  33.6	   35.8	-15.19	 0.02	 -12.4	   1.0	 21.4	  0.8	      	     	      	      	     	
   13114	 9406	R8 	2	1	61	1	-37.2	-18.8	   8.5	    6.7	-15.71	 0.05	  -4.9	   1.6	 15.8	  1.3	      	     	      	      	     	
   13115	 9406	R8 	2	1	62	1	-17.5	 -1.9	   6.2	    6.0	-15.53	 0.04	  -1.8	   2.0	 22.6	  1.7	      	     	      	      	     	
   13116	 9406	R8 	2	1	64	1	-27.3	-18.8	   5.1	    4.7	-15.55	 0.04	  -6.6	   1.8	 20.2	  1.5	      	     	      	      	     	
   13117	 9406	R8 	2	1	65	1	-37.2	 -1.9	  11.3	   10.1	-15.56	 0.05	  -3.8	   3.2	 29.7	  2.6	      	     	      	      	     	
   13118	 9406	R8 	2	1	66	2	-17.5	-13.1	  15.2	   15.4	-14.74	 0.01	   4.0	   0.3	 23.8	  0.3	-15.58	 0.07	   8.2	   9.2	 60.8	  7.4
   13119	 9406	R8 	2	1	69	1	-32.3	-44.1	 208.3	  230.7	-15.21	 0.02	   3.4	   1.2	 24.7	  1.0	      	     	      	      	     	
   13120	 9406	R8 	2	1	74	4	-47.0	-18.8	  -0.2	   14.8	-16.21	 0.14	 -51.8	   3.0	 10.0	  2.4	-15.80	 0.08	  10.4	   4.1	 23.2	  3.3
   13121	 9406	R8 	2	1	78	1	-47.0	-35.7	  16.5	   15.4	-15.72	 0.08	   2.1	   3.5	 19.5	  2.9	      	     	      	      	     	
   13122	 9406	R8 	2	1	79	1	-12.5	-27.2	  86.9	   89.5	-14.39	 0.00	   1.1	   0.2	 22.2	  0.2	      	     	      	      	     	
   13123	 9406	R8 	2	1	82	1	-32.3	-10.3	  11.7	   13.4	-15.22	 0.03	  -9.0	   1.2	 19.3	  1.0	      	     	      	      	     	
   13124	 9406	R8 	2	2	 3	1	 22.2	 12.5	  40.8	   48.3	-14.93	 0.02	   2.3	   1.2	 25.1	  0.9	      	     	      	      	     	
   13125	 9406	R8 	2	2	 7	1	 12.3	 12.5	   7.6	   12.3	-15.82	 0.10	 -12.5	   3.8	 17.9	  3.1	      	     	      	      	     	
   13126	 9406	R8 	2	2	15	1	 12.3	-21.3	   7.3	    6.4	-15.41	 0.03	   1.1	   1.3	 18.1	  1.1	      	     	      	      	     	
   13127	 9406	R8 	2	2	18	1	 -7.4	 12.5	  18.8	   19.9	-15.35	 0.03	  -9.5	   1.0	 17.1	  0.8	      	     	      	      	     	
   13128	 9406	R8 	2	2	19	1	 -2.4	 20.9	  27.6	   27.2	-15.37	 0.03	 -13.3	   1.4	 20.3	  1.1	      	     	      	      	     	
   13129	 9406	R8 	2	2	23	1	  2.5	 -4.4	  14.5	   14.6	-15.12	 0.02	   9.4	   0.7	 19.7	  0.6	      	     	      	      	     	
   13130	 9406	R8 	2	2	24	1	  2.5	-21.3	  11.2	    9.8	-15.60	 0.06	  15.5	   3.1	 26.5	  2.5	      	     	      	      	     	
   13131	 9406	R8 	2	2	27	1	  7.4	  4.0	   5.4	    5.2	-15.81	 0.08	   9.7	   2.7	 15.7	  2.2	      	     	      	      	     	
   13132	 9406	R8 	2	2	28	1	  7.4	-12.9	  25.1	   24.8	-15.10	 0.02	  13.4	   0.6	 17.8	  0.5	      	     	      	      	     	
   13133	 9406	R8 	2	2	31	1	-12.3	-18.5	   3.4	    2.2	-15.80	 0.08	  -1.8	   5.0	 27.9	  4.1	      	     	      	      	     	
   13134	 9406	R8 	2	2	32	1	 -7.4	-38.2	  57.0	   55.9	-15.10	 0.02	  14.9	   0.6	 19.7	  0.5	      	     	      	      	     	
   13135	 9406	R8 	2	2	33	1	 -2.4	-29.8	  44.4	   47.4	-15.07	 0.02	   4.3	   0.7	 19.3	  0.6	      	     	      	      	     	
   13136	 9406	R8 	2	2	36	1	-32.0	 20.9	  19.6	   20.4	-15.59	 0.05	 -21.6	   2.5	 25.3	  2.1	      	     	      	      	     	
   13137	 9406	R8 	2	2	39	1	-22.1	 20.9	  70.7	   69.7	-15.01	 0.01	  -0.8	   0.7	 22.7	  0.5	      	     	      	      	     	
   13138	 9406	R8 	2	2	40	1	-17.2	 12.5	  21.4	   23.9	-15.37	 0.03	  -8.6	   1.2	 18.2	  1.0	      	     	      	      	     	
   13139	 9406	R8 	2	2	41	3	 -7.4	 -4.4	  76.5	   76.5	-14.11	 0.00	  -2.5	   0.1	 22.3	  0.1	-14.78	 0.01	  -9.2	   1.5	 52.3	  1.2
   13140	 9406	R8 	2	2	43	2	-17.2	-10.1	  17.0	   16.4	-14.72	 0.01	   4.0	   0.4	 22.5	  0.3	-15.24	 0.04	   1.3	   5.0	 58.6	  4.1
   13141	 9406	R8 	2	2	44	1	-12.3	 -1.6	   1.7	    1.9	-15.84	 0.07	  -8.6	   3.0	 18.9	  2.4	      	     	      	      	     	
   13142	 9406	R8 	2	2	45	7	-22.1	-12.9	  -0.2	    1.4	-15.97	 0.09	  -6.7	   3.3	 17.5	  2.6	      	     	      	      	     	
   13143	 9406	R8 	2	2	47	3	-12.3	 -7.2	  24.1	   23.9	-14.46	 0.00	  -3.0	   0.2	 19.7	  0.1	-15.23	 0.04	 -12.4	   3.7	 45.7	  2.9
   13144	 9406	R8 	2	2	48	3	-12.3	-24.1	 104.3	  103.6	-14.45	 0.00	   1.2	   0.2	 19.5	  0.1	-15.12	 0.02	  -3.4	   2.1	 42.4	  1.7
   13145	 9406	R8 	2	2	49	1	-17.2	-38.2	  10.7	    9.0	-15.88	 0.06	  10.4	   1.7	 12.8	  1.4	      	     	      	      	     	
   13146	 9406	R8 	2	2	50	1	-22.1	-46.6	  -0.2	   -0.2	-15.56	 0.04	   4.5	   1.5	 18.0	  1.2	      	     	      	      	     	
   13147	 9406	R8 	2	2	51	3	-17.2	-21.3	  52.2	   52.1	-14.73	 0.01	   2.9	   0.3	 17.9	  0.2	-15.07	 0.02	  -2.7	   1.4	 34.7	  1.1
   13148	 9406	R8 	2	2	53	1	-12.3	-46.6	  -0.2	   -0.2	-16.01	 0.09	  10.4	   2.8	 14.0	  2.2	      	     	      	      	     	
   13149	 9406	R8 	2	2	55	1	-36.9	 12.5	  51.6	   52.3	-14.88	 0.01	 -19.2	   0.4	 21.6	  0.3	      	     	      	      	     	
   13150	 9406	R8 	2	2	56	1	-22.1	  4.0	   5.3	    5.3	-15.72	 0.05	  -1.1	   1.8	 16.1	  1.5	      	     	      	      	     	
   13151	 9406	R8 	2	2	58	1	-27.1	 12.5	  15.8	   14.9	-15.56	 0.05	  -8.6	   2.8	 27.1	  2.3	      	     	      	      	     	
   13152	 9406	R8 	2	2	60	1	-32.0	  4.0	  49.4	   50.2	-14.92	 0.01	 -13.3	   0.3	 17.4	  0.3	      	     	      	      	     	
   13153	 9406	R8 	2	2	62	1	-17.2	 -4.4	   1.6	    1.7	-15.77	 0.07	  -2.1	   2.6	 16.4	  2.1	      	     	      	      	     	
   13154	 9406	R8 	2	2	65	1	-36.9	 -4.4	   6.7	    5.6	-15.68	 0.06	 -13.8	   2.9	 22.0	  2.4	      	     	      	      	     	
   13155	 9406	R8 	2	2	66	1	-17.2	-15.7	   4.6	    4.1	-15.48	 0.03	   0.1	   1.0	 15.5	  0.8	      	     	      	      	     	
   13156	 9406	R8 	2	2	69	1	-32.0	-46.6	 500.6	  508.7	-14.48	 0.00	   3.2	   0.2	 23.0	  0.2	      	     	      	      	     	
   13157	 9406	R8 	2	2	73	1	-41.9	-12.9	 102.1	  102.8	-14.63	 0.01	  -8.2	   0.3	 19.5	  0.2	      	     	      	      	     	
   13158	 9406	R8 	2	2	79	1	-12.3	-29.8	  13.8	   13.9	-15.27	 0.03	   1.6	   1.7	 25.1	  1.4	      	     	      	      	     	
   13159	 9406	R8 	2	3	 3	1	 29.2	 26.3	  10.9	   12.3	-15.52	 0.06	  -4.6	   2.2	 18.1	  1.8	      	     	      	      	     	
   13160	 9406	R8 	2	3	 7	1	 19.4	 26.3	   6.7	    5.5	-15.63	 0.08	  15.0	   4.6	 26.6	  3.8	      	     	      	      	     	
   13161	 9406	R8 	2	3	 8	7	 24.3	  1.0	  -0.2	    3.6	-15.82	 0.08	  10.8	   2.6	 15.2	  2.1	      	     	      	      	     	
   13162	 9406	R8 	2	3	15	1	 19.4	 -7.5	   7.4	    7.7	-15.64	 0.05	  13.6	   2.7	 23.6	  2.2	      	     	      	      	     	
   13163	 9406	R8 	2	3	17	3	 14.5	 34.7	 261.8	  256.9	-14.64	 0.01	  -5.0	   0.3	 18.7	  0.2	-14.88	 0.01	 -16.1	   1.0	 32.3	  0.8
   13164	 9406	R8 	2	3	19	1	  4.6	 34.7	  40.9	   37.8	-15.30	 0.03	 -13.8	   1.7	 24.5	  1.4	      	     	      	      	     	
   13165	 9406	R8 	2	3	20	1	  9.5	 26.3	  18.3	   20.4	-15.51	 0.05	  -4.3	   2.3	 23.3	  1.9	      	     	      	      	     	
   13166	 9406	R8 	2	3	23	1	  9.5	  9.4	   3.9	    3.7	-15.52	 0.04	  -0.1	   2.2	 23.0	  1.7	      	     	      	      	     	
   13167	 9406	R8 	2	3	25	1	 -0.3	 -7.5	   4.9	    3.9	-15.61	 0.06	   5.5	   2.6	 22.0	  2.1	      	     	      	      	     	
   13168	 9406	R8 	2	3	26	3	 -0.3	  3.8	  29.3	   29.2	-14.52	 0.01	  -3.1	   0.2	 17.3	  0.1	-14.75	 0.01	  -4.3	   0.8	 31.7	  0.6
   13169	 9406	R8 	2	3	28	1	 14.5	  1.0	   3.6	    3.4	-15.73	 0.08	   6.3	   4.6	 25.7	  3.8	      	     	      	      	     	
   13170	 9406	R8 	2	3	29	1	  4.6	-32.8	  19.4	   15.4	-15.67	 0.05	   2.9	   2.3	 22.2	  1.9	      	     	      	      	     	
   13171	 9406	R8 	2	3	30	1	 14.5	-15.9	  17.4	   17.0	-15.44	 0.03	  13.0	   1.1	 18.1	  0.9	      	     	      	      	     	
   13172	 9406	R8 	2	3	31	1	 -5.2	 -4.7	   7.5	    6.1	-15.29	 0.02	  -2.6	   1.1	 20.6	  0.9	      	     	      	      	     	
   13173	 9406	R8 	2	3	32	1	 -0.3	-24.4	   7.1	    0.0	-16.09	 0.11	   7.2	   3.0	 12.5	  2.5	      	     	      	      	     	
   13174	 9406	R8 	2	3	33	2	  4.6	-15.9	  45.5	   44.4	-14.93	 0.01	   7.8	   0.4	 20.1	  0.4	-15.38	 0.04	   7.5	   3.7	 42.5	  3.0
   13175	 9406	R8 	2	3	34	1	  9.5	-24.4	   4.9	    5.0	-14.65	 0.01	  10.3	   0.4	 22.3	  0.3	      	     	      	      	     	
   13176	 9406	R8 	2	3	38	1	 -5.2	 34.7	  17.5	   17.7	-15.78	 0.07	  -3.2	   2.8	 20.1	  2.3	      	     	      	      	     	
   13177	 9406	R8 	2	3	39	3	-15.1	 34.7	 121.2	  121.5	-14.79	 0.01	  -8.2	   0.3	 20.1	  0.3	-15.01	 0.02	 -29.7	   1.5	 39.2	  1.2
   13178	 9406	R8 	2	3	41	1	 -0.3	  9.4	   2.7	    2.6	-15.60	 0.05	   1.6	   2.2	 21.9	  1.8	      	     	      	      	     	
   13179	 9406	R8 	2	3	42	1	 -5.2	 17.9	  27.9	   27.7	-15.04	 0.01	  -5.6	   0.5	 18.9	  0.4	      	     	      	      	     	
   13180	 9406	R8 	2	3	43	7	-10.2	  3.8	  -0.2	    0.0	-16.06	 0.13	 -16.0	   4.3	 15.7	  3.5	      	     	      	      	     	
   13181	 9406	R8 	2	3	44	1	 -5.2	 12.2	   5.3	    5.5	-15.59	 0.05	  -1.6	   2.0	 20.6	  1.7	      	     	      	      	     	
   13182	 9406	R8 	2	3	45	1	-15.1	  1.0	  23.2	   23.6	-14.89	 0.01	  -7.2	   0.3	 20.2	  0.3	      	     	      	      	     	
   13183	 9406	R8 	2	3	46	1	 -0.3	 -1.9	   4.1	    3.2	-15.49	 0.04	  -2.0	   1.5	 18.6	  1.2	      	     	      	      	     	
   13184	 9406	R8 	2	3	47	1	 -5.2	  6.6	   1.8	    1.7	-15.68	 0.06	  -6.8	   2.2	 19.0	  1.8	      	     	      	      	     	
   13185	 9406	R8 	2	3	48	1	 -5.2	-10.3	  56.0	   55.9	-14.53	 0.00	   1.6	   0.2	 21.0	  0.2	      	     	      	      	     	
   13186	 9406	R8 	2	3	50	1	-15.1	-32.8	  -0.2	 8319.7	-15.26	 0.02	   4.2	   1.0	 20.2	  0.8	      	     	      	      	     	
   13187	 9406	R8 	2	3	51	1	-10.2	 -7.5	  14.2	   13.7	-15.15	 0.02	  -7.7	   0.8	 21.7	  0.6	      	     	      	      	     	
   13188	 9406	R8 	2	3	52	3	 -5.2	  1.0	  12.8	   12.1	-15.03	 0.01	   4.7	   0.5	 17.8	  0.4	-15.13	 0.03	   0.6	   2.1	 39.2	  1.7
   13189	 9406	R8 	2	3	55	1	-29.9	 26.3	  15.8	   11.4	-15.77	 0.08	 -19.5	   4.2	 25.7	  3.4	      	     	      	      	     	
   13190	 9406	R8 	2	3	56	7	-15.1	 17.9	  -0.2	    0.0	-15.97	 0.11	  -9.2	   4.4	 19.0	  3.6	      	     	      	      	     	
   13191	 9406	R8 	2	3	58	1	-20.0	 26.3	  47.3	   47.0	-15.01	 0.01	 -17.4	   0.8	 27.0	  0.7	      	     	      	      	     	
   13192	 9406	R8 	2	3	59	7	-39.7	 26.3	  -0.2	    0.0	-16.14	 0.13	  -9.2	   4.0	 14.5	  3.3	      	     	      	      	     	
   13193	 9406	R8 	2	3	60	1	-24.9	 17.9	  13.4	   15.8	-15.50	 0.04	 -14.9	   1.6	 19.8	  1.3	      	     	      	      	     	
   13194	 9406	R8 	2	3	62	7	-10.2	  9.4	  -0.2	    1.6	-16.09	 0.12	 -18.4	   3.1	 12.3	  2.5	      	     	      	      	     	
   13195	 9406	R8 	2	3	63	1	-20.0	  9.4	  26.2	   25.7	-14.93	 0.01	 -10.2	   0.5	 20.9	  0.4	      	     	      	      	     	
