#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/501/2279&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75012279
#Name: J/MNRAS/501/2279
#Title: Stars in the Sagittarius stream (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.501.2279V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/501/2279	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75012279	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-06-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_501_2279_catalog:
#Name: J/MNRAS/501/2279/catalog
#Title: Catalogue of stars in the Sagittarius stream
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Gaia DR2 parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Error on plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F5.2)	Gaia DR2 G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BPmag	(F5.2)	Gaia DR2 BP-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Jmag	(F5.2)	2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	2MASS H-band magnitude	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F5.2)	2MASS K-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	E(B-V)	(F5.2)	Reddening from Schlegel, Finkbeiner & Davis (1998ApJ...500..525S)	[ucd=phot.color.excess]
#Column	Dist	(F5.2)	Estimate of the distance from nearby RR Lyrae stars	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	Error on Dist	[ucd=stat.error]
#Column	vLOS	(F7.2)	? Heliocentric line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_vLOS	(F5.2)	? Error on vLOS	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Fe/H abundance ratio	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_[Fe/H]	(F5.2)	? Error on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Ref	(I1)	? Reference for the spectroscopic data (1)	[ucd=meta.ref;pos.frame]
#Column	Lambda	(F8.3)	{Lambda} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	Beta	(F7.3)	{Beta} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
recno	RAJ2000	DEJ2000	plx	e_plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	BPmag	Jmag	Hmag	Kmag	E(B-V)	Dist	e_Dist	vLOS	e_vLOS	[Fe/H]	e_[Fe/H]	Ref	Lambda	Beta	SimbadName
   39067	287.4699	-33.7714	-0.155	 0.115	-2.642	 0.175	-1.275	 0.157	16.98	 1.49	15.19	14.49	14.23	 0.10	27.55	 0.80	       	     	     	     	0	  -3.639	  4.252	Gaia DR2 6755670711193274496
   39068	287.4699	-32.0683	-0.081	 0.263	-2.593	 0.327	-1.441	 0.274	18.15	 1.24	16.33	15.56	15.37	 0.09	26.20	 1.64	       	     	     	     	0	  -3.397	  2.566	Gaia DR2 6757136188393880832
   39069	287.4705	-30.9449	-0.022	 0.063	-3.003	 0.097	-1.517	 0.091	15.80	 1.59	13.82	13.13	12.95	 0.10	26.52	 2.10	       	     	     	     	0	  -3.239	  1.454	Gaia DR2 6757359565359308032
   39070	287.4706	-32.7939	-0.023	 0.086	-2.480	 0.152	-1.228	 0.132	16.38	 1.59	14.45	13.72	13.53	 0.10	27.60	 1.08	       	     	     	     	0	  -3.501	  3.284	Gaia DR2 6756326574180514432
   39071	287.4706	-30.8592	-0.405	 0.206	-2.623	 0.276	-1.891	 0.231	17.85	 1.23	16.42	15.61	15.52	 0.09	26.55	 0.05	       	     	     	     	0	  -3.227	  1.369	Gaia DR2 6757366707878292096
   39072	287.4707	-32.0361	-0.011	 0.069	-2.523	 0.090	-1.307	 0.075	15.42	 1.80	13.20	12.38	12.19	 0.09	26.20	 1.64	 124.78	 0.97	     	     	6	  -3.393	  2.534	Gaia DR2 6757136501937454848
   39073	287.4714	-31.2066	 0.018	 0.039	-2.618	 0.080	-1.458	 0.074	15.30	 1.79	13.08	12.28	12.10	 0.10	29.15	 1.94	 143.67	 1.09	     	     	6	  -3.276	  1.713	Gaia DR2 6757340319604977920
   39074	287.4724	-30.0186	-0.323	 0.116	-2.703	 0.218	-1.003	 0.175	16.91	 1.40	15.09	14.42	14.35	 0.11	26.52	 0.93	       	     	     	     	0	  -3.109	  0.537	Gaia DR2 6759140460655696896
   39075	287.4726	-33.0138	-0.026	 0.161	-2.677	 0.271	-1.489	 0.244	17.73	 1.30	16.06	15.42	15.28	 0.09	26.34	 0.35	       	     	     	     	0	  -3.533	  3.502	Gaia DR2 6756275030269428224
   39076	287.4727	-31.5868	 0.007	 0.065	-2.419	 0.109	-1.313	 0.094	16.20	 1.70	14.13	13.31	13.12	 0.08	28.18	 0.85	       	     	     	     	0	  -3.331	  2.089	Gaia DR2 6757260300074082304
   39077	287.4731	-30.8265	 0.035	 0.058	-2.510	 0.076	-1.259	 0.067	15.36	 1.64	13.36	12.57	12.46	 0.09	26.55	 0.05	       	     	     	     	0	  -3.224	  1.336	Gaia DR2 6757367326353640192
   39078	287.4733	-32.6546	 0.057	 0.133	-2.748	 0.192	-1.489	 0.165	16.83	 1.40	15.02	14.39	14.33	 0.10	28.25	 0.32	       	     	     	     	0	  -3.483	  3.146	Gaia DR2 6756354199410245120
   39079	287.4734	-28.7072	-0.054	 0.059	-2.753	 0.107	-1.560	 0.092	15.62	 1.98	13.22	12.34	12.15	 0.16	26.35	 2.17	       	     	     	     	0	  -2.925	 -0.762	Gaia DR2 6762375533100133120
   39080	287.4738	-30.5100	-0.037	 0.073	-2.846	 0.122	-1.576	 0.111	16.69	 1.41	14.94	14.28	14.21	 0.11	28.11	 0.50	       	     	     	     	0	  -3.180	  1.023	Gaia DR2 6759064358136087808
   39081	287.4744	-31.5460	 0.014	 0.061	-2.725	 0.113	-1.386	 0.097	16.18	 1.67	14.09	13.26	13.19	 0.08	28.18	 0.85	       	     	     	     	0	  -3.327	  2.048	Gaia DR2 6757261537024680320
   39082	287.4745	-29.0873	 0.007	 0.066	-2.739	 0.114	-1.698	 0.102	16.30	 1.40	14.51	13.87	13.77	 0.13	28.55	 2.81	       	     	     	     	0	  -2.980	 -0.386	Gaia DR2 6762302007560883200
   39083	287.4748	-29.7933	 0.058	 0.093	-2.468	 0.160	-1.510	 0.141	16.93	 1.45	15.08	14.48	14.41	 0.12	27.17	 1.31	       	     	     	     	0	  -3.080	  0.313	Gaia DR2 6759170495368967296
   39084	287.4759	-28.9701	 0.026	 0.043	-2.679	 0.082	-1.023	 0.073	15.05	 1.67	12.96	12.21	12.06	 0.14	26.65	 0.57	       	     	     	     	0	  -2.964	 -0.502	Gaia DR2 6762316644810691968
   39085	287.4763	-31.0921	 0.005	 0.069	-2.769	 0.118	-1.579	 0.119	16.11	 1.68	14.03	13.30	13.12	 0.10	27.12	 2.43	       	     	     	     	0	  -3.264	  1.599	Gaia DR2 6757354651916647808
   39086	287.4763	-34.6158	 0.028	 0.081	-2.212	 0.132	-1.175	 0.123	16.60	 1.26	15.00	14.41	14.32	 0.09	27.81	 1.67	       	     	     	     	0	  -3.764	  5.087	Gaia DR2 6755560455091541120
   39087	287.4771	-30.9987	 0.021	 0.084	-2.708	 0.132	-1.649	 0.130	16.07	 1.67	13.96	13.26	13.07	 0.10	26.52	 1.54	       	     	     	     	0	  -3.252	  1.506	Gaia DR2 6757356335543870592
   39088	287.4780	-31.6088	 0.009	 0.042	-2.969	 0.077	-1.865	 0.068	15.55	 1.76	13.39	12.59	12.41	 0.08	28.18	 0.64	 126.99	 1.01	     	     	6	  -3.339	  2.110	Gaia DR2 6757260123971921152
   39089	287.4782	-31.1921	 0.024	 0.043	-2.621	 0.097	-1.308	 0.085	15.07	 1.99	12.66	11.80	11.61	 0.10	29.15	 1.94	       	     	     	     	0	  -3.280	  1.698	Gaia DR2 6757340701862820608
   39090	287.4783	-27.3360	-0.013	 0.044	-2.939	 0.078	-1.262	 0.063	15.10	 1.56	13.10	12.44	12.32	 0.14	25.52	 1.99	       	     	     	     	0	  -2.735	 -2.120	Gaia DR2 6763080702310623616
   39091	287.4784	-30.7437	-0.158	 0.108	-2.523	 0.145	-1.714	 0.130	16.80	 1.37	14.84	14.13	13.98	 0.09	26.57	 0.66	       	     	     	     	0	  -3.217	  1.254	Gaia DR2 6757556996416727424
   39092	287.4786	-31.0644	-0.081	 0.062	-2.752	 0.101	-1.582	 0.102	14.87	 2.60	11.94	11.03	10.78	 0.10	26.76	 1.89	 150.79	 1.16	     	     	6	  -3.263	  1.571	Gaia DR2 6757354858075090176
   39093	287.4790	-31.4506	-0.025	 0.109	-2.912	 0.348	-1.349	 0.230	16.65	 1.54	14.74	13.96	13.78	 0.09	28.68	 0.74	       	     	     	     	0	  -3.317	  1.953	Gaia DR2 6757310460991319040
   39094	287.4812	-31.1314	-0.018	 0.150	-3.081	 0.298	-1.252	 0.294	17.85	 1.23	16.34	15.56	15.48	 0.10	27.12	 2.43	       	     	     	     	0	  -3.274	  1.637	Gaia DR2 6757352895262597632
   39095	287.4813	-35.0857	-0.030	 0.089	-2.775	 0.109	-1.304	 0.101	14.63	 2.66	11.65	10.79	10.52	 0.07	27.99	 2.10	       	     	     	     	0	  -3.835	  5.552	Gaia DR2 6743434319304801792
   39096	287.4813	-29.5565	-0.226	 0.230	-2.438	 0.347	-1.297	 0.286	18.02	 1.22	16.46	15.65	15.45	 0.13	27.59	 2.45	       	     	     	     	0	  -3.052	  0.078	Gaia DR2 6759195023922009344
   39097	287.4813	-29.8465	 0.070	 0.080	-2.630	 0.147	-1.321	 0.142	16.77	 1.38	14.96	14.34	14.19	 0.12	27.17	 1.31	       	     	     	     	0	  -3.093	  0.365	Gaia DR2 6759169052259910656
   39098	287.4816	-32.3426	-0.068	 0.063	-2.340	 0.101	-1.333	 0.090	15.98	 1.71	13.87	13.13	12.89	 0.10	27.00	 1.54	       	     	     	     	0	  -3.446	  2.836	Gaia DR2 6756380209733164160
   39099	287.4818	-31.6474	-0.019	 0.041	-2.368	 0.068	-1.327	 0.060	14.75	 2.07	12.26	11.40	11.19	 0.08	28.31	 0.67	 131.06	 0.85	     	     	6	  -3.348	  2.148	Gaia DR2 6757253943522452224
   39100	287.4818	-32.8000	 0.090	 0.055	-2.619	 0.099	-1.464	 0.080	15.31	 1.85	13.05	12.25	12.01	 0.10	27.60	 1.08	       	     	     	     	0	  -3.511	  3.289	Gaia DR2 6756326505461027072
   39101	287.4822	-31.4826	 0.019	 0.111	-2.604	 0.254	-1.382	 0.191	17.15	 1.39	15.33	14.69	14.50	 0.08	28.68	 0.74	       	     	     	     	0	  -3.325	  1.985	Gaia DR2 6757308919104274944
   39102	287.4825	-32.8049	-0.022	 0.042	-2.573	 0.079	-1.338	 0.063	14.43	 1.76	12.25	11.57	11.42	 0.10	27.60	 1.08	       	     	     	     	0	  -3.512	  3.294	Gaia DR2 6756326505461024128
   39103	287.4831	-28.9664	 0.025	 0.109	-2.725	 0.217	-1.752	 0.195	17.28	 1.46	15.45	14.74	14.67	 0.14	26.65	 0.57	       	     	     	     	0	  -2.970	 -0.506	Gaia DR2 6762316640512572928
   39104	287.4835	-32.6010	 0.033	 0.052	-2.776	 0.087	-1.362	 0.075	14.41	 2.51	11.56	10.65	10.41	 0.09	28.25	 0.32	 149.79	 1.69	     	     	6	  -3.484	  3.092	Gaia DR2 6756355539440517504
   39105	287.4835	-29.4801	-0.207	 0.224	-2.327	 0.339	-1.150	 0.309	18.03	 1.34	16.42	15.50	15.17	 0.14	25.94	 0.88	       	     	     	     	0	  -3.043	  0.002	Gaia DR2 6759196226512923520
   39106	287.4845	-29.7318	 0.091	 0.246	-2.879	 0.314	-1.486	 0.288	17.97	 1.27	16.43	15.73	15.67	 0.12	27.59	 1.41	       	     	     	     	0	  -3.079	  0.251	Gaia DR2 6759183960082347136
   39107	287.4847	-31.1903	-0.012	 0.112	-3.063	 0.246	-1.776	 0.245	17.28	 1.41	15.57	14.87	14.66	 0.10	29.15	 1.94	       	     	     	     	0	  -3.285	  1.695	Gaia DR2 6757340701862818432
   39108	287.4849	-33.8027	-0.076	 0.071	-2.513	 0.115	-1.398	 0.111	16.18	 1.39	14.40	13.80	13.69	 0.10	27.55	 0.80	       	     	     	     	0	  -3.655	  4.281	Gaia DR2 6755667653176446336
   39109	287.4852	-30.2783	-0.006	 0.074	-2.776	 0.132	-1.210	 0.119	16.16	 1.66	14.10	13.34	13.24	 0.12	28.08	 1.11	       	     	     	     	0	  -3.157	  0.792	Gaia DR2 6759080541573109248
   39110	287.4852	-33.2699	 0.042	 0.039	-2.470	 0.064	-1.311	 0.054	14.79	 1.93	12.43	11.60	11.39	 0.09	27.55	 0.15	       	     	     	     	0	  -3.580	  3.754	Gaia DR2 6756250329920801152
   39111	287.4853	-33.0343	 0.037	 0.040	-2.424	 0.075	-1.453	 0.065	15.29	 1.84	13.00	12.21	12.02	 0.09	26.34	 0.35	       	     	     	     	0	  -3.547	  3.520	Gaia DR2 6756274759694910208
   39112	287.4862	-32.0340	-0.026	 0.151	-2.512	 0.188	-0.903	 0.159	17.14	 1.35	15.40	14.74	14.57	 0.09	26.20	 1.64	       	     	     	     	0	  -3.406	  2.530	Gaia DR2 6757136531991378176
   39113	287.4865	-29.5896	 0.084	 0.055	-2.530	 0.082	-1.379	 0.068	15.12	 2.24	12.46	11.56	11.33	 0.13	28.54	 1.41	       	     	     	     	0	  -3.061	  0.110	Gaia DR2 6759186094690320256
   39114	287.4868	-33.8859	-0.002	 0.034	-2.776	 0.073	-1.308	 0.073	14.86	 1.71	12.75	11.96	11.85	 0.09	27.45	 0.99	       	     	     	     	0	  -3.669	  4.363	Gaia DR2 6755666042567913088
   39115	287.4869	-29.9311	 0.041	 0.078	-3.028	 0.137	-1.532	 0.137	16.65	 1.33	14.87	14.27	14.18	 0.12	27.14	 0.93	       	     	     	     	0	  -3.109	  0.448	Gaia DR2 6759142148584696832
   39116	287.4873	-33.0454	 0.079	 0.065	-2.669	 0.114	-1.491	 0.099	16.32	 1.57	14.32	13.63	13.52	 0.09	26.34	 0.35	       	     	     	     	0	  -3.550	  3.531	Gaia DR2 6756274656615687936
   39117	287.4875	-32.5343	 0.016	 0.063	-2.839	 0.108	-1.516	 0.092	15.93	 1.45	14.10	13.43	13.28	 0.09	28.04	 0.44	       	     	     	     	0	  -3.478	  3.025	Gaia DR2 6756355986117129088
   39118	287.4882	-32.7715	-0.112	 0.183	-2.354	 0.310	-1.571	 0.270	17.71	 1.26	16.10	15.53	15.46	 0.10	27.76	 0.74	       	     	     	     	0	  -3.512	  3.260	Gaia DR2 6756326986497377536
   39119	287.4890	-30.2274	-0.216	 0.135	-2.911	 0.250	-1.220	 0.204	17.27	 1.35	15.62	14.89	14.77	 0.12	27.02	 0.79	       	     	     	     	0	  -3.153	  0.741	Gaia DR2 6759089505163100800
   39120	287.4899	-31.9848	-0.008	 0.195	-2.945	 0.254	-1.064	 0.222	17.75	 1.20	16.12	15.38	15.19	 0.09	27.31	 1.64	       	     	     	     	0	  -3.402	  2.481	Gaia DR2 6757233426454133504
   39121	287.4904	-31.7579	-0.148	 0.212	-1.968	 0.353	-0.776	 0.329	18.20	 1.24	16.62	15.80	15.61	 0.09	28.18	 0.64	       	     	     	     	0	  -3.370	  2.256	Gaia DR2 6757249335013524608
   39122	287.4905	-31.0244	 0.062	 0.062	-2.805	 0.098	-1.235	 0.098	15.62	 1.49	13.75	13.13	12.99	 0.10	26.52	 1.54	       	     	     	     	0	  -3.267	  1.530	Gaia DR2 6757356026306207872
   39123	287.4909	-27.6132	-0.022	 0.141	-2.711	 0.240	-1.447	 0.219	17.82	 1.33	16.23	15.53	15.34	 0.15	24.20	 1.96	       	     	     	     	0	  -2.786	 -1.847	Gaia DR2 6763020710207121024
   39124	287.4914	-29.4446	-0.388	 0.195	-1.986	 0.291	-1.137	 0.267	17.98	 1.29	16.34	15.73	15.63	 0.14	25.94	 0.88	       	     	     	     	0	  -3.045	 -0.034	Gaia DR2 6759196707549277824
   39125	287.4924	-29.1783	 0.038	 0.153	-2.925	 0.256	-1.603	 0.238	18.03	 1.19	16.50	15.81	15.54	 0.12	30.20	 0.40	       	     	     	     	0	  -3.008	 -0.298	Gaia DR2 6762300388350942080
   39126	287.4934	-32.3484	 0.050	 0.066	-2.426	 0.103	-1.395	 0.095	16.03	 1.35	14.33	13.69	13.56	 0.10	26.32	 1.76	       	     	     	     	0	  -3.457	  2.840	Gaia DR2 6756380209733157632
   39127	287.4938	-29.9968	-0.034	 0.049	-2.656	 0.084	-1.544	 0.078	15.67	 1.70	13.52	12.78	12.61	 0.11	26.52	 0.93	       	     	     	     	0	  -3.125	  0.512	Gaia DR2 6759140877274327552
   39128	287.4948	-34.4590	-0.051	 0.052	-2.955	 0.078	-1.400	 0.068	15.62	 1.53	13.69	13.04	12.87	 0.09	28.96	 1.71	       	     	     	     	0	  -3.757	  4.930	Gaia DR2 6755571175329978368
   39129	287.4949	-31.6326	 0.099	 0.064	-2.557	 0.104	-1.347	 0.092	16.22	 1.65	14.21	13.44	13.24	 0.08	28.18	 0.64	       	     	     	     	0	  -3.357	  2.132	Gaia DR2 6757259853397452160
   39130	287.4950	-30.2847	-0.212	 0.137	-2.706	 0.236	-1.589	 0.212	17.49	 1.28	15.79	14.97	14.52	 0.12	28.08	 1.11	       	     	     	     	0	  -3.166	  0.797	Gaia DR2 6759080502911462144
   39131	287.4955	-32.1829	-0.044	 0.088	-2.524	 0.139	-1.250	 0.133	16.88	 1.42	15.06	14.34	14.27	 0.09	26.20	 1.64	       	     	     	     	0	  -3.435	  2.676	Gaia DR2 6756383851865483904
   39132	287.4959	-31.4832	 0.068	 0.090	-2.891	 0.180	-1.675	 0.131	16.15	 1.65	14.02	13.29	13.09	 0.08	28.68	 0.74	       	     	     	     	0	  -3.336	  1.984	Gaia DR2 6757261983701661312
   39133	287.4960	-30.3836	 0.031	 0.049	-2.653	 0.080	-1.316	 0.071	15.56	 1.65	13.44	12.71	12.58	 0.11	28.11	 0.50	       	     	     	     	0	  -3.181	  0.895	Gaia DR2 6759078617427532928
   39134	287.4967	-30.5905	-0.045	 0.204	-2.699	 0.256	-1.726	 0.224	17.91	 1.22	16.04	15.27	15.11	 0.10	28.03	 0.12	       	     	     	     	0	  -3.211	  1.100	Gaia DR2 6759063013812711168
   39135	287.4968	-31.0157	-0.029	 0.059	-2.661	 0.096	-0.991	 0.095	15.51	 1.77	13.31	12.51	12.39	 0.10	26.52	 1.54	 135.55	 0.96	     	     	6	  -3.271	  1.521	Gaia DR2 6757356056358965376
   39136	287.4980	-31.6132	 0.078	 0.157	-2.776	 0.245	-1.204	 0.220	17.83	 1.27	16.19	15.50	15.44	 0.08	28.18	 0.64	       	     	     	     	0	  -3.356	  2.112	Gaia DR2 6757260020892692352
   39137	287.4983	-32.3586	 0.003	 0.094	-2.538	 0.147	-1.437	 0.137	16.82	 1.41	14.98	14.41	14.33	 0.10	26.32	 1.76	       	     	     	     	0	  -3.462	  2.850	Gaia DR2 6756377254795652864
   39138	287.4984	-29.5862	 0.043	 0.069	-2.793	 0.099	-1.337	 0.092	15.82	 1.77	13.63	12.81	12.69	 0.13	28.54	 1.41	       	     	     	     	0	  -3.071	  0.105	Gaia DR2 6759186060330577792
   39139	287.4988	-29.1143	-0.046	 0.137	-2.288	 0.248	-1.500	 0.234	17.66	 1.24	16.14	15.53	15.44	 0.13	28.55	 2.81	       	     	     	     	0	  -3.004	 -0.362	Gaia DR2 6762301659661363200
   39140	287.5001	-29.4971	 0.034	 0.064	-2.738	 0.107	-1.377	 0.096	15.57	 1.73	13.44	12.63	12.47	 0.14	25.94	 0.88	       	     	     	     	0	  -3.060	  0.017	Gaia DR2 6759195406179482112
   39141	287.5001	-30.8766	 0.014	 0.061	-2.878	 0.086	-1.489	 0.075	15.02	 1.91	12.25	11.55	11.37	 0.09	26.55	 0.05	       	     	     	     	0	  -3.254	  1.383	Gaia DR2 6757365887551186304
   39142	287.5007	-30.6395	-0.072	 0.083	-2.962	 0.129	-1.637	 0.121	16.71	 1.38	14.93	14.26	14.09	 0.10	28.03	 0.12	       	     	     	     	0	  -3.221	  1.148	Gaia DR2 6757558542605002240
   39143	287.5008	-33.3858	-0.247	 0.166	-2.386	 0.238	-1.480	 0.215	17.55	 1.33	15.87	15.30	15.20	 0.09	27.66	 0.22	       	     	     	     	0	  -3.610	  3.867	Gaia DR2 6756248474494864384
   39144	287.5008	-29.8722	 0.047	 0.128	-2.506	 0.228	-1.636	 0.214	17.67	 1.41	15.80	15.08	14.94	 0.12	27.14	 0.04	       	     	     	     	0	  -3.113	  0.388	Gaia DR2 6759168773080341504
   39145	287.5009	-30.1547	-0.019	 0.096	-2.986	 0.268	-1.742	 0.171	15.20	 1.76	12.98	12.19	12.05	 0.12	26.52	 0.74	       	     	     	     	0	  -3.153	  0.668	Gaia DR2 6759091090014194432
   39146	287.5011	-34.3974	-0.087	 0.055	-2.416	 0.093	-1.412	 0.074	15.53	 1.69	13.42	12.66	12.46	 0.09	27.81	 1.61	       	     	     	     	0	  -3.753	  4.868	Gaia DR2 6755572652798758656
   39147	287.5015	-31.0571	 0.025	 0.055	-2.439	 0.090	-1.500	 0.092	15.39	 1.53	13.47	12.79	12.66	 0.10	26.76	 1.89	       	     	     	     	0	  -3.281	  1.561	Gaia DR2 6757354823715344640
   39148	287.5026	-31.7285	 0.012	 0.073	-2.771	 0.131	-1.158	 0.111	16.40	 1.49	14.53	13.83	13.61	 0.09	28.18	 0.64	       	     	     	     	0	  -3.377	  2.226	Gaia DR2 6757249751634332160
   39149	287.5034	-29.4937	 0.084	 0.074	-2.622	 0.123	-0.999	 0.112	16.00	 1.60	14.04	13.31	13.18	 0.14	25.94	 0.88	       	     	     	     	0	  -3.062	  0.013	Gaia DR2 6759195779836313344
   39150	287.5036	-30.0941	 0.086	 0.185	-2.218	 0.331	-1.724	 0.261	17.80	 1.28	16.16	15.43	15.30	 0.11	26.52	 0.74	       	     	     	     	0	  -3.147	  0.608	Gaia DR2 6759093044216568960
   39151	287.5037	-30.4107	 0.081	 0.064	-2.697	 0.100	-1.508	 0.088	15.84	 1.59	13.85	13.11	12.95	 0.11	28.11	 0.50	       	     	     	     	0	  -3.192	  0.921	Gaia DR2 6759078445628834176
   39152	287.5037	-31.0972	 0.091	 0.064	-2.715	 0.114	-1.543	 0.114	15.96	 1.65	13.86	13.12	13.02	 0.10	27.12	 1.07	 143.50	 0.84	     	     	6	  -3.288	  1.601	Gaia DR2 6757354411398463744
   39153	287.5046	-29.3863	-0.088	 0.100	-2.669	 0.146	-1.358	 0.129	16.68	 1.49	14.81	14.08	14.02	 0.13	25.94	 0.88	       	     	     	     	0	  -3.048	 -0.093	Gaia DR2 6759198635994966144
   39154	287.5048	-29.5074	-0.027	 0.046	-2.419	 0.074	-1.174	 0.064	14.81	 1.99	12.39	11.50	11.32	 0.14	25.94	 0.88	       	     	     	     	0	  -3.065	  0.027	Gaia DR2 6759195406179471104
   39155	287.5054	-31.5274	-0.074	 0.106	-2.420	 0.187	-1.581	 0.154	16.89	 1.36	15.14	14.47	14.40	 0.08	28.18	 0.74	       	     	     	     	0	  -3.351	  2.026	Gaia DR2 6757261601440935552
   39156	287.5057	-32.1211	-0.065	 0.095	-2.502	 0.142	-1.578	 0.124	16.50	 1.47	14.62	13.93	13.80	 0.09	26.20	 1.64	       	     	     	     	0	  -3.435	  2.614	Gaia DR2 6757134715231013888
   39157	287.5058	-29.5158	-0.077	 0.094	-2.551	 0.138	-1.742	 0.118	16.51	 1.47	14.86	13.98	13.87	 0.14	25.94	 0.88	       	     	     	     	0	  -3.067	  0.035	Gaia DR2 6759195195720742912
   39158	287.5062	-32.0319	-0.008	 0.051	-2.655	 0.073	-1.451	 0.063	14.58	 2.13	12.07	11.21	10.95	 0.09	26.20	 1.64	 135.51	 0.90	     	     	6	  -3.423	  2.526	Gaia DR2 6757136364498490368
   39159	287.5063	-31.6434	-0.086	 0.123	-2.570	 0.165	-1.148	 0.147	17.03	 1.48	15.19	14.52	14.38	 0.08	28.18	 0.64	       	     	     	     	0	  -3.368	  2.141	Gaia DR2 6757256894156397568
   39160	287.5066	-30.0388	-0.082	 0.096	-2.787	 0.181	-1.325	 0.142	16.57	 1.54	14.59	13.96	13.83	 0.11	27.02	 0.39	       	     	     	     	0	  -3.142	  0.552	Gaia DR2 6759140185777746432
   39161	287.5066	-29.2235	-0.203	 0.085	-2.305	 0.109	-1.494	 0.100	16.53	 1.49	14.67	13.98	13.80	 0.12	30.20	 0.40	       	     	     	     	0	  -3.027	 -0.255	Gaia DR2 6762297021096527872
   39162	287.5068	-32.3767	-0.077	 0.070	-2.830	 0.218	-0.836	 0.144	14.97	 2.02	12.50	11.66	11.41	 0.10	26.32	 1.76	 163.68	 0.96	     	     	6	  -3.472	  2.867	Gaia DR2 6756371306260366976
   39163	287.5073	-33.1731	-0.043	 0.158	-3.259	 0.230	-1.613	 0.220	17.76	 1.15	16.34	15.56	15.17	 0.09	27.51	 1.73	       	     	     	     	0	  -3.585	  3.655	Gaia DR2 6756264103879120000
   39164	287.5082	-30.3383	-0.208	 0.084	-2.762	 0.148	-1.854	 0.134	16.46	 1.46	14.60	13.99	13.90	 0.11	28.08	 0.55	       	     	     	     	0	  -3.185	  0.849	Gaia DR2 6759079334680202368
   39165	287.5086	-31.2973	-0.028	 0.061	-2.783	 0.113	-1.354	 0.097	16.12	 1.67	14.03	13.26	13.02	 0.09	26.75	 0.93	       	     	     	     	0	  -3.321	  1.798	Gaia DR2 6757336028938830720
   39166	287.5087	-31.3705	-0.076	 0.082	-2.555	 0.163	-1.577	 0.138	16.78	 1.43	14.96	14.23	14.18	 0.09	26.75	 2.27	       	     	     	     	0	  -3.331	  1.871	Gaia DR2 6757311324285975424
