#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/281/19&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22810019
#Name: J/ApJS/281/19
#Title: Stellar counterrotation in galaxies using MaNGA (Gasymov+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	creator=Gasymov D.	    First author or institution
#INFO	cites=bibcode:2025ApJS..281...19G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/281/19	    Dataset landing page
#INFO	publication_date=2026-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_281_19_table2:
#Name: J/ApJS/281/19/table2
#Title: reliable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[28/332.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-1.2/55.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.5/11.2] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.017/0.075] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk (inner, outer, undef or unclear)	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(a7)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
     384	1-268764 	241.83427	+30.47961	Sb      	 9.911	 0.02185	gas-polar              	Sh, G      	E          	  0	Simbad	NED
     385	1-269131 	242.86352	+29.79412	Sa      	10.666	 0.05228	gas-polar              	Cl, G      	           	  0	Simbad	NED
     386	1-269951 	249.05308	+25.93127	Edc     	11.231	 0.05181	gas-polar              	Cl, G      	           	  0	Simbad	NED
     387	1-272745 	250.53784	+24.98060	Sa      	10.891	 0.06253	gas-polar              	F, G       	           	  0	Simbad	NED
     388	1-273933 	154.49243	+37.18157	Edc     	11.094	 0.04417	gas-polar              	F, G, O    	P          	  1	Simbad	NED
     389	1-280965 	177.97192	+43.34806	S0      	 9.761	 0.03582	gas-polar              	Sh, G, O   	           	  1	Simbad	NED
     390	1-285994 	205.66465	+45.58435	Edc     	10.944	 0.03846	gas-polar              	F, G       	           	  0	Simbad	NED
     391	1-294587 	250.32876	+22.27876	SAB0    	10.903	 0.03528	gas-polar              	F, G       	           	  0	Simbad	NED
     392	1-294599 	250.37654	+22.24889	Edc     	10.102	 0.02250	gas-polar              	Sh, G      	           	  0	Simbad	NED
     393	1-296174 	245.19610	+25.99740	E       	11.324	 0.07204	gas-polar              	F, G       	           	  0	Simbad	NED
     394	1-296900 	241.77864	+27.97875	S0      	10.300	 0.04611	gas-polar              	F, G       	           	  0	Simbad	NED
     395	1-298310 	120.78897	+21.26650	SB0a    	10.261	 0.04521	gas-polar              	V, G       	B, C       	  0	Simbad	NED
     396	1-298693 	124.69830	+24.53742	SBab    	10.416	 0.02487	gas-polar              	Sh, G      	B          	  0	Simbad	NED
     397	1-300461 	137.16023	+32.59294	Sb      	10.430	 0.01422	gas-polar              	V, G       	E          	  0	Simbad	NED
     398	1-314676 	227.53689	+31.88784	Edc     	10.955	 0.03048	gas-polar              	F, G, O    	T, Sh      	  1	Simbad	NED
     399	1-314700 	226.59135	+31.25728	Edc     	11.135	 0.08675	gas-polar              	F, G, O    	           	  1	Simbad	NED
     400	1-315675 	230.50828	+31.23306	S0      	10.656	 0.03130	gas-polar              	F, G, O    	E          	  1	Simbad	NED
     401	1-322262 	228.98460	+43.16677	S       	10.031	 0.01798	gas-polar              	F, G, O    	E, T, P    	  1	Simbad	NED
     402	1-334549 	227.53796	+08.39103	Edc     	11.018	 0.07585	gas-polar              	F, G       	T          	  0	Simbad	NED
     403	1-338633 	113.25521	+42.42512	Sa      	10.618	 0.02710	gas-polar              	Sh, G, O   	           	  1	Simbad	NED
     404	1-351971 	122.56022	+51.87253	E       	10.869	 0.06055	gas-polar              	Cl, P, G   	           	  0	Simbad	NED
     405	1-36564  	038.08119	+00.67197	S0a     	 9.151	 0.02177	gas-polar              	V, G       	           	  0	Simbad	NED
     406	1-369413 	225.40014	+05.68283	S0      	11.326	 0.11361	gas-polar              	Cl, G      	           	  0	Simbad	NED
     407	1-376102 	239.35969	+23.27252	SAB0a   	 9.854	 0.02342	gas-polar              	Sh, G      	T          	  0	Simbad	NED
     408	1-378401 	117.90434	+48.00051	S0      	10.866	 0.06117	gas-polar              	F, G, O    	           	  1	Simbad	NED
     409	1-378770 	119.12000	+50.28786	E       	11.570	 0.13361	gas-polar              	V, G, O    	T, Sh      	  1	Simbad	NED
     410	1-379214 	119.60189	+52.76853	S0      	10.541	 0.02294	gas-polar              	F, G       	T, P       	  1	Simbad	NED
     411	1-38428  	050.94015	+00.00743	S0      	10.638	 0.03607	gas-polar              	V, G       	           	  1	Simbad	NED
     412	1-384400 	126.75585	+21.70675	Sa      	10.267	 0.01525	gas-polar              	Cl, G, O   	E          	  1	Simbad	NED
     413	1-386077 	133.46005	+24.68190	S0      	10.888	 0.06643	gas-polar              	Cl, G, O   	E, T, P    	  1	Simbad	NED
     414	1-38618  	052.62258	-00.48877	S0      	 9.674	 0.02173	gas-polar              	V, G       	           	  1	Simbad	NED
     415	1-394355 	157.69374	+36.95462	S0      	11.042	 0.03852	gas-polar              	F, G, O    	T, Sh      	  1	Simbad	NED
     416	1-40936  	019.59037	+15.40942	Edc     	10.877	 0.03765	gas-polar              	V, G       	           	  0	Simbad	NED
     417	1-41092  	020.05047	+14.56128	Edc     	11.164	 0.03779	gas-polar              	V, G       	T, Sh      	  0	Simbad	NED
     418	1-415592 	198.47094	+34.12477	E       	10.821	 0.03728	gas-polar              	F, G       	T, C       	  0	Simbad	NED
     419	1-419166 	199.23779	+32.15605	Sab     	10.806	 0.06075	gas-polar              	F, G       	           	  0	Simbad	NED
     420	1-42899  	029.56764	+14.29662	S0      	10.751	 0.02614	gas-polar              	V, G       	           	  0	Simbad	NED
     421	1-44690  	121.30783	+46.33166	SAB0    	10.467	 0.02909	gas-polar              	Sh, G, O   	           	  1	Simbad	NED
     422	1-459273 	121.80126	+14.98521	SABab   	10.557	 0.02920	gas-polar              	F, G       	Sh         	  0	Simbad	NED
     423	1-462964 	135.41476	+20.75008	S0      	10.531	 0.03127	gas-polar              	F, G       	           	  0	Simbad	NED
     424	1-462966 	135.29568	+20.61071	S0      	10.801	 0.03152	gas-polar              	F, P, G    	           	  0	Simbad	NED
     425	1-47429  	129.95175	+54.58076	S0a     	10.225	 0.04461	gas-polar              	Cl, G      	           	  0	Simbad	NED
     426	1-51810  	054.90496	-05.63292	Edc     	10.037	 0.02091	gas-polar              	V, G       	           	  1	Simbad	NED
     427	1-523238 	206.14424	+23.79660	E       	10.360	 0.02773	gas-polar              	F, G, O    	           	  1	Simbad	NED
     428	1-53681  	135.46704	+01.99328	E       	10.704	 0.05680	gas-polar              	Cl, G      	           	  0	Simbad	NED
     429	1-548341 	123.50620	+52.75246	E       	10.996	 0.07073	gas-polar              	F, G       	T, Sh      	  1	Simbad	NED
     430	1-567284 	138.10168	+29.00340	Edc     	11.244	 0.10311	gas-polar              	V, G       	C          	  1	Simbad	NED
     431	1-567948 	113.28497	+44.55096	Edc     	11.363	 0.13110	gas-polar              	V          	           	  1	Simbad	NED
     432	1-575898 	168.37701	+44.66593	Edc     	10.920	 0.06813	gas-polar              	Sh, G      	           	  1	Simbad	NED
     433	1-584701 	119.77729	+27.46401	S-merger	10.620	 0.02260	gas-polar              	Cl, G      	T, Sh      	  0	Simbad	NED
     434	1-584896 	125.29311	+39.26303	S0      	10.907	 0.02881	gas-polar              	F, G       	T, C       	  0	Simbad	NED
     435	1-586486 	154.41918	-00.48164	E       	10.845	 0.03370	gas-polar              	Cl, P, G   	T, C       	  0	Simbad	NED
     436	1-591979 	204.99072	+30.10770	SB0     	10.822	 0.03393	gas-polar              	V, P, G    	B          	  0	Simbad	NED
     437	1-593648 	227.17756	+28.17115	SAB0    	 9.981	 0.02648	gas-polar              	V, G       	Sh         	  1	Simbad	NED
     438	1-605306 	128.24700	+25.99094	S0a     	 9.910	 0.01758	gas-polar              	F, P, G, O 	T          	  1	Simbad	NED
     439	1-605863 	141.46005	+49.32986	SBab    	10.633	 0.02707	gas-polar              	Cl, P, G   	B, T, Sh, C	  1	Simbad	NED
     440	1-61484  	159.73587	+02.67900	S0      	11.229	 0.09942	gas-polar              	Cl, G      	T          	  0	Simbad	NED
     441	1-634825 	264.45559	+57.11069	Edc     	10.895	 0.03002	gas-polar              	F          	T, Sh, C   	  1	Simbad	NED
     442	1-635485 	318.50225	+00.53509	S0      	10.414	 0.02693	gas-polar              	V, G       	Sh         	  0	Simbad	NED
     443	1-67037  	199.50978	+01.11409	SABa    	11.375	 0.08075	gas-polar              	Cl, G      	T, C       	  0	Simbad	NED
     444	1-77016  	135.62245	+03.38499	Sb      	10.687	 0.02704	gas-polar              	Sh, P, G   	           	  0	Simbad	NED
     445	1-79983  	158.75811	+04.54491	SABa    	10.109	 0.04408	gas-polar              	F, G       	           	  0	Simbad	NED
     446	1-90685  	234.91023	+55.32735	S0      	10.623	 0.05178	gas-polar              	Cl, G, O   	           	  1	Simbad	NED
     447	1-92735  	242.71588	+48.91098	SAB0    	10.450	 0.04509	gas-polar              	F, G       	           	  0	Simbad	NED
     448	1-93908  	247.33186	+43.86338	S0      	11.084	 0.04718	gas-polar              	Cl, G, O   	           	  1	Simbad	NED
     449	1-97189  	318.72595	-07.40767	S0      	10.837	 0.02866	gas-polar              	V, P, G    	Sh         	  0	Simbad	NED
     450	1-576427 	229.67524	+47.55126	SAB0    	11.175	 0.05700	gas-polar, sigma-elong.	Cl, P, G   	T, Sh      	  0	Simbad	NED
     451	1-339111 	117.96446	+46.06943	Edc     	11.142	 0.05175	KDC                    	Cl, G, O   	C          	  1	Simbad	NED
     452	1-212201 	254.90136	+32.05728	SB0     	11.408	 0.08984	KDC?                   	V, G, O    	B          	  1	Simbad	NED
     453	1-55529  	136.62371	+56.79639	SABb    	11.315	 0.06728	NRR                    	Cl, G, O   	Sh, C      	  1	Simbad	NED
     454	1-174225 	170.05885	+50.02531	E       	10.185	 0.02600	NRR, 2sigma?           	F, G, O    	           	  1	Simbad	NED
     455	1-122304 	121.92080	+39.00423	SAB0a   	10.503	 0.02335	other                  	Sh, G, O   	           	  1	Simbad	NED
     456	1-201314 	116.37953	+28.44100	Sb      	 9.290	 0.01576	other                  	F, O       	T          	  1	Simbad	NED
     457	1-318518 	244.65930	+23.94257	SAB0    	11.527	 0.10371	other                  	Cl, G, O   	T, P       	  1	Simbad	NED
     458	1-385124 	129.40411	+24.99979	Sa      	10.796	 0.02889	other                  	Cl, G, O   	P          	  1	Simbad	NED
     459	1-585869 	149.41381	+44.89741	SAB0    	10.648	 0.02615	other                  	F, P, G    	C          	  1	Simbad	NED
     460	1-593972 	235.20155	+28.29207	Edc     	11.081	 0.03276	other                  	Cl, P, G   	           	  1	Simbad	NED
     461	1-320614 	215.90237	+48.43616	Edc     	11.328	 0.07400	Srot                   	Cl, G      	T          	  0	Simbad	NED
     462	1-375863 	237.15960	+25.40416	Edc     	11.090	 0.03251	Srot                   	F          	C          	  0	Simbad	NED
     463	1-322291 	229.79559	+43.20455	S0      	10.071	 0.02771	Srot, CR-GS            	Sh, G, O   	           	  1	Simbad	NED
     464	1-40719  	018.41791	+14.46885	S0      	10.724	 0.05578	Srot, CR-GS            	V, G       	           	  0	Simbad	NED
     465	1-634718 	259.62966	+60.58610	SAB0a   	 9.524	 0.01295	Srot, CR-GS            	V, P, G    	C          	  0	Simbad	NED
     466	1-382452 	118.16230	+18.32160	Sa      	10.844	 0.04493	Srot, sigma-elong.     	F, G       	T, Sh      	  0	Simbad	NED
     467	1-41258  	022.17515	+14.60923	S0a     	10.736	 0.03638	Srot, sigma-elong., KDC	V, G       	Sh         	  0	Simbad	NED
     468	1-251788 	215.22923	+40.12102	Edc     	10.131	 0.01754	Srot?, KDC?            	F, G, O    	T          	  1	Simbad	NED

