#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
     644	UGCA298           	  7	12 46 55.4	+26 33 51	  0.89	 0.78	 0.06	 	17.85	15.25	 	     	12.43	 	 	 17.80	 65	 9	BCD  	N	 844	11.00	TF  	 2.86	44	 41	 0.00	-15.0	23.6	 8.43	 8.74	 	 7.29	 817	-0.8	NGC4414        	-0.5	-0.31	  0	UGCA298                      	UGCA298
     645	UGC07950          	  8	12 46 56.4	+51 36 47	  1.38	 0.74	 0.06	 	15.35	14.60	 	18.36	12.12	 	 	 15.46	 57	 9	Im   	N	 508	 8.90	TF  	 3.58	48	 33	 0.00	-15.2	23.9	 8.36	 8.65	 	 8.05	 599	-0.4	NGC5194        	 0.1	-2.05	  0	UGC07950                     	UGC07950
     646	DDO147            	  7	12 46 59.8	+36 28 35	  1.45	 0.79	 0.08	 	16.09	15.12	 	19.52	12.70	*	 	 14.55	 30	10	Ir   	L	 331	 5.40	TF  	 2.29	42	 12	 0.00	-13.6	24.5	 7.70	 7.61	 	 7.98	 351	-0.1	NGC4736        	 0.2	 1.51	  1	DDO147                       	DDO147
     647	FGC1497           	  6	12 47 00.6	+32 39 05	  1.07	 0.17	 0.06	 	18.79	16.80	 	     	14.13	*	 	 17.02	 91	 8	     	 	 519	23.40	TF  	 6.88	84	 40	 0.01	-15.1	25.4	 8.40	 9.10	 	 8.26	 521	-2.2	NGC4565        	-1.6	     	  0	FGC1497                      	FGC1497
     648	HIPASS J1247-77   	  6	12 47 32.6	-77 35 01	  0.66	 0.48	 3.20	 	     	18.00	 	     	13.50	 	 	 15.55	 32	10	Ir   	L	 413	 3.16	TRGB	 1.18	75	 11	 0.00	-12.7	24.0	 7.02	 7.19	 	 7.11	 154	-0.8	CIRCINUS       	-0.4	-0.43	  1	HIPASS J1247-77              	HIPASS J1247-77
     649	NGC4707           	  8	12 48 22.9	+51 09 53	  2.09	 0.80	 0.05	 	15.16	13.43	 	17.66	11.73	 	 	 14.77	 67	10	Ir   	N	 468	 5.80	TF  	 3.53	41	 44	 0.01	-15.5	23.6	 8.15	 8.90	 	 7.95	 558	-0.8	NGC4736        	-0.3	-1.29	  0	NGC4707                      	NGC4707
     650	DDO148            	  6	12 48 43.1	-05 15 14	  2.34	 0.74	 0.12	 	17.36	13.70	 	     	10.99	*	 	 16.04	 43	 8	     	 	1337	 9.00	TF  	 6.22	43	 25	 0.00	-16.2	24.1	 8.83	 8.65	 	 7.82	1170	 0.2	NGC4594        	 0.3	-0.62	  0	DDO148                       	DDO148
     651	KK165             	  3	12 48 52.7	+31 58 13	  0.72	 0.93	 0.07	>	23.00	17.50	 	     	13.34	*	 	      	   	-1	Tr   	L	    	 5.40	mem 	 1.15	24	   	 0.00	-11.2	25.4	 7.44	     	 	     	    	 1.6	NGC4656        	 1.6	 0.64	  0	[KK98a] 165                  	[KK98a] 165
     652	NGC4700           	  8	12 49 07.6	-11 24 41	  4.07	 0.21	 0.20	 	14.26	12.63	 	17.72	10.49	 	 	 14.08	123	 7	     	 	1411	 7.30	TF  	 8.49	82	 54	 0.24	-17.1	23.8	 8.86	 9.46	 	 8.43	1222	-0.6	NGC4594        	-0.5	-0.17	  0	NGC4700                      	NGC4700
     653	KK166             	  4	12 49 13.3	+35 36 45	  0.60	 0.59	 0.06	>	23.00	17.62	 	24.25	13.47	*	 	      	   	-3	Tr   	L	    	 4.74	TRGB	 0.83	73	   	 0.00	-10.8	25.1	 7.28	     	 	     	    	 0.7	NGC4736        	 0.7	 1.50	  1	[KK98a] 166                  	[KK98a] 166
     654	MAPS1249+44       	  5	12 49 31.0	+44 21 33	  0.47	 0.53	 0.07	 	18.86	17.10	 	     	14.69	*	 	 17.59	 36	 9	Im   	N	 513	 7.84	h   	 1.06	69	 14	 0.00	-12.4	24.0	 7.23	 7.36	 	 7.08	 572	 0.2	NGC4258        	 0.5	 1.74	  0	                             	
     655	UGC07983          	  6	12 49 47.0	+03 50 32	  0.81	 0.68	 0.18	 	18.05	16.20	 	     	13.69	*	 	 15.64	 28	10	Ir   	N	 694	 9.40	TF  	 2.28	54	  9	 0.00	-13.9	24.3	 7.79	 7.30	 	 8.02	 565	-0.1	NGC4586        	 0.2	 1.33	  0	UGC07983                     	UGC07983
     656	UGC07990          	  6	12 50 27.2	+28 21 10	  1.17	 0.52	 0.06	 	     	16.20	 	21.38	13.51	*	 	 16.38	 87	 8	     	 	 512	20.40	TF  	 6.88	60	 44	 0.04	-15.4	25.1	 8.53	 9.19	 	 8.40	 495	-1.5	NGC4565        	-0.9	     	  1	UGC07990                     	UGC07990
     657	NGC4736           	  8	12 50 53.5	+41 07 10	 15.14	 0.81	 0.08	 	11.90	 8.70	 	13.21	 5.11	 	 	 13.36	207	 2	     	 	 308	 4.66	TRGB	20.68	38	150	 0.14	-19.9	23.0	10.61	10.73	 	 8.32	 352	-0.6	NGC4449        	-0.1	 0.84	  1	NGC4736                      	NGC4736
     658	BTS157            	  6	12 51 13.3	+47 04 15	  0.52	 0.82	 0.15	 	21.23	17.50	 	     	15.01	*	 	 18.15	 18	10	Ir   	L	 572	 8.83	mem 	 1.38	39	  4	 0.00	-12.4	24.6	 7.20	 6.40	 	 6.96	 644	 0.0	NGC5055        	 0.4	-0.21	  0	BTS157                       	BTS157
     659	KK167             	  6	12 51 44.4	+26 06 38	  0.85	 0.72	 0.04	 	17.48	16.39	 	     	14.00	*	 	 16.45	 37	10	Ir   	N	1248	 9.20	TF  	 2.27	50	 18	 0.00	-13.5	24.6	 7.64	 7.91	 	 7.68	1221	-0.8	NGC4414        	-0.5	-0.83	  0	[KK98a] 167                  	[KK98a] 167
     660	IC3840            	  6	12 51 46.1	+21 44 07	  0.95	 0.48	 0.17	 	17.71	16.90	 	     	14.39	*	 	 16.51	 33	10	Ir   	N	 557	 5.50	TF  	 1.54	75	 11	 0.00	-12.0	25.3	 7.04	 7.36	 	 7.21	 510	-0.7	NGC4826        	-0.4	-1.26	  0	IC3840                       	IC3840
     661	NGC4765           	  7	12 53 14.4	+04 27 47	  1.86	 0.73	 0.18	 	15.04	13.37	 	     	10.82	 	 	 14.70	 77	 9	BCD  	H	 722	 9.70	TF  	 5.39	49	 44	 0.02	-16.8	23.2	 8.96	 9.09	 	 8.43	 598	-0.5	NGC4624        	 0.1	 1.32	  0	NGC4765                      	NGC4765
     662	KKSG38            	  6	12 53 31.6	-05 55 40	  0.87	 0.46	 0.15	 	17.97	17.00	 	     	14.51	*	 	 17.51	 44	10	Ir   	N	1071	10.40	TF  	 2.64	78	 18	 0.00	-13.2	25.2	 7.55	 7.99	 	 7.36	 953	-0.3	NGC4594        	-0.1	-0.04	  0	[KKS2000] 38                 	[KKS2000] 38
     663	DDO153            	  7	12 53 57.5	-12 06 31	  2.54	 0.31	 0.23	 	15.90	14.59	 	17.36	12.03	*	 	 14.01	 68	 9	Im   	N	 821	 8.00	TF  	 5.93	90	 29	 0.00	-15.2	25.0	 8.31	 8.77	 	 8.54	 731	-0.1	NGC4594        	-0.1	-0.18	  0	DDO153                       	DDO153
     664	DDO154            	  8	12 54 05.2	+27 08 55	  2.14	 0.73	 0.04	 	14.88	14.10	 	18.19	12.33	 	 	 13.16	 80	10	Ir   	N	 374	 4.04	TRGB	 2.50	49	 46	 0.03	-14.0	24.3	 7.59	 8.79	 	 8.28	 354	 0.4	NGC4826        	 0.4	 1.27	  1	DDO154                       	DDO154
     665	UGC08030          	  6	12 54 29.4	+26 18 18	  1.23	 0.56	 0.04	 	18.32	16.60	 	     	14.21	*	 	 17.02	 53	10	Ir   	L	 628	15.30	TF  	 5.40	66	 24	 0.00	-14.4	25.6	 8.00	 8.57	 	 7.89	 604	 0.2	NGC4725        	 0.3	 0.42	  0	UGC08030                     	UGC08030
     666	ESO443-009        	  6	12 54 53.6	-28 20 27	  0.71	 0.75	 0.28	 	18.37	17.01	 	     	14.40	*	 	 16.80	 29	10	Ir   	L	 645	 5.78	TRGB	 1.25	47	 11	 0.00	-12.1	24.7	 7.08	 7.24	 	 7.14	 409	-0.4	NGC5236        	-0.2	 0.54	  1	ESO443-009                   	ESO443-009
     667	KDG215            	  6	12 55 40.5	+19 12 33	  1.17	 0.54	 0.09	 	18.86	16.90	 	     	14.47	*	 	 15.79	 25	10	Ir   	L	 419	 5.50	TF  	 1.87	68	  4	 0.00	-11.9	25.8	 7.01	 6.46	 	 7.50	 362	-0.7	NGC4826        	-0.5	-1.40	  0	KDG215                       	KDG215
     668	ESO219-010        	  4	12 56 09.6	-50 08 38	  0.68	 0.79	 0.96	 	     	16.42	 	20.27	11.44	*	>	 19.70	   	-3	Sph  	N	    	 4.29	SBF 	 1.11	47	   	 0.00	-12.7	23.8	 8.03	     	<	 5.72	    	 0.7	NGC4945        	 0.8	 1.89	  1	ESO219-010                   	ESO219-010
     669	KDG216            	  4	12 56 25.0	+15 05 09	  1.12	 0.86	 0.08	>	23.00	16.90	 	     	12.73	*	>	 17.80	   	-3	Tr   	L	    	 6.00	txt 	 1.99	37	   	 0.00	-12.1	25.7	 7.78	     	<	 6.77	    	-1.2	NGC4826        	-0.9	-0.91	  0	KDG216                       	KDG216
     670	UGC08061          	  6	12 56 43.4	+11 55 52	  0.83	 0.80	 0.13	 	18.00	15.97	 	20.49	13.50	*	 	 16.58	 56	10	Ir   	N	 563	 6.49	h   	 1.60	41	 36	 0.00	-13.2	24.1	 7.54	 8.38	 	 7.32	 474	-1.6	NGC4594        	-1.0	-0.81	  1	UGC08061                     	UGC08061
     671	NGC4826           	  8	12 56 44.2	+21 41 05	 13.80	 0.52	 0.18	 	13.92	 9.30	 	13.96	 5.33	 	 	 13.38	302	 2	     	 	 409	 4.37	TRGB	17.75	63	155	 0.43	-19.5	23.1	10.48	10.70	 	 8.26	 365	-0.8	KK177          	-0.5	-1.01	  1	NGC4826                      	NGC4826
     672	CVnII             	  5	12 57 10.0	+34 19 15	  2.50	 0.61	 0.04	 	21.43	16.95	 	     	12.81	*	>	 16.60	   	-3	Sph  	X	-129	 0.16	HB  	 0.11	70	   	 0.00	 -4.1	27.5	 4.59	     	<	 4.10	-113	 2.0	Milky Way      	 2.0	 1.74	  0	CVN II DWARF GALAXY          	CVN II DWARF GALAXY
     673	MCG-02-33-075     	  6	12 58 28.3	-10 34 37	  2.96	 0.46	 0.22	 	     	14.70	 	     	11.80	 	 	 16.59	 53	 8	     	 	1267	 8.70	TF  	 7.62	64	 25	 0.00	-15.2	25.5	 8.48	 8.73	 	 7.57	1173	 0.4	NGC4594        	 0.4	 2.05	  0	MCG-02-33-075                	MCG-02-33-075
     674	GR8               	  8	12 58 40.4	+14 13 03	  1.66	 0.91	 0.11	 	15.41	14.79	 	17.23	12.90	 	 	 15.24	 26	10	Ir   	N	 217	 2.13	TRGB	 1.05	27	 11	 0.00	-12.0	24.5	 6.81	 7.14	 	 6.89	 139	-1.4	Milky Way      	-0.8	-2.02	  1	GRDG 8                       	GRDG 8
     675	HIPASS J1258-04   	  6	12 58 49.6	-04 53 19	  0.85	 0.42	 0.11	 	16.83	15.26	 	     	12.81	*	 	 15.72	 46	10	Ir   	N	1318	 6.50	TF  	 1.59	87	 19	 0.00	-13.9	23.4	 7.82	 7.81	 	 7.67	1199	-1.1	NGC4594        	-0.9	     	  0	HIPASS J1258-04              	HIPASS J1258-04
     676	NGC4861           	  7	12 59 02.0	+34 51 37	  3.63	 0.38	 0.04	 	13.60	12.90	 	14.49	10.46	*	 	 13.67	103	 9	Im   	N	 842	 7.30	TF  	 7.48	90	 45	 0.06	-16.5	24.2	 8.86	 9.24	 	 8.59	 861	 0.3	NGC4631        	 0.4	 1.28	  0	NGC4861                      	NGC4861
     677	KK176             	  6	12 59 56.3	-19 24 47	  1.48	 0.58	 0.16	 	18.83	16.50	 	     	14.00	*	 	 15.62	 37	10	Ir   	L	 825	 6.90	TF  	 3.01	64	 15	 0.00	-12.9	25.9	 7.39	 7.90	 	 7.76	 618	-1.0	NGC4594        	-0.6	-0.23	  0	[KK98a] 176                  	[KK98a] 176
     678	UGCA319           	  8	13 02 14.4	-17 14 15	  1.26	 0.69	 0.35	 	17.25	15.08	 	21.08	12.07	 	 	 15.22	 94	10	Ir   	N	 755	 7.30	mem 	 2.84	53	 51	 0.05	-14.6	23.9	 8.22	 8.94	 	 7.97	 555	 2.2	DDO161         	 2.2	-0.03	  1	UGCA319                      	UGCA319
     679	KK177             	  3	13 02 41.9	+21 59 51	  0.78	 0.91	 0.16	>	23.00	17.40	 	     	13.15	*	 	      	   	-2	Sph  	L	    	 4.40	mem 	 1.03	28	   	 0.00	-11.0	25.4	 7.34	     	 	     	    	 2.3	NGC4826        	 2.3	 1.23	  0	[KK98a] 177                  	[KK98a] 177
     680	DDO161            	  7	13 03 16.8	-17 25 23	  7.94	 0.13	 0.35	 	14.59	13.50	 	16.21	10.38	*	 	 12.66	113	 8	     	 	 744	 7.30	TF  	16.77	90	 49	 0.22	-16.4	26.1	 8.91	 9.67	 	 8.99	 545	 1.5	UGCA319        	 1.5	-0.24	  1	DDO161                       	DDO161
     681	ESO269-037        	  7	13 03 33.6	-46 35 03	  1.20	 0.75	 0.57	 	19.81	16.29	 	22.60	13.42	*	 	 19.53	 15	10	Ir   	N	 744	 3.48	TRGB	 1.36	47	  3	 0.00	-12.0	25.0	 7.05	 6.27	 	 5.60	 481	 1.1	NGC4945        	 1.4	 1.91	  1	ESO269-037                   	ESO269-037
     682	KK180             	  3	13 04 29.9	+17 45 32	  0.89	 0.69	 0.10	>	23.00	17.30	 	     	13.11	*	 	      	   	-2	Sph  	L	    	 4.40	mem 	 1.15	55	   	 0.00	-11.0	25.6	 7.36	     	 	     	    	 0.9	NGC4826        	 1.0	 1.23	  0	[KK98a] 180                  	[KK98a] 180
     683	KK182             	  8	13 05 02.9	-40 04 58	  0.91	 0.60	 0.44	 	18.07	16.33	 	21.07	13.47	 	 	 15.58	 33	10	Ir   	N	 617	 5.78	TRGB	 1.65	62	 12	 0.00	-12.9	24.5	 7.46	 7.47	 	 7.62	 364	-0.6	NGC5236        	-0.3	-1.18	  1	[KK98a] 182                  	[KK98a] 182
     684	NGC4945           	  7	13 05 26.1	-49 28 16	 28.18	 0.19	 0.76	 	     	 9.28	 	12.61	 4.49	 	 	 11.76	361	 6	     	 	 563	 3.80	TRGB	34.38	86	169	 1.16	-20.5	23.5	10.74	11.05	 	 8.79	 299	 0.9	NGC5128        	 1.0	 1.70	  1	NGC4945                      	NGC4945
     685	KDG218            	  4	13 05 44.0	-07 45 20	  1.82	 0.71	 0.20	 	22.95	16.80	 	     	12.52	*	>	 17.80	   	-1	Tr   	L	    	 5.00	txt 	 2.73	51	   	 0.00	-11.9	26.6	 7.71	     	<	 6.61	    	-1.0	NGC5236        	-0.7	     	  0	KDG218                       	KDG218
     686	IC4182            	  8	13 05 49.3	+37 36 21	  6.61	 0.92	 0.06	 	13.47	12.02	 	16.03	 9.72	 	 	 13.30	 35	 8	     	 	 321	 4.70	Cep 	 9.12	23	 31	 0.00	-16.4	24.7	 8.77	 9.01	 	 8.36	 357	 0.9	NGC4736        	 0.9	 1.50	  1	IC4182                       	IC4182
     687	DDO165            	  8	13 06 26.8	+67 42 15	  4.07	 0.54	 0.10	 	14.70	13.31	 	18.74	11.14	 	 	 14.04	 46	 9	Im   	N	  31	 4.57	TRGB	 5.40	68	 20	 0.00	-15.1	24.9	 8.18	 8.41	 	 8.04	 196	-0.2	NGC4236        	 0.1	 0.44	  1	DDO165                       	DDO165
     688	MCG -03-34-002    	  7	13 07 56.6	-16 41 21	  1.23	 0.63	 0.35	 	16.77	14.79	 	     	12.55	 	 	 16.01	 57	 9	BCD  	N	 959	 7.90	TF  	 2.99	59	 28	 0.00	-15.1	23.6	 8.10	 8.44	 	 7.72	 765	-0.5	NGC4594        	-0.4	-0.18	  0	MCG -03-34-002               	MCG -03-34-002
     689	UGC08215          	  7	13 08 03.6	+46 49 41	  0.85	 0.70	 0.04	 	17.70	16.03	 	20.79	13.64	*	 	 15.94	 25	10	Ir   	N	 224	 4.55	TRGB	 1.12	52	  3	 0.00	-12.3	24.3	 7.17	 6.16	 	 7.27	 304	 0.5	NGC4736        	 0.5	 1.42	  1	UGC08215                     	UGC08215
     690	UGC08245          	  5	13 08 34.2	+78 56 13	  2.14	 0.41	 0.14	 	16.75	14.75	 	19.81	12.20	 	 	      	   	 9	Im   	N	 -58	 1.99	h   	 1.23	90	   	 0.00	-11.9	24.9	 7.04	     	 	     	 145	-0.8	MESSIER081     	-0.3	-2.55	  0	UGC08245                     	UGC08245
     691	MCG -04-31-038    	  7	13 09 36.6	-27 08 26	  1.02	 0.67	 0.33	 	16.79	15.09	 	     	10.80	 	 	 15.35	 59	10	Ir   	N	 684	 7.80	TF  	 2.45	55	 31	 0.00	-14.7	23.6	 8.79	 8.43	 	 7.98	 461	-1.1	NGC4594        	-0.9	     	  1	MCG -04-31-038               	MCG -04-31-038
     692	ESO269-058        	  8	13 10 32.9	-46 59 27	  4.68	 0.60	 0.46	 	16.65	13.29	 	20.69	 9.04	 	 	 15.27	 62	 9	Ir   	L	 400	 3.80	TRGB	 5.60	62	 30	 0.00	-15.1	25.0	 8.87	 8.77	 	 7.38	 140	 2.1	NGC4945        	 2.2	 1.91	  1	ESO269-058                   	ESO269-058
     693	[KK2000] 53       	  4	13 11 14.2	-38 54 22	  0.79	 0.87	 0.38	>	23.00	17.30	 	     	12.85	*	>	 17.80	   	-3	Sph  	L	    	 3.60	mem 	 0.93	36	   	 0.00	-10.9	25.3	 7.30	     	<	 6.32	    	 1.3	NGC5128        	 1.4	 1.92	  1	[KK2000] 53                  	[KK2000] 53
     694	NGC5023           	  8	13 12 11.9	+44 02 19	  7.24	 0.11	 0.08	 	14.81	12.85	 	16.43	 9.74	 	 	 13.30	178	 7	     	 	 407	 6.61	TRGB	12.97	90	 78	 0.73	-17.1	24.8	 9.08	 9.96	 	 8.65	 476	-0.6	NGC5195        	-0.1	-1.28	  1	NGC5023                      	NGC5023
     695	KK189             	  5	13 12 45.0	-41 49 55	  0.60	 0.67	 0.49	>	23.00	17.75	>	25.37	13.20	*	>	 20.90	   	-3	Sph  	L	    	 4.21	TRGB	 0.84	62	   	 0.00	-10.9	25.1	 7.30	     	<	 5.22	    	 0.9	NGC5128        	 1.0	 1.91	  1	[KK98a] 189                  	[KK98a] 189
     696	CGCG 217-018      	  6	13 12 51.8	+40 32 35	  1.00	 0.67	 0.06	 	16.71	14.93	 	18.64	12.59	 	 	      	   	 9	BCD  	N	 555	 8.33	mem 	 2.42	55	   	 0.00	-14.7	23.5	 8.12	     	 	     	 608	 0.5	NGC5055        	 0.6	 1.77	  0	MCG+07-27-045                	MCG+07-27-045
     697	KKH82             	  3	13 12 58.7	+41 47 12	  1.15	 0.79	 0.06	 	20.48	16.40	 	     	14.00	*	 	      	   	10	Tr   	L	 529	 8.06	h   	 2.70	42	   	 0.00	-13.2	25.3	 7.53	     	 	     	 588	 0.1	NGC5055        	 0.5	 2.12	  0	[KKH2001] 82                 	[KKH2001] 82
     698	ESO269-066        	  6	13 13 09.2	-44 53 24	  2.14	 0.86	 0.40	>	23.00	14.59	>	25.37	10.12	*	>	 21.40	   	-1	Sph  	L	 784	 3.82	TRGB	 2.58	34	   	 0.00	-13.7	24.7	 8.44	     	<	 4.94	 528	 2.0	NGC5128        	 2.1	 1.92	  1	ESO269-066                   	ESO269-066
     699	NGC5011C          	  6	13 13 11.9	-43 15 56	  1.17	 0.66	 0.50	 	19.18	14.21	 	     	11.24	 	>	 15.80	   	-1	Tr   	N	 647	 3.60	mem 	 1.35	56	   	 0.00	-14.1	22.9	 7.95	     	<	 7.12	 394	 2.0	NGC5128        	 2.0	 1.92	  0	NGC5011C                     	NGC5011C
     700	DDO167            	  8	13 13 22.8	+46 19 11	  1.10	 0.55	 0.04	 	16.39	15.45	 	19.14	13.45	 	 	 15.96	 19	10	Ir   	N	 150	 4.19	TRGB	 1.32	67	  3	 0.00	-12.7	24.2	 7.18	 6.05	 	 7.19	 230	 0.1	NGC4736        	 0.4	 1.42	  1	DDO167                       	DDO167
     701	KK191             	  4	13 13 39.7	+42 02 39	  0.42	 0.96	 0.06	 	23.36	18.20	 	     	15.80	*	>	 19.20	   	10	Tr   	L	    	 6.00	txt 	 0.74	18	   	 0.00	-10.8	24.9	 6.55	     	<	 6.21	    	-0.8	NGC4736        	-0.3	 0.74	  0	[KK98a] 191                  	[KK98a] 191
     702	DDO168            	  8	13 14 28.6	+45 55 10	  3.89	 0.39	 0.07	 	14.66	12.97	 	17.31	11.11	 	 	 13.14	 59	10	Ir   	N	 191	 4.33	TRGB	 4.79	90	 25	 0.00	-15.3	24.4	 8.14	 8.55	 	 8.35	 270	 0.3	NGC4736        	 0.4	 1.42	  1	DDO168                       	DDO168
     703	DDO169NW          	  6	13 15 20.1	+47 32 37	  0.78	 0.71	 0.04	 	17.69	18.00	 	     	15.61	*	 	 16.52	 30	10	Ir   	L	 242	 4.20	mem 	 0.94	51	 11	 0.00	-10.2	26.0	 6.31	 7.14	 	 6.97	 328	 0.0	NGC4736        	 0.3	 1.42	  0	                             	
