#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/511/139&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75110139
#Name: J/MNRAS/511/139
#Title: CRDs galaxies candidates in SDSS-IV MaNGA (Bevacqua+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	creator=Bevacqua D.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.511..139B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/511/139	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75110139	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_511_139_table1:
#Name: J/MNRAS/511/139/table1
#Title: Properties of Counter-Rotating stellar Disks galaxy candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A8)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	n_MaNGAId	(I1)	[1/2]? Note on MaNGAId objects (1)	[ucd=meta.note]
#Column	Mtype	(A2)	Galaxy Hubble morphology (Morphology) (2)	[ucd=src.morph.type]
#Column	logM*	(F5.2)	Stellar mass taken from Graham et al. 2019arXiv191005139G (log10M*)	[ucd=phys.mass]
#Column	Pth50	(F5.2)	Elliptical Petrosian 50 per cent light radius in SDSS r-band (Re)	[ucd=phys]
#Column	DPA	(F5.1)	? Difference of the kinematic position angles between the stellar and the gas velocity fields ({Delta}PA) (3)	[ucd=pos.posAng]
#Column	n_DPA	(A5)	Note on DPA (star/gas_alignment) (4)	[ucd=meta.note]
#Column	Pop	(A5)	[young old nan] Correspond to the corotation of the gaseous disk with the younger or older disk (star/gas_vs.pop)	[ucd=src.class]
#Column	logAge	(F5.2)	Luminosity weighted mean age within 1 R_e_ as in the equation 8 of the section 4.1 Stellar population maps (log10<Age>)	[ucd=phys.luminosity;stat.mean]
#Column	[M/H]	(F5.2)	Luminosity weighted mean metallicity within 1 R_e_ as in the equation 9 of the section 4.1 Stellar population maps (<[M/H]>)	[ucd=phys.luminosity;stat.mean]
#Column	GradAge	(F5.2)	Gradient of Age (GradAge) (5)	[ucd=time.age]
#Column	Grad[M/H]	(F5.2)	Gradient of metallicity (Grad[M/H]) (5)	[ucd=arith.grad;phys.abund]
#Column	Modality	(A5)	Modality of the weights maps from regularized fits (Modality) (6)	[ucd=src.class]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	n_MaNGAId	Mtype	logM*	Pth50	DPA	n_DPA	Pop	logAge	[M/H]	GradAge	Grad[M/H]	Modality	Simbad	_RA	_DE
    3176	1-408028 	DR15	N	S0  	F	M/CP	 0.752	 0.706	10.40	 1.88	206.24290	+31.00469
    3177	1-408035 	DR15	Y	S0  	F	R   	 0.516	 0.040	10.30	 1.76	206.20329	+31.28401
    3178	1-421316 	DR15	Y	S0  	F	R   	 0.287	 0.358	 9.85	 1.84	203.85011	+31.57141
    3179	1-591961 	DR15	Y	S0  	F	R   	 0.524	 0.071	 9.59	 1.47	204.62377	+30.98680
    3180	1-420908 	DR15	Y	E   	F	R   	 0.508	 0.246	 9.90	 1.55	204.08266	+32.87509
    3181	1-415958 	DR15	Y	S0  	F	    	 0.000	 0.407	 9.26	 1.66	205.24115	+31.41911
    3182	1-420636 	DR15	Y	S   	F	R   	 0.790	 0.359	10.24	 1.86	205.07605	+32.15314
    3183	1-420901 	DR15	Y	S0  	F	R   	 0.799	 0.469	 9.93	 1.85	203.78784	+32.66159
    3184	1-627238 	DR15	Y	S   	F	R   	 0.607	 0.560	10.93	 2.03	206.19842	+31.61567
    3185	1-415955 	DR15	Y	E   	F	R   	 0.571	 0.172	11.37	 2.24	205.32547	+31.29514
    3186	1-416015 	DR15	Y	S0  	F	R   	 0.557	 0.279	11.29	 2.09	205.35944	+31.25618
    3187	1-416039 	DR15	Y	S0  	F	R   	 0.925	 0.265	11.33	 2.16	205.87340	+31.00322
    3188	1-386272 	DR15	Y	E   	S	NR  	 0.047	 0.038	11.84	 2.34	135.41172	+27.66745
    3189	1-386847 	DR15	Y	S0  	F	R   	 0.853	 0.734	10.75	 1.93	136.65776	+29.06925
    3190	1-386836 	DR15	Y	S0  	F	R   	 0.922	 0.869	 9.87	 1.85	136.91255	+28.63596
    3191	1-605640 	DR15	Y	S0  	F	R   	 0.760	 0.804	 9.99	 1.81	136.78256	+28.31608
    3192	1-386263 	DR15	Y	S0  	S	NR  	 0.092	 0.208	 9.26	 1.86	136.24007	+27.72764
    3193	1-386670 	DR15	Y	S0  	F	R   	 0.670	 0.530	10.70	 2.16	137.11945	+27.99202
    3194	1-386605 	DR15	Y	S0  	F	R   	 0.838	 0.242	10.79	 1.89	136.24989	+28.34772
    3195	1-386430 	DR15	Y	S0  	F	R   	 0.783	 0.375	11.03	 2.17	135.83715	+28.69604
    3196	1-386264 	DR15	Y	S0  	F	R   	 0.605	 0.708	10.07	 2.01	136.29485	+28.28533
    3197	1-386601 	DR15	Y	S   	F	R   	 0.626	 0.596	 9.84	 1.73	136.30898	+28.22473
    3198	1-386452 	DR15	Y	S   	F	R   	 0.493	 0.102	11.10	 2.04	136.22834	+28.38431
    3199	1-386453 	DR15	N	I   	F	R   	 0.634	 0.409	 9.61	 1.84	136.13820	+28.34986
    3200	1-386657 	DR15	Y	S0  	F	R   	 0.494	 0.789	 9.29	 1.80	137.23489	+27.51382
    3201	1-386800 	DR15	Y	I   	F	NR  	 0.266	 0.563	 9.33	 1.77	137.26802	+28.25683
    3202	1-386822 	DR15	Y	S0  	F	R   	 0.706	 0.641	10.76	 2.10	137.11857	+28.91103
    3203	1-386685 	DR15	N	S   	F	R   	 0.359	 0.549	 9.60	 1.84	137.44943	+27.86231
    3204	1-386695 	DR15	N	U   	F	R   	 0.765	 0.630	10.90	 2.02	137.98351	+27.89927
    3205	1-174952 	DR15	N	M/CP	F	R   	 0.643	 0.293	11.84	 2.32	176.32691	+49.64977
    3206	1-175169 	DR15	Y	S   	F	R   	 0.825	 0.634	10.47	 1.89	176.86896	+50.43137
    3207	1-149730 	DR15	N	M/CP	S	M/CP	 0.287	 0.291	11.97	 2.46	176.22423	+51.26707
    3208	1-149758 	DR15	Y	S0  	F	R   	 0.546	 0.458	10.66	 1.86	176.08426	+51.01933
    3209	1-150254 	DR15	Y	S0  	F	R   	 0.419	 0.267	10.94	 1.69	176.78712	+50.99971
    3210	1-174979 	DR15	Y	S0  	F	R   	 0.706	 0.311	11.05	 2.09	176.95436	+50.40535
    3211	1-174982 	DR15	N	S0  	F	    	      	 0.037	 9.39	     	176.81142	+50.50167
    3212	1-617323 	DR15	Y	S   	F	R   	 0.716	 0.538	10.96	 2.05	177.44036	+50.52702
    3213	1-174966 	DR15	Y	S   	F	R   	 0.250	 0.243	10.06	 1.83	176.59253	+49.88930
    3214	1-175184 	DR15	Y	S   	F	R   	 0.883	 0.378	10.73	 2.01	177.52436	+50.46744
    3215	1-175187 	DR15	Y	S0  	F	R   	 0.879	 0.432	10.12	 1.74	177.73980	+50.61957
    3216	1-174904 	DR15	Y	S   	F	R   	 0.490	 0.277	 9.56	 1.93	175.55686	+50.68150
    3217	1-576172 	DR15	Y	E   	F	R   	 0.232	 0.186	11.80	 2.42	174.99350	+51.15134
    3218	1-175200 	DR15	Y	S   	F	R   	 0.814	 0.500	11.58	 2.24	178.46246	+51.03120
    3219	1-174947 	DR15	Y	S0  	F	2S  	 0.306	 0.543	11.00	 2.24	176.35873	+49.87904
    3220	1-174880 	DR15	Y	S   	F	R   	 0.852	 0.043	11.09	 1.86	174.24666	+50.22433
    3221	1-174895 	DR15	Y	S   	F	R   	 0.825	 0.720	11.31	 2.16	174.74799	+49.77803
    3222	1-174373 	DR15	Y	S0  	F	R   	 0.808	 0.113	 9.73	 1.51	173.42620	+48.31861
    3223	1-174826 	DR15	Y	E   	F	R   	 0.729	 0.376	10.67	 2.02	173.67907	+49.09082
    3224	1-576106 	DR15	Y	E   	F	R   	 0.223	 0.193	11.73	 2.50	173.49678	+49.06203
    3225	1-174631 	DR15	Y	S0  	F	R   	 0.503	 0.055	10.46	 1.80	173.53757	+49.25456
    3226	1-174390 	DR15	Y	S   	F	R   	 0.718	 0.634	10.93	 2.09	173.93315	+49.03765
    3227	1-174429 	DR15	Y	S0  	F	R   	 0.895	 0.710	10.52	 1.92	173.34594	+49.03804
    3228	1-174435 	DR15	Y	S0  	F	R   	 0.748	 0.402	11.03	 2.41	173.30626	+49.10196
    3229	1-174384 	DR15	Y	E   	F	R   	 0.494	 0.034	10.14	 1.66	174.02211	+48.95500
    3230	1-615485 	DR15	Y	E   	F	R   	 0.370	 0.228	11.14	 2.19	173.14505	+49.10965
    3231	1-174781 	DR15	Y	E   	S	R   	 0.060	 0.211	11.38	 2.35	174.15269	+49.06305
    3232	1-589092 	DR15	Y	S   	F	R   	 0.509	 0.385	10.48	 1.88	174.72712	+49.66036
    3233	1-174914 	DR15	Y	S0  	F	R   	 0.605	 0.062	10.12	 1.85	174.74526	+50.00589
    3234	1-615921 	DR15	Y	S   	F	R   	 0.879	 0.327	11.04	 2.01	173.92967	+49.73782
    3235	1-150286 	DR15	Y	S0  	F	R   	 0.538	 0.179	10.45	 1.94	175.40272	+51.86272
    3236	1-150013 	DR15	N	E   	F	F   	 0.319	 0.373	11.61	 2.38	176.13182	+52.68508
    3237	1-150394 	DR15	N	S   	F	M/CP	 0.599	 0.005	10.96	 2.43	178.33753	+52.34531
    3238	1-150387 	DR15	Y	S0  	F	R   	 0.570	 0.296	10.96	 1.99	177.65215	+52.92848
    3239	1-150245 	DR15	Y	S   	F	R   	 0.892	 0.394	11.13	 1.99	176.94067	+51.08418
    3240	1-149985 	DR15	Y	S0  	F	R   	 0.706	 0.410	10.97	 2.17	175.46578	+52.64810
    3241	1-150328 	DR15	Y	E   	F	R   	 0.787	 0.167	11.00	 2.16	176.56727	+52.89752
    3242	1-149720 	DR15	Y	S0  	F	R   	 0.793	 0.466	11.26	 2.26	174.22898	+52.07474
    3243	1-188749 	DR15	Y	E   	F	R   	 0.173	 0.298	11.81	 2.44	176.27718	+53.64796
    3244	1-150302 	DR15	Y	S0  	F	R   	 0.634	 0.503	 9.32	 1.58	176.02299	+52.85804
    3245	1-149989 	DR15	Y	S0  	F	F   	 0.101	 0.061	 9.54	 1.71	175.82233	+52.76073
    3246	1-150173 	DR15	Y	S0  	F	R   	 0.829	 0.575	10.57	 1.96	178.04875	+51.98966
    3247	1-150227 	DR15	Y	E   	S	R   	 0.087	 0.168	11.96	 2.41	177.27167	+51.58221
    3248	1-150232 	DR15	Y	E   	F	R   	 0.212	 0.069	12.14	 2.44	177.21798	+51.55218
    3249	1-188177 	DR15	Y	E   	F	R   	 0.306	 0.368	10.59	 2.10	176.12969	+53.68272
    3250	1-576162 	DR15	Y	S0  	F	R   	 0.737	 0.432	11.18	 2.12	178.02595	+53.31122
    3251	1-150337 	DR15	Y	S0  	F	M/CP	 0.851	 0.259	10.48	 2.75	176.83434	+52.48843
    3252	1-150397 	DR15	Y	E   	F	R   	 0.363	 0.055	11.84	 2.29	178.37742	+52.68945
    3253	1-149650 	DR15	Y	S0  	F	R   	 0.785	 0.661	10.95	 2.06	171.35682	+51.88393
    3254	1-149556 	DR15	Y	S   	F	R   	 0.869	 0.733	11.10	 2.12	172.31724	+51.52323
    3255	1-149887 	DR15	Y	S   	F	R   	 0.824	 0.112	10.49	 1.48	172.79856	+51.69807
    3256	1-576181 	DR15	Y	S   	F	R   	 0.740	 0.068	11.06	 1.96	172.63125	+51.45594
    3257	1-149517 	DR15	N	M/CP	S	R   	 0.634	 0.377	11.25	 2.26	172.21838	+51.00068
    3258	1-614907 	DR15	Y	E   	S	R   	 0.104	 0.182	11.46	 2.42	172.19290	+52.24850
    3259	1-149496 	DR15	Y	S0  	F	R   	 0.441	 0.217	10.44	 2.10	172.62193	+50.76527
    3260	1-149561 	DR15	Y	S0  	F	R   	 0.635	 0.452	10.43	 1.74	171.65726	+51.57304
    3261	1-149878 	DR15	Y	E   	F	R   	 0.435	 0.277	10.88	 2.25	173.80689	+51.16193
    3262	1-149879 	DR15	Y	S0  	F	R   	 0.729	 0.703	 9.91	 1.78	173.52925	+51.22083
    3263	1-149871 	DR15	Y	E   	F	R   	 0.235	 0.100	11.09	 2.22	173.48735	+51.24978
    3264	1-149471 	DR15	Y	S0  	F	R   	 0.688	 0.356	10.98	 2.13	173.03784	+50.76553
    3265	1-149563 	DR15	Y	S0  	F	R   	 0.806	 0.346	10.06	 1.64	171.46222	+50.67162
    3266	1-277300 	DR15	Y	S   	F	R   	 0.817	 0.527	11.67	 2.29	165.04745	+45.73783
    3267	1-277443 	DR15	Y	I   	F	2S  	 0.706	 0.627	11.42	 1.75	165.25758	+46.56547
    3268	1-277279 	DR15	Y	S   	F	R   	 0.788	 0.336	11.30	 2.17	165.39153	+45.65387
    3269	1-277308 	DR15	Y	S0  	F	R   	 0.522	 0.359	 9.96	 1.93	165.09527	+44.95720
    3270	1-277317 	DR15	Y	E   	F	R   	 0.196	 0.038	11.46	 2.18	164.40472	+45.63443
    3271	1-173397 	DR15	Y	S0  	F	R   	 0.845	 0.375	 9.93	 1.70	164.71576	+47.30251
    3272	1-173384 	DR15	Y	E   	F	R   	 0.597	 0.110	11.15	 2.23	164.04890	+46.88067
    3273	1-278079 	DR15	Y	E   	S	NR  	 0.038	 0.225	11.96	 2.46	166.08657	+46.05610
    3274	1-276557 	DR15	Y	S0  	F	R   	 0.772	 0.762	 9.08	 1.72	163.88521	+44.95372
    3275	1-276843 	DR15	Y	S0  	F	R   	 0.836	 0.794	 9.90	 1.87	163.95206	+45.98289
    3276	1-278059 	DR15	Y	E   	F	R   	 0.408	 0.139	11.30	 2.29	166.70483	+45.96463
    3277	1-277525 	DR15	Y	S0  	F	R   	 0.761	 0.417	 9.94	 1.85	166.68922	+45.90725
    3278	1-278062 	DR15	Y	S0  	F	R   	 0.772	 0.483	10.87	 2.06	166.65570	+46.03878
    3279	1-278057 	DR15	N	U   	F	R   	 0.733	 0.491	11.11	 2.17	166.76744	+45.82214
    3280	1-277257 	DR15	Y	S   	F	R   	 0.822	 0.556	10.75	 2.08	165.91011	+45.17997
    3281	1-277254 	DR15	Y	S0  	F	R   	 0.572	 0.424	10.08	 1.81	165.89192	+45.17042
    3282	1-277246 	DR15	Y	S0  	F	R   	 0.630	 0.112	 9.51	 1.47	166.18780	+45.15643
    3283	1-588013 	DR15	Y	S0  	F	R   	 0.557	 0.762	 9.51	 1.87	166.53204	+45.12225
    3284	1-188110 	DR15	Y	E   	F	R   	 0.240	 0.155	11.89	 2.50	174.39285	+54.85328
    3285	1-188218 	DR15	Y	I   	F	R   	 0.341	 0.382	 9.49	 1.82	175.94865	+54.70750
    3286	1-188888 	DR15	N	E   	S	R   	 0.115	 0.151	11.81	 2.38	177.80614	+55.11643
    3287	1-616662 	DR15	Y	E   	S	KDC 	 0.089	 0.146	11.74	 2.38	175.51141	+55.39062
    3288	1-150370 	DR15	Y	S   	F	R   	 0.867	 0.079	11.65	 2.15	177.84453	+53.44419
    3289	1-189197 	DR15	Y	E   	F	R   	 0.281	 0.230	10.57	 2.09	176.94401	+55.39002
    3290	1-189145 	DR15	Y	S0  	F	R   	 0.804	 0.390	11.33	 2.26	176.90216	+54.75114
    3291	1-188756 	DR15	Y	E   	F	R   	 0.700	 0.462	10.55	 2.17	175.29104	+54.97784
    3292	1-188530 	DR15	Y	E   	S	2S  	 0.104	 0.356	11.00	 2.30	175.81782	+55.27770
    3293	1-188165 	DR15	Y	E   	F	R   	 0.319	 0.143	11.70	 2.37	175.60204	+54.77419
    3294	1-188753 	DR15	Y	S0  	F	R   	 0.428	 0.153	11.10	 2.08	175.93832	+54.84551
    3295	1-188186 	DR15	Y	E   	F	R   	 0.501	 0.289	11.22	 2.23	176.42878	+54.54116
    3296	1-188545 	DR15	Y	E   	S	R   	 0.099	 0.175	11.84	 2.35	175.54469	+55.45825
    3297	1-188548 	DR15	Y	S   	F	R   	 0.808	 0.158	11.93	 2.10	175.53406	+55.42360
    3298	1-188844 	DR15	Y	E   	F	R   	 0.344	 0.011	11.49	 2.15	176.50802	+55.41962
    3299	1-188803 	DR15	Y	S0  	F	R   	 0.837	 0.685	11.22	 2.12	176.12427	+55.57777
    3300	1-187866 	DR15	Y	S0  	F	R   	 0.353	 0.686	 9.30	 2.53	174.18414	+54.64984
    3301	1-149686 	DR15	N	S0  	F	R   	 0.893	 0.534	11.52	 2.21	172.49208	+52.18312
    3302	1-149678 	DR15	Y	S0  	F	R   	 0.869	 0.774	11.52	 2.23	172.36791	+52.22565
    3303	1-149622 	DR15	N	I   	F	R   	 0.796	 0.724	 9.50	 1.66	171.97836	+53.00109
    3304	1-188309 	DR15	Y	S0  	F	R   	 0.717	 0.726	10.24	 1.87	173.04634	+53.30610
    3305	1-187430 	DR15	Y	S0  	F	R   	 0.645	 0.185	10.59	 2.02	170.97139	+53.12939
    3306	1-149905 	DR15	Y	S0  	F	R   	 0.765	 0.398	10.74	 2.10	172.74789	+52.28661
    3307	1-149683 	DR15	Y	S0  	F	R   	 0.689	 0.452	11.24	 2.20	172.71087	+52.20771
    3308	1-187429 	DR15	Y	E   	F	R   	 0.498	 0.390	11.75	 2.44	172.33062	+54.12608
    3309	1-188330 	DR15	Y	S0  	F	R   	 0.865	 0.329	10.79	 2.01	172.30201	+53.73397
    3310	1-149709 	DR15	Y	E   	F	R   	 0.613	 0.339	10.82	 1.89	173.41287	+52.67459
    3311	1-149882 	DR15	Y	S0  	F	R   	 0.716	 0.001	10.48	 1.60	172.88171	+51.41061
    3312	1-187394 	DR15	Y	S   	F	R   	 0.607	 0.575	 9.87	 1.89	173.00091	+53.71410
    3313	1-187419 	DR15	Y	E   	F	R   	 0.307	 0.030	10.87	 2.15	171.95423	+53.73943
    3314	1-187821 	DR15	N	S0  	F	R   	 0.707	 0.495	 9.23	 1.53	174.40414	+53.58517
    3315	1-149721 	DR15	Y	S0  	F	R   	 0.743	 0.093	11.21	 2.03	173.89857	+51.75852
    3316	1-187006 	DR15	Y	E   	S	R   	 0.096	 0.104	11.59	 2.35	170.48760	+52.96278
    3317	1-149597 	DR15	Y	S0  	F	R   	 0.856	 0.758	10.14	 1.90	170.48336	+52.85097
    3318	1-149454 	DR15	Y	S   	F	R   	 0.657	 0.687	11.74	 2.39	170.16277	+52.62504
    3319	1-149621 	DR15	Y	E   	S	M/CP	 0.144	 0.357	10.91	 2.19	171.39412	+52.54630
    3320	1-149624 	DR15	Y	S0  	F	R   	 0.459	 0.256	 9.71	 1.84	171.35740	+52.62288
    3321	1-149610 	DR15	Y	S0  	F	R   	 0.932	 0.773	10.81	 2.06	171.15978	+52.53343
    3322	1-149193 	DR15	Y	E   	F	R   	 0.495	 0.262	11.14	 2.42	170.16647	+50.82729
    3323	1-149170 	DR15	Y	S0  	F	R   	 0.644	 0.345	10.83	 1.73	170.56228	+50.74234
    3324	1-149172 	DR15	Y	S0  	F	NR  	 0.168	 0.301	 9.49	 1.55	170.53953	+51.13043
    3325	1-149589 	DR15	Y	S0  	F	R   	 0.673	 0.418	10.32	 1.80	170.72345	+51.34178
    3326	1-149557 	DR15	Y	S0  	F	R   	 0.350	 0.200	 9.49	 1.83	171.77902	+51.13164
    3327	1-149470 	DR15	Y	E   	F	R   	 0.256	 0.050	11.14	 2.21	170.63417	+51.53314
    3328	1-149631 	DR15	Y	S0  	F	R   	 0.745	 0.386	11.54	 2.31	170.85980	+51.71902
    3329	1-149384 	DR15	Y	S   	F	R   	 0.725	 0.395	11.02	 2.14	169.37836	+51.96633
    3330	1-149507 	DR15	N	U   	F	M/CP	 0.105	 0.057	11.20	 2.04	172.15613	+50.82738
    3331	1-149512 	DR15	Y	S0  	F	R   	 0.774	 0.564	11.16	 2.14	172.31839	+50.95336
    3332	1-149536 	DR15	N	S   	F	R   	 0.692	 0.444	10.90	 2.09	172.10450	+51.02835
    3333	1-149541 	DR15	Y	E   	F	R   	 0.372	 0.110	11.37	 2.24	172.43051	+51.23766
    3334	1-576182 	DR15	Y	S0  	F	R   	 0.551	 0.465	11.31	 2.28	172.44301	+51.24571
    3335	1-149461 	DR15	Y	S   	F	R   	 0.828	 0.150	10.88	 1.88	171.06557	+51.74231
    3336	1-148664 	DR15	Y	S0  	F	R   	 0.617	 0.270	10.26	 1.71	163.06386	+49.69570
    3337	1-148653 	DR15	Y	S0  	F	R   	 0.707	 0.317	 9.84	 1.69	163.91241	+49.88913
    3338	1-148652 	DR15	Y	S0  	F	R   	 0.290	 0.272	10.36	 2.01	163.96173	+49.67810
    3339	1-148599 	DR15	Y	S0  	F	R   	 0.785	 0.520	10.13	 1.79	164.98620	+50.12376
    3340	1-148601 	DR15	Y	E   	F	R   	 0.414	 0.139	10.74	 2.04	164.88901	+49.98546
    3341	1-148597 	DR15	Y	S0  	F	R   	 0.429	 0.064	 9.93	 1.79	165.16181	+50.20139
    3342	1-148985 	DR15	Y	I   	F	R   	 0.573	 0.326	 9.75	 1.75	164.98212	+50.40883
    3343	1-148780 	DR15	Y	S0  	F	R   	 0.494	 0.315	10.20	 1.88	163.62270	+50.57754
    3344	1-576235 	DR15	Y	E   	S	NR  	 0.089	 0.191	12.06	 2.39	163.43388	+49.49887
    3345	1-148621 	DR15	Y	E   	F	R   	 0.169	 0.046	10.47	 2.04	164.66263	+50.19034
    3346	1-173626 	DR15	Y	S0  	F	R   	 0.830	 0.171	10.15	 1.84	163.72381	+48.94454
    3347	1-173630 	DR15	Y	S0  	F	R   	 0.529	 0.215	 9.87	 1.54	163.77200	+49.07881
    3348	1-148602 	DR15	Y	S0  	F	R   	 0.381	 0.632	 9.67	 1.80	163.79285	+49.37146
    3349	1-148615 	DR15	Y	S0  	F	R   	 0.893	 0.654	11.78	 2.33	164.79360	+50.26375
    3350	1-187034 	DR15	Y	E   	F	R   	 0.204	 0.116	11.82	 2.35	170.18250	+53.72706
    3351	1-614392 	DR15	Y	S   	F	R   	 0.828	 0.673	10.44	 1.96	170.87287	+53.67756
    3352	1-188307 	DR15	Y	S0  	F	R   	 0.725	 0.232	10.65	 1.77	173.16187	+53.45217
    3353	1-188303 	DR15	Y	E   	S	NR  	 0.081	 0.252	11.31	 2.31	173.01927	+53.57598
    3354	1-187404 	DR15	Y	E   	S	M/CP	 0.105	 0.098	11.39	 2.28	172.61459	+54.02846
    3355	1-149896 	DR15	Y	S0  	F	R   	 0.883	 0.823	11.43	 2.06	173.19452	+52.94090
    3356	1-614567 	DR15	Y	E   	F	R   	 0.450	 0.175	10.52	 2.19	171.40065	+54.38257
    3357	1-149695 	DR15	Y	E   	S	NR  	 0.064	 0.090	 9.90	 1.58	172.88630	+52.65603
    3358	1-187072 	DR15	Y	S0  	F	R   	 0.782	 0.411	 9.46	 1.72	169.78759	+53.83783
    3359	1-187355 	DR15	Y	E   	S	NR  	 0.024	 0.052	11.49	 2.28	170.01311	+54.53679
    3360	1-187465 	DR15	Y	S0  	F	R   	 0.686	 0.279	10.05	 1.85	170.51632	+52.97865
    3361	1-187562 	DR15	Y	S0  	F	R   	 0.540	 0.208	10.52	 2.11	169.01084	+53.82362
    3362	1-187436 	DR15	Y	S0  	F	R   	 0.682	 0.239	10.14	 1.80	170.88396	+53.46820
    3363	1-187324 	DR15	Y	S0  	F	R   	 0.749	 0.616	 9.99	 1.93	169.61061	+54.46555
    3364	1-187966 	DR15	Y	E   	F	R   	 0.188	 0.110	11.46	 2.33	171.27944	+54.18614
    3365	1-187554 	DR15	Y	E   	F	R   	 0.151	 0.109	11.48	 2.32	168.74375	+53.62496
    3366	1-187505 	DR15	Y	E   	S	M/CP	 0.097	 0.247	11.70	 2.40	169.83158	+53.68820
    3367	1-187495 	DR15	Y	E   	F	R   	 0.361	 0.238	11.75	 2.43	169.92688	+53.71607
    3368	1-373219 	DR15	Y	S0  	F	R   	 0.601	 0.155	11.28	 2.02	222.21185	+30.56435
    3369	1-373175 	DR15	Y	E   	F	R   	 0.493	 0.199	11.05	 2.39	222.83362	+30.66383
    3370	1-373161 	DR15	Y	E   	S	NR  	 0.048	 0.382	11.78	 2.31	222.81007	+30.69225
    3371	1-314374 	DR15	N	M/CP	S	M/CP	 0.323	 0.219	11.54	 2.49	223.99287	+32.62572
    3372	1-314817 	DR15	Y	S0  	F	R   	 0.906	 0.403	11.19	 2.14	224.73719	+31.78665
    3373	1-373102 	DR15	Y	S   	F	R   	 0.687	 0.142	10.48	 1.68	223.65206	+30.61801
    3374	1-373100 	DR15	Y	S0  	F	R   	 0.579	 0.203	10.49	 1.98	223.61237	+30.90851
    3375	1-373136 	DR15	N	M/CP	F	NR  	 0.111	 0.475	10.04	 1.68	223.21042	+30.42710
    3376	1-314484 	DR15	Y	E   	F	R   	 0.117	 0.146	11.48	 2.29	222.81014	+32.37819
    3377	1-373354 	DR15	Y	E   	F	R   	 0.720	 0.398	11.07	 2.19	223.40657	+31.43927
    3378	1-373191 	DR15	Y	S0  	F	R   	 0.718	 0.175	11.35	 2.27	222.94061	+30.29437
    3379	1-373351 	DR15	N	E   	S	M/CP	 0.123	 0.149	11.73	 2.40	223.25156	+31.04036
    3380	1-373011 	DR15	Y	S0  	F	R   	 0.441	 0.295	10.97	 2.13	222.03492	+31.71035
    3381	1-373407 	DR15	Y	E   	F	R   	 0.246	 0.136	11.77	 2.32	224.01072	+31.53153
    3382	1-373327 	DR15	Y	E   	F	R   	 0.322	 0.146	11.67	 2.37	222.97627	+31.28014
    3383	1-373381 	DR15	Y	S0  	F	R   	 0.714	 0.720	 9.54	 1.78	223.71092	+30.95800
    3384	1-373066 	DR15	Y	S0  	F	R   	 0.909	 0.347	11.49	 2.20	221.91082	+32.60236
    3385	1-314424 	DR15	Y	S0  	F	R   	 0.778	 0.635	10.92	 2.04	223.38336	+32.83068
    3386	1-314040 	DR15	Y	E   	F	R   	 0.307	 0.130	11.66	 2.36	221.79203	+33.21047
    3387	1-314013 	DR15	Y	E   	F	R   	 0.177	 0.013	11.55	 2.19	221.91923	+33.12775
    3388	1-314449 	DR15	Y	S0  	F	R   	 0.790	 0.002	11.57	 1.95	222.96119	+33.18298
    3389	1-314409 	DR15	Y	S   	F	R   	 0.746	 0.166	11.56	 2.11	223.86746	+32.84003
    3390	1-314028 	DR15	Y	E   	S	CR  	 0.073	 0.043	11.44	 2.34	222.45376	+33.85746
