#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/408/873&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34080873
#Name: J/A+A/408/873
#Title: Gas and stellar kinematics in spirals (Corsini+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2003A&A...408..873C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/408/873	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34080873	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_408_873_table3:
#Name: J/A+A/408/873/table3
#Title: Ionized-gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	vg(r)	(I4)	Line-of-sight gas mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_vg(r)	(I2)	Error of v_g(r)_	[ucd=stat.error]
#Column	sigmag	(I3)	Line-of-sight gas velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmag	(I3)	Error of sigma_g(r)_	[ucd=stat.error]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Name	PA	r	vg(r)	e_vg(r)	sigmag	e_sigmag	Simbad	NED
     136	NGC4586	115	 -0.3	  -7	 4	 94	 4
     137	NGC4586	115	  0.5	   4	 4	 97	 4
     138	NGC4586	115	  1.3	  15	 4	 91	 4
     139	NGC4586	115	  2.2	  24	 4	 93	 5
     140	NGC4586	115	  3.0	  35	 5	 96	 5
     141	NGC4586	115	  4.2	  36	 5	 94	 5
     142	NGC4586	115	  5.8	  43	 6	 96	 6
     143	NGC4586	115	  7.8	  49	 6	 90	 6
     144	NGC4586	115	 11.0	  52	 8	110	 8
     145	NGC4586	115	 16.2	  65	12	121	12
     146	NGC4586	115	 24.8	  61	15	112	14
     147	NGC4586	115	 40.2	 113	25	 83	26
     148	NGC4586	115	 60.8	 117	22	 76	26
     149	NGC4586	 25	-16.9	  22	17	126	15
     150	NGC4586	 25	 -8.7	   2	10	126	10
     151	NGC4586	 25	 -4.5	 -18	 7	107	 8
     152	NGC4586	 25	 -2.5	 -18	 6	108	 7
     153	NGC4586	 25	 -1.3	 -13	 6	 99	 6
     154	NGC4586	 25	 -0.5	  -1	 5	 95	 6
     155	NGC4586	 25	  0.3	   3	 4	 94	 5
     156	NGC4586	 25	  1.2	  -9	 4	106	 5
     157	NGC4586	 25	  2.0	 -14	 5	118	 6
     158	NGC4586	 25	  2.8	 -12	 5	111	 5
     159	NGC4586	 25	  4.0	  -8	 5	111	 6
     160	NGC4586	 25	  6.0	  -8	 7	108	 7
     161	NGC4586	 25	  9.1	  14	 9	109	 9
     162	NGC4586	 25	 16.4	  33	13	120	12
     163	NGC4984	 90	-31.5	 -27	18	 97	14
     164	NGC4984	 90	-26.0	 -49	10	 81	 8
     165	NGC4984	 90	-19.5	 -41	11	 84	 8
     166	NGC4984	 90	-14.1	 -38	10	 91	 7
     167	NGC4984	 90	-10.1	 -41	10	111	 9
     168	NGC4984	 90	 -7.2	 -45	 7	107	 7
     169	NGC4984	 90	 -5.2	 -39	 6	104	 7
     170	NGC4984	 90	 -4.0	 -38	 6	 92	 6
     171	NGC4984	 90	 -3.2	 -29	 4	 86	 4
     172	NGC4984	 90	 -2.4	 -22	 4	 97	 5
     173	NGC4984	 90	 -1.5	 -12	 4	 98	 4
     174	NGC4984	 90	 -0.7	  -7	 4	102	 4
     175	NGC4984	 90	  0.1	   2	 2	 98	 3
     176	NGC4984	 90	  0.9	  11	 3	 96	 3
     177	NGC4984	 90	  1.7	  14	 3	 97	 3
     178	NGC4984	 90	  2.5	  20	 3	 94	 3
     179	NGC4984	 90	  3.4	  20	 3	 87	 3
     180	NGC4984	 90	  4.2	  29	 4	 91	 4
     181	NGC4984	 90	  5.0	  25	 5	 86	 5
     182	NGC4984	 90	  5.8	  32	 6	 82	 5
     183	NGC4984	 90	  7.0	  17	 6	 83	 6
     184	NGC4984	 90	  9.0	  18	 7	102	 7
     185	NGC4984	 90	 11.9	  19	12	112	11
     186	NGC4984	 90	 15.9	   6	11	104	 9
     187	NGC4984	 90	 21.8	   8	11	 90	 9
     188	NGC4984	 90	 29.0	  20	13	 82	10
     189	NGC4984	 90	 40.2	  17	24	108	27
     190	NGC4984	  0	-27.4	-139	12	 82	18
     191	NGC4984	  0	-17.3	-112	 7	102	 8
     192	NGC4984	  0	-11.3	-101	 6	 95	 7
     193	NGC4984	  0	 -7.6	-116	 6	102	 7
     194	NGC4984	  0	 -5.6	-138	 4	 76	 5
     195	NGC4984	  0	 -4.5	-143	 5	 78	 5
     196	NGC4984	  0	 -3.6	-112	 5	 94	 5
     197	NGC4984	  0	 -2.8	 -82	 3	107	 4
     198	NGC4984	  0	 -2.0	 -68	 3	109	 4
     199	NGC4984	  0	 -1.2	 -47	 2	106	 3
     200	NGC4984	  0	 -0.4	 -14	 2	108	 3
     201	NGC4984	  0	  0.5	   6	 2	106	 3
     202	NGC4984	  0	  1.3	  30	 3	106	 4
     203	NGC4984	  0	  2.1	  51	 3	104	 4
     204	NGC4984	  0	  2.9	  64	 4	 94	 5
     205	NGC4984	  0	  3.7	  56	 5	 97	 6
     206	NGC4984	  0	  4.9	  64	 4	 99	 5
     207	NGC4984	  0	  6.9	  57	 5	109	 6
     208	NGC4984	  0	 10.1	  57	 6	109	 7
     209	NGC4984	  0	 15.7	  68	 8	123	 9
     210	NGC4984	  0	 25.7	  97	11	 98	11
     211	NGC7049	 57	-41.3	-227	39	205	36
     212	NGC7049	 57	-19.8	-180	20	247	19
     213	NGC7049	 57	-10.0	-146	14	249	13
     214	NGC7049	 57	 -5.7	-113	13	285	15
     215	NGC7049	 57	 -3.4	 -70	14	296	14
     216	NGC7049	 57	 -1.7	 -46	10	290	12
     217	NGC7049	 57	 -0.6	 -15	12	277	14
     218	NGC7049	 57	  0.3	   8	12	288	14
     219	NGC7049	 57	  1.5	  31	 8	295	 7
     220	NGC7049	 57	  3.1	  76	11	286	12
     221	NGC7049	 57	  5.1	 109	12	280	12
     222	NGC7049	 57	  8.6	 130	13	269	13
     223	NGC7049	 57	 16.1	 176	16	249	16
     224	NGC7049	 57	 36.2	 247	30	190	27
     225	NGC7049	147	-27.2	 -35	34	202	34
     226	NGC7049	147	-14.8	   0	20	238	18
     227	NGC7049	147	 -9.0	   8	18	254	17
     228	NGC7049	147	 -5.8	   5	15	268	14
     229	NGC7049	147	 -3.8	  22	16	319	19
     230	NGC7049	147	 -2.6	  34	14	292	17
     231	NGC7049	147	 -1.8	  37	11	294	12
     232	NGC7049	147	 -1.0	  44	11	295	10
     233	NGC7049	147	 -0.2	  41	10	297	 8
     234	NGC7049	147	  0.6	  44	10	305	 9
     235	NGC7049	147	  1.4	  38	11	291	11
     236	NGC7049	147	  2.3	  39	13	283	15
     237	NGC7049	147	  3.4	  24	14	290	14
     238	NGC7049	147	  5.4	  30	16	304	16
     239	NGC7049	147	  8.5	  18	19	274	16
     240	NGC7049	147	 15.8	  19	18	226	17
     241	NGC7049	147	 28.6	  15	40	203	32
     242	NGC7213	124	-33.9	 -26	18	187	20
     243	NGC7213	124	-20.9	 -56	10	203	11
     244	NGC7213	124	-15.0	 -44	 9	190	11
     245	NGC7213	124	-11.5	 -33	 7	168	11
     246	NGC7213	124	 -8.6	 -32	 8	200	 9
     247	NGC7213	124	 -6.6	 -29	 8	223	 9
     248	NGC7213	124	 -4.9	 -25	 8	224	 9
     249	NGC7213	124	 -3.8	 -32	 6	216	 7
     250	NGC7213	124	 -2.9	 -29	 6	211	 7
     251	NGC7213	124	 -2.1	 -17	 5	209	 6
     252	NGC7213	124	 -1.3	  -6	 5	217	 5
     253	NGC7213	124	 -0.5	   1	 5	213	 6
     254	NGC7213	124	  0.4	   8	 6	204	 9
     255	NGC7213	124	  1.2	   2	15	208	17
     256	NGC7213	124	  2.0	  10	 6	232	 7
     257	NGC7213	124	  2.8	   6	 6	227	 7
     258	NGC7213	124	  3.6	  11	 6	209	 7
     259	NGC7213	124	  4.8	   8	 7	215	 8
     260	NGC7213	124	  6.5	   6	10	220	11
     261	NGC7213	124	  8.5	  16	 7	192	10
     262	NGC7213	124	 11.3	  27	 7	168	11
     263	NGC7213	124	 15.3	   6	 9	196	11
     264	NGC7213	124	 22.1	  18	 9	163	 9
     265	NGC7213	124	 37.0	  27	23	174	22
     266	NGC7213	 34	-38.7	 -48	33	178	28
     267	NGC7213	 34	-23.0	 -59	14	180	16
     268	NGC7213	 34	-14.1	 -64	 8	146	 8
     269	NGC7213	 34	 -9.9	 -56	 9	193	10
     270	NGC7213	 34	 -7.0	 -50	 9	186	13
     271	NGC7213	 34	 -5.0	 -37	14	236	16
     272	NGC7213	 34	 -3.3	 -40	 9	223	10
     273	NGC7213	 34	 -2.2	 -28	 7	213	 8
     274	NGC7213	 34	 -1.3	 -24	 9	204	11
     275	NGC7213	 34	 -0.5	  -4	 8	211	 9
     276	NGC7213	 34	  0.3	   8	 9	210	10
     277	NGC7213	 34	  1.1	  14	 7	209	 8
     278	NGC7213	 34	  1.9	  11	 7	214	 8
     279	NGC7213	 34	  2.8	   7	 9	228	 9
     280	NGC7213	 34	  3.9	  12	 8	221	 9
     281	NGC7213	 34	  5.6	  30	11	224	13
     282	NGC7213	 34	  7.6	  41	 9	187	12
     283	NGC7213	 34	 10.5	  40	 8	175	10
     284	NGC7213	 34	 14.4	  26	 9	161	 9
     285	NGC7213	 34	 22.1	   6	13	202	14
     286	NGC7213	 34	 37.7	  16	25	153	18
     287	NGC7377	101	-20.4	  36	17	196	18
     288	NGC7377	101	-12.2	  18	 9	178	12
     289	NGC7377	101	 -7.9	  26	 9	210	13
     290	NGC7377	101	 -5.0	 -13	 8	186	11
     291	NGC7377	101	 -3.0	  -7	 7	196	 9
     292	NGC7377	101	 -1.8	 -11	 7	185	10
     293	NGC7377	101	 -1.0	  -5	 6	196	 8
     294	NGC7377	101	 -0.2	   3	 6	183	 8
     295	NGC7377	101	  0.7	  -4	 6	180	 8
     296	NGC7377	101	  1.5	  -3	 7	174	11
     297	NGC7377	101	  2.7	   1	 6	191	10
     298	NGC7377	101	  4.3	   1	 8	184	11
     299	NGC7377	101	  6.3	 -22	 9	185	13
     300	NGC7377	101	  9.5	 -18	10	200	11
     301	NGC7377	101	 15.3	 -36	13	140	13
     302	NGC7377	101	 28.0	 -48	40	195	39
     303	NGC7377	 11	-26.7	 -24	37	209	42
     304	NGC7377	 11	-13.7	 -14	15	191	16
     305	NGC7377	 11	 -7.9	 -16	 9	183	12
     306	NGC7377	 11	 -4.7	 -17	10	186	14
     307	NGC7377	 11	 -2.7	  -8	 7	186	 9
     308	NGC7377	 11	 -1.6	 -18	 7	200	 9
     309	NGC7377	 11	 -0.7	  -4	 6	190	 8
     310	NGC7377	 11	  0.1	   0	 6	181	 8
     311	NGC7377	 11	  0.9	  -5	 6	188	 9
     312	NGC7377	 11	  2.1	   0	 7	193	10
     313	NGC7377	 11	  4.1	  -1	 9	207	11
     314	NGC7377	 11	  7.2	  -1	 9	171	11
     315	NGC7377	 11	 13.7	  -3	18	197	21
     316	NGC7377	 11	 28.0	 -13	30	170	28

