#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
     172	085022.2+001607	 8602	132.5927	+00.2687	 13.4	  18.2	 0.196	 3.001	 3.860	 0.870	 2.290	 	 11.000	  3.400	   3.400	 	  34.000	  11.000	  13.000	 	 4.4000	  1.2000	  1.4000	 	  17.5000	   5.9000	  12.6000	 4.300	 1.100	 2.200	 	 10.600	  3.200	   3.100	 	     34.000	  11.00	  12.000	 862
     173	085027.8+001503	 1023	132.6160	+00.2509	128.7	 280.4	 0.197	 4.560	 3.310	 0.540	 0.670	 	 55.800	  3.800	   3.400	 	 155.000	  14.000	  15.000	 	20.5000	  2.3000	  2.5000	 	  68.0000	  13.0000	  17.0000	 3.210	 0.620	 1.360	 	 44.800	  3.400	   2.900	 	    125.000	  13.00	  19.000	 860
     174	085030.5+003330	 6125	132.6272	+00.5584	 29.2	  62.1	 0.192	 3.291	 5.200	 2.300	 6.400	 	 14.800	  1.700	   2.300	 	  52.000	  13.000	  32.000	 	 6.2800	  0.9700	  1.1800	 	  32.0000	  14.0000	  47.0000	 5.300	 2.100	 8.500	 	 11.800	  1.600	   2.300	 	     43.000	  11.00	  27.000	 852
     175	085051.8+015331	 8679	132.7161	+01.8921	  9.8	  22.0	 0.268	 2.270	14.400	 8.300	10.400	 	 10.700	  3.900	   3.500	 	  61.000	  26.000	  39.000	 	 3.7000	  1.4000	  1.1000	<	 150.0000	         	         	14.200	 9.400	10.000	 	  6.600	  3.000	   3.500	<	     94.000	       	        	 862
     176	085056.4+005607	 3556	132.7354	+00.9353	  9.9	  83.5	 0.295	 2.459	 2.500	 1.400	 2.900	 	 16.400	  4.600	   5.200	 	  42.000	  14.000	  21.000	 	 6.3000	  1.3000	  1.5000	<	  58.0000	         	         	 0.930	 0.110	 0.160	 	 13.400	  4.100	   3.900	 	     25.400	   7.80	   8.000	 851
     177	085119.9+022951	 2101	132.8333	+02.4977	 54.7	 133.3	 0.381	 2.664	 2.250	 0.500	 0.540	 	 95.000	 10.000	  10.000	 	 233.000	  27.000	  29.000	 	22.7000	  2.9000	  3.2000	 	  51.0000	  12.0000	  14.0000	 2.580	 0.640	 0.950	 	 70.900	  9.400	  11.200	 	    184.000	  28.00	  37.000	 853
     178	085121.2+012856	11156	132.8384	+01.4825	 10.2	  25.2	 0.327	 2.217	14.200	 9.900	10.700	 	 13.700	  3.500	   4.200	 	  78.000	  34.000	  50.000	 	 6.2000	  1.8000	  1.6000	<	 260.0000	         	         	 9.300	 5.800	14.500	 	 10.900	  4.200	   4.000	 	     51.000	  23.00	  41.000	 860
     179	085128.4+011501	 7355	132.8685	+01.2505	  6.9	  48.0	 0.197	 2.817	 9.600	 5.100	10.700	<	  3.000	       	        	<	  17.000	        	        	<	 2.9000	        	        	<	  37.0000	         	         	 7.000	 4.000	11.900	<	  2.300	       	        	<	     11.000	       	        	 861
     180	085130.0-004609	18314	132.8750	-00.7693	 12.3	  23.7	 0.484	 1.950	 1.780	 0.410	 0.720	 	 35.600	  8.500	   8.700	 	  84.000	  20.000	  20.000	 	11.3000	  2.2000	  2.3000	 	  20.3000	   6.1000	   9.0000	 2.050	 0.510	 1.550	 	 29.800	  7.900	   7.700	 	     75.000	  21.00	  21.000	1010
     181	085131.0+045239	  863	132.8795	+04.8778	 28.0	 117.4	 0.395	 2.566	 2.630	 0.600	 1.500	 	117.000	 16.000	  15.000	 	 311.000	  48.000	  66.000	 	22.4000	  4.8000	  3.4000	 	  58.0000	  19.0000	  34.0000	 2.530	 0.570	 1.990	 	 74.000	 18.000	  13.000	 	    199.000	  50.00	  53.000	 827
     182	085138.2-003537	 4508	132.9096	-00.5938	  6.6	  40.1	 0.458	 1.862	16.200	 9.200	10.100	 	 17.300	  6.400	   6.700	 	 110.000	  50.000	  66.000	 	 7.5000	  2.5000	  2.4000	<	 310.0000	         	         	12.000	 6.100	12.900	 	 15.700	  5.500	   6.400	 	     87.000	  38.00	  60.000	1007
     183	085141.9+021438	 7280	132.9248	+02.2440	  9.1	  39.3	 0.107	 3.689	 1.010	 0.130	 0.160	<	  1.300	       	        	<	   2.600	        	        	<	 0.9800	        	        	<	   1.0000	         	         	 0.115	 0.083	 0.975	<	  1.500	       	        	<	1200000.000	       	        	 859
     184	085204.5+012132	 6636	133.0188	+01.3590	 27.9	  54.1	 0.401	 2.530	12.700	 7.400	12.000	 	 43.200	  7.200	   7.600	 	 238.000	  87.000	 129.000	 	16.0000	  2.4000	  3.1000	<	 630.0000	         	         	12.300	 7.800	10.400	 	 33.700	  7.100	   7.400	 	    182.000	  71.00	  98.000	 867
     185	085217.0-010131	  339	133.0709	-01.0254	209.0	 405.9	 0.460	 3.097	 9.700	 3.900	 6.400	 	232.000	 19.000	  20.000	 	1120.000	 250.000	 370.000	 	53.6000	  4.8000	  5.1000	 	 520.0000	 210.0000	 370.0000	12.800	 6.200	 9.900	 	163.000	 16.000	  11.000	 	    910.000	 270.00	 380.000	1133
     186	085230.6+002457	 2524	133.1275	+00.4159	 64.5	 140.4	 0.270	 3.364	 2.390	 0.440	 1.060	 	 37.100	  3.300	   3.300	 	  94.100	   9.600	  12.900	 	14.8000	  1.7000	  1.9000	 	  35.8000	   7.7000	  16.0000	 2.570	 0.580	 1.110	 	 29.400	  3.600	   3.100	 	     77.000	  10.00	  12.000	 967
     187	085231.1-011230	 4810	133.1296	-01.2084	 25.9	  69.7	 0.546	 1.949	 3.300	 1.500	 4.300	 	 50.800	  7.900	   9.500	 	 150.000	  28.000	  48.000	 	14.2000	  2.2000	  2.2000	 	  48.0000	  21.0000	  53.0000	12.800	 8.600	12.400	 	 36.400	  6.600	   6.800	 	    198.000	  79.00	 113.000	1172
     188	085239.6+003240	 5477	133.1652	+00.5446	 11.6	  40.7	 0.452	 1.921	 4.000	 2.000	 6.700	 	 31.900	  9.000	   7.600	 	  99.000	  31.000	  59.000	 	 8.9000	  3.9000	  1.9000	 	  30.0000	  15.0000	  61.0000	 3.300	 1.400	 5.700	 	 22.400	 10.400	   7.500	 	     67.000	  30.00	  37.000	 968
     189	085245.7-020519	 5790	133.1905	-02.0888	  8.2	  44.6	 0.761	 1.497	 2.400	 0.610	 3.270	 	 64.000	 20.000	  22.000	 	 175.000	  54.000	  65.000	<	18.0000	        	        	<	  74.0000	         	         	 3.400	 1.300	 3.000	<	 78.000	       	        	<	    240.000	       	        	1059
     190	085255.1-013737	 1376	133.2297	-01.6271	  7.4	  14.9	 0.343	 0.586	 4.900	 2.600	 9.400	 	  5.300	  1.100	   1.700	 	  18.700	   6.200	  13.800	 	 0.5100	  0.1000	  0.2300	<	  14.0000	         	         	 3.700	 2.000	 6.800	 	  5.000	  1.000	   1.500	 	     15.500	   4.50	  10.600	1668
     191	085256.8+052741	 6642	133.2370	+05.4615	  8.2	  29.0	 0.273	 2.401	10.800	 6.800	14.000	 	  8.400	  2.800	   2.900	 	  41.000	  18.000	  34.000	 	 1.4300	  0.6800	  0.8300	<	  65.0000	         	         	 7.100	 5.100	13.200	<	  7.200	       	        	<	     39.000	       	        	 545
     192	085325.6+030834	 9042	133.3570	+03.1430	  7.1	  29.7	 0.335	 2.074	 6.300	 4.300	10.800	 	  7.500	  1.800	   1.900	 	  28.000	  10.000	  21.000	 	 1.8300	  0.8600	  1.0000	<	  57.0000	         	         	 8.700	 7.000	15.600	<	  7.000	       	        	<	     52.000	       	        	 862
     193	085327.2-002117	 6003	133.3634	-00.3549	 17.5	  52.7	 0.193	 2.894	 6.800	 3.500	 8.300	 	  7.500	  1.500	   1.300	 	  29.100	   8.700	  17.300	 	 3.6100	  0.7000	  0.7600	<	  90.0000	         	         	 6.800	 3.700	11.400	 	  6.100	  1.700	   1.400	 	     23.800	   8.50	  18.900	1171
     194	085335.2+032214	 8596	133.3967	+03.3708	 12.0	  33.7	 0.295	 2.421	12.600	 7.500	12.100	 	 10.600	  2.900	   2.700	 	  57.000	  23.000	  35.000	 	 4.8000	  1.8000	  1.5000	<	 190.0000	         	         	12.700	 7.800	10.900	 	  7.400	  3.200	   2.800	 	     38.000	  19.00	  28.000	 854
     195	085340.5+022411	 9213	133.4191	+02.4032	 31.2	  48.5	 0.196	 3.367	 1.730	 0.380	 0.910	 	  7.800	  1.400	   1.100	 	  18.100	   3.200	   3.600	 	 3.9300	  0.7700	  0.8500	 	   6.9000	   2.1000	   4.0000	 1.550	 0.280	 0.640	 	  5.800	  1.200	   1.200	 	     12.900	   2.80	   3.400	 883
     196	085412.8-022123	 1458	133.5536	-02.3566	 12.7	  61.0	 0.377	 3.233	 8.100	 4.800	11.200	 	118.000	 13.000	  16.000	 	 510.000	 160.000	 350.000	 	31.7000	  4.1000	  4.4000	<	1000.0000	         	         	 6.500	 3.300	13.100	 	 76.000	 12.000	  16.000	 	    303.000	  88.00	 251.000	 312
     197	085419.5-000925	 1294	133.5814	-00.1572	 56.0	 110.0	 0.282	 3.324	 1.830	 0.220	 0.430	 	 47.100	  3.400	   3.500	 	 110.000	   8.000	  10.000	 	16.8000	  1.9000	  2.2000	 	  31.4000	   5.7000	   8.2000	 1.890	 0.250	 0.420	 	 35.000	  2.700	   3.400	 	     82.900	   7.60	   8.700	1196
     198	085433.0+004009	 3675	133.6376	+00.6693	 10.3	  46.5	 0.109	 3.878	 2.790	 0.480	 0.530	 	  0.630	  0.250	   0.250	 	   1.680	   0.700	   0.660	<	 0.3300	        	        	<	   0.8700	         	         	 2.600	 0.350	 0.570	<	  0.200	       	        	<	      0.510	       	        	1166
     199	085434.5-014038	 8094	133.6438	-01.6774	 13.6	  38.7	 0.595	 1.698	 1.810	 0.430	 0.860	 	 47.000	 11.000	  11.000	 	 112.000	  26.000	  26.000	 	11.9000	  2.2000	  2.2000	 	  21.9000	   7.0000	  11.2000	 2.020	 0.810	 1.570	 	 38.000	 11.000	  12.000	 	     93.000	  27.00	  31.000	1554
     200	085436.6+003835	  328	133.6526	+00.6431	242.8	 688.6	 0.106	 6.414	 2.680	 0.370	 0.490	 	 19.300	  1.000	   1.300	 	  50.400	   3.800	   4.100	 	 8.1300	  0.8800	  0.9700	 	  21.9000	   3.9000	   4.8000	 2.450	 0.310	 0.490	 	 12.500	  0.800	   1.200	 	     32.200	   2.70	   3.200	1175
     201	085438.5+001211	 5390	133.6608	+00.2032	  6.2	  21.4	 0.178	 3.375	 3.800	 1.600	 7.800	 	  2.100	  1.000	   1.200	<	  19.000	        	        	<	 4.1000	        	        	<	  29.0000	         	         	 5.500	 3.200	12.500	<	  3.900	       	        	<	     19.000	       	        	1199
     202	085440.4-020931	 7700	133.6686	-02.1588	  7.0	  32.4	 0.472	 1.787	 5.800	 3.500	18.600	 	 13.000	  4.100	   4.400	 	  50.000	  20.000	  53.000	 	 3.1000	  1.5000	  1.7000	<	 140.0000	         	         	 5.000	 3.000	17.300	<	 14.000	       	        	<	     72.000	       	        	 967
     203	085447.0-012132	 2079	133.6962	-01.3591	 81.5	 153.9	 0.353	 3.015	 1.990	 0.350	 0.500	 	 57.500	  5.200	   5.000	 	 137.000	  13.000	  15.000	 	19.5000	  2.1000	  2.3000	 	  39.0000	   8.1000	  11.4000	 2.050	 0.450	 0.950	 	 43.800	  5.100	   4.600	 	    107.000	  13.00	  15.000	1204
     204	085508.9-003445	 2810	133.7874	-00.5793	  9.2	 103.6	 0.174	 2.974	 1.290	 0.270	 0.400	 	  2.760	  0.540	   0.660	 	   5.800	   1.300	   1.500	<	 1.1000	        	        	<	   1.5000	         	         	 1.900	 1.300	 1.500	<	  1.200	       	        	<	      3.000	       	        	1201
     205	085517.2+013508	 6746	133.8219	+01.5857	 36.4	  55.0	 0.324	 2.548	 2.400	 0.520	 0.990	 	 36.500	  4.000	   4.200	 	  94.000	  12.000	  14.000	 	12.8000	  1.8000	  1.9000	 	  30.9000	   7.6000	  13.3000	 2.620	 0.490	 1.380	 	 32.200	  4.300	   3.900	 	     85.000	  12.00	  14.000	1148
     206	085519.1-014315	 5909	133.8296	-01.7211	 12.9	  42.5	 0.365	 2.029	 2.320	 0.630	 2.020	<	 13.000	       	        	<	  37.000	        	        	<	 5.2000	        	        	<	  18.0000	         	         	 2.380	 0.730	 3.660	<	 14.000	       	        	<	     39.000	       	        	1305
     207	085524.3+015012	23313	133.8516	+01.8368	  8.2	  10.7	 0.264	 2.181	 9.700	 6.100	13.500	 	  8.200	  2.000	   2.000	 	  40.000	  16.000	  30.000	 	 3.8300	  0.8400	  1.0200	<	 150.0000	         	         	 9.900	 7.300	12.400	 	  7.700	  1.900	   1.900	 	     35.000	  15.00	  27.000	1134
     208	085530.1-010634	 1797	133.8756	-01.1097	 40.6	  74.3	 0.754	 1.987	 8.000	 3.900	13.100	 	177.000	 22.000	  25.000	 	 760.000	 180.000	 520.000	 	32.6000	  5.0000	  4.2000	 	 250.0000	 120.0000	 440.0000	12.400	 7.400	 9.800	 	134.000	 22.000	  22.000	 	    730.000	 250.00	 320.000	1201
     209	085541.2+002740	 5589	133.9219	+00.4611	  6.9	  47.0	 0.170	 2.662	10.400	 6.400	10.700	<	  2.500	       	        	<	  15.000	        	        	<	 1.6000	        	        	<	  28.0000	         	         	12.000	 7.700	14.300	<	  1.500	       	        	<	      9.600	       	        	1206
     210	085542.6+032807	 8925	133.9279	+03.4687	  7.0	  20.7	 0.738	 1.454	 2.040	 0.630	 4.370	<	 58.000	       	        	<	 170.000	        	        	<	13.0000	        	        	<	  65.0000	         	         	 1.680	 0.380	 1.440	<	 54.000	       	        	<	    140.000	       	        	 963
     211	085547.0+025458	 8799	133.9458	+02.9162	  7.3	  27.8	 0.970	 1.388	 8.300	 5.200	13.300	<	150.000	       	        	<	 680.000	        	        	<	17.0000	        	        	<	 160.0000	         	         	11.000	 7.300	11.100	<	 64.000	       	        	<	    320.000	       	        	1054
     212	085604.8+002520	 8826	134.0202	+00.4223	 25.8	  43.6	 0.168	 3.549	 2.100	 0.310	 0.520	 	 13.600	  1.200	   1.700	 	  33.200	   3.500	   4.500	 	 6.0800	  0.8700	  1.0200	 	  12.9000	   2.7000	   4.0000	 2.050	 0.300	 0.560	 	 12.200	  1.200	   1.600	 	     29.700	   3.30	   4.600	1207
     213	085616.1-013945	 8922	134.0672	-01.6626	 10.6	  22.5	 0.514	 2.046	 1.170	 0.680	 4.850	<	  4.400	       	        	<	  12.000	        	        	<	 3.3000	        	        	<	   5.0000	         	         	 0.780	 0.380	 1.190	<	  2.300	       	        	<	      5.600	       	        	1308
     214	085620.7+014649	  569	134.0865	+01.7805	 51.7	 309.1	 0.724	 2.027	 5.800	 1.900	 4.400	 	269.000	 32.000	  37.000	 	1000.000	 170.000	 320.000	 	37.7000	  4.7000	  5.8000	 	 219.0000	  76.0000	 174.0000	 7.000	 2.800	 6.800	 	174.000	 32.000	  33.000	 	    700.000	 170.00	 260.000	1199
     215	085623.6-013612	16370	134.0984	-01.6036	 11.9	  17.7	 0.425	 2.104	 2.060	 0.590	 2.140	 	 18.600	  6.700	  26.800	 	  49.000	  18.000	  64.000	 	 8.3000	  2.7000	  4.9000	 	  19.1000	   8.6000	  19.9000	 2.420	 0.790	 6.310	 	 15.000	  6.000	  23.700	 	     45.000	  20.00	  61.000	1220
     216	085624.3+004632	32576	134.1016	+00.7757	  8.5	  11.9	 0.319	 2.498	 4.600	 2.400	11.300	 	  9.800	  1.800	   2.200	 	  32.800	   9.000	  29.300	 	 5.3100	  0.9900	  1.1200	<	 150.0000	         	         	 6.200	 3.800	16.700	 	  7.300	  1.600	   1.900	 	     29.000	  10.00	  28.000	1204
     217	085626.2+021348	 5697	134.1094	+02.2302	 21.5	  51.9	 0.125	 3.589	 1.330	 0.120	 0.180	 	  4.090	  0.560	   0.590	 	   8.800	   1.300	   1.400	 	 2.0900	  0.3400	  0.3700	 	   2.7900	   0.5600	   0.8100	 1.310	 0.140	 0.210	 	  3.370	  0.540	   0.520	 	      7.100	   1.10	   1.200	1181
     218	085627.2+014217	 1385	134.1134	+01.7050	 26.8	  92.8	 0.732	 2.311	 8.900	 4.000	 8.600	 	173.000	 24.000	  29.000	 	 800.000	 200.000	 390.000	 	38.4000	  6.1000	  6.0000	 	 330.0000	 150.0000	 370.0000	 9.800	 4.200	10.200	 	128.000	 22.000	  24.000	 	    630.000	 170.00	 320.000	1192
     219	085635.0+031342	24300	134.1459	+03.2284	  8.1	  10.5	 0.390	 2.203	 9.000	 5.600	11.500	<	  9.700	       	        	<	  47.000	        	        	<	 7.6000	        	        	<	  97.0000	         	         	15.200	 9.800	12.200	<	  8.000	       	        	<	     49.000	       	        	1108
     220	085650.4-022200	 5261	134.2101	-02.3669	 36.2	  70.2	 0.318	 2.723	 1.180	 0.120	 0.520	 	 15.600	  2.300	   2.900	 	  32.500	   5.200	   7.600	 	 7.0000	  1.1000	  1.2000	 	   8.4000	   1.9000	   4.9000	 1.010	 0.079	 0.130	 	 12.000	  2.500	   2.500	 	     23.100	   4.60	   4.900	1490
     221	085705.9+011453	 3128	134.2749	+01.2482	 53.7	 119.3	 0.106	 5.101	 1.400	 0.180	 0.600	 	  4.760	  0.630	   0.320	 	  10.300	   1.300	   1.400	 	 2.3500	  0.5500	  0.5300	 	   3.3400	   0.9300	   1.6800	 1.380	 0.220	 0.340	 	  3.350	  0.640	   0.430	 	      7.200	   1.40	   1.200	1201
     222	085728.3+032354	 6278	134.3680	+03.3984	 23.2	  41.0	 0.200	 2.951	 2.940	 0.760	 2.540	 	  8.400	  1.600	   1.700	 	  23.600	   5.100	   7.700	 	 4.1800	  0.7200	  0.7200	 	  12.4000	   3.7000	  11.4000	 2.800	 0.700	 2.560	 	  6.800	  1.500	   1.400	 	     18.900	   4.60	   5.400	1165
     223	085740.1-020037	 7884	134.4172	-02.0103	 19.8	  34.0	 0.717	 1.587	18.300	11.800	 9.000	 	 40.300	  7.400	   9.700	 	 280.000	 110.000	 110.000	 	12.9000	  2.1000	  2.4000	<	 510.0000	         	         	15.500	10.000	 8.600	 	 34.800	  6.800	   9.900	 	    213.000	  82.00	 101.000	2272
     224	085744.0-022448	12696	134.4337	-02.4134	  9.3	  20.1	 0.162	 2.803	 1.270	 0.230	 0.530	 	  1.980	  0.480	   0.610	 	   4.200	   1.100	   1.400	 	 1.3600	  0.3600	  0.3700	 	   1.7100	   0.5700	   1.0700	 1.300	 0.230	 0.470	 	  1.720	  0.560	   0.500	 	      3.600	   1.20	   1.200	1859
     225	085751.6+031039	  108	134.4653	+03.1775	742.2	2053.9	 0.201	 6.278	 5.680	 0.690	 1.370	 	163.000	  5.000	   6.000	 	 590.000	  45.000	  70.000	 	49.3000	  4.0000	  4.7000	 	 285.0000	  47.0000	  72.0000	 5.130	 0.960	 1.630	 	106.000	  6.000	   5.000	 	    367.000	  38.00	  55.000	1204
     226	085801.1-004103	11717	134.5048	-00.6842	 12.4	  21.5	 0.245	 2.479	 1.020	 0.250	 0.600	 	  5.800	  1.100	   1.100	 	  11.600	   2.300	   2.800	 	 2.8500	  0.5000	  0.6000	 	   2.8900	   0.9500	   2.2200	 1.100	 0.210	 0.950	 	  4.450	  0.860	   1.160	 	      9.200	   2.10	   3.300	1203
     227	085805.0+010906	 4070	134.5209	+01.1517	 39.7	  90.8	 0.071	 5.196	 2.590	 0.740	 1.220	 	  2.740	  0.890	   0.300	 	   6.900	   2.100	   1.400	 	 1.3100	  0.3600	  0.2800	 	   3.4000	   1.3000	   1.8000	 1.790	 0.380	 0.510	 	  2.130	  0.940	   0.260	 	      4.830	   2.10	   0.830	1206
     228	085830.0-010656	 4297	134.6251	-01.1157	 19.5	  70.5	 0.224	 2.902	 5.100	 2.500	12.200	 	  9.100	  1.400	   1.100	 	  31.200	   8.100	  28.400	 	 4.9700	  0.7300	  0.7900	 	  24.0000	  12.0000	  65.0000	 7.500	 4.000	10.600	 	  7.300	  1.300	   1.000	 	     31.000	  10.00	  20.000	1912
     229	085837.9+012657	 8857	134.6581	+01.4494	  7.8	  18.9	 0.750	 1.403	 2.800	 1.200	 4.200	<	 47.000	       	        	<	 140.000	        	        	<	 9.2000	        	        	<	  39.0000	         	         	 2.000	 0.600	 3.130	<	 26.000	       	        	<	     66.000	       	        	1198
     230	085841.8-020541	 2367	134.6744	-02.0948	 15.5	  42.0	 0.575	 1.555	 1.470	 0.230	 0.670	 	 32.500	  6.000	   7.100	 	  73.000	  14.000	  16.000	 	 7.4000	  1.8000	  1.6000	 	  11.0000	   3.2000	   5.6000	 1.650	 0.300	 0.930	 	 22.900	  6.600	   6.700	 	     53.000	  15.00	  16.000	2301
     231	085849.8+022800	  715	134.7076	+02.4668	 92.3	 304.5	 0.215	 3.648	 1.760	 0.160	 0.170	 	 29.300	  3.100	   3.900	 	  67.500	   7.200	   9.200	 	 9.8000	  1.3000	  1.4000	 	  17.2000	   2.9000	   3.4000	 1.650	 0.190	 0.180	 	 16.900	  2.200	   2.600	 	     38.400	   5.30	   5.900	1207
     232	085901.1-012025	 3527	134.7547	-01.3406	  8.7	  30.1	 1.301	 1.239	10.900	 6.400	 7.400	 	147.000	 31.000	  40.000	 	 720.000	 200.000	 300.000	 	19.3000	  3.1000	  3.4000	<	 540.0000	         	         	17.300	 7.700	10.100	 	111.000	 26.000	  29.000	 	    760.000	 250.00	 290.000	2203
     233	085901.5+010649	 2757	134.7564	+01.1137	 33.6	  97.4	 0.162	 3.365	 2.790	 0.700	 2.530	 	  5.550	  0.740	   0.920	 	  15.400	   2.900	   5.200	 	 2.3600	  0.4000	  0.7100	 	   7.0000	   2.4000	   7.0000	 3.900	 1.700	 9.400	 	  3.430	  0.630	   0.920	 	     11.200	   3.20	   9.600	1208
     234	085907.3-005056	16320	134.7808	-00.8489	  7.3	  11.6	 0.623	 1.689	11.500	 6.600	11.600	 	 26.300	  6.200	   8.900	 	 144.000	  53.000	  85.000	 	 9.0000	  2.2000	  2.7000	<	 340.0000	         	         	10.200	 5.800	15.700	 	 25.500	  6.000	   8.600	 	    130.000	  47.00	  94.000	1989
