#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:09:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:09:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table1:
#Name: J/A+A/661/A7/table1
#Title: Electron density model parameters of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	n0	(F6.3)	n0 parameter of Vikhlinin06 model (1)	[ucd=phys.density]
#Column	e_n0	(F6.3)	Minus side error bar on n0	[ucd=stat.error]
#Column	E_n0	(F7.3)	Plus side error bar on n0	[ucd=stat.error;stat.max]
#Column	rs	(F5.1)	rs parameter of Vikhlinin06 model (1)	[ucd=phys.size.radius]
#Column	e_rs	(F5.1)	Minus side error bar on rs	[ucd=stat.error]
#Column	E_rs	(F5.1)	Plus side error bar on rs	[ucd=stat.error;stat.max]
#Column	epsilon	(F5.2)	epsilon parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_epsilon	(F5.2)	Minus side error bar on epsilon	[ucd=stat.error]
#Column	E_epsilon	(F5.2)	Plus side error bar on epsilon	[ucd=stat.error;stat.max]
#Column	beta	(F6.3)	beta parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_beta	(F6.3)	Minus side error bar on beta	[ucd=stat.error]
#Column	E_beta	(F6.3)	Plus side error bar on beta	[ucd=stat.error;stat.max]
#Column	alpha	(F5.2)	alpha parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_alpha	(F5.2)	Minus side error bar on alpha	[ucd=stat.error;pos.eq.ra]
#Column	E_alpha	(F5.2)	Plus side error bar on alpha	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	ID-SRC	n0	e_n0	E_n0	rs	e_rs	E_rs	epsilon	e_epsilon	E_epsilon	beta	e_beta	E_beta	alpha	e_alpha	E_alpha	Simbad
     371	091517.4-005909	13537	 0.330	 0.190	  0.690	234.0	 85.0	 95.0	 2.70	 1.80	 1.50	 1.470	 0.750	 0.750	 0.78	 0.51	 0.54	Simbad
     372	091520.5+045203	14354	 0.870	 0.680	  6.130	116.0	 55.0	 73.0	 2.20	 1.60	 2.00	 1.530	 0.880	 0.660	 1.33	 0.78	 0.60	Simbad
     373	091522.5+041201	14525	 1.500	 1.200	  7.800	108.0	 45.0	 68.0	 2.30	 1.60	 1.90	 1.720	 0.860	 0.570	 1.20	 0.72	 0.63	Simbad
     374	091543.5-004944	10164	 5.100	 4.800	 41.100	 48.0	 21.0	 40.0	 2.60	 1.70	 1.70	 1.620	 0.710	 0.630	 1.72	 1.09	 0.91	Simbad
     375	091553.1+040545	12204	 0.630	 0.460	  8.070	 72.0	 33.0	 55.0	 3.00	 2.00	 1.50	 1.690	 0.770	 0.570	 1.92	 1.08	 0.76	Simbad
     376	091555.6-013248	  888	 1.500	 1.100	  4.800	186.0	 78.0	 93.0	 2.10	 1.50	 1.70	 1.350	 0.660	 0.780	 1.69	 0.34	 0.24	Simbad
     377	091601.8+000831	 9930	 1.700	 1.400	  4.700	147.0	 50.0	 74.0	 2.60	 1.80	 1.60	 1.630	 0.750	 0.620	 0.98	 0.66	 0.59	Simbad
     378	091609.4+013519	 8107	 0.340	 0.210	  1.650	219.0	 97.0	124.0	 2.20	 1.60	 1.80	 1.420	 0.820	 0.730	 1.17	 0.61	 0.38	Simbad
     379	091610.1-002348	  534	13.400	 5.200	  7.100	220.0	 43.0	 32.0	 3.10	 1.90	 1.40	 1.910	 0.630	 0.420	 0.44	 0.24	 0.25	Simbad
     380	091612.9-015839	 6129	 0.300	 0.200	  1.380	230.0	 92.0	 88.0	 2.40	 1.60	 1.60	 1.380	 0.730	 0.760	 1.44	 0.55	 0.32	Simbad
     381	091631.9-020207	15047	 0.800	 0.610	  3.180	122.0	 56.0	 77.0	 2.60	 1.70	 1.60	 1.610	 0.790	 0.590	 1.00	 0.66	 0.58	Simbad
     382	091642.3+040634	13204	 3.300	 2.500	  4.900	101.0	 30.0	 40.0	 2.60	 1.70	 1.60	 1.650	 0.690	 0.600	 0.67	 0.46	 0.67	Simbad
     383	091646.9+015531	 8352	 4.300	 3.600	  7.900	110.0	 34.0	 54.0	 2.80	 1.70	 1.50	 1.540	 0.710	 0.670	 0.80	 0.54	 0.66	Simbad
     384	091648.1+030506	 5300	 4.700	 4.200	 29.000	 89.0	 37.0	 56.0	 2.50	 1.70	 1.60	 1.460	 0.780	 0.750	 1.52	 0.84	 0.56	Simbad
     385	091655.7-011158	11550	 1.140	 0.930	  8.590	 91.0	 56.0	 72.0	 2.60	 1.70	 1.60	 1.440	 0.680	 0.740	 1.42	 0.89	 1.10	Simbad
     386	091722.4+010118	 1526	 1.300	 1.000	  5.100	157.0	 62.0	 77.0	 2.30	 1.60	 1.80	 1.530	 0.730	 0.700	 1.73	 0.44	 0.29	Simbad
     387	091741.1+024518	10140	 0.380	 0.240	  3.700	170.0	110.0	150.0	 2.60	 1.70	 1.70	 1.530	 0.770	 0.660	 0.86	 0.59	 0.97	Simbad
     388	091749.4+014621	 9976	 0.420	 0.270	  1.160	267.0	 83.0	 91.0	 2.70	 1.70	 1.50	 1.640	 0.730	 0.590	 1.22	 0.57	 0.33	Simbad
     389	091757.1+050915	 1934	22.000	20.000	 61.000	110.0	 38.0	 71.0	 2.70	 1.80	 1.60	 1.560	 0.770	 0.650	 1.06	 0.76	 0.70	Simbad
     390	091806.0-003228	 3910	29.000	27.000	111.000	 42.0	 16.0	 27.0	 2.90	 1.80	 1.50	 1.630	 0.780	 0.620	 1.09	 0.76	 0.96	Simbad
     391	091842.2+034754	10019	 2.200	 1.900	 21.000	 76.0	 40.0	 60.0	 3.00	 1.90	 1.40	 1.560	 0.810	 0.640	 1.39	 0.93	 0.97	Simbad
     392	091849.0+021204	  994	 1.120	 0.800	  6.930	250.0	140.0	140.0	 1.70	 1.20	 1.80	 1.330	 0.710	 0.800	 1.35	 0.63	 0.27	Simbad
     393	091850.7+030942	19979	 0.980	 0.660	  3.500	179.0	 75.0	 91.0	 2.60	 1.70	 1.70	 1.680	 0.830	 0.580	 1.18	 0.64	 0.45	Simbad
     394	091851.7+021432	 4105	 0.420	 0.280	  0.930	185.0	 94.0	108.0	 2.90	 1.90	 1.40	 1.400	 0.680	 0.700	 1.05	 0.61	 0.65	Simbad
     395	091855.8+004916	12125	 5.100	 4.300	 16.500	 99.0	 36.0	 61.0	 2.70	 1.70	 1.50	 1.550	 0.740	 0.660	 1.08	 0.67	 0.65	Simbad
     396	091858.0+024946	 7194	 0.550	 0.380	  1.570	231.0	 76.0	 81.0	 2.80	 1.80	 1.50	 1.560	 0.730	 0.640	 1.29	 0.57	 0.35	Simbad
     397	091900.0+035311	 5545	 0.520	 0.370	  2.230	211.0	 81.0	 95.0	 2.50	 1.70	 1.80	 1.510	 0.750	 0.690	 1.46	 0.57	 0.31	Simbad
     398	091925.6-010430	 4254	 3.900	 3.700	 77.400	 76.0	 39.0	 79.0	 2.40	 1.70	 1.70	 1.360	 0.760	 0.810	 1.72	 1.12	 0.53	Simbad
     399	091934.6+033941	 1892	44.000	42.000	195.000	 41.0	 15.0	 31.0	 2.60	 2.00	 1.80	 1.290	 0.590	 0.760	 1.27	 0.93	 1.07	Simbad
     400	091936.6+042553	11376	 2.000	 1.700	 10.600	 77.0	 32.0	 53.0	 2.50	 1.70	 1.80	 1.570	 0.730	 0.630	 1.36	 0.81	 0.68	Simbad
     401	091957.7+035012	 4131	 7.200	 6.100	 23.200	105.0	 42.0	 66.0	 2.20	 1.50	 1.80	 1.380	 0.780	 0.800	 0.99	 0.66	 0.64	Simbad
     402	092002.1+010219	  150	 1.850	 0.890	  2.350	241.0	 43.0	 46.0	 2.10	 1.40	 1.90	 0.780	 0.300	 0.540	 2.13	 0.19	 0.16	Simbad
     403	092004.3+010023	11754	16.000	11.000	 42.000	 81.0	 37.0	 37.0	 0.39	 0.29	 0.73	 1.920	 0.770	 0.490	 0.18	 0.14	 0.39	Simbad
     404	092022.0+030106	 6534	 1.180	 0.980	 28.460	 66.0	 46.0	 92.0	 2.60	 1.80	 1.70	 1.510	 0.820	 0.700	 1.90	 1.20	 1.30	Simbad
     405	092022.8+045012	 5320	 0.249	 0.079	  0.378	202.0	 65.0	 68.0	 1.60	 1.20	 2.10	 0.800	 0.360	 0.760	 1.96	 0.24	 0.22	Simbad
     406	092023.2+013444	  222	 0.750	 0.520	  3.460	161.0	 67.0	 62.0	 2.30	 1.60	 2.00	 1.340	 0.680	 0.750	 2.44	 0.21	 0.15	Simbad
     407	092031.3+024710	18068	 1.700	 1.500	  6.000	 98.0	 44.0	 55.0	 2.30	 1.70	 1.80	 1.460	 0.750	 0.740	 1.10	 0.73	 0.74	Simbad
     408	092031.8+040621	 4115	 4.200	 3.900	 30.400	 91.0	 38.0	 61.0	 2.50	 1.70	 1.70	 1.600	 0.770	 0.590	 1.60	 0.88	 0.57	Simbad
     409	092037.0-011506	 5739	 0.360	 0.230	  0.870	247.0	 76.0	 85.0	 2.60	 1.70	 1.70	 1.520	 0.730	 0.680	 1.39	 0.44	 0.29	Simbad
     410	092037.9+033528	 6467	 1.160	 0.980	 22.140	 74.0	 49.0	 77.0	 2.60	 1.70	 1.60	 1.570	 0.700	 0.580	 1.80	 1.10	 1.20	Simbad
     411	092039.1+004725	 6669	 0.670	 0.510	  4.080	113.0	 45.0	 49.0	 2.40	 1.60	 1.70	 1.380	 0.680	 0.760	 1.92	 0.62	 0.38	Simbad
     412	092041.1+041117	10334	 2.700	 2.400	 28.500	 75.0	 35.0	 65.0	 2.20	 1.50	 1.90	 1.550	 0.700	 0.660	 1.55	 1.01	 0.62	Simbad
     413	092046.2+002849	 1915	 0.166	 0.070	  0.739	259.0	137.0	 94.0	 1.10	 0.83	 1.98	 0.600	 0.190	 0.670	 1.96	 0.20	 0.14	Simbad
     414	092049.5+024513	  489	 2.800	 1.600	  5.100	153.0	 55.0	 72.0	 1.34	 0.92	 1.43	 0.690	 0.220	 0.380	 1.53	 0.23	 0.17	Simbad
     415	092053.4+021125	18194	 0.230	 0.130	  0.520	260.0	100.0	110.0	 2.70	 1.80	 1.70	 1.530	 0.770	 0.660	 0.90	 0.52	 0.47	Simbad
     416	092105.0+004452	 6459	 3.400	 3.100	 28.600	 75.0	 33.0	 54.0	 3.10	 2.10	 1.30	 1.550	 0.790	 0.640	 1.46	 0.98	 0.71	Simbad
     417	092121.2+031726	  100	26.000	21.000	 52.000	 93.0	 32.0	103.0	 1.11	 0.80	 1.15	 0.800	 0.270	 0.700	 1.20	 0.42	 0.34	Simbad
     418	092133.2+043431	 9512	 1.800	 1.500	  7.100	119.0	 45.0	 56.0	 2.90	 1.80	 1.50	 1.650	 0.770	 0.580	 1.20	 0.73	 0.55	Simbad
     419	092134.4+015832	  810	 0.590	 0.460	  3.450	210.0	 94.0	 93.0	 2.50	 1.50	 1.70	 1.390	 0.740	 0.760	 1.64	 0.83	 0.49	Simbad
     420	092135.4+005128	 7447	 0.720	 0.550	  5.530	121.0	 76.0	 95.0	 2.50	 1.70	 1.70	 1.550	 0.710	 0.650	 1.37	 0.90	 0.94	Simbad
     421	092136.4-001449	 4168	 2.000	 1.500	  6.400	161.0	 58.0	 80.0	 2.80	 1.90	 1.50	 1.670	 0.800	 0.570	 1.18	 0.67	 0.48	Simbad
     422	092202.2+034520	 5347	 4.400	 1.800	  2.400	128.0	 27.0	 28.0	 1.80	 1.10	 1.40	 0.740	 0.200	 0.230	 0.54	 0.34	 0.37	Simbad
     423	092209.3+034628	  367	47.000	22.000	 43.000	 58.0	 16.0	 14.0	 0.47	 0.35	 0.68	 0.600	 0.130	 0.120	 0.50	 0.33	 0.42	Simbad
     424	092212.0-002731	  857	 0.630	 0.380	  0.920	299.0	 85.0	111.0	 2.00	 1.50	 1.90	 1.460	 0.600	 0.690	 1.62	 0.21	 0.18	Simbad
     425	092220.4+034806	 4014	 9.000	 5.600	  9.800	 77.0	 18.0	 18.0	 1.19	 0.84	 1.20	 0.860	 0.300	 0.340	 0.56	 0.40	 0.66	Simbad
     426	092235.8-002443	 3133	11.200	 4.800	  8.800	 97.0	 21.0	 31.0	 1.12	 0.66	 0.50	 0.620	 0.230	 0.880	 1.06	 0.50	 0.54	Simbad
     427	092241.9+020719	 1535	 1.600	 1.300	  5.400	154.0	 54.0	 80.0	 2.60	 1.70	 1.70	 1.610	 0.730	 0.640	 1.22	 0.66	 0.55	Simbad
     428	092246.2+034251	 2216	 7.300	 4.600	 11.000	 78.0	 17.0	 23.0	 1.06	 0.74	 0.99	 0.900	 0.280	 0.290	 1.04	 0.66	 0.68	Simbad
     429	092246.4+042424	 5348	 1.700	 1.500	 14.900	109.0	 47.0	 79.0	 2.30	 1.60	 1.70	 1.410	 0.710	 0.730	 1.62	 0.96	 0.46	Simbad
     430	092258.2+032041	 4833	 4.800	 4.400	 26.800	 87.0	 36.0	 57.0	 2.60	 1.70	 1.70	 1.540	 0.670	 0.630	 1.32	 0.79	 0.64	Simbad
     431	092302.6+034002	 9076	 0.260	 0.160	  0.620	283.0	 92.0	112.0	 2.30	 1.60	 1.70	 1.530	 0.750	 0.650	 0.95	 0.54	 0.44	Simbad
     432	092312.0+000355	 6657	 0.400	 0.270	  9.120	 77.0	 64.0	184.0	 2.50	 1.70	 1.70	 1.530	 0.740	 0.650	 0.98	 0.75	 1.57	Simbad
     433	092328.2+043107	 6063	13.000	11.000	 24.000	 88.0	 26.0	 41.0	 2.70	 1.70	 1.60	 1.710	 0.710	 0.530	 0.70	 0.51	 0.74	Simbad
     434	092333.1-001917	 7637	12.000	11.000	 44.000	 79.0	 29.0	 37.0	 2.90	 1.70	 1.50	 1.580	 0.730	 0.620	 1.11	 0.73	 0.73	Simbad
     435	092335.1+012907	 4806	 0.490	 0.270	  1.020	272.0	 94.0	116.0	 2.50	 1.70	 1.70	 1.540	 0.820	 0.690	 0.80	 0.51	 0.45	Simbad
     436	092339.0+052654	 1894	40.000	38.000	758.000	 62.0	 33.0	 58.0	 3.00	 1.80	 1.40	 1.640	 0.750	 0.600	 2.50	 1.40	 1.00	Simbad
     437	092346.8-005330	11530	 1.220	 0.950	  2.800	162.0	 55.0	 68.0	 2.60	 1.80	 1.70	 1.660	 0.720	 0.590	 1.00	 0.61	 0.53	Simbad
     438	092402.2+054205	 7973	 4.900	 3.700	 13.600	142.0	 52.0	 63.0	 2.60	 1.70	 1.70	 1.440	 0.720	 0.720	 1.10	 0.71	 0.51	Simbad
     439	092405.0-013059	  298	 1.600	 1.100	  4.900	163.0	 66.0	 67.0	 2.40	 1.70	 1.70	 1.440	 0.670	 0.750	 1.61	 0.37	 0.24	Simbad
     440	092409.4+040057	 1437	 0.340	 0.190	  0.670	322.0	100.0	 96.0	 2.60	 1.80	 1.70	 1.620	 0.680	 0.640	 1.58	 0.32	 0.19	Simbad
     441	092421.9-005103	 8544	 0.470	 0.340	  2.860	139.0	 56.0	 67.0	 2.80	 1.80	 1.50	 1.440	 0.720	 0.730	 1.66	 0.71	 0.40	Simbad
     442	092454.7+014901	 7841	 0.980	 0.800	 10.900	 96.0	 47.0	 60.0	 2.70	 1.70	 1.60	 1.510	 0.750	 0.700	 1.63	 0.88	 0.53	Simbad
     443	092502.6+022612	 7060	 2.700	 2.400	 19.400	 93.0	 40.0	 56.0	 2.50	 1.70	 1.70	 1.650	 0.750	 0.580	 1.40	 0.87	 0.61	Simbad
     444	092504.3-005602	11531	 2.200	 1.900	 52.300	 67.0	 43.0	 64.0	 2.70	 1.70	 1.60	 1.650	 0.810	 0.590	 1.60	 1.00	 1.20	Simbad
     445	092510.0-014830	 5079	 2.700	 2.100	 19.400	 78.0	 32.0	 43.0	 2.90	 1.60	 1.30	 1.220	 0.540	 0.640	 1.91	 0.69	 0.48	Simbad
     446	092511.8-011436	 9471	 0.970	 0.820	  4.010	139.0	 52.0	 77.0	 2.10	 1.50	 1.90	 1.680	 0.920	 0.600	 1.18	 0.79	 0.57	Simbad
     447	092522.1-013148	 6653	 0.900	 0.700	  4.080	154.0	 60.0	 74.0	 2.80	 1.70	 1.50	 1.650	 0.750	 0.610	 1.37	 0.68	 0.40	Simbad
     448	092533.6-014205	 1483	 2.300	 1.600	  9.900	115.0	 53.0	 51.0	 1.70	 1.20	 2.00	 1.060	 0.540	 0.820	 1.46	 0.64	 0.36	Simbad
     449	092546.3-014347	  566	 1.170	 0.670	  2.960	224.0	 60.0	 48.0	 2.20	 1.40	 1.50	 1.650	 0.490	 0.510	 1.46	 0.48	 0.28	Simbad
     450	092548.9-011725	 5488	 0.800	 0.630	  2.640	206.0	 69.0	 88.0	 2.60	 1.80	 1.70	 1.640	 0.780	 0.600	 1.09	 0.65	 0.50	Simbad
     451	092553.3+015519	  991	 0.510	 0.360	  3.880	105.0	 83.0	105.0	 2.60	 1.70	 1.60	 1.500	 0.700	 0.710	 0.99	 0.68	 1.22	Simbad
     452	092555.6+004311	 6732	 1.700	 1.000	  1.900	258.0	 82.0	 81.0	 2.60	 1.80	 1.60	 1.600	 0.730	 0.610	 0.62	 0.41	 0.41	Simbad
     453	092619.9+021207	 8160	 2.400	 2.100	 11.100	113.0	 40.0	 66.0	 2.80	 1.80	 1.50	 1.690	 0.810	 0.550	 1.23	 0.72	 0.61	Simbad
     454	092621.3-003356	 4366	 1.200	 1.000	 12.200	109.0	 49.0	 67.0	 2.30	 1.60	 1.90	 1.460	 0.690	 0.680	 1.64	 0.87	 0.45	Simbad
     455	092629.3+032614	 2050	 0.141	 0.044	  0.276	191.0	 72.0	 52.0	 0.63	 0.50	 1.30	 0.426	 0.066	 0.159	 2.25	 0.16	 0.15	Simbad
     456	092631.0+014511	 2967	 1.400	 1.100	  9.300	132.0	 53.0	 66.0	 2.50	 1.80	 1.60	 1.560	 0.750	 0.650	 1.89	 0.54	 0.29	Simbad
     457	092639.7+040733	 3560	 0.710	 0.530	  7.200	120.0	 59.0	 50.0	 3.00	 2.00	 1.50	 1.010	 0.530	 1.000	 2.04	 0.85	 0.49	Simbad
     458	092644.0+040010	 9238	 2.000	 1.700	  4.000	162.0	 55.0	 77.0	 3.00	 2.00	 1.40	 1.630	 0.740	 0.590	 0.79	 0.56	 0.72	Simbad
     459	092647.5+050032	  137	70.000	53.000	118.000	 60.0	 22.0	 50.0	 1.12	 0.80	 1.38	 0.650	 0.220	 0.630	 0.85	 0.55	 0.53	Simbad
     460	092647.5+030946	12965	 1.010	 0.780	  2.240	155.0	 57.0	 73.0	 2.70	 1.80	 1.60	 1.620	 0.780	 0.610	 0.85	 0.60	 0.62	Simbad
     461	092648.0+050124	 6875	 3.000	 2.600	 14.700	158.0	 53.0	101.0	 2.30	 1.50	 1.70	 1.650	 0.860	 0.610	 1.40	 0.70	 0.48	Simbad
     462	092650.5+035755	  671	 2.100	 1.800	 50.900	 96.0	 51.0	 56.0	 2.50	 1.80	 1.90	 1.420	 0.760	 0.810	 2.22	 0.83	 0.32	Simbad
     463	092711.5+011735	10285	 2.000	 1.700	  8.200	117.0	 45.0	 61.0	 2.70	 1.80	 1.50	 1.550	 0.720	 0.650	 1.17	 0.73	 0.59	Simbad
     464	092735.3+014423	  266	 0.250	 0.130	  4.720	217.0	 57.0	 73.0	 2.70	 1.80	 1.50	 1.110	 0.610	 0.890	 2.15	 1.68	 0.31	Simbad
     465	092737.7+020607	 1924	 4.600	 3.300	  9.000	159.0	 58.0	 70.0	 2.30	 1.50	 1.70	 1.500	 0.720	 0.690	 0.91	 0.53	 0.45	Simbad
     466	092739.7-010427	 2636	 0.670	 0.460	  1.870	260.0	 90.0	 94.0	 2.80	 1.80	 1.60	 1.510	 0.770	 0.690	 1.14	 0.62	 0.42	Simbad
     467	092740.1-002922	 3454	 0.220	 0.110	  1.000	160.0	 66.0	 62.0	 2.30	 1.70	 1.70	 1.080	 0.570	 0.870	 2.16	 0.27	 0.23	Simbad
     468	092740.1+042038	 4999	 0.167	 0.063	  0.318	300.0	190.0	230.0	 2.80	 2.30	 1.50	 1.400	 0.800	 0.810	 0.44	 0.34	 0.99	Simbad
     469	092740.7-015320	 7063	 0.570	 0.420	  3.180	154.0	 60.0	 71.0	 2.50	 1.70	 1.70	 1.520	 0.780	 0.670	 1.60	 0.59	 0.35	Simbad
     470	092744.6+045630	17315	 2.000	 1.700	  9.800	 81.0	 33.0	 54.0	 2.60	 1.70	 1.60	 1.700	 0.800	 0.560	 1.30	 0.84	 0.66	Simbad
     471	092755.9+000439	10316	 9.400	 8.000	 38.600	 86.0	 31.0	 49.0	 2.80	 1.80	 1.50	 1.600	 0.750	 0.620	 1.16	 0.77	 0.68	Simbad
     472	092803.4+010953	 1527	 0.420	 0.270	  1.830	138.0	 58.0	 57.0	 2.10	 1.50	 1.90	 1.290	 0.700	 0.780	 2.35	 0.23	 0.20	Simbad
     473	092807.5-001353	13561	 1.110	 0.830	 13.170	 93.0	 37.0	 48.0	 2.20	 1.50	 1.60	 1.490	 0.680	 0.670	 1.76	 1.31	 0.71	Simbad
     474	092807.7-012704	 6687	 2.000	 1.500	 65.100	 80.0	 62.0	170.0	 2.50	 1.70	 1.80	 1.500	 0.790	 0.700	 1.12	 0.80	 1.45	Simbad
     475	092813.0-004508	13305	 1.800	 1.400	  3.600	148.0	 49.0	 73.0	 2.40	 1.60	 1.80	 1.490	 0.700	 0.690	 0.81	 0.54	 0.59	Simbad
     476	092821.1+041941	 7167	 0.450	 0.320	  1.850	130.0	100.0	140.0	 2.90	 2.00	 1.60	 1.800	 0.790	 0.510	 0.82	 0.59	 0.90	Simbad
     477	092821.2+042149	  666	 2.400	 1.600	 10.000	180.0	 54.0	 75.0	 1.90	 1.30	 2.20	 1.860	 1.130	 0.530	 1.46	 0.74	 0.33	Simbad
     478	092828.3-000955	  845	 0.930	 0.720	  4.510	131.0	 63.0	 69.0	 2.70	 1.70	 1.60	 1.140	 0.510	 0.680	 1.26	 0.85	 0.71	Simbad
     479	092832.4+041517	 4192	 1.300	 1.100	  6.800	114.0	 56.0	 73.0	 2.20	 1.50	 1.80	 1.470	 0.700	 0.750	 1.51	 0.96	 0.91	Simbad
     480	092844.0+005318	 8858	 1.140	 0.920	  3.810	158.0	 56.0	 77.0	 2.70	 1.80	 1.50	 1.620	 0.770	 0.610	 1.03	 0.67	 0.57	Simbad
     481	092846.5+000056	10287	 0.760	 0.570	  2.050	210.0	 71.0	 91.0	 2.60	 1.80	 1.70	 1.610	 0.760	 0.610	 0.99	 0.61	 0.45	Simbad
     482	092859.0+040532	 4029	 0.330	 0.200	  1.570	265.0	 90.0	 74.0	 2.50	 1.50	 1.60	 1.300	 0.580	 0.700	 1.53	 0.67	 0.27	Simbad
     483	092900.0-003920	 5593	 0.260	 0.130	  1.420	159.0	 60.0	 72.0	 2.50	 1.60	 1.60	 1.370	 0.580	 0.590	 1.82	 0.96	 0.38	Simbad
     484	092910.2+022034	 5092	11.000	10.000	 31.000	 76.0	 26.0	 47.0	 2.70	 1.80	 1.70	 1.640	 0.750	 0.590	 1.06	 0.70	 0.80	Simbad
     485	092911.0+021118	10090	 1.200	 1.000	 26.200	 43.0	 32.0	 59.0	 2.80	 1.80	 1.60	 1.660	 0.820	 0.580	 1.80	 1.20	 1.50	Simbad
     486	092915.2+002427	 8178	 0.770	 0.550	  3.390	177.0	 62.0	 77.0	 2.70	 1.70	 1.60	 1.540	 0.770	 0.670	 1.34	 0.68	 0.40	Simbad
     487	092915.7-001357	 1549	 0.210	 0.100	  0.560	178.0	 62.0	 52.0	 2.00	 1.40	 2.10	 1.070	 0.560	 0.910	 2.27	 0.18	 0.16	Simbad
     488	092918.3+044925	 6602	 4.600	 3.600	  8.500	115.0	 33.0	 43.0	 2.80	 1.70	 1.50	 1.710	 0.730	 0.560	 0.86	 0.57	 0.64	Simbad
     489	092921.7+040040	  609	 2.100	 1.800	 15.700	108.0	 43.0	 63.0	 2.70	 1.70	 1.70	 1.560	 0.720	 0.630	 2.16	 0.51	 0.31	Simbad
     490	092928.3+042411	 3563	 1.300	 1.100	  7.900	133.0	 51.0	 72.0	 2.50	 1.70	 1.70	 1.540	 0.740	 0.680	 1.59	 0.74	 0.42	Simbad
     491	092941.7+023026	 7770	 0.380	 0.220	  0.980	260.0	100.0	150.0	 2.20	 1.50	 1.80	 1.410	 0.730	 0.750	 0.66	 0.44	 0.51	Simbad
     492	092953.5+002801	12565	 0.700	 0.510	  1.490	208.0	 60.0	 72.0	 2.70	 1.80	 1.70	 1.650	 0.730	 0.600	 0.89	 0.64	 0.58	Simbad
     493	092955.8-003403	 1967	 0.204	 0.091	  0.288	283.0	 82.0	 78.0	 2.80	 1.70	 1.60	 1.220	 0.560	 0.860	 1.88	 0.19	 0.16	Simbad
     494	093003.3+035630	  288	 5.900	 4.000	 12.100	103.0	 28.0	 26.0	 2.50	 1.50	 1.60	 1.560	 0.660	 0.620	 1.89	 0.35	 0.28	Simbad
     495	093009.0+040144	  536	14.000	12.000	 98.000	 78.0	 42.0	 48.0	 1.90	 1.40	 1.80	 1.040	 0.500	 0.970	 1.63	 0.77	 0.45	Simbad
     496	093011.2+031648	16215	 2.800	 2.500	 56.000	 66.0	 40.0	 56.0	 2.60	 1.80	 1.60	 1.500	 0.780	 0.690	 1.86	 1.09	 0.99	Simbad
     497	093012.0+030202	 7539	 3.100	 2.800	 20.000	 77.0	 33.0	 48.0	 2.60	 1.80	 1.60	 1.590	 0.760	 0.640	 1.47	 0.92	 0.69	Simbad
     498	093022.1+021835	 8763	 0.680	 0.460	  3.690	163.0	 65.0	 70.0	 2.90	 1.80	 1.40	 1.400	 0.640	 0.720	 1.61	 0.62	 0.37	Simbad
     499	093025.3+021714	 1003	 0.590	 0.340	  1.140	233.0	 60.0	 61.0	 3.20	 1.90	 1.20	 1.580	 0.630	 0.580	 1.83	 0.29	 0.20	Simbad
     500	093025.7-020507	 1064	 1.230	 0.930	  6.400	130.0	 52.0	 60.0	 2.50	 1.60	 1.70	 0.860	 0.360	 0.640	 1.38	 0.83	 0.45	Simbad
