#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:30:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:30:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable1&-out=AGC,OName,RAJ2000,DEJ2000,TT,r23.5,r.83,Isb,ell,e_ell,Imag,e_Imag,TF&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table1:
#Name: J/ApJS/172/599/table1
#Title: Additional photometric parameters
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	r23.5	(F5.1)	Isophotal radius at a surface magnitude of 23.5 mag/arcsec2	[ucd=phys.angSize]
#Column	r.83	(F5.1)	Optical radius containing 83% of the light	[ucd=phys.angSize;src]
#Column	Isb	(F6.2)	Surface magnitude at outermost I isophote	[ucd=phot.mag.sb;em.opt.I]
#Column	ell	(F6.3)	Disk ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F6.3)	Error on the Ellip	[ucd=stat.error]
#Column	Imag	(F6.2)	Observed I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	Error on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	TF	(A1)	[*] Code indicating inclusion in TF sample	[ucd=meta.note]
AGC	OName	RAJ2000	DEJ2000	TT	r23.5	r.83	Isb	ell	e_ell	Imag	e_Imag	TF
 11435	281-002 	19 23 50.8	+55 59 13	 5	 78.7	 55.7	 23.80	 0.836	 0.018	 12.53	 0.03	
 32507	397 G 18	19 24 10.8	-35 10 53	 5	 62.7	 48.0	 24.09	 0.850	 0.017	 13.31	 0.04	
 32504	N6776A  	19 25 06.3	-63 40 59	 5	 43.8	 33.0	 23.31	 0.711	 0.067	 13.21	 0.02	
 32523	460 G  1	19 25 23.1	-32 13 07	 5	 40.0	 29.0	 22.94	 0.784	 0.024	 13.80	 0.03	
 32519	282 G 35	19 25 24.5	-42 47 07	 5	 25.4	 26.5	 25.17	 0.274	 0.103	 13.98	 0.04	*
 32508	I4849   	19 25 36.1	-62 55 56	 5	 34.9	 21.0	 24.53	 0.539	 0.028	 12.71	 0.04	
 11438	I1301   	19 26 37.3	+49 45 30	 5	 40.5	 35.4	 23.59	 0.390	 0.112	 13.00	 0.04	
 32530	N6788   	19 26 49.6	-54 57 02	 3	 94.9	 63.4	 23.61	 0.626	 0.071	 10.63	 0.03	
 11443	N6801   	19 27 35.9	+54 22 22	 5	 50.0	 37.3	 24.21	 0.496	 0.019	 12.23	 0.03	
 32546	I4857   	19 28 37.3	-58 46 02	 5	 51.8	 46.4	 24.15	 0.291	 0.067	 12.26	 0.04	
 32556	I4861   	19 29 16.5	-57 34 34	 5	 38.2	 28.5	 23.55	 0.757	 0.018	 13.81	 0.03	
 11455	341-028 	19 29 56.0	+72 06 44	 5	 80.2	 56.9	 23.55	 0.783	 0.023	 12.05	 0.03	
 32571	184 G 74	19 30 30.2	-57 16 54	 5	 58.0	 47.8	 25.00	 0.779	 0.057	 12.62	 0.05	
 11448	M+643001	19 30 33.3	+35 46 35	 5	 36.7	 23.7	 22.24	 0.408	 0.070	 13.11	 0.05	
 32436	10 G  4 	19 30 59.5	-86 00 56	 3	 67.3	 64.3	 24.21	 0.602	 0.064	 12.60	 0.05	
 32594	398 G  5	19 31 09.4	-33 18 55	 5	 23.1	 16.2	 23.92	 0.568	 0.012	 13.96	 0.03	
 11451	        	19 31 16.2	+42 11 54	 5	 38.4	 27.3	 23.27	 0.821	 0.007	 13.93	 0.03	*
 32578	I4862   	19 31 40.0	-67 19 26	 3	 45.8	 37.2	 23.71	 0.599	 0.039	 12.99	 0.04	
 32606	460 G 11	19 32 21.7	-30 16 26	 3	 32.6	 25.9	 24.34	 0.397	 0.021	 13.20	 0.03	
 32608	460 G 12	19 32 27.2	-29 56 19	 5	 24.8	 20.6	 25.17	 0.324	 0.037	 13.84	 0.04	
 32614	398 G  8	19 33 18.9	-33 08 59	 3	 35.7	 27.8	 24.23	 0.520	 0.006	 13.27	 0.04	
 32622	398 G 10	19 34 14.4	-34 08 19	 3	 31.8	 22.7	 24.98	 0.586	 0.039	 13.39	 0.04	
 32628	283 G  8	19 34 54.6	-46 08 09	 3	 24.9	 20.9	 24.04	 0.174	 0.026	 13.51	 0.04	
 32625	184 G 83	19 35 21.5	-57 02 04	 5	 25.5	 22.0	 23.78	 0.702	 0.028	 14.65	 0.04	
 32631	I4871   	19 35 42.2	-57 31 08	 5	113.7	 92.1	 23.51	 0.876	 0.008	 12.37	 0.04	*
 32641	232 G 11	19 36 17.1	-48 31 35	 5	 29.1	 28.4	 23.80	 0.761	 0.035	 14.89	 0.04	
 11459	230-024 	19 37 22.6	+40 42 19	 5	 80.5	 71.5	 22.79	 0.493	 0.010	 11.48	 0.04	*
 32665	M-350002	19 37 27.5	-17 27 21	 7	 40.6	 35.3	 23.36	 0.769	 0.010	 14.01	 0.05	
 32655	I4876   	19 37 43.4	-52 50 30	 5	 38.5	 32.1	 24.61	 0.201	 0.079	 12.69	 0.04	*
 32681	398 G 17	19 39 06.4	-33 02 47	 5	 21.4	 14.9	 23.25	 0.592	 0.002	 14.11	 0.03	
 32679	338 G 18	19 39 09.1	-37 52 36	 5	 28.3	 26.2	 24.61	 0.504	 0.051	 14.07	 0.05	
 32693	460 G 20	19 39 50.9	-27 53 09	 3	 22.5	 19.3	 23.86	 0.482	 0.042	 14.30	 0.04	
 32684	142 G 30	19 40 38.3	-60 02 50	 5	 59.1	 45.1	 23.43	 0.719	 0.093	 12.42	 0.03	
 32702	398 G 20	19 41 31.3	-36 20 20	 5	 44.3	 36.3	 24.55	 0.730	 0.016	 13.48	 0.04	
 32699	I4883   	19 42 00.1	-55 32 38	 3	 50.7	 33.7	 23.18	 0.662	 0.019	 12.41	 0.03	
590024	M-350003	19 42 23.2	-15 51 52	 5	 68.5	 50.7	 23.66	 0.798	 0.024	 12.57	 0.04	
 32720	460 G 25	19 42 52.5	-28 30 03	 3	 47.4	 35.3	 23.94	 0.374	 0.056	 12.18	 0.04	
 32709	142 G 34	19 43 00.4	-59 56 47	 5	 36.6	 27.5	 24.26	 0.770	 0.015	 14.05	 0.04	*
 32730	460 G 28	19 43 32.4	-27 42 00	 3	 30.2	 23.8	 24.76	 0.557	 0.054	 13.52	 0.03	
 32716	N6810   	19 43 36.0	-58 39 50	 3	101.7	 61.6	 23.16	 0.624	 0.088	 10.07	 0.03	
 32717	I4885   	19 43 51.2	-60 39 01	 4	 55.4	 41.8	 23.97	 0.736	 0.012	 12.85	 0.03	
 32736	460 G 29	19 43 59.5	-28 29 16	 3	 62.6	 50.5	 24.83	 0.523	 0.021	 12.03	 0.04	
 32742	460 G 31	19 44 21.0	-27 24 21	 3	 65.6	 44.7	 23.57	 0.767	 0.027	 12.67	 0.05	
 32752	398 G 28	19 44 55.3	-32 38 48	 3	 19.2	 15.9	 25.34	 0.342	 0.040	 14.35	 0.04	
 32754	338 G 22	19 45 18.3	-38 20 05	 3	 35.3	 31.1	 24.26	 0.727	 0.038	 14.02	 0.05	
 11473	230-030 	19 45 32.1	+43 08 24	 5	 46.7	 48.2	 22.40	 0.492	 0.069	 12.76	 0.04	*
590033	        	19 45 50.6	-06 18 25	 5	 45.8	 37.1	 24.02	 0.550	 0.075	 12.87	 0.04	*
 32757	185 G 18	19 46 05.2	-55 11 52	 3	 32.4	 44.3	 23.53	 0.487	 0.018	 13.91	 0.06	*
 32765	232 G 24	19 46 32.9	-52 05 56	 5	 30.5	 23.3	 23.89	 0.809	 0.032	 14.57	 0.03	
 32774	339 G  1	19 46 44.7	-40 21 18	 3	 41.9	 31.5	 24.15	 0.454	 0.052	 12.60	 0.04	*
 32791	526 G  6	19 48 12.7	-23 30 30	 3	 31.9	 22.6	 24.16	 0.773	 0.012	 14.39	 0.03	
 32786	I4892   	19 49 31.2	-70 13 35	 3	 52.5	 40.7	 24.48	 0.754	 0.040	 12.92	 0.04	
 32812	526 G  9	19 50 26.9	-24 31 15	 5	 29.0	 22.9	 24.46	 0.653	 0.013	 14.13	 0.04	
 32814	461 G  3	19 50 38.7	-28 15 43	 3	 53.9	 41.4	 23.74	 0.687	 0.004	 12.71	 0.04	
 32808	233 G  3	19 50 49.3	-47 22 27	 5	 30.3	 42.6	 23.81	 0.563	 0.047	 14.29	 0.06	
 32830	526 G 10	19 52 00.4	-23 27 02	 5	 24.1	 29.4	 24.10	 0.351	 0.055	 14.00	 0.05	
 11492	303-015 	19 52 39.9	+57 27 35	 4	 66.4	 50.4	 23.77	 0.502	 0.050	 11.92	 0.04	
 32834	526 G 11	19 52 55.5	-25 08 58	 5	 38.0	 31.2	 24.22	 0.815	 0.023	 14.35	 0.04	
 32850	461 G 10	19 54 04.5	-30 29 01	 6	 37.4	 42.6	 24.91	 0.751	 0.035	 14.31	 0.05	
 32838	I4901   	19 54 22.9	-58 42 50	 5	 76.2	 57.4	 24.50	 0.234	 0.076	 10.91	 0.03	*
 32885	185 G 31	19 57 21.9	-55 08 13	 5	 35.4	 25.6	 23.97	 0.737	 0.051	 13.55	 0.02	
590069	372-002 	19 57 36.1	-00 14 05	 5	 36.1	 31.1	 23.38	 0.210	 0.083	 13.08	 0.05	
 32903	339 G 11	19 57 37.4	-37 56 05	 3	 47.6	 29.5	 22.84	 0.631	 0.036	 12.40	 0.02	
 32909	461 G 22	19 57 43.5	-30 43 10	 4	 35.3	 28.5	 22.97	 0.689	 0.016	 13.80	 0.07	
 32901	185 G 36	19 58 12.4	-55 40 47	 5	 45.2	 37.4	 23.29	 0.830	 0.009	 14.11	 0.04	
 32923	461 G 25	19 58 16.9	-31 46 21	 5	 40.6	 33.5	 24.89	 0.457	 0.066	 12.66	 0.04	
 32920	399 G 11	19 58 20.8	-36 24 45	 5	 31.5	 21.7	 23.58	 0.681	 0.031	 13.71	 0.03	
 32932	339 G 13	19 59 05.3	-38 00 37	 5	 29.4	 21.0	 24.67	 0.694	 0.024	 13.99	 0.04	
 32988	339 G 28	20 02 21.9	-38 36 53	 5	 22.6	 18.5	 24.69	 0.216	 0.084	 13.78	 0.04	
 32972	105 G 20	20 02 41.0	-64 04 43	 5	 46.4	 36.8	 23.95	 0.867	 0.006	 14.26	 0.04	
 32996	I4933   	20 03 29.1	-54 58 45	 4	 58.9	 47.4	 25.68	 0.360	 0.187	 11.53	 0.04	*
 33002	233 G 20	20 03 34.7	-50 05 10	 5	 22.1	 15.6	 24.82	 0.394	 0.047	 13.65	 0.03	
 33001	185 G 57	20 03 47.3	-54 58 26	 5	 30.6	 25.3	 23.98	 0.724	 0.026	 14.26	 0.05	
 33027	595 G 10	20 04 18.6	-19 03 48	 5	 49.7	 35.8	 23.03	 0.672	 0.051	 12.77	 0.03	
 33037	284 G 13	20 05 35.7	-42 42 11	 5	 41.8	 35.4	 24.78	 0.652	 0.031	 13.33	 0.05	
 33044	527 G  8	20 05 37.6	-25 08 40	 4	 26.5	 21.6	 25.14	 0.330	 0.070	 13.68	 0.05	
 33035	N6851A  	20 05 39.4	-47 58 42	 5	 34.4	 35.6	 24.95	 0.439	 0.092	 13.81	 0.05	
 33029	I4936   	20 05 52.0	-61 25 42	 7	 46.5	 45.3	 24.84	 0.565	 0.060	 13.11	 0.05	
 33052	284 G 16	20 06 19.7	-42 45 51	 5	 53.0	 46.7	 24.52	 0.593	 0.018	 12.76	 0.04	*
 33025	I4929   	20 06 41.4	-71 40 54	 5	 47.3	 31.9	 24.35	 0.685	 0.011	 12.65	 0.03	
 33007	I4912   	20 06 49.5	-77 21 27	 3	 30.7	 28.0	 24.95	 0.500	 0.079	 13.91	 0.05	
 33055	I4939   	20 07 10.9	-60 44 19	 5	 32.7	 47.0	 24.17	 0.501	 0.077	 13.95	 0.06	
 33065	185 G 68	20 07 13.8	-53 47 31	 5	 43.7	 42.5	 23.71	 0.776	 0.015	 14.06	 0.04	
 33036	I4934   	20 07 15.0	-69 28 45	 3	 43.6	 33.1	 23.75	 0.773	 0.030	 13.63	 0.03	*
 33086	595 G 14	20 07 37.8	-21 07 32	 5	 39.2	 31.8	 24.69	 0.160	 0.106	 12.05	 0.04	
 33090	461 G 44	20 08 04.7	-29 19 07	 3	 45.6	 32.8	 23.99	 0.735	 0.039	 12.97	 0.03	
 33080	I4950   	20 08 26.8	-56 09 37	 3	 45.9	 34.9	 23.55	 0.714	 0.043	 13.09	 0.03	
 33093	527 G 11	20 08 30.8	-25 27 24	 5	 56.4	 33.2	 24.78	 0.547	 0.045	 11.90	 0.03	
 33100	399 G 22	20 08 59.5	-35 19 15	 5	 17.8	 18.1	 23.92	 0.558	 0.037	 15.09	 0.05	
 33091	I4951   	20 09 31.1	-61 50 46	 3	 96.7	 79.6	 24.09	 0.803	 0.012	 12.14	 0.04	
 33103	233 G 36	20 09 34.2	-49 13 17	 3	 49.8	 38.7	 25.07	 0.683	 0.041	 12.82	 0.04	
 33110	284 G 21	20 09 43.8	-44 09 15	 4	 39.7	 31.8	 23.92	 0.401	 0.057	 12.82	 0.04	
 33116	399 G 23	20 09 48.0	-37 19 50	 5	 41.3	 29.3	 25.04	 0.313	 0.051	 12.27	 0.04	
 33117	N6870   	20 10 13.3	-48 17 07	 3	 77.0	 44.9	 23.97	 0.567	 0.058	 11.06	 0.02	
 33118	N6867   	20 10 29.0	-54 47 01	 3	 66.6	 47.1	 23.35	 0.759	 0.052	 12.14	 0.03	*
 33123	N6861E  	20 11 01.4	-48 41 26	 3	 41.6	 32.8	 24.46	 0.698	 0.019	 13.38	 0.03	
 33124	N6861F  	20 11 11.6	-48 16 32	 5	 47.8	 49.7	 24.79	 0.766	 0.057	 13.89	 0.04	
 33104	I4945   	20 11 17.7	-71 00 42	 5	 40.3	 31.6	 24.89	 0.644	 0.033	 13.31	 0.04	
 33132	339 G 36	20 11 27.2	-38 11 55	 5	 43.4	 35.8	 23.17	 0.586	 0.012	 13.14	 0.09	
 33126	I4961   	20 11 29.1	-53 07 33	 3	 54.0	 49.2	 24.27	 0.715	 0.051	 13.36	 0.05	
 33142	462 G  2	20 11 43.8	-28 51 53	 3	 25.8	 18.9	 24.14	 0.679	 0.019	 14.02	 0.02	
 33135	N6875A  	20 11 55.4	-46 08 37	 5	 91.5	 68.0	 22.97	 0.765	 0.026	 11.93	 0.03	
 33136	284 G 25	20 12 00.3	-47 01 23	 4	 30.3	 20.3	 23.27	 0.773	 0.011	 14.08	 0.03	
 33152	340 G  1	20 12 39.2	-40 08 03	 4	 48.6	 35.3	 23.66	 0.755	 0.066	 12.76	 0.03	
 33158	399 G 24	20 12 47.1	-33 35 14	 5	 43.8	 35.9	 25.42	 0.729	 0.019	 13.40	 0.05	
 33167	284 G 30	20 13 33.8	-43 21 41	 5	 29.3	 20.8	 24.20	 0.714	 0.035	 13.77	 0.03	
 33166	N6878A  	20 13 34.5	-44 48 59	 5	 61.1	 56.3	 23.26	 0.598	 0.053	 12.40	 0.03	
 11527	372-016 	20 13 54.5	-01 09 27	 3	 51.7	 32.9	 23.39	 0.717	 0.020	 12.31	 0.02	
 33181	233 G 47	20 14 16.8	-48 49 39	 5	 35.1	 70.1	 24.38	 0.505	 0.036	 13.82	 0.09	*
 33204	596 G  9	20 14 50.9	-18 01 19	 3	 34.5	 32.2	 23.84	 0.596	 0.033	 13.83	 0.04	
 33202	399 G 26	20 15 05.2	-37 14 11	 3	 32.7	 27.6	 23.69	 0.428	 0.050	 13.20	 0.04	
 33189	186 G 21	20 15 08.2	-52 43 06	 3	 49.6	 40.2	 24.96	 0.539	 0.020	 12.47	 0.04	
 33211	284 G 36	20 15 44.2	-43 07 00	 3	 31.6	 24.1	 23.91	 0.769	 0.020	 14.30	 0.03	
600042	M-151001	20 15 48.6	-02 54 18	 4	 49.2	 34.8	 24.41	 0.708	 0.007	 13.16	 0.05	
 33220	284 G 39	20 16 06.4	-44 25 18	 5	 32.7	 24.6	 25.09	 0.383	 0.158	 12.81	 0.04	*
 33229	400 G  2	20 16 18.7	-37 00 55	 5	 26.4	 23.9	 23.12	 0.689	 0.017	 14.51	 0.04	
 33227	284 G 43	20 16 30.8	-44 42 31	 5	 37.1	 30.4	 23.62	 0.481	 0.039	 13.12	 0.03	
 33247	400 G  5	20 16 51.6	-36 59 12	 5	 58.2	 40.1	 22.84	 0.466	 0.050	 12.32	 0.06	
 33242	233 G 50	20 17 03.0	-47 46 12	 3	 28.0	 24.0	 24.83	 0.283	 0.047	 13.48	 0.05	
 33238	I4986   	20 17 11.3	-55 02 05	 3	 63.9	 69.4	 24.58	 0.583	 0.027	 12.66	 0.05	
 33250	340 G  8	20 17 11.6	-40 55 25	 7	 44.8	 31.3	 24.47	 0.863	 0.013	 13.89	 0.03	
 33245	N6887   	20 17 17.0	-52 47 47	 4	115.7	 81.8	 23.31	 0.649	 0.024	 10.82	 0.03	*
 33254	340 G  9	20 17 19.2	-38 40 27	 7	 63.4	 43.1	 24.41	 0.858	 0.018	 13.65	 0.04	*
 33194	I4964   	20 17 24.2	-73 53 09	 3	 41.7	 55.3	 23.81	 0.532	 0.055	 13.27	 0.05	*
 33278	462 G  7	20 18 22.5	-27 27 18	 4	 40.3	 28.1	 23.28	 0.803	 0.011	 13.75	 0.04	
 11537	372-021 	20 18 37.8	-00 09 02	 5	 89.2	 61.8	 23.87	 0.772	 0.012	 11.71	 0.02	
 33296	400 G  8	20 19 56.0	-37 12 29	 5	 21.6	 17.2	 24.01	 0.476	 0.038	 14.32	 0.04	
 33312	527 G 19	20 20 46.3	-24 07 39	 3	 43.6	 33.3	 24.50	 0.397	 0.069	 12.27	 0.04	
600049	N6897   	20 21 01.4	-12 15 13	 5	 30.5	 21.5	 23.96	 0.329	 0.023	 12.75	 0.02	
 33315	285 G  1	20 21 27.9	-44 36 38	 3	 44.8	 27.9	 24.88	 0.712	 0.055	 13.05	 0.03	*
 33327	596 G 21	20 21 30.1	-20 25 30	 3	 34.1	 23.3	 23.63	 0.501	 0.040	 12.93	 0.02	
 33334	I4998   	20 22 09.9	-38 18 29	 5	 44.6	 37.0	 23.58	 0.295	 0.029	 12.34	 0.03	
 33339	462 G 10	20 22 14.1	-29 51 22	 5	 29.9	 34.2	 24.47	 0.419	 0.070	 13.90	 0.05	*
 33332	234 G 13	20 22 30.7	-50 45 09	 3	 41.2	 30.2	 26.31	 0.568	 0.054	 12.99	 0.04	
 33318	I4992   	20 23 28.2	-71 33 52	 5	 73.8	 60.9	 24.50	 0.870	 0.013	 13.20	 0.04	
 11554	N6916   	20 23 33.2	+58 20 38	 4	 63.7	 49.7	 24.37	 0.383	 0.077	 11.54	 0.03	*
 33373	462 G 16	20 23 39.0	-28 16 34	 5	 55.2	 58.7	 23.54	 0.281	 0.015	 12.14	 0.07	
 33366	234 G 19	20 23 51.0	-48 21 32	 5	 47.0	 30.3	 24.03	 0.841	 0.008	 13.63	 0.03	
 33381	I4999   	20 23 56.3	-26 00 52	 3	 58.1	 50.2	 23.97	 0.479	 0.038	 12.24	 0.04	
 11552	424-004 	20 24 35.6	+12 26 37	 2	 55.6	 38.2	 23.61	 0.540	 0.022	 12.28	 0.03	
 11551	399-008 	20 24 36.5	+06 54 38	 4	 65.9	 44.2	 24.01	 0.772	 0.017	 12.36	 0.03	
 33387	340 G 26	20 24 41.8	-41 30 38	 5	 70.0	 48.0	 23.48	 0.876	 0.009	 13.04	 0.02	
 33397	596 G 32	20 24 52.7	-18 20 42	 5	 35.1	 33.4	 23.98	 0.567	 0.023	 14.00	 0.08	
 33289	26 G  1 	20 24 55.2	-81 34 35	 5	 48.4	 60.5	 24.48	 0.227	 0.130	 12.49	 0.05	*
 33399	N6907   	20 25 06.5	-24 48 30	 4	 99.3	 68.2	 24.73	 0.212	 0.133	 10.07	 0.04	
 33398	340 G 28	20 25 24.2	-40 09 41	 5	 30.1	 24.6	 24.32	 0.512	 0.036	 13.69	 0.04	
 33394	234 G 24	20 25 27.0	-51 31 54	 5	 46.4	 37.2	 24.33	 0.719	 0.016	 13.17	 0.03	*
 33419	596 G 36	20 25 50.1	-18 31 24	 5	 27.1	 21.8	 23.52	 0.273	 0.083	 13.31	 0.04	
 33400	186 G 41	20 26 01.3	-54 22 57	 5	 30.4	 41.7	 23.75	 0.589	 0.013	 14.38	 0.07	
 33424	400 G 21	20 26 33.1	-32 27 42	 5	 34.1	 33.6	 22.93	 0.662	 0.026	 14.00	 0.10	
 33431	234 G 28	20 27 31.8	-51 39 17	 5	 37.2	 31.1	 24.66	 0.488	 0.110	 12.94	 0.04	
 33458	596 G 40	20 27 35.1	-18 50 09	 3	 35.0	 24.3	 23.94	 0.709	 0.005	 13.48	 0.02	
 33451	400 G 25	20 27 36.6	-32 57 27	 5	 47.1	 69.3	 23.41	 0.543	 0.033	 13.39	 0.27	*
 33428	143 G 27	20 27 44.2	-58 39 09	 5	 38.4	 43.9	 24.81	 0.808	 0.028	 14.69	 0.06	*
 33440	186 G 47	20 27 45.6	-52 23 04	 3	 48.1	 36.3	 23.91	 0.661	 0.078	 12.64	 0.03	*
 33465	596 G 41	20 28 01.0	-18 46 48	 3	 26.8	 20.6	 23.58	 0.272	 0.046	 13.29	 0.04	
 33470	I1321   	20 28 11.5	-18 17 31	 3	 32.3	 22.4	 23.76	 0.370	 0.073	 12.91	 0.03	
 11568	424-012 	20 28 18.5	+10 45 19	 5	 81.1	 63.8	 23.82	 0.685	 0.033	 11.86	 0.03	
 33446	143 G 28	20 28 33.7	-61 43 02	 5	 24.4	 27.3	 23.43	 0.425	 0.044	 14.06	 0.05	
 11569	        	20 28 45.2	+10 37 41	 5	 24.2	 26.1	 24.10	 0.260	 0.145	 13.95	 0.06	
 11571	424-014 	20 29 01.4	+10 40 43	 5	 86.2	 61.4	 23.04	 0.765	 0.032	 12.49	 0.05	
 33476	I5012   	20 29 32.4	-56 44 33	 5	 32.2	 28.1	 24.78	 0.462	 0.048	 13.59	 0.04	
 33489	285 G 20	20 29 36.1	-43 50 27	 3	 38.1	 31.3	 25.01	 0.584	 0.060	 13.27	 0.04	*
 33493	285 G 21	20 29 47.0	-45 24 43	 5	 23.6	 15.4	 25.07	 0.551	 0.049	 13.72	 0.04	
 33501	400 G 33	20 30 14.8	-34 48 41	 3	 29.0	 20.7	 25.30	 0.522	 0.096	 12.80	 0.04	
 33513	I5020   	20 30 37.0	-33 29 05	 5	 61.8	 42.7	 24.68	 0.231	 0.027	 11.20	 0.04	*
 33512	340 G 40	20 30 46.2	-39 14 59	 5	 32.1	 19.9	 23.46	 0.547	 0.022	 12.76	 0.03	
 11579	M+052026	20 30 55.2	-00 38 59	 5	 53.7	 39.8	 24.08	 0.830	 0.010	 13.41	 0.03	
 33520	462 G 27	20 30 57.3	-30 40 04	 3	 24.4	 20.5	 23.76	 0.556	 0.020	 14.30	 0.04	
 33525	400 G 37	20 31 12.9	-33 28 38	 5	 45.8	 78.7	 24.61	 0.430	 0.046	 13.09	 0.08	
 33538	596 G 52	20 31 18.2	-19 02 55	 5	 25.5	 19.6	 24.30	 0.597	 0.018	 14.08	 0.03	
 33537	528 G 15	20 31 21.8	-26 59 01	 5	 20.7	 16.4	 24.59	 0.601	 0.013	 14.55	 0.05	
 33531	N6919   	20 31 37.4	-44 13 07	 5	 43.7	 33.5	 24.49	 0.208	 0.044	 12.17	 0.04	
 33539	N6923   	20 31 39.1	-30 49 54	 4	 77.9	 52.3	 24.03	 0.418	 0.095	 10.73	 0.03	*
 11584	373-030 	20 31 49.6	+01 32 40	 5	 44.2	 29.7	 22.87	 0.787	 0.010	 13.47	 0.03	
 33542	234 G 43	20 32 13.7	-48 31 42	 7	 43.2	 54.0	 24.85	 0.454	 0.148	 13.21	 0.06	*
 33571	528 G 17	20 33 20.7	-27 05 49	 5	 36.4	 36.9	 23.40	 0.754	 0.024	 14.40	 0.08	
 33564	234 G 44	20 33 25.7	-49 34 31	 5	 27.1	 22.1	 24.07	 0.375	 0.024	 13.57	 0.04	
 33592	N6925   	20 34 20.8	-31 58 50	 5	137.1	 77.3	 24.39	 0.680	 0.016	  9.55	 0.03	
 11597	N6946   	20 34 52.7	+60 09 14	 5	423.2	272.2	 22.36	 0.356	 0.095	  7.33	 0.04	*
 11595	373-037 	20 35 04.5	+01 56 07	 4	 58.6	 44.9	 23.85	 0.809	 0.021	 13.10	 0.04	
 33607	528 G 21	20 35 05.6	-25 20 24	 3	 48.8	 44.1	 24.65	 0.659	 0.089	 13.13	 0.04	*
600084	M-152008	20 35 23.6	-06 14 40	 5	 81.9	 50.8	 22.57	 0.868	 0.016	 12.74	 0.03	
 33608	285 G 38	20 35 35.0	-44 22 30	 3	 42.5	 34.1	 25.66	 0.701	 0.040	 13.39	 0.04	
 33611	285 G 39	20 35 39.2	-43 36 32	 3	 21.3	 32.0	 23.58	 0.279	 0.059	 14.30	 0.06	
 33627	285 G 40	20 36 46.5	-45 18 25	 3	 38.5	 25.5	 23.55	 0.760	 0.009	 13.33	 0.03	
 33649	597 G 17	20 37 41.3	-21 36 22	 5	 18.3	 14.1	 24.66	 0.391	 0.101	 14.30	 0.03	
 33635	I5023   	20 38 11.7	-67 11 05	 5	 45.4	 27.8	 25.70	 0.631	 0.026	 12.27	 0.04	
 33656	463 G 10	20 38 23.0	-31 55 14	 5	 34.7	 28.3	 24.56	 0.617	 0.064	 13.61	 0.04	
 33657	285 G 41	20 38 53.7	-43 22 55	 5	 30.9	 27.1	 24.14	 0.606	 0.014	 14.01	 0.04	
 33670	597 G 20	20 39 07.1	-20 14 25	 4	 39.1	 28.9	 23.67	 0.644	 0.012	 13.11	 0.03	
 33676	463 G 14	20 39 33.8	-28 29 16	 4	 35.4	 24.8	 22.56	 0.426	 0.054	 12.78	 0.03	
 11613	FGC2283 	20 39 44.0	+63 35 54	 5	 40.9	 34.6	 24.10	 0.798	 0.005	 14.07	 0.04	*
 33679	234 G 61	20 40 13.0	-50 47 38	 5	 24.6	 26.4	 24.27	 0.733	 0.043	 15.18	 0.05	
 33685	401 G  1	20 40 26.5	-35 32 19	 4	 22.1	 21.6	 24.58	 0.519	 0.020	 14.65	 0.05	
