#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-04T12:31:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:31:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/413/813/atlas3d&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74130813
#Name: J/MNRAS/413/813
#Title: ATLAS3D project. I. (Cappellari+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	creator=Cappellari M.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.413..813C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/413/813	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74130813	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_413_813_atlas3d:
#Name: J/MNRAS/413/813/atlas3d
#Title: The Atlas^3D^ sample (E and S0) and spiral galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	T	(A1)	Simbad column added by the CDS	[ucd=meta.code;src.morph]
#Column	Gal	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SBF	(I1)	[0/2] 1 if the galaxy is in Tonry et al. (2001ApJ...546..681T) and 2 if it is in Mei et al. (2007ApJ...655..144M) or both	[ucd=meta.id]
#Column	NED-D	(I2)	Number of redshift-independent distance determinations listed in the NED-D catalogue, excluding the ones based on kinematical scaling relations	[ucd=meta.number]
#Column	Virgo	(I1)	[0/1] 1 if the galaxies is contained within a sphere of radius R=3.5Mpc from the centre of the cluster (1)	[ucd=meta.code]
#Column	Vhel	(I4)	Heliocentric velocity (2)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	Distance (3)	[ucd=pos.distance;pos.heliocentric]
#Column	KMAG	(F6.2)	Total absolute K magnitude (4)	[ucd=phys.magAbs;em.IR.K]
#Column	AB	(F5.2)	B-band foreground galactic extinction from Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	T-type	(F4.1)	Morphological T type from HyperLeda (5)	[ucd=src.morph.type]
#Column	log(Re)	(F5.2)	Projected half-light effective radius (6)	[ucd=phys.angSize]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref]
recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName	NED	LEDA
     483	S	NGC3877   	176.532425	+47.494499	0	 0	0	 895	16.8	-23.39	 0.10	 5.1	 1.64	NGC3877  	NED	LEDA
     484	S	NGC3888   	176.893051	+55.967258	0	 1	0	2408	41.5	-23.84	 0.05	 5.3	 1.32	NGC3888  	NED	LEDA
     485	S	NGC3893   	177.159195	+48.710789	0	 5	0	 967	20.2	-23.64	 0.09	 5.2	 1.69	NGC3893  	NED	LEDA
     486	S	NGC3898   	177.314041	+56.084351	0	 0	0	1176	21.7	-24.03	 0.09	 1.7	 1.50	NGC3898  	NED	LEDA
     487	S	NGC3900   	177.289307	+27.022076	0	 0	0	1798	29.8	-23.68	 0.14	-0.3	 1.51	NGC3900  	NED	LEDA
     488	S	NGC3912   	177.518539	+26.478996	0	 0	0	1779	29.6	-22.41	 0.09	 3.1	 1.28	NGC3912  	NED	LEDA
     489	S	NGC3917   	177.689529	+51.824211	0	 4	0	 965	16.4	-22.21	 0.09	 5.8	 1.73	NGC3917  	NED	LEDA
     490	S	NGC3938   	178.206055	+44.120731	0	 0	0	 809	14.5	-23.00	 0.09	 5.1	 1.86	NGC3938  	NED	LEDA
     491	S	NGC3949   	178.423950	+47.858784	0	 5	0	 800	18.9	-22.79	 0.09	 4.0	 1.52	NGC3949  	NED	LEDA
     492	S	NGC3953   	178.454285	+52.326542	0	 7	0	1052	17.8	-24.22	 0.13	 4.0	 1.89	NGC3953  	NED	LEDA
     493	S	NGC3972   	178.937988	+55.320671	0	 4	0	 852	22.0	-22.08	 0.06	 4.0	 1.50	NGC3972  	NED	LEDA
     494	S	NGC3976   	178.990143	+06.750834	0	 0	0	2497	37.2	-23.20	 0.05	 3.2	 1.36	NGC3976  	NED	LEDA
     495	S	NGC3982   	179.117371	+55.125362	0	23	0	1109	21.3	-22.80	 0.06	 3.2	 1.43	NGC3982  	NED	LEDA
     496	S	NGC3992   	179.399933	+53.374519	0	 5	0	1048	20.7	-24.65	 0.13	 4.0	 2.00	NGC3992  	NED	LEDA
     497	S	NGC4010   	179.658295	+47.261311	0	 0	0	 902	16.9	-21.56	 0.10	 6.9	 1.45	NGC4010  	NED	LEDA
     498	S	NGC4013   	179.630905	+43.947021	0	 0	0	 831	15.0	-23.25	 0.07	 3.0	 1.67	NGC4013  	NED	LEDA
     499	S	NGC4030   	180.098511	-01.099963	0	 3	0	1465	31.0	-25.14	 0.12	 4.0	 1.61	NGC4030  	NED	LEDA
     500	S	NGC4041   	180.550720	+62.137287	0	 0	0	1234	22.6	-23.36	 0.08	 4.0	 1.35	NGC4041  	NED	LEDA
     501	S	NGC4045   	180.676086	+01.976771	0	 0	0	1981	30.7	-23.69	 0.10	 1.3	 1.36	NGC4045  	NED	LEDA
     502	S	NGC4051   	180.790359	+44.531261	0	 5	0	 700	14.9	-23.20	 0.06	 4.0	 1.91	NGC4051  	NED	LEDA
     503	S	NGC4062   	181.015976	+31.895815	0	 0	0	 769	 9.8	-21.75	 0.11	 5.3	 1.72	NGC4062  	NED	LEDA
     504	S	NGC4064   	181.046631	+18.443451	0	 0	1	 913	16.5	-22.54	 0.09	 1.4	 1.55	NGC4064  	NED	LEDA
     505	S	NGC4067   	181.048157	+10.854354	0	 0	0	2415	36.5	-22.91	 0.11	 3.1	 1.20	NGC4067  	NED	LEDA
     506	S	NGC4085   	181.344604	+50.352749	0	 4	0	 746	21.0	-22.50	 0.08	 5.3	 1.34	NGC4085  	NED	LEDA
     507	S	NGC4088   	181.392456	+50.539028	0	 6	0	 757	14.4	-23.31	 0.09	 4.7	 1.76	NGC4088  	NED	LEDA
     508	S	NGC4096   	181.504837	+47.478359	0	 0	0	 566	 9.6	-22.12	 0.08	 5.3	 1.77	NGC4096  	NED	LEDA
     509	S	NGC4100   	181.535843	+49.582310	0	 7	0	1074	19.6	-23.44	 0.10	 4.1	 1.65	NGC4100  	NED	LEDA
     510	S	NGC4102   	181.596313	+52.710949	0	 4	0	 846	21.1	-23.91	 0.09	 3.1	 1.25	NGC4102  	NED	LEDA
     511	S	NGC4123   	182.046173	+02.878309	0	 0	1	1327	16.5	-22.30	 0.09	 5.0	 1.91	NGC4123  	NED	LEDA
     512	S	NGC4138   	182.374115	+43.685318	1	 5	0	 888	13.4	-22.44	 0.06	-0.9	 1.37	NGC4138  	NED	LEDA
     513	S	NGC4145   	182.506348	+39.883862	0	 0	0	1016	19.0	-22.92	 0.12	 6.9	 1.99	NGC4145  	NED	LEDA
     514	S	NGC4151   	182.636078	+39.405762	0	 0	0	 995	18.5	-23.96	 0.12	 2.0	 1.43	NGC4151  	NED	LEDA
     515	S	NGC4157   	182.768188	+50.484680	0	 0	0	 774	14.7	-23.48	 0.09	 3.3	 1.58	NGC4157  	NED	LEDA
     516	S	NGC4158   	182.792358	+20.175770	0	 0	0	2458	37.6	-23.14	 0.14	 3.1	 1.29	NGC4158  	NED	LEDA
     517	S	NGC4162   	182.968613	+24.123682	0	 1	0	2569	26.8	-22.79	 0.16	 4.0	 1.36	NGC4162  	NED	LEDA
     518	S	NGC4178   	183.193512	+10.865998	0	 0	1	 374	16.5	-21.52	 0.12	 7.0	 1.77	NGC4178  	NED	LEDA
     519	S	NGC4180   	183.262726	+07.038787	0	 0	1	2096	16.5	-21.99	 0.07	 2.0	 1.15	NGC4180  	NED	LEDA
     520	S	NGC4189   	183.446991	+13.424846	0	 0	1	2115	16.5	-22.19	 0.14	 6.0	 1.68	NGC4189  	NED	LEDA
     521	S	NGC4192   	183.451218	+14.900470	0	 0	1	-142	16.5	-24.21	 0.15	 2.6	 1.89	NGC4192  	NED	LEDA
     522	S	NGC4193   	183.473282	+13.172905	0	 1	0	2480	37.3	-23.54	 0.13	 4.1	 1.42	NGC4193  	NED	LEDA
     523	S	NGC4194   	183.539886	+54.526676	0	 0	0	2501	39.4	-23.36	 0.07	10.0	 0.89	NGC4194  	NED	LEDA
     524	S	NGC4205   	183.731598	+63.782757	0	 0	0	1417	25.1	-21.57	 0.09	 0.0	 1.23	NGC4205  	NED	LEDA
     525	S	NGC4206   	183.820312	+13.023840	0	 0	1	 702	16.5	-21.71	 0.14	 4.0	 1.65	NGC4206  	NED	LEDA
     526	S	NGC4207   	183.876816	+09.584940	0	 0	1	 596	16.5	-21.65	 0.08	 7.4	 1.21	NGC4207  	NED	LEDA
     527	S	NGC4212   	183.914062	+13.901473	0	 0	1	 -81	16.5	-22.72	 0.14	 4.9	 1.58	NGC4212  	NED	LEDA
     528	S	NGC4216   	183.976852	+13.149400	0	 0	1	 131	16.5	-24.58	 0.14	 3.0	 1.64	NGC4216  	NED	LEDA
     529	S	NGC4217   	183.962082	+47.091789	0	 4	0	1027	18.0	-23.70	 0.08	 3.0	 1.71	NGC4217  	NED	LEDA
     530	S	NGC4220   	184.048889	+47.883354	0	 0	0	 914	17.3	-23.07	 0.08	-0.3	 1.47	NGC4220  	NED	LEDA
     531	S	NGC4224   	184.140671	+07.462119	0	 0	0	2603	38.7	-24.34	 0.10	 1.0	 1.41	NGC4224  	NED	LEDA
     532	S	NGC4235   	184.291306	+07.191658	0	 0	0	2410	36.2	-24.41	 0.08	 1.0	 1.43	NGC4235  	NED	LEDA
     533	S	NGC4237   	184.297562	+15.323948	0	 0	1	 867	16.5	-22.49	 0.13	 4.0	 1.51	NGC4237  	NED	LEDA
     534	S	NGC4245   	184.403259	+29.608002	0	 0	0	 884	12.4	-22.17	 0.09	 0.1	 1.44	NGC4245  	NED	LEDA
     535	S	NGC4254   	184.706772	+14.416490	0	 0	0	2407	36.6	-25.91	 0.17	 5.2	 1.81	NGC4254  	NED	LEDA
     536	S	NGC4257   	184.776993	+05.725926	0	 0	0	2756	40.5	-22.34	 0.09	 1.7	 1.05	NGC4257  	NED	LEDA
     537	S	NGC4258   	184.740082	+47.303719	1	31	0	 448	 7.1	-23.79	 0.07	 4.0	 2.11	NGC4258  	NED	LEDA
     538	S	NGC4260   	184.842697	+06.098803	0	 1	0	1958	37.7	-24.35	 0.10	 0.9	 1.53	NGC4260  	NED	LEDA
     539	S	NGC4266   	184.926315	+05.538200	0	 0	1	1536	16.5	-21.64	 0.10	 1.0	 1.27	NGC4266  	NED	LEDA
     540	S	NGC4274   	184.961105	+29.614700	0	 0	0	 930	14.5	-23.78	 0.10	 1.7	 1.75	NGC4274  	NED	LEDA
     541	S	NGC4275   	184.969177	+27.620890	0	 0	0	2312	36.1	-22.60	 0.09	 2.5	 1.24	NGC4275  	NED	LEDA
     542	S	NGC4276   	185.031235	+07.691995	0	 0	0	2618	38.9	-22.27	 0.13	 6.7	 1.36	NGC4276  	NED	LEDA
     543	S	NGC4289   	185.259598	+03.721960	0	 0	0	2618	38.6	-23.05	 0.09	 5.7	 1.08	NGC4289  	NED	LEDA
     544	S	NGC4293   	185.303711	+18.382401	0	 0	1	 893	16.5	-23.62	 0.17	 0.2	 1.83	NGC4293  	NED	LEDA
     545	S	NGC4298   	185.386627	+14.606049	0	 0	1	1135	16.5	-22.63	 0.15	 5.2	 1.67	NGC4298  	NED	LEDA
     546	S	NGC4300   	185.422836	+05.384774	0	 0	0	2310	34.9	-23.19	 0.09	 1.0	 1.32	NGC4300  	NED	LEDA
     547	S	NGC4303   	185.478958	+04.473590	0	 0	1	1566	16.5	-24.25	 0.10	 4.0	 1.90	NGC4303  	NED	LEDA
     548	S	NGC4307   	185.523438	+09.043552	0	 0	1	1092	16.5	-22.37	 0.10	 3.2	 1.43	NGC4307  	NED	LEDA
     549	S	NGC4312   	185.630661	+15.537920	0	 0	1	 153	16.5	-22.30	 0.12	 1.9	 1.58	NGC4312  	NED	LEDA
     550	S	NGC4313   	185.660583	+11.800867	0	 0	1	1443	16.5	-22.63	 0.16	 2.1	 1.56	NGC4313  	NED	LEDA
     551	S	NGC4314   	185.633240	+29.895304	0	 0	0	 963	16.2	-23.50	 0.11	 1.0	 1.59	NGC4314  	NED	LEDA
     552	S	NGC4316   	185.675919	+09.332812	0	 0	1	1250	16.5	-21.85	 0.10	 5.6	 1.26	NGC4316  	NED	LEDA
     553	S	NGC4321   	185.728745	+15.822380	0	34	1	1571	15.9	-24.42	 0.11	 4.1	 2.07	NGC4321  	NED	LEDA
     554	S	NGC4330   	185.821869	+11.367980	0	 0	1	1563	16.5	-21.59	 0.10	 6.3	 1.61	NGC4330  	NED	LEDA
     555	S	NGC4343   	185.911209	+06.953936	0	 0	1	1014	16.5	-22.13	 0.09	 3.0	 1.21	NGC4343  	NED	LEDA
     556	S	NGC4348   	185.974838	-03.442911	0	 0	0	2005	30.6	-23.53	 0.16	 4.2	 1.29	NGC4348  	NED	LEDA
     557	S	NGC4355   	186.727615	-00.877642	0	 0	0	2179	32.9	-22.48	 0.10	 1.1	 1.17	NGC4355  	NED	LEDA
     558	S	NGC4369   	186.150848	+39.382980	0	 0	0	1045	19.7	-22.57	 0.11	 1.0	 1.36	NGC4369  	NED	LEDA
     559	S	NGC4370   	186.228882	+07.444566	0	 0	1	 782	16.5	-21.79	 0.10	 0.8	 1.27	NGC4370  	NED	LEDA
     560	S	NGC4378   	186.325317	+04.925024	0	 0	0	2559	38.0	-24.39	 0.07	 1.0	 1.32	NGC4378  	NED	LEDA
     561	S	NGC4380   	186.342407	+10.016705	0	 0	1	 963	16.5	-22.76	 0.10	 2.3	 1.68	NGC4380  	NED	LEDA
     562	S	NGC4383   	186.356323	+16.470005	0	 0	1	1710	16.5	-21.60	 0.10	 1.0	 1.10	NGC4383  	NED	LEDA
     563	S	NGC4384   	186.300049	+54.506130	0	 0	0	2513	39.6	-22.61	 0.08	 1.0	 1.31	NGC4384  	NED	LEDA
     564	S	NGC4385   	186.428391	+00.572589	0	 0	0	2140	32.5	-22.79	 0.11	-0.5	 1.33	NGC4385  	NED	LEDA
     565	S	NGC4388   	186.445084	+12.662070	0	 0	0	2524	38.0	-24.91	 0.14	 2.8	 1.61	NGC4388  	NED	LEDA
     566	S	NGC4389   	186.396240	+45.684669	0	 4	0	 718	16.4	-21.95	 0.06	 4.1	 1.52	NGC4389  	NED	LEDA
     567	S	NGC4394   	186.481766	+18.213926	0	 0	1	 922	16.5	-22.94	 0.13	 3.0	 1.62	NGC4394  	NED	LEDA
     568	S	NGC4402   	186.531525	+13.112794	0	 0	1	 232	16.5	-22.61	 0.13	 3.2	 1.55	NGC4402  	NED	LEDA
     569	S	NGC4405   	186.529648	+16.180849	0	 0	1	1747	16.5	-21.72	 0.11	-0.1	 1.41	NGC4405  	NED	LEDA
     570	S	NGC4414   	186.612869	+31.223545	0	24	0	 716	17.9	-24.33	 0.08	 5.2	 1.52	NGC4414  	NED	LEDA
     571	S	NGC4419   	186.735138	+15.047423	1	 2	1	-261	16.5	-23.36	 0.14	 1.1	 1.37	NGC4419  	NED	LEDA
     572	S	NGC4421   	186.760620	+15.461305	0	 0	1	1603	16.5	-22.30	 0.11	-0.3	 1.55	NGC4421  	NED	LEDA
     573	S	NGC4424   	186.798264	+09.420519	0	 0	1	 437	16.5	-22.00	 0.09	 1.0	 1.54	NGC4424  	NED	LEDA
     574	S	NGC4430   	186.859924	+06.262640	0	 0	1	1451	16.5	-21.74	 0.08	 3.4	 1.69	NGC4430  	NED	LEDA
     575	S	NGC4437   	188.189941	+00.115040	0	 0	0	1128	17.3	-23.88	 0.10	 6.0	 1.96	NGC4437  	NED	LEDA
     576	S	NGC4438   	186.940216	+13.008590	0	 0	1	  71	16.5	-23.83	 0.12	 0.6	 1.75	NGC4438  	NED	LEDA
     577	S	NGC4440   	186.973221	+12.293191	0	 0	1	 724	16.5	-22.19	 0.12	 1.1	 1.26	NGC4440  	NED	LEDA
     578	S	NGC4450   	187.123474	+17.084949	0	 2	1	1954	19.5	-24.41	 0.12	 2.4	 1.80	NGC4450  	NED	LEDA
     579	S	NGC4454   	187.211441	-01.939140	0	 0	0	2407	35.6	-23.72	 0.11	 0.1	 1.54	NGC4454  	NED	LEDA
     580	S	NGC4457   	187.245880	+03.570607	0	 0	1	 882	16.5	-23.32	 0.09	 0.4	 1.32	NGC4457  	NED	LEDA
     581	S	NGC4469   	187.366653	+08.750175	0	 0	1	 587	16.5	-23.06	 0.09	 0.2	 1.57	NGC4469  	NED	LEDA
     582	S	NGC4470   	187.407501	+07.824057	0	 0	0	2341	35.5	-22.64	 0.10	 1.4	 1.34	NGC4470  	NED	LEDA
     583	S	NGC4480   	187.611588	+04.246471	0	 0	0	2439	36.4	-23.07	 0.10	 5.0	 1.47	NGC4480  	NED	LEDA
     584	S	NGC4488   	187.714157	+08.360130	0	 0	1	 972	16.5	-21.69	 0.09	 0.0	 1.50	NGC4488  	NED	LEDA
     585	S	NGC4490   	187.651535	+41.643631	0	 2	0	 565	 6.9	-21.85	 0.09	 7.0	 1.77	NGC4490  	NED	LEDA
     586	S	NGC4492   	187.748962	+08.077909	0	 0	1	1740	16.5	-22.02	 0.11	 1.0	 1.53	NGC4492  	NED	LEDA
     587	S	NGC4501   	187.996735	+14.420410	0	 3	1	2281	15.3	-24.67	 0.16	 3.4	 1.84	NGC4501  	NED	LEDA
     588	S	NGC4519   	188.376160	+08.654460	0	 0	1	1216	16.5	-21.54	 0.09	 6.9	 1.59	NGC4519  	NED	LEDA
     589	S	NGC4525   	188.463303	+30.277517	0	 0	0	1172	23.0	-21.83	 0.10	 5.9	 1.62	NGC4525  	NED	LEDA
     590	S	NGC4527   	188.535400	+02.653810	0	14	0	1736	14.1	-23.81	 0.09	 4.0	 1.68	NGC4527  	NED	LEDA
     591	S	NGC4531   	188.566025	+13.075527	1	 1	1	 195	14.8	-22.11	 0.18	-0.5	 1.63	NGC4531  	NED	LEDA
     592	S	NGC4532   	188.580536	+06.467703	0	 0	1	2012	16.5	-21.61	 0.09	 9.7	 1.41	NGC4532  	NED	LEDA
     593	S	NGC4535   	188.584625	+08.197760	0	20	1	1964	15.8	-23.61	 0.08	 5.0	 1.98	NGC4535  	NED	LEDA
     594	S	NGC4536   	188.613037	+02.187880	0	42	1	1808	14.9	-23.36	 0.08	 4.3	 1.84	NGC4536  	NED	LEDA
     595	S	NGC4539   	188.644836	+18.202579	0	 0	1	1397	16.5	-21.65	 0.10	 0.7	 1.58	NGC4539  	NED	LEDA
     596	S	NGC4540   	188.711945	+15.551446	0	 0	1	1286	16.5	-21.86	 0.15	 6.1	 1.53	NGC4540  	NED	LEDA
     597	S	NGC4548   	188.860123	+14.496320	1	23	1	 486	18.7	-24.26	 0.17	 3.1	 1.93	NGC4548  	NED	LEDA
     598	S	NGC4559   	188.990372	+27.959761	0	 0	0	 816	 9.0	-22.20	 0.08	 6.0	 1.98	NGC4559  	NED	LEDA
     599	S	NGC4565   	189.086685	+25.987391	1	 7	0	1230	17.0	-25.10	 0.07	 3.2	 1.87	NGC4565  	NED	LEDA
     600	S	NGC4567   	189.136261	+11.257870	0	 0	1	2247	16.5	-22.80	 0.14	 4.0	 1.74	NGC4567  	NED	LEDA
     601	S	NGC4568   	189.142883	+11.238630	0	 0	1	2255	16.5	-23.58	 0.14	 4.1	 1.66	NGC4568  	NED	LEDA
     602	S	NGC4569   	189.207565	+13.162870	0	 0	1	-235	16.5	-24.52	 0.20	 2.4	 1.95	NGC4569  	NED	LEDA
     603	S	NGC4571   	189.234879	+14.217357	0	 0	1	 342	16.5	-22.59	 0.20	 6.4	 1.87	NGC4571  	NED	LEDA
     604	S	NGC4579   	189.431656	+11.818090	0	 0	1	1517	16.5	-24.62	 0.18	 2.8	 1.81	NGC4579  	NED	LEDA
     605	S	NGC4580   	189.451660	+05.368432	0	 0	1	1034	16.5	-22.32	 0.10	 1.6	 1.52	NGC4580  	NED	LEDA
     606	S	NGC4586   	189.618484	+04.319099	0	 0	1	 794	16.5	-22.63	 0.16	 0.9	 1.64	NGC4586  	NED	LEDA
     607	S	NGC4591   	189.801834	+06.012214	0	 0	0	2422	36.4	-22.58	 0.09	 2.3	 1.22	NGC4591  	NED	LEDA
     608	S	NGC4602   	190.153534	-05.133010	0	 1	0	2539	34.5	-24.16	 0.10	 4.2	 1.59	NGC4602  	NED	LEDA
     609	S	NGC4604   	190.187241	-05.302535	0	 0	0	2658	38.5	-21.54	 0.10	10.0	 1.10	NGC4604  	NED	LEDA
     610	S	NGC4606   	190.239822	+11.912186	0	 0	1	1640	16.5	-21.93	 0.14	 0.5	 1.54	NGC4606  	NED	LEDA
     611	S	NGC4607   	190.301697	+11.886627	0	 0	1	2270	16.5	-21.51	 0.14	 3.4	 1.38	NGC4607  	NED	LEDA
     612	S	NGC4631   	190.533371	+32.541512	0	 3	0	 606	 7.1	-22.80	 0.07	 6.5	 2.03	NGC4631  	NED	LEDA
     613	S	NGC4632   	190.633469	-00.082540	0	 0	0	1726	28.1	-22.98	 0.10	 5.1	 1.48	NGC4632  	NED	LEDA
     614	S	NGC4634   	190.670776	+14.295874	0	 0	1	 297	16.5	-21.84	 0.12	 5.9	 1.35	NGC4634  	NED	LEDA
     615	S	NGC4639   	190.718140	+13.257536	0	39	0	1018	21.9	-22.91	 0.11	 3.5	 1.46	NGC4639  	NED	LEDA
     616	S	NGC4642   	190.824097	-00.644248	0	 0	0	2644	38.7	-22.59	 0.11	 3.9	 1.33	NGC4642  	NED	LEDA
     617	S	NGC4647   	190.884583	+11.581944	0	 0	1	1409	16.5	-23.05	 0.11	 5.2	 1.68	NGC4647  	NED	LEDA
     618	S	NGC4651   	190.927612	+16.393396	0	 2	0	 805	24.1	-23.90	 0.12	 5.2	 1.56	NGC4651  	NED	LEDA
     619	S	NGC4653   	190.962173	-00.561301	0	 0	0	2631	38.6	-22.97	 0.10	 6.0	 1.60	NGC4653  	NED	LEDA
     620	S	NGC4654   	190.985992	+13.126350	0	 0	1	1046	16.5	-23.36	 0.11	 5.9	 1.77	NGC4654  	NED	LEDA
     621	S	NGC4659   	191.122391	+13.498675	0	 0	1	 480	16.5	-21.84	 0.11	 0.0	 1.36	NGC4659  	NED	LEDA
     622	S	NGC4666   	191.286148	-00.461910	0	 0	0	1529	26.4	-25.06	 0.11	 5.1	 1.50	NGC4666  	NED	LEDA
     623	S	NGC4668   	191.383333	-00.535833	0	 0	0	1636	27.2	-21.60	 0.11	 7.5	 1.35	NGC4668  	NED	LEDA
     624	S	NGC4689   	191.939682	+13.762688	0	 0	1	1616	16.5	-23.13	 0.10	 4.7	 1.98	NGC4689  	NED	LEDA
     625	S	NGC4691   	192.056961	-03.332918	0	 0	0	1110	16.0	-22.50	 0.12	 0.3	 1.42	NGC4691  	NED	LEDA
     626	S	NGC4698   	192.095566	+08.487244	0	 0	1	1009	16.5	-23.53	 0.11	 1.4	 1.61	NGC4698  	NED	LEDA
     627	S	NGC4725   	192.610886	+25.500759	1	21	0	1206	12.9	-24.38	 0.05	 2.2	 2.02	NGC4725  	NED	LEDA
     628	S	NGC4736   	192.721451	+41.120152	1	 4	0	 308	 5.1	-23.42	 0.08	 2.4	 1.66	NGC4736  	NED	LEDA
     629	S	NGC4746   	192.980713	+12.083027	0	 0	1	1783	16.5	-21.60	 0.16	 3.0	 1.22	NGC4746  	NED	LEDA
     630	S	NGC4747   	192.941513	+25.777317	0	 0	0	1190	24.3	-21.64	 0.05	 7.2	 1.42	NGC4747  	NED	LEDA
     631	S	NGC4771   	193.338638	+01.269171	0	 0	0	1134	18.6	-22.35	 0.09	 6.3	 1.52	NGC4771  	NED	LEDA
     632	S	NGC4772   	193.371552	+02.168344	0	 1	0	1040	28.3	-23.91	 0.12	 1.1	 1.47	NGC4772  	NED	LEDA
     633	S	NGC4779   	193.461929	+09.709920	0	 0	0	2831	41.9	-23.25	 0.09	 4.6	 1.39	NGC4779  	NED	LEDA
     634	S	NGC4791   	193.683075	+08.053164	0	 0	0	2529	37.9	-21.56	 0.14	 0.0	 1.03	NGC4791  	NED	LEDA
     635	S	NGC4793   	193.669174	+28.938766	0	 0	0	2484	38.5	-24.04	 0.05	 5.1	 1.51	NGC4793  	NED	LEDA
     636	S	NGC4799   	193.814758	+02.896605	0	 0	0	2793	41.0	-23.18	 0.15	 4.9	 1.01	NGC4799  	NED	LEDA
     637	S	NGC4800   	193.657394	+46.531139	0	 1	0	 891	29.8	-24.08	 0.07	 3.0	 1.31	NGC4800  	NED	LEDA
     638	S	NGC4808   	193.953918	+04.304094	0	 0	1	 759	16.5	-22.06	 0.16	 5.9	 1.43	NGC4808  	NED	LEDA
     639	S	NGC4814   	193.841431	+58.343967	0	 0	0	2517	39.8	-23.95	 0.04	 3.1	 1.38	NGC4814  	NED	LEDA
     640	S	NGC4826   	194.182068	+21.682659	1	 2	0	 408	 7.3	-24.00	 0.18	 2.3	 1.92	NGC4826  	NED	LEDA
     641	S	NGC4845   	194.505173	+01.575580	0	 0	0	1232	23.2	-24.04	 0.09	 2.3	 1.59	NGC4845  	NED	LEDA
     642	S	NGC4866   	194.863083	+14.171050	0	 0	1	1988	16.5	-23.18	 0.12	-0.1	 1.48	NGC4866  	NED	LEDA
     643	S	NGC4880   	195.043884	+12.483369	0	 0	1	1377	16.5	-22.02	 0.14	-1.5	 1.71	NGC4880  	NED	LEDA
     644	S	NGC4904   	195.244446	-00.027452	0	 0	0	1189	20.8	-22.10	 0.11	 5.8	 1.52	NGC4904  	NED	LEDA
     645	S	NGC4941   	196.054764	-05.551620	0	 1	0	1108	21.2	-23.43	 0.16	 2.4	 1.69	NGC4941  	NED	LEDA
     646	S	NGC4961   	196.448227	+27.734110	0	 0	0	2535	39.1	-22.12	 0.05	 5.6	 1.21	NGC4961  	NED	LEDA
     647	S	NGC5005   	197.734634	+37.058941	0	 3	0	 946	14.1	-24.31	 0.06	 4.0	 1.63	NGC5005  	NED	LEDA
     648	S	NGC5012   	197.904404	+22.915470	0	 1	0	2619	39.1	-24.20	 0.06	 5.2	 1.49	NGC5012  	NED	LEDA
     649	S	NGC5014   	197.879990	+36.282120	0	 0	0	1126	21.4	-21.54	 0.03	 1.4	 1.09	NGC5014  	NED	LEDA
     650	S	NGC5016   	198.027863	+24.095051	0	 0	0	2612	39.9	-23.29	 0.06	 4.4	 1.39	NGC5016  	NED	LEDA
     651	S	NGC5033   	198.364731	+36.593651	0	 3	0	 875	17.6	-24.28	 0.05	 5.1	 1.79	NGC5033  	NED	LEDA
