#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
 10087	223-011a	  4.74	  0.68	  6.9	  7041	GB300
251327	        	  1.67	  0.17	 19.5	  8149	AOlf
251324	078-098 	  1.90	  0.22	  9.9	 10357	AOlf
251587	FGC1965 	  1.63	  0.21	  6.8	 10843	AOlf
 10081	N6010   	  1.00	  0.14	  6.1	  2033	AOlf
251572	FGC3057 	  2.25	  0.31	  7.9	 10360	AOlf
 10089	136-115 	  6.13	  0.72	 16.7	  5549	AOlf
251332	079-005 	  3.31	  0.36	  9.4	 12025	AOlf
251333	079-004b	  3.60	  0.40	 14.0	 12015	AOlf
251334	079-004a	  2.76	  0.29	 14.5	 12086	AOlf
 10094	137-001 	  2.76	  0.37	  9.4	  9755	AOlf
 10096	N6016   	  8.97	  1.70	 15.7	  6484	AOlf
 10093	108-011 	 12.00	  1.26	 56.6	  4951	AOlf
252343	        	  0.84	  0.10	  7.6	 12387	AOlf
251351	079-010 	  1.96	  0.24	  8.1	 10239	AOlf
 10105	M1023008	  3.67	  0.52	  7.7	  4117	GB300
 31331	389 G  4	  9.43	  1.09	 16.4	  5784	Nanc
251368	137-006 	  1.37	  0.17	  7.8	 13614	AOlf
 10109	250-028 	  7.64	  0.86	 11.1	  5819	GB300
 10104	167-006 	 12.22	  1.81	 40.4	  9841	AOlf
251371	108-018 	  1.06	  0.13	  6.5	  9412	AOlf
251498	        	  1.40	  0.16	  7.7	 10873	AOlf
 31339	583 G  8	  4.95	  0.54	  9.9	  7409	Nanc
 10108	I1149   	  5.93	  0.63	 14.4	  4685	AOlf
 10111	FGC3064 	  5.43	  0.82	  9.3	 10387	AOlf
 10113	I1151   	 17.46	  2.31	 30.4	  2169	AOlf
251400	108-031 	  4.75	  0.53	 27.6	 10587	AOlf
251413	        	  0.79	  0.08	 10.4	 12810	AOlf
 10122	223-024 	  2.58	  0.40	  8.4	  9319	GB300
251415	079-018 	  0.49	  0.07	  6.0	 21910	AOlf
 10121	108-036 	  4.58	  0.49	 19.9	  8881	AOlf
 10065	195-004 	  1.14	  0.15	  5.6	  9343	AOlf
251424	108-037 	  1.39	  0.17	  6.3	 10106	AOlf
251503	        	  2.45	  0.31	  9.6	 10176	AOlf
251427	108-038 	  0.55	  0.09	  4.6	  4996	AOlf
251434	I1155   	  2.87	  0.29	 18.2	 10700	AOlf
251505	M+341024	  1.23	  0.14	  8.0	 10476	AOlf
251436	108-043 	  1.17	  0.13	 11.2	 10655	AOlf
251442	108-049 	  1.07	  0.12	  7.0	 13193	AOlf
251446	108-048N	  2.97	  0.30	 15.2	 13144	AOlf
251439	079-019 	  3.02	  0.31	 11.8	 10307	AOlf
 31352	389 G  6	 15.92	  0.80	  8.8	  5899	GB140
 10136	195-005 	  2.25	  0.26	 11.2	  9380	AOlf
251509	        	  0.84	  0.11	  6.8	 11438	AOlf
252359	        	  1.06	  0.17	  5.2	 12528	AOlf
251510	        	  0.89	  0.12	  4.3	 10785	AOlf
 10131	        	  1.52	  0.24	  5.4	 11721	AOlf
251511	        	  0.78	  0.12	  5.5	  9896	AOlf
251466	108-061 	  0.55	  0.07	  5.9	  9480	AOlf
251513	        	  0.81	  0.10	  7.3	 11493	AOlf
 10133	I1158   	 10.27	  1.07	 15.3	  1925	Nanc
251573	HI id   	  0.55	  0.08	  6.1	  9139	AOlf
251516	        	  1.08	  0.13	  7.4	  8636	AOlf
 10138	137-017 	  1.38	  0.16	 12.2	  9645	AOlf
 10140	D584-02 	  2.37	  0.24	 10.8	  2627	AOlf
 10137	051-020 	  5.85	  0.65	 13.4	  5253	AOlf
251477	        	  1.34	  0.13	 22.8	 10616	AOlf
251473	079-024 	  1.08	  0.14	  8.2	 11763	AOlf
251482	108-069 	  4.57	  0.46	 20.0	  2514	AOlf
260009	079-027 	  1.60	  0.18	 10.0	 12138	AOlf
260030	167-018 	  3.06	  0.30	 22.7	  4232	AOlf
 10151	167-017 	  4.10	  0.42	 13.5	  9745	AOlf
 10212	M1311023	  5.88	  0.67	 10.2	  3940	Effs
 10155	223-031 	  4.64	  0.53	 12.0	  9256	GB300
 10146	051-025 	  1.62	  0.23	  6.0	  8198	AOlf
 10147	051-026a	  4.00	  0.41	 18.1	  9233	AOlf
260038	        	  1.04	  0.14	  6.6	  8999	AOlf
 10154	N6035   	  4.34	  0.43	 25.3	  4759	AOlf
260940	        	  1.70	  0.20	  7.4	 10143	AOlf
260045	079-029 	  1.34	  0.18	  4.6	 12541	AOlf
260941	        	  0.85	  0.11	  5.2	 12517	AOlf
260063	108-089 	  1.55	  0.16	 30.6	  4756	AOlf
260077	137-026 	  2.14	  0.24	  7.7	 14600	AOlf
260074	079-032 	  0.84	  0.10	  7.8	 14199	AOlf
260091	108-098 	  1.51	  0.17	  8.8	 11892	AOlf
 10169	108-097 	  1.14	  0.17	  6.9	  4685	AOlf
260086	079-035 	  1.05	  0.16	  4.3	 14449	AOlf
260089	079-037 	  1.80	  0.20	  8.2	 12359	AOlf
260109	137-028 	  1.05	  0.13	  6.1	  9569	AOlf
260087	079-036 	  1.11	  0.13	  8.6	 10194	AOlf
260112	108-108 	  2.74	  0.28	 15.9	 10638	AOlf
 10172	079-041 	  1.13	  0.15	  6.3	  4628	AOlf
260110	079-040 	  6.83	  0.67	 18.3	 10160	AOlf
260116	108-107a	  1.47	  0.19	  5.9	 12911	AOlf
260121	079-042 	  1.17	  0.13	  7.4	 11153	AOlf
260953	        	  1.14	  0.14	  5.4	 12935	AOlf
 10176	079-043 	  3.63	  0.50	  8.2	  4636	AOlf
260146	A2151-33	  2.00	  0.25	 10.4	 12237	AOlf
261077	I1179   	  0.90	  0.11	  7.9	 11127	AOlf
 10190	A2151-60	  2.91	  0.39	 17.1	 11077	AOlf
260183	137-035 	  1.39	  0.16	  8.0	 11985	AOlf
260164	079-045 	  5.09	  0.53	 14.0	 12165	AOlf
261057	K1603+22	  7.19	  0.92	 16.2	  5694	AOlf
 10193	108-132N	  2.43	  0.31	  7.7	 13068	AOlf
 10200	223-038 	 26.95	  2.65	 33.9	  1984	GB300
261079	108-132S	  0.73	  0.09	  6.2	 12067	AOlf
 10196	N6060   	 27.69	  3.23	 43.8	  4442	AOlf
260959	        	  1.27	  0.15	  9.0	 12866	AOlf
261178	        	  1.02	  0.15	  5.6	  9079	AOlf
260208	108-140 	  1.08	  0.14	  6.0	 11583	AOlf
 10214	275-023 	  4.69	  0.64	 13.7	  9217	GB300
260890	A2162-01	  0.83	  0.12	  4.1	  9747	AOlf
 10205	167-026 	  4.85	  0.54	 13.2	  6556	AOlf
 10207	167-027b	  8.24	  1.03	  7.3	  8775	AOlf
260232	079-047 	  4.77	  0.54	 14.4	  3272	AOlf
260247	A2151107	  0.91	  0.12	  5.3	 10830	AOlf
260246	108-155 	  0.87	  0.12	  5.0	 11806	AOlf
 10211	137-039 	  2.87	  0.33	  8.7	  4336	AOlf
 10210	N6063   	  9.35	  1.08	 19.6	  2848	AOlf
260250	079-049 	  2.46	  0.30	  7.9	  5016	AOlf
 10213	079-050 	  3.22	  0.36	 10.1	  4996	AOlf
 10215	108-156 	  3.06	  0.32	 11.7	  7807	AOlf
260268	195-015 	  1.89	  0.19	 18.4	  8947	AOlf
 10216	079-053 	  1.90	  0.26	  4.9	 14699	AOlf
 10218	I1196   	  3.22	  0.37	  8.5	  4884	AOlf
 10220	M+341135	  4.42	  0.45	 21.9	  3343	AOlf
260274	108-157 	  1.02	  0.14	  8.0	 11573	AOlf
 10219	I1197   	 19.31	  2.90	 33.0	  1370	AOlf
260279	137-041a	  1.98	  0.22	 11.0	 12121	AOlf
260280	I1198   	  1.84	  0.20	 10.4	 10142	AOlf
260963	        	  1.08	  0.14	  7.5	  9301	AOlf
260281	079-058 	  3.18	  0.36	 10.7	  4838	AOlf
260894	        	  0.75	  0.10	  6.7	  6970	AOlf
260284	108-158 	  2.18	  0.28	  8.9	 10627	AOlf
 10224	137-043 	  2.89	  0.35	  9.1	  9408	AOlf
 10227	195-018 	  7.42	  1.10	 14.7	  9032	AOlf
 10226	195-017 	  5.64	  0.61	 11.7	  9066	AOlf
261323	137-045 	  2.29	  0.30	  5.3	  9730	AOlf
 31395	451 G 11	  8.55	  1.03	  6.5	  4271	Nanc
260900	        	  1.24	  0.17	  7.0	  9929	AOlf
260292	137-047 	  1.18	  0.15	  8.0	  8740	AOlf
260297	167-030 	  2.57	  0.26	 12.4	  9832	AOlf
260902	        	  2.74	  0.29	 15.4	  6601	AOlf
 10229	        	  5.97	  0.59	 16.5	  1508	AOff
260291	079-065 	  1.97	  0.23	  9.1	 14074	AOlf
 10232	108-259 	  8.16	  1.70	 16.0	  3318	AOlf
 10233	137-049 	 10.53	  1.41	  7.7	  9820	AOlf
260295	079-067 	  2.20	  0.26	 13.1	 10632	AOlf
260296	079-066 	  2.13	  0.24	 12.2	 14399	AOlf
 10230	N6070   	 25.39	  4.30	 44.2	  2004	AOlf
 10236	137-050 	  4.84	  0.67	  8.0	  9948	AOlf
 10235	N6073   	  6.84	  0.71	 19.7	  4633	AOlf
 10238	079-068 	  2.19	  0.28	  8.0	 10205	AOlf
 10243	108-162 	  5.14	  0.53	 16.0	  7936	AOlf
 10246	M+538032	  3.49	  0.41	  8.0	  9554	AOlf
260300	079-071 	  3.08	  0.35	 11.1	 10708	AOlf
 10248	        	  2.16	  0.29	  6.7	  9037	AOlf
260302	108-163 	  4.14	  0.43	 15.0	 10152	AOlf
260301	079-072 	  0.88	  0.12	  6.1	 12638	AOlf
 10250	137-052 	  2.89	  0.34	  9.4	 19367	AOlf
 10257	196-002 	  9.11	  1.12	  7.5	  3826	GB300
260908	        	  1.34	  0.16	  8.6	 10014	AOlf
261333	137-053 	  0.75	  0.13	  4.2	  9793	AOlf
 10249	079-074 	  1.66	  0.21	  5.4	 10436	AOlf
 10256	137-056 	  3.43	  0.43	  9.4	  9567	AOlf
 10274	        	  4.89	  0.68	  5.5	  3883	GB300
 10276	167-049 	  7.92	  1.00	 13.9	  9275	AOlf
 10282	M+636002	  2.91	  0.32	 11.3	  9267	AOlf
260326	        	  1.84	  0.20	 11.5	  6742	AOlf
260915	A2162   	  1.28	  0.15	  7.6	  6742	AOlf
260325	N6083   	  0.60	  0.08	  5.2	  9320	AOlf
 10289	        	  4.64	  0.63	  5.5	  5918	GB300
 10281	KKR23   	  7.62	  0.91	  7.7	  1084	GB140
 10286	167-053 	  1.77	  0.27	  5.7	  9378	AOlf
260335	196-007 	  1.46	  0.16	 10.5	  9641	AOlf
260334	079-082 	  0.83	  0.11	  5.6	  9314	AOlf
 10287	079-083 	  1.53	  0.17	 10.6	  9104	AOlf
260337	I1205   	  4.77	  0.46	 35.6	  3240	AOlf
 10291	N6084   	  2.29	  0.27	  6.7	  9080	AOlf
 10288	023-026 	 50.94	  4.36	 21.3	  2044	GB140
260350	167-056 	  1.43	  0.15	 10.8	 10177	AOlf
261050	        	  2.35	  0.29	 15.0	  7547	AOlf
 10296	223-052 	  6.39	  0.71	 12.1	  9727	GB300
 10293	I1206   	  3.02	  0.36	  6.9	 10125	AOlf
 10297	108-169 	  8.92	  1.89	 13.7	  2307	AOlf
 10300	N6102   	  3.92	  0.43	 18.0	  7525	AOlf
 10301	167-061 	  5.22	  0.68	 13.5	  6663	AOlf
 10305	        	  3.05	  0.36	  8.1	  9470	AOlf
261058	K1613+16	  1.92	  0.26	  7.3	 10378	AOlf
261059	K1613+11	  0.90	  0.13	  6.9	 10604	AOlf
 10310	251-004 	 20.80	  0.56	 40.8	   716	GB140
261060	K1614+14	  2.77	  0.36	 12.2	  9107	AOlf
261061	K1614+20	  2.67	  0.36	  8.5	 10876	AOlf
 10334	320-023 	  6.71	  0.71	 18.6	  3098	GB300
560003	M-241001	 79.58	  2.01	 56.2	   977	GB140
 10325	251-006a	  6.24	  0.69	  9.5	  5745	GB300
260387	079-089 	  0.86	  0.10	  7.5	 10114	AOlf
260399	109-001 	  2.06	  0.25	  9.4	  9034	AOlf
 10320	137-072 	  1.70	  0.23	  5.4	  9510	AOlf
 10322	137-074 	  5.87	  0.63	 14.7	  4401	AOlf
 31435	I4598   	 13.94	  0.99	  7.5	  3670	GB140
 10327	137-075 	  6.52	  0.79	 11.7	  4272	AOlf
 10328	N6106   	 33.03	  4.19	113.3	  1449	AOlf
261008	K1616+15	  4.11	  0.56	 10.3	 10350	AOlf
 10340	196-037 	  1.82	  0.23	 10.5	  8671	AOlf
 10337	052-002 	  3.76	  0.44	  9.6	  8765	AOlf
260425	109-006 	  1.71	  0.22	  6.6	 10410	AOlf
260436	109-008a	  1.20	  0.13	 11.7	 13629	AOlf
 10359	N6140   	107.80	  4.78	 51.5	   908	GB140
 10354	224-003 	  8.13	  0.93	 10.2	  8946	GB300
260451	168-001 	  1.07	  0.15	  7.4	 10389	AOlf
260442	080-009 	  2.91	  0.31	  9.1	  8880	AOlf
260444	080-011 	  1.08	  0.14	  6.3	  8568	AOlf
 10350	N6118   	 40.17	  1.96	 16.8	  1573	GB140
 10356	N6131   	  6.42	  0.72	 11.7	  5061	GB300
260454	138-002 	  2.27	  0.27	  9.2	 14738	AOlf
 10357	224-005 	  3.24	  0.47	  7.3	  9277	GB300
 10355	080-014 	  3.05	  0.40	  9.0	 10106	AOlf
 10362	224-008 	  8.48	  1.04	  7.4	  9628	GB300
260476	168-003 	  1.89	  0.22	  8.7	 16960	AOlf
 10363	N6132   	  9.60	  1.11	 16.1	  4964	AOlf
260484	138-005 	  1.09	  0.14	  9.7	  9629	AOlf
260485	138-006 	  3.25	  0.33	 15.7	 11097	AOlf
 10372	168-004 	  2.80	  0.39	 14.6	 14473	AOlf
260480	080-023 	  1.14	  0.17	  4.7	 12726	AOlf
260489	109-011 	  3.54	  0.37	 10.6	 11958	AOlf
260493	138-008 	  3.25	  0.35	  9.9	  9713	AOlf
 10373	052-012 	  4.76	  0.57	 14.9	  7679	AOlf
 10383	320-028 	  8.66	  1.04	  9.1	  2767	GB300
 10375	080-025 	  1.52	  0.28	  8.4	 10320	AOlf
260496	080-026 	  2.29	  0.25	 13.4	  8652	AOlf
260499	080-027 	  3.89	  0.40	 16.9	  4989	AOlf
 10382	N6154   	  5.06	  0.57	 13.7	  5981	GB300
 10380	109-016 	  5.99	  0.82	  5.9	  8754	AOlf
260509	F585-V01	  2.67	  0.27	 14.3	  1983	AOlf
260508	052-015 	  1.23	  0.19	  4.0	  1540	AOlf
 10384	080-031 	  8.20	  1.04	  8.0	  4969	AOlf
260518	080-032 	  1.47	  0.18	  9.1	  9647	AOlf
 10388	109-019 	  2.98	  0.41	  6.3	  4629	AOlf
 10387	080-034 	  1.89	  0.26	  5.2	  4932	AOlf
260526	109-020 	  2.58	  0.31	  8.0	  8631	AOlf
260529	138-013 	  3.10	  0.32	 12.3	 10986	AOlf
260533	080-037 	  3.76	  0.38	 22.6	  8471	AOlf
 10394	024-013 	  3.80	  0.44	 10.5	  5660	AOlf
260546	138-015 	  0.72	  0.09	  9.0	  9291	AOlf
 10447	355-011 	  7.27	  0.82	 10.4	  7082	GB300
260562	138-016 	  1.05	  0.11	  8.7	 17119	AOlf
 10405	109-022 	  8.20	  0.88	 47.5	 10919	AOlf
 10406	052-027 	  7.61	  0.93	  9.0	 10062	AOlf
260607	109-023 	  2.96	  0.34	  9.3	 10786	AOlf
260611	138-020 	  0.98	  0.15	  5.5	 12268	AOlf
260603	080-041 	  3.47	  0.37	 14.3	  5309	AOlf
 10413	138-021 	 19.36	  2.57	 27.2	  2990	AOlf
260615	080-042 	  2.53	  0.30	 11.1	  5142	AOlf
 10419	        	  4.80	  0.47	 21.5	  2615	AOff
260628	138-026 	  3.32	  0.39	  9.6	  9722	AOlf
 10427	224-054 	  3.13	  0.43	  8.5	  8848	GB300
 10416	052-032 	  1.80	  0.19	 15.4	  6214	AOlf
 10430	224-059 	  1.97	  0.34	  5.3	  8957	GB300
260634	168-017 	  1.07	  0.13	  6.4	 17687	AOlf
 10428	N6177   	  4.90	  0.59	  8.3	  9302	AOlf
260635	109-027 	  3.39	  0.37	 11.0	 10775	AOlf
 10426	109-026 	  3.14	  0.37	  7.1	 10118	AOlf
 10436	224-066 	  3.30	  0.48	  6.2	  9064	GB300
260644	138-031 	  1.70	  0.22	  6.0	 11187	AOlf
 10437	224-068 	 13.92	  1.43	 18.0	  2598	GB300
 10434	N6168   	  9.68	  1.18	 11.9	  2540	AOlf
260648	080-044 	  1.57	  0.18	  9.5	 16655	AOlf
260647	080-043 	  2.05	  0.23	 10.7	  7793	AOlf
 10442	N6189   	 14.73	  1.47	 22.3	  5636	GB300
260652	109-029 	  1.88	  0.26	  7.6	  7203	AOlf
 31475	452 G  7	 20.39	  1.00	  9.3	  4104	GB140
260661	138-035 	  3.84	  0.42	 10.6	  9690	AOlf
 10439	N6181   	 32.16	  4.12	 77.1	  2371	AOlf
260667	138-036 	  2.42	  0.25	  8.0	 17609	AOlf
 31476	452 G  8	 10.38	  0.82	  8.8	  4833	GB140
 10440	M+342021	  3.63	  0.37	 22.9	  4406	AOlf
260671	080-046 	  0.88	  0.11	  4.4	 16816	AOlf
 10445	168-021 	 31.59	  0.95	 19.9	   963	GB140
260676	196-078 	  1.62	  0.17	 16.4	  9523	AOlf
 10450	        	  0.83	  0.12	  5.8	  9776	AOlf
260677	109-032a	  2.67	  0.29	  9.5	 16118	AOlf
 10448	N6186   	  2.27	  0.26	 17.9	 11355	AOlf
 10458	I1221   	  5.86	  0.65	 32.6	  5462	GB300
 10453	109-033 	 12.27	  1.60	 22.4	  4352	AOlf
 10459	        	  3.89	  0.58	  4.8	  9001	GB300
 10461	I1222   	  3.39	  0.51	  6.6	  9220	GB300
560007	M-142002	 10.22	  1.11	 10.7	  8173	GB300
260687	080-049 	  1.85	  0.22	  9.0	 15387	AOlf
 10463	080-048 	  0.87	  0.14	  4.1	  9664	AOlf
 10469	N6195   	  5.62	  0.80	  6.3	  9022	GB300
 10465	024-019 	  4.44	  0.47	 15.1	  7356	AOlf
260700	109-035 	  1.91	  0.21	 10.7	  7478	AOlf
 10502	339-014 	 18.58	  1.84	 24.0	  4293	GB300
 10475	052-053 	  3.01	  0.37	 12.2	  9485	AOlf
 10503	M1216006	  7.03	  0.79	 14.2	  3935	GB300
560008	M-142003	  9.61	  1.05	 12.6	  1575	Nanc
 10498	FGC2054 	  2.51	  0.35	  6.1	 12393	AOlf
260716	080-051 	  4.72	  0.50	 12.8	  6943	AOlf
 10495	052-057 	  4.52	  0.51	 10.4	 13518	AOlf
260719	138-050 	  3.64	  0.41	  8.9	  9335	AOlf
 10504	197-003 	  3.40	  0.37	 12.7	  9256	AOlf
260724	080-052 	  0.43	  0.08	  3.3	 14332	AOlf
260733	080-055 	  2.30	  0.23	 19.6	  9670	AOlf
260743	197-006 	  2.07	  0.21	 11.8	  9394	AOlf
260737	080-056b	  3.07	  0.33	 10.2	  5594	AOlf
260739	080-057 	  5.18	  0.61	 15.5	  5591	AOlf
560012	M-142004	 67.87	  2.20	 34.4	  1565	GB140
 10524	I1228   	  1.86	  0.25	  8.1	  7639	GB300
260747	110-001 	  1.38	  0.15	  7.7	 10375	AOlf
261062	K1640+20	  1.52	  0.21	  8.0	 10191	AOlf
 10513	        	  2.46	  0.28	 10.6	  7083	AOlf
 10521	N6207   	 34.41	  1.61	 21.4	   852	GB140
 10537	N6232   	  7.63	  0.87	 13.2	  4441	GB300
 10531	M+734144	  2.11	  0.48	  3.2	 10133	GB300
 10526	138-064 	  3.94	  0.42	 12.1	 10298	AOlf
 10529	168-030 	  6.94	  0.70	 28.4	  4434	AOlf
 10546	N6236   	 22.62	  0.85	 12.9	  1281	GB140
 10542	299-024 	  7.01	  0.87	  9.6	  5914	GB300
260768	168-032 	  2.49	  0.29	  9.2	  9366	AOlf
260767	138-069 	  1.63	  0.18	 10.2	  9334	AOlf
260770	I134162 	  3.83	  0.43	  7.9	  9438	AOlf
 10535	053-006 	  2.86	  0.42	  5.6	  7582	AOlf
 10564	N6248   	 38.41	  1.83	 29.2	  1132	GB140
 10543	169-002 	  0.68	  0.10	  7.0	 10739	AOlf
 10545	197-010 	  2.15	  0.28	  6.2	  9304	AOlf
261063	FGC2068 	  4.03	  0.52	 12.6	  4433	AOlf
 10547	197-011 	  2.60	  0.33	  6.0	  9292	AOlf
 10560	I1231   	  8.94	  0.97	 12.1	  5253	GB300
 10550	M+734148	 10.51	  1.18	 12.8	  9035	GB300
 31533	453 G  4	  6.29	  0.76	  8.9	  6767	Nanc
 31539	586 G  2	 10.83	  0.80	 11.1	  6639	GB140
261009	053-008 	  3.80	  0.45	 10.6	  9767	AOlf
 10558	N6228   	  8.48	  0.86	 27.1	 10250	AOlf
 10554	025-006 	  6.21	  0.71	  9.9	  1562	GB300
260970	139-004 	  2.57	  0.27	 13.8	  9066	AOlf
260787	197-014 	  1.66	  0.18	 10.8	  9131	AOlf
 10571	252-002 	  4.95	  0.75	  6.7	  6593	GB300
260790	081-006 	  0.97	  0.13	  6.7	 12563	AOlf
 10569	081-007 	  8.15	  1.10	 11.1	  9691	AOlf
 10577	N6239   	 59.15	  2.28	 43.4	   923	GB140
 10586	252-006 	  1.85	  0.30	  7.9	  9393	GB300
 10576	I4621   	  2.98	  0.35	  8.4	  9456	AOlf
260973	I4623   	  3.10	  0.34	 10.2	  9592	AOlf
 10582	        	  5.38	  0.67	  7.8	 11136	AOlf
560017	M-143002	 17.71	  1.82	 13.6	  7188	GB300
 10588	        	  7.29	  0.85	 29.8	  2684	AOlf
261675	        	  1.77	  0.22	  7.9	 10479	AOlf
 10632	355-022 	  6.48	  0.73	  9.2	  4249	Effs
260827	081-009 	  3.30	  0.37	  9.5	  9524	AOlf
 10597	139-016 	  2.40	  0.25	 13.2	 14040	AOlf
 10598	169-011 	  2.47	  0.29	  9.6	 10296	AOlf
 10596	        	  2.76	  0.31	  9.3	 12097	AOlf
 10600	197-017 	  0.93	  0.12	  8.4	  9460	AOlf
 10614	321-004 	  3.44	  0.40	  9.7	  5637	GB300
 10606	N6255   	 31.32	  1.47	 20.7	   919	GB140
 10603	FGC2084 	  4.55	  0.59	  9.0	 10649	AOlf
 10607	I4630   	  1.28	  0.15	  8.7	 10379	AOlf
 10619	M+928009	  2.63	  0.35	  9.5	  5340	GB300
 10615	197-019 	  5.03	  0.62	  7.2	  9511	AOlf
 10620	        	  1.55	  0.17	 12.5	 18394	AOlf
 10627	252-011 	  7.76	  0.91	  9.9	  7245	GB300
 10625	        	  7.06	  0.93	  8.9	  2056	GB300
 10641	M1024079	  7.40	  1.12	  5.8	  5564	GB300
 10628	N6267   	  6.25	  0.64	 27.2	  2980	AOlf
 10639	169-023 	  2.38	  0.31	  5.5	  9834	AOlf
 10651	225-023 	  5.15	  0.60	 12.6	  8240	GB300
 10640	025-015 	  4.99	  0.98	  7.9	  9305	AOlf
260862	081-010 	  1.03	  0.12	  9.4	 11200	AOlf
 10650	139-027 	  5.21	  0.55	 15.6	  2979	Nanc
 10653	169-026 	  3.39	  0.41	  8.3	 10884	AOlf
260883	        	  2.38	  0.24	 23.9	  8867	AOlf
 10659	053-025 	  4.31	  0.51	  8.5	 10140	AOlf
 10663	169-031 	  2.40	  0.39	  4.7	 10073	AOlf
 10661	        	  7.70	  0.97	  7.3	 10191	AOlf
 10664	225-026 	  5.18	  0.67	  8.2	  8482	GB300
 10684	N6292   	 15.68	  1.61	 15.8	  3415	GB300
270002	081-013 	  3.55	  0.36	 17.5	  6303	AOlf
 10674	081-015 	  5.85	  0.74	 15.7	 10551	AOlf
270336	025-019 	  1.41	  0.20	  7.6	  3607	AOlf
 10713	339-027 	 16.21	  1.21	 12.1	  1069	GB140
 10688	197-029 	  5.44	  0.59	 12.4	  9866	AOlf
 10685	081-019 	  5.07	  0.56	 16.2	  9641	AOlf
270017	081-018 	  4.06	  0.41	 15.4	  6505	AOlf
 10692	139-034 	  8.19	  1.40	  9.7	  9317	AOlf
270027	081-020 	  1.53	  0.20	  5.9	  9517	AOlf
 10710	225-044 	  5.42	  0.76	  5.6	  8333	GB300
270321	K1704+08	  2.05	  0.30	  7.0	 10624	AOlf
 10714	169-044 	 10.07	  1.57	 23.4	  9526	AOlf
270051	082-005 	  2.93	  0.32	 10.4	 10973	AOlf
 10716	        	  5.36	  0.71	  8.5	  9691	AOlf
 10736	339-028 	 22.19	  1.28	 14.0	   491	GB140
 10717	139-037 	  2.01	  0.21	 18.7	 12523	AOlf
 10721	139-038 	  6.35	  0.64	 28.5	  2920	AOlf
 10723	N6301   	 10.13	  1.14	  7.1	  8380	GB300
 10720	082-010 	  5.21	  0.55	 13.6	  9952	AOlf
 10718	I1242   	  6.49	  0.67	 17.1	  6731	AOlf
 10719	N6296   	  6.95	  0.73	 13.6	  6731	AOlf
270077	082-011 	  0.56	  0.09	  5.2	  9188	AOlf
270083	082-013 	  1.46	  0.17	  8.1	 10166	AOlf
 10729	169-049 	  8.22	  0.95	 31.0	  9150	AOlf
 10732	198-014 	  2.70	  0.32	  7.0	  8295	AOlf
 10735	        	  2.60	  0.34	  8.7	  8881	AOlf
 10757	I1251   	 18.77	  1.87	 21.1	  1164	GB300
 10762	N6340   	 11.98	  1.19	 18.2	  1207	GB300
 10738	054-005 	  5.66	  0.75	 10.9	  6720	AOlf
 10743	054-007 	  5.81	  0.63	 14.1	  2563	AOlf
 10769	I1254   	  9.99	  1.01	 16.4	  1227	GB300
 10749	170-001 	  3.35	  0.41	  8.0	  9160	AOlf
 10758	277-029 	  3.44	  0.45	  7.5	  9037	GB300
