#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
MCXC	OName	RAJ2000	DEJ2000	z	L500	M500	R500	Notes	Simbad
J1728.6+7041	RX J1728.6+7041   	17 28 39.5	+70 41 05	 0.5509	 3.486201	 2.8569	 0.8200	                                          	Simbad
J1729.0+7440	BVH2007 213       	17 29 00.7	+74 40 40	 0.2130	 0.326916	 0.8885	 0.6321	                                          	Simbad
J1730.4+7422	RXC J1730.4+7422  	17 30 29.0	+74 22 30	 0.1100	 0.459094	 1.1791	 0.7198	B                                         	Simbad
J1731.6+2251	MACSJ1731.6+2252  	17 31 39.2	+22 51 50	 0.3890	 9.300000	12.8000	 1.4300	                                          	Simbad
J1733.0+4345	RXC J1733.0+4345  	17 33 02.6	+43 45 46	 0.0307	 0.249901	 0.8593	 0.6644	                                          	Simbad
J1735.0+6406	RXC J1735.0+6406  	17 35 05.4	+64 06 05	 0.1406	 0.992101	 1.8453	 0.8271	                                          	Simbad
J1735.7-0721	RXC J1735.7-0721  	17 35 47.7	-07 21 44	 0.0239	 0.143362	 0.6151	 0.5956	                                          	Simbad
J1735.9+1659	RXC J1735.9+1659  	17 35 54.2	+16 59 40	 0.0858	 0.347074	 1.0113	 0.6893	                                          	Simbad
J1736.3+6803	RXC J1736.3+6803  	17 36 22.1	+68 03 26	 0.0248	 0.030499	 0.2392	 0.4347	B                                         	Simbad
J1740.5+3538	RXC J1740.5+3538  	17 40 32.7	+35 38 51	 0.0428	 0.280225	 0.9141	 0.6757	                                          	Simbad
J1742.7+6735	RX J1742.7+6735   	17 42 46.8	+67 35 53	 0.0420	 0.026385	 0.2165	 0.4182	                                          	Simbad
J1742.8+3900	RXC J1742.8+3900  	17 42 48.3	+39 00 35	 0.0423	 0.213329	 0.7743	 0.6394	                                          	Simbad
J1743.3+6440	RX J1743.3+6440   	17 43 23.3	+64 40 18	 0.1790	 0.399458	 1.0301	 0.6720	                                          	Simbad
J1743.4+6341	RX J1743.4+6341   	17 43 28.1	+63 41 39	 0.3270	 1.902516	 2.3779	 0.8415	                                          	Simbad
J1744.2+3259	RXC J1744.2+3259  	17 44 15.0	+32 59 23	 0.0757	 2.312610	 3.2372	 1.0192	                                          	Simbad
J1745.2+6556	RX J1745.2+6556   	17 45 16.2	+65 56 17	 0.6080	 1.156880	 1.3891	 0.6303	                                          	Simbad
J1746.3+6849	WARP J1746.3+6849W	17 46 19.0	+68 49 50	 0.2030	 0.258970	 0.7767	 0.6065	                                          	Simbad
J1746.5+6848	WARP J1746.3+6849E	17 46 33.0	+68 48 50	 0.3070	 0.297308	 0.7791	 0.5845	                                          	Simbad
J1746.7+6639	RX J1746.7+6639   	17 46 45.0	+66 39 20	 0.3864	 0.522739	 1.0307	 0.6226	                                          	Simbad
J1747.2+4512	RXC J1747.2+4512  	17 47 16.8	+45 12 56	 0.1565	 1.568663	 2.4118	 0.8994	B                                         	Simbad
J1747.5+6343	RX J1747.5+6343   	17 47 33.6	+63 43 55	 0.3280	 0.621375	 1.2009	 0.6699	                                          	Simbad
J1748.6+7020	RX J1748.6+7020   	17 48 41.6	+70 20 31	 0.3450	 0.621911	 1.1852	 0.6627	                                          	Simbad
J1749.0+7014	RX J1749.0+7014   	17 49 03.5	+70 14 42	 0.5790	 3.300896	 2.6983	 0.7956	                                          	Simbad
J1749.3+4245	RXC J1749.3+4245  	17 49 21.7	+42 45 44	 0.2296	 1.906080	 2.5705	 0.8953	                                          	Simbad
J1749.6+5334	RXC J1749.6+5334  	17 49 41.4	+53 34 46	 0.0909	 0.368896	 1.0459	 0.6959	                                          	Simbad
J1749.8+6823	RX J1749.8+6823   	17 49 49.8	+68 23 15	 0.0508	 0.009878	 0.1182	 0.3409	                                          	Simbad
J1750.2+3504	RXC J1750.2+3504  	17 50 16.5	+35 04 54	 0.1712	 3.141204	 3.6434	 1.0267	                                          	Simbad
J1751.1+6531	BVH2007 215       	17 51 08.6	+65 31 59	 0.0428	 0.022102	 0.1943	 0.4032	                                          	Simbad
J1751.5+7013	RX J1751.5+7013   	17 51 30.7	+70 13 32	 0.4925	 1.285017	 1.6330	 0.6964	                                          	Simbad
J1751.6+6719	BVH2007 216       	17 51 38.6	+67 19 19	 0.0933	 0.154220	 0.6135	 0.5821	                                          	Simbad
J1751.7+2304	RXC J1751.7+2304  	17 51 47.5	+23 04 14	 0.0132	 0.020277	 0.1879	 0.4025	                                          	Simbad
J1752.0-6348	RXC J1752.0-6348  	17 52 05.6	-63 48 59	 0.1330	 2.808276	 3.4995	 1.0264	                                          	Simbad
J1752.2+6522	RX J1752.2+6522   	17 52 12.0	+65 22 22	 0.3923	 0.407319	 0.8809	 0.5895	                                          	Simbad
J1753.4+5205	RXC J1753.4+5205  	17 53 29.8	+52 05 31	 0.0988	 0.333736	 0.9785	 0.6789	                                          	Simbad
J1754.0+5805	RXC J1754.0+5805  	17 54 02.2	+58 05 19	 0.2263	 2.129747	 2.7575	 0.9176	                                          	Simbad
J1754.0+6452	RX J1754.0+6452   	17 54 05.3	+64 52 01	 0.2460	 0.173213	 0.5881	 0.5443	                                          	Simbad
J1754.5+6904	RX J1754.5+6904   	17 54 35.0	+69 04 58	 0.5113	 0.826416	 1.2281	 0.6286	                                          	Simbad
J1754.6+6803	RXC J1754.6+6803  	17 54 39.5	+68 03 23	 0.0770	 0.592790	 1.4102	 0.7723	B                                         	Simbad
J1754.7+6623	RX J1754.7+6623   	17 54 45.7	+66 23 53	 0.0879	 0.036352	 0.2551	 0.4353	                                          	Simbad
J1755.3+6504	RX J1755.3+6504   	17 55 19.9	+65 04 55	 0.0846	 0.024258	 0.1998	 0.4016	                                          	Simbad
J1755.7+6752	RX J1755.7+6752   	17 55 45.5	+67 52 42	 0.0833	 0.166650	 0.6477	 0.5947	                                          	Simbad
J1755.8+6236	RXC J1755.8+6236  	17 55 49.5	+62 36 49	 0.0266	 0.046842	 0.3104	 0.4738	B                                         	Simbad
J1755.9+6314	RX J1755.9+6314   	17 55 56.5	+63 14 03	 0.3850	 0.982274	 1.5159	 0.7084	                                          	Simbad
J1756.5+6513	RX J1756.5+6513   	17 56 31.0	+65 13 01	 0.0284	 0.003837	 0.0674	 0.2847	                                          	Simbad
J1757.3+6631	RX J1757.3+6631   	17 57 19.8	+66 31 39	 0.6909	 0.869925	 1.0879	 0.5621	                                          	Simbad
J1757.7-0108	RXC J1757.7-0108  	17 57 43.3	-01 08 35	 0.0728	 1.112577	 2.0762	 0.8798	                                          	Simbad
J1758.9+6520	RX J1758.9+6520   	17 58 57.6	+65 20 58	 0.3652	 0.247869	 0.6654	 0.5425	                                          	Simbad
J1759.0-1333	RXC J1759.0-1333  	17 59 02.9	-13 33 16	 0.0450	 0.727127	 1.6325	 0.8193	                                          	Simbad
J1759.2+6902	RX J1759.2+6902   	17 59 17.5	+69 02 20	 0.0994	 0.037882	 0.2595	 0.4361	                                          	Simbad
J1800.5+6913	RXC J1800.5+6913  	18 00 30.8	+69 13 25	 0.0823	 0.339204	 0.9997	 0.6875	C                                         	Simbad
J1802.4-5236	RXC J1802.4-5236  	18 02 29.4	-52 36 33	 0.1250	 2.074725	 2.9264	 0.9696	                                          	Simbad
J1802.7+4247	RXC J1802.7+4247  	18 02 43.5	+42 47 46	 0.0502	 0.081099	 0.4271	 0.5231	                                          	Simbad
J1802.9+6339	RX J1802.9+6339   	18 02 54.0	+63 39 10	 0.0907	 0.016324	 0.1563	 0.3693	                                          	Simbad
J1804.1+0042	RXC J1804.1+0042  	18 04 10.7	+00 42 20	 0.0882	 2.013071	 2.9490	 0.9840	                                          	Simbad
J1804.2+6729	RX J1804.2+6729   	18 04 15.6	+67 29 21	 0.0617	 0.005052	 0.0780	 0.2957	                                          	Simbad
J1804.4+1002	RXC J1804.4+1002  	18 04 28.5	+10 02 22	 0.1525	 4.548122	 4.6293	 1.1192	                                          	Simbad
J1806.1+6813	RX J1806.1+6813   	18 06 06.6	+68 13 08	 0.3030	 0.662094	 1.2736	 0.6896	                                          	Simbad
J1806.4+7028	RX J1806.4+7028   	18 06 24.9	+70 28 40	 0.0971	 0.098837	 0.4665	 0.5306	                                          	Simbad
J1806.9+6537	BVH2007 217       	18 06 55.9	+65 37 11	 0.2630	 1.387088	 2.0634	 0.8220	                                          	Simbad
J1807.4+6946	BVH2007 218       	18 07 28.1	+69 46 22	 0.0941	 0.047183	 0.2978	 0.4574	                                          	Simbad
J1807.5+6429	RX J1807.5+6429   	18 07 32.3	+64 29 17	 0.2391	 0.172939	 0.5906	 0.5465	                                          	Simbad
J1808.7+6557	RX J1808.7+6557   	18 08 43.6	+65 57 05	 0.2460	 0.144541	 0.5266	 0.5246	                                          	Simbad
J1809.0-0414	RXC J1809.0-0414  	18 09 01.2	-04 14 38	 0.3050	 9.165294	 6.3125	 1.1748	                                          	Simbad
J1811.0+4954	RXC J1811.0+4954  	18 11 00.1	+49 54 40	 0.0501	 0.534051	 1.3478	 0.7673	                                          	Simbad
J1811.3+6447	RX J1811.3+6447   	18 11 19.1	+64 47 36	 0.4510	 1.099327	 1.5373	 0.6937	                                          	Simbad
J1812.0+3113	WARP J1812.0+3113 	18 12 01.6	+31 13 13	 0.2246	 0.196860	 0.6464	 0.5661	                                          	Simbad
J1812.1+6353	RX J1812.1+6353   	18 12 08.4	+63 53 35	 0.5408	 2.042146	 2.0796	 0.7406	                                          	Simbad
J1813.1+6230	RX J1813.1+6230   	18 13 11.5	+62 30 33	 0.1829	 0.181399	 0.6347	 0.5711	                                          	Simbad
J1813.3-6127	RXC J1813.3-6127  	18 13 18.7	-61 27 27	 0.1470	 4.270501	 4.4728	 1.1086	                                          	Simbad
J1814.2+6939	RXC J1814.2+6939  	18 14 17.7	+69 39 34	 0.0863	 0.187751	 0.6951	 0.6082	                                          	Simbad
J1816.4+5314	RXC J1816.4+5314  	18 16 26.8	+53 14 16	 0.2764	 2.671417	 3.0450	 0.9312	                                          	Simbad
J1816.5+6911	RX J1816.5+6911   	18 16 32.4	+69 11 34	 0.2097	 0.198588	 0.6573	 0.5723	                                          	Simbad
J1817.1+7024	RX J1817.1+7024   	18 17 08.4	+70 24 13	 0.0859	 0.048345	 0.3040	 0.4617	                                          	Simbad
J1817.7+6824	RX J1817.7+6824   	18 17 46.1	+68 24 24	 0.2820	 2.068086	 2.5934	 0.8809	                                          	Simbad
J1819.1+6909	BVH2007 219       	18 19 10.1	+69 09 39	 0.2050	 0.440992	 1.0729	 0.6750	                                          	Simbad
J1819.8+6748	RX J1819.8+6748   	18 19 48.8	+67 48 48	 0.2153	 0.213123	 0.6833	 0.5786	                                          	Simbad
J1819.8+3307	RXC J1819.8+3307  	18 19 52.0	+33 07 59	 0.2796	 2.587135	 2.9785	 0.9233	                                          	Simbad
J1820.1+6857	RXC J1820.1+6857  	18 20 10.7	+68 57 20	 0.0870	 0.385167	 1.0767	 0.7036	                                          	Simbad
J1821.6+6827	RX J1821.6+6827   	18 21 38.1	+68 27 52	 0.8156	 3.043934	 2.1004	 0.6661	                                          	Simbad
J1822.6+6641	RX J1822.6+6641   	18 22 37.4	+66 41 29	 0.0888	 0.036860	 0.2571	 0.4363	                                          	Simbad
J1823.7+5658	BVH2007 220       	18 23 43.4	+56 58 26	 0.1050	 0.108655	 0.4915	 0.5385	                                          	Simbad
J1824.1+3029	RXC J1824.1+3029  	18 24 09.6	+30 29 31	 0.0720	 0.595934	 1.4197	 0.7753	                                          	Simbad
J1824.3+4309	MACSJ1824.3+4309  	18 24 19.0	+43 09 49	 0.4870	 2.858804	 2.8469	 0.8400	                                          	Simbad
J1825.3+3026	RXC J1825.3+3026  	18 25 22.8	+30 26 32	 0.0650	 1.611874	 2.6168	 0.9527	                                          	Simbad
J1827.2+6134	RXC J1827.2+6134  	18 27 16.0	+61 34 53	 0.1014	 0.451663	 1.1746	 0.7209	                                          	Simbad
J1829.0+6913	RX J1829.0+6913   	18 29 03.7	+69 13 50	 0.2057	 1.310104	 2.0829	 0.8418	                                          	Simbad
J1832.2+6832	RX J1832.2+6832   	18 32 13.3	+68 32 26	 0.1981	 0.280576	 0.8186	 0.6183	                                          	Simbad
J1832.5+6449	RXC J1832.5+6449  	18 32 33.6	+64 49 53	 0.1623	 1.234692	 2.0753	 0.8537	                                          	Simbad
J1832.5+6848	RXC J1832.5+6848  	18 32 34.6	+68 48 12	 0.2050	 3.629950	 3.8795	 1.0360	C                                         	Simbad
J1833.7+6521	RX J1833.7+6521   	18 33 44.6	+65 21 37	 0.1621	 0.285212	 0.8494	 0.6339	                                          	Simbad
J1834.1+7057	RXC J1834.1+7057  	18 34 09.4	+70 57 28	 0.0824	 0.372431	 1.0583	 0.7006	                                          	Simbad
J1836.5+6344	RXJ1836.5+6344    	18 36 30.5	+63 44 53	 0.0834	 0.516522	 1.2909	 0.7483	                                          	Simbad
J1838.2+6321	RX J1838.2+6321   	18 38 12.6	+63 21 02	 0.2167	 0.644456	 1.3402	 0.7239	                                          	Simbad
J1839.2+7018	RX J1839.2+7018   	18 39 17.4	+70 18 20	 0.2297	 0.284926	 0.8067	 0.6084	                                          	Simbad
J1839.8-2108	RXC J1839.8-2108  	18 39 53.5	-21 08 37	 0.0680	 0.553785	 1.3613	 0.7655	                                          	Simbad
J1840.6-7709	RXCJ1840.6-7709   	18 40 37.2	-77 09 20	 0.0194	 0.115577	 0.5410	 0.5714	                                          	Simbad
J1843.5+7949	BVH2007 NS 23     	18 43 30.7	+79 49 57	 0.0510	 0.029233	 0.2291	 0.4249	                                          	Simbad
J1843.6+5021	RXC J1843.6+5021  	18 43 39.1	+50 21 49	 0.1158	 0.830671	 1.6858	 0.8093	                                          	Simbad
J1844.0+4533	RXC J1844.0+4533  	18 44 01.8	+45 33 24	 0.0918	 0.727414	 1.5813	 0.7985	                                          	Simbad
J1844.5-3724	RXC J1844.5-3724  	18 44 31.7	-37 24 17	 0.2030	 3.386051	 3.7241	 1.0227	                                          	Simbad
J1846.7-7431	BVH2007 221       	18 46 42.7	-74 31 59	 0.1410	 0.345098	 0.9689	 0.6672	                                          	Simbad
J1847.2+7320	RXC J1847.2+7320  	18 47 16.1	+73 20 50	 0.1125	 0.831754	 1.6911	 0.8110	                                          	Simbad
J1847.3-6320	RXCJ1847.3-6320   	18 47 20.0	-63 20 13	 0.0146	 0.034601	 0.2601	 0.4483	                                          	Simbad
J1852.1+5711	RXC J1852.1+5711  	18 52 09.4	+57 11 50	 0.1094	 1.044438	 1.9473	 0.8509	                                          	Simbad
J1853.9+6822	RXC J1853.9+6822  	18 53 58.1	+68 22 53	 0.0928	 1.106807	 2.0411	 0.8691	                                          	Simbad
J1854.1+6858	RXC J1854.1+6858  	18 54 06.6	+68 58 17	 0.2415	 2.376503	 2.9137	 0.9294	?                                         	Simbad
J1855.8-6654	RXCJ1855.8-6654   	18 55 53.3	-66 54 48	 0.1797	 2.714065	 3.3117	 0.9916	                                          	Simbad
J1857.6+3800	RXC J1857.6+3800  	18 57 39.5	+38 00 30	 0.0567	 0.873617	 1.8114	 0.8450	                                          	Simbad
J1900.4+6958	RXC J1900.4+6958  	19 00 28.7	+69 58 07	 0.0877	 0.926120	 1.8375	 0.8406	                                          	Simbad
J1904.2+3626	RXC J1904.2+3626  	19 04 13.2	+36 26 48	 0.0780	 0.478417	 1.2366	 0.7390	                                          	Simbad
J1905.7+7804	A2318             	19 05 43.9	+78 04 59	 0.1405	 2.750944	 3.4370	 1.0176	                                          	Simbad
J1908.3+6903	RXC J1908.3+6903  	19 08 23.9	+69 03 42	 0.2103	 2.136681	 2.7969	 0.9272	B                                         	Simbad
J1910.1-2239	RXC J1910.1-2239  	19 10 08.9	-22 39 04	 0.0560	 0.355131	 1.0468	 0.7040	                                          	Simbad
J1910.4+6741	RXC J1910.4+6741  	19 10 27.3	+67 41 27	 0.2471	 3.522396	 3.6878	 1.0033	                                          	Simbad
J1912.6-7517	RXCJ1912.6-7517   	19 12 40.3	-75 17 30	 0.0726	 1.181329	 2.1539	 0.8907	B                                         	Simbad
J1916.1+3525	RXC J1916.1+3525  	19 16 06.5	+35 25 20	 0.2090	 5.133317	 4.7777	 1.1089	                                          	Simbad
J1917.5-1315	RXC J1917.5-1315  	19 17 35.8	-13 15 19	 0.1770	 3.860827	 4.1139	 1.0670	                                          	Simbad
J1918.5-0842	RXC J1918.5-0842  	19 18 31.4	-08 42 29	 0.0900	 0.687403	 1.5296	 0.7902	                                          	Simbad
J1921.1+4357	RXC J1921.1+4357  	19 21 08.8	+43 57 30	 0.0557	 5.941793	 5.8345	 1.2483	                                          	Simbad
J1925.3+3705	RXC J1925.3+3705  	19 25 22.3	+37 05 49	 0.3140	10.460418	 6.7932	 1.1999	                                          	Simbad
J1925.4-4256	RXCJ1925.4-4256   	19 25 29.6	-42 56 57	 0.0774	 0.932548	 1.8585	 0.8466	                                          	Simbad
J1926.1+4832	RXC J1926.1+4833  	19 26 10.8	+48 33 00	 0.0980	 1.395062	 2.3419	 0.9083	                                          	Simbad
J1926.9-5342	RXCJ1926.9-5342   	19 26 58.3	-53 42 11	 0.0570	 0.633984	 1.4895	 0.7916	                                          	Simbad
J1927.5+6549	RXC J1927.5+6549  	19 27 30.2	+65 49 56	 0.1886	 1.515948	 2.3064	 0.8762	                                          	Simbad
J1928.2-5055	RXCJ1928.2-5055   	19 28 14.0	-50 55 48	 0.1496	 2.048744	 2.8527	 0.9534	                                          	Simbad
J1930.0-1509	RXC J1930.0-1509  	19 30 01.6	-15 09 45	 0.0829	 1.173652	 2.1301	 0.8844	                                          	Simbad
J1930.1+7403	WARP J1930.5+7403W	19 30 11.5	+74 03 35	 0.2910	 0.428587	 0.9863	 0.6361	                                          	Simbad
J1931.6-3354	RXCJ1931.6-3354   	19 31 38.7	-33 54 47	 0.0972	 1.431743	 2.3806	 0.9136	                                          	Simbad
J1931.8-2634	MACSJ1931.8-2634  	19 31 49.7	-26 34 33	 0.3520	19.639807	 5.9238	 1.1300	                                          	Simbad
J1934.7-5053	RXCJ1934.7-5053   	19 34 47.3	-50 53 49	 0.2371	 5.672293	 4.9694	 1.1123	                                          	Simbad
J1935.3+6734	RXC J1935.3+6734  	19 35 20.2	+67 34 34	 0.1706	 1.434823	 2.2605	 0.8758	                                          	Simbad
J1938.3+5409	RXC J1938.3+5409  	19 38 18.6	+54 09 33	 0.2600	 7.960610	 6.0024	 1.1747	                                          	Simbad
J1938.3-4748	RXCJ1938.3-4748   	19 38 19.5	-47 48 16	 0.2665	 5.631362	 4.8355	 1.0904	                                          	Simbad
J1941.7+7709	WARP J1941.2+7709E	19 41 43.0	+77 09 45	 0.0480	 0.004677	 0.0751	 0.2933	                                          	Simbad
J1946.5-4256	RXCJ1946.5-4256   	19 46 34.3	-42 56 32	 0.1128	 0.970285	 1.8573	 0.8367	                                          	Simbad
J1947.3-7623	RXCJ1947.3-7623   	19 47 19.3	-76 23 32	 0.2170	 4.543361	 4.4080	 1.0764	                                          	Simbad
J1947.6-0542	RXC J1947.6-0542  	19 47 39.4	-05 42 15	 0.0280	 0.062381	 0.3693	 0.5019	                                          	Simbad
J1948.3+5113	RXC J1948.3+5113  	19 48 19.2	+51 13 51	 0.1850	 3.184473	 3.6363	 1.0211	                                          	Simbad
J1952.2-5503	RXCJ1952.2-5503   	19 52 16.5	-55 03 42	 0.0600	 0.625870	 1.4748	 0.7882	losStr                                    	Simbad
J1953.0-5201	RXCJ1953.0-5201   	19 53 00.9	-52 01 51	 0.1069	 1.570210	 2.5013	 0.9258	                                          	Simbad
J1957.2+5751	RXC J1957.2+5751  	19 57 13.9	+57 51 13	 0.0880	 0.808131	 1.6906	 0.8175	                                          	Simbad
J1958.2-3011	RXCJ1958.2-3011   	19 58 14.8	-30 11 22	 0.1171	 3.599818	 4.1184	 1.0894	X *                                       	Simbad
J1959.1-3454	RXCJ1959.1-3454   	19 59 10.7	-34 54 36	 0.1728	 2.372899	 3.0670	 0.9689	B                                         	Simbad
J1959.5+4044	RXC J1959.5+4044  	19 59 30.3	+40 44 11	 0.0561	 3.492455	 4.2185	 1.1203	                                          	Simbad
J2002.6+7753	WARP J2002.6+7753 	20 02 38.4	+77 53 46	 0.3492	 2.119051	 2.4943	 0.8479	                                          	Simbad
J2003.2-3247	BVH2007 222       	20 03 13.2	-32 47 31	 0.2560	 0.692598	 1.3585	 0.7169	                                          	Simbad
J2003.4-5556	BVH2007 223       	20 03 28.3	-55 56 47	 0.0148	 0.003581	 0.0652	 0.2827	                                          	Simbad
J2003.5-2323	RXCJ2003.5-2323   	20 03 30.4	-23 23 05	 0.3171	 8.163105	 5.8255	 1.1386	                                          	Simbad
J2009.0-5421	RXCJ2009.0-5421   	20 09 04.0	-54 21 28	 0.0516	 0.214478	 0.7720	 0.6369	                                          	Simbad
J2009.9-4823	RXCJ2009.9-4823   	20 09 54.1	-48 23 35	 0.0097	 0.012086	 0.1374	 0.3630	                                          	Simbad
J2009.9+7744	WARP J2009.9+7744 	20 09 54.2	+77 44 30	 0.3461	 0.692785	 1.2647	 0.6769	                                          	Simbad
J2011.3-5725	RXCJ2011.3-5725   	20 11 23.1	-57 25 39	 0.2786	 6.390161	 5.1735	 1.1103	                                          	Simbad
J2011.8-3555	BVH2007 224       	20 11 53.3	-35 55 40	 0.1720	 0.253659	 0.7850	 0.6153	                                          	Simbad
J2012.0-4129	RXCJ2012.0-4129   	20 12 03.0	-41 29 30	 0.1496	 2.261972	 3.0302	 0.9728	                                          	Simbad
J2012.5-5649	RXCJ2012.5-5649   	20 12 30.5	-56 49 55	 0.0556	 4.871933	 5.1696	 1.1990	L,losStr                                  	Simbad
J2014.2-8038	RXCJ2014.2-8038   	20 14 13.4	-80 38 30	 0.1380	 1.647516	 2.5189	 0.9183	P,GR8                                     	Simbad
J2014.8-2430	RXCJ2014.8-2430   	20 14 49.7	-24 30 30	 0.1612	 9.458634	 7.1884	 1.2922	                                          	Simbad
J2015.3+5609	RXC J2015.3+5609  	20 15 18.7	+56 09 33	 0.0820	 0.712705	 1.5725	 0.7996	                                          	Simbad
J2016.2-8047	RXCJ2016.2-8047   	20 16 14.0	-80 47 57	 0.1309	 1.356642	 2.2490	 0.8864	P,GR8                                     	Simbad
J2018.4-4102	RXCJ2018.4-4102   	20 18 25.6	-41 02 48	 0.0192	 0.039326	 0.2804	 0.4591	                                          	Simbad
J2018.7-5242	RXCJ2018.7-5242   	20 18 45.6	-52 42 22	 0.0505	 0.691313	 1.5771	 0.8085	                                          	Simbad
J2020.8-3002	RXCJ2020.8-3002   	20 20 49.9	-30 02 01	 0.2073	 3.310399	 3.6611	 1.0154	                                          	Simbad
J2021.9-5256	RXCJ2021.9-5256   	20 21 54.7	-52 56 52	 0.1383	 1.504480	 2.3826	 0.9013	                                          	Simbad
J2023.0-2056	RXCJ2023.0-2056   	20 23 01.6	-20 56 55	 0.0564	 0.433695	 1.1821	 0.7330	                                          	Simbad
J2023.4-5535	RXCJ2023.4-5535   	20 23 24.5	-55 35 32	 0.2320	 4.609207	 4.3960	 1.0697	                                          	Simbad
J2030.7-3532	RXCJ2030.7-3532   	20 30 47.9	-35 32 40	 0.1398	 1.542954	 2.4170	 0.9052	                                          	Simbad
J2031.8-4037	RXCJ2031.8-4037   	20 31 51.5	-40 37 14	 0.3416	10.408733	 6.6240	 1.1775	                                          	Simbad
J2032.1-5627	RXCJ2032.1-5627   	20 32 08.8	-56 27 09	 0.1380	 1.700758	 2.5682	 0.9242	losStr                                    	Simbad
J2034.3-3429	RXCJ2034.3-3429   	20 34 19.5	-34 29 15	 0.1240	 1.594585	 2.4943	 0.9196	losStr                                    	Simbad
J2034.7-3404	RXCJ2034.7-3404   	20 34 42.1	-34 04 26	 0.0936	 1.800189	 2.7443	 0.9590	                                          	Simbad
J2034.7-3548	RXCJ2034.7-3548   	20 34 47.9	-35 48 48	 0.0894	 2.963013	 3.7297	 1.0637	L,losStr                                  	Simbad
J2034.9-2143	RXCJ2034.9-2143   	20 34 55.8	-21 43 02	 0.1947	 3.024164	 3.4979	 1.0045	                                          	Simbad
J2035.7-2513	RXCJ2035.7-2513   	20 35 44.4	-25 13 04	 0.0200	 0.023408	 0.2042	 0.4129	X                                         	Simbad
J2036.6-2247	WARP J2036.6-2247 	20 36 39.9	-22 47 21	 0.1800	 0.348551	 0.9472	 0.6533	                                          	Simbad
J2038.4-0125	RX J2038.4-0125   	20 38 29.4	-01 25 17	 0.6730	 1.950236	 1.8072	 0.6705	                                          	Simbad
J2040.1+1712	RXC J2040.1+1712  	20 40 11.6	+17 12 50	 0.1690	 6.206455	 5.5278	 1.1806	                                          	Simbad
J2041.7+0721	RXC J2041.7+0721  	20 41 42.0	+07 21 26	 0.0639	 0.101031	 0.4838	 0.5429	?                                         	Simbad
J2042.1+2426	RXC J2042.1+2426  	20 42 07.0	+24 26 28	 0.1019	 3.129309	 3.8223	 1.0681	                                          	Simbad
J2043.2-2144	RXCJ2043.2-2144   	20 43 12.6	-21 44 06	 0.2041	 3.899712	 4.0556	 1.0518	                                          	Simbad
J2043.2-2629	RXCJ2043.2-2629   	20 43 14.4	-26 29 24	 0.0408	 0.177439	 0.6927	 0.6164	                                          	Simbad
J2048.1-1750	RXCJ2048.1-1750   	20 48 10.6	-17 50 38	 0.1475	 3.053689	 3.6443	 1.0352	                                          	Simbad
